
[00:00:00.000 --> 00:00:05.000]   [Music]
[00:00:05.000 --> 00:00:11.000]   Tyler from Louisville, Kentucky, I think I pronounced that right this time, Louisville, Kentucky, asks,
[00:00:11.000 --> 00:00:15.000]   "My question is this, where would you point a new believer to start reading their Bible?
[00:00:15.000 --> 00:00:21.000]   I have heard it suggested that John's Gospel is a good place to start. What do you say, Pastor John?"
[00:00:21.000 --> 00:00:28.000]   Well, as I thought about this, it would be easy to pick out one or two places and say, "Start there."
[00:00:28.000 --> 00:00:31.000]   But here's what I think needs to be emphasized.
[00:00:31.000 --> 00:00:41.000]   Let's make sure that we say to the new believer, "You are launching on a lifetime of Bible reading."
[00:00:41.000 --> 00:00:48.000]   Say to yourself, "I've been a Christian 10 years," or for John Piper, it would be 63 years,
[00:00:48.000 --> 00:00:50.000]   "and I read my Bible every day."
[00:00:50.000 --> 00:00:55.000]   You are launching out on a lifetime of engaging with God in the Bible.
[00:00:55.000 --> 00:01:01.000]   So build into their mindset, wherever you start, you're going forever.
[00:01:01.000 --> 00:01:03.000]   You're going forever in the Bible.
[00:01:03.000 --> 00:01:06.000]   This is not about merely starting.
[00:01:06.000 --> 00:01:12.000]   And you might point out to them, "You know, in my Bible, there's X number of pages in the New Testament,
[00:01:12.000 --> 00:01:18.000]   and if you take three pages a day, you'll read the New Testament in three months."
[00:01:18.000 --> 00:01:20.000]   You could approach it that way.
[00:01:20.000 --> 00:01:26.000]   And just make sure they get the mindset, "I'm moving through all of this book.
[00:01:26.000 --> 00:01:29.000]   I'm not just taking a verse here and a verse there."
[00:01:29.000 --> 00:01:31.000]   And here's another thing I would do.
[00:01:31.000 --> 00:01:36.000]   If they are utterly unacquainted with the New Testament, I would take five minutes
[00:01:36.000 --> 00:01:40.000]   and sit down with them and show them how the New Testament is laid out.
[00:01:40.000 --> 00:01:45.000]   I would say, "Here are four books called Gospels, Matthew, Mark, Luke, and John.
[00:01:45.000 --> 00:01:50.000]   These are the books about the historical foundations of the life, death, and resurrection of Jesus."
[00:01:50.000 --> 00:01:51.000]   Get that.
[00:01:51.000 --> 00:01:53.000]   Number two, here's the book of Acts.
[00:01:53.000 --> 00:01:56.000]   This is the story of how the early church, after Jesus went back to heaven,
[00:01:56.000 --> 00:02:00.000]   got started and launched by the power of the Holy Spirit,
[00:02:00.000 --> 00:02:03.000]   and how the church took root because of what Jesus had done.
[00:02:03.000 --> 00:02:06.000]   And then here's this group called Letters.
[00:02:06.000 --> 00:02:12.000]   These are the authoritative apostles, the spokesmen for the risen Christ,
[00:02:12.000 --> 00:02:17.000]   teaching the church how to live in the church and in society.
[00:02:17.000 --> 00:02:19.000]   And here's this strange book at the end called Revelation,
[00:02:19.000 --> 00:02:22.000]   which describes the victory of God at the end of the age.
[00:02:22.000 --> 00:02:25.000]   Now they've got the whole New Testament figured out, right?
