
[00:00:00.000 --> 00:00:05.000]   (Music)
[00:00:05.000 --> 00:00:12.200]   Charles Spurgeon himself once said, "There is no joy in this world like union with Christ.
[00:00:12.200 --> 00:00:16.520]   The more we can feel it, the happier we are."
[00:00:16.520 --> 00:00:18.480]   Such a great quote there from Spurgeon.
[00:00:18.480 --> 00:00:23.200]   You know, union with Christ is the center of our salvation, it's at the center of our
[00:00:23.200 --> 00:00:27.620]   sanctification and it's central to all of the deepest joys that we have in this life
[00:00:27.620 --> 00:00:32.640]   and dozens of New Testament texts prove the dominance of this theme over and over again.
[00:00:32.640 --> 00:00:38.640]   So how can we get our head around all these texts and really feel this union as we ought?
[00:00:38.640 --> 00:00:39.640]   That's today's email.
[00:00:39.640 --> 00:00:40.640]   "Hello, Pastor John.
[00:00:40.640 --> 00:00:45.800]   My name is Taylor, a 21-year-old student at Moody Bible Institute in Chicago.
[00:00:45.800 --> 00:00:47.880]   Thank you for your teaching and preaching over the decades.
[00:00:47.880 --> 00:00:51.120]   My question is, what is union with Christ?
[00:00:51.120 --> 00:00:55.520]   The more I study and read, especially older theologians and church fathers, the more I
[00:00:55.520 --> 00:00:59.400]   see this concept spoken of, but it does not make sense to me yet.
[00:00:59.400 --> 00:01:02.840]   I don't hear a lot of pastors talking about it today even.
[00:01:02.840 --> 00:01:03.840]   Can you help me?
[00:01:03.840 --> 00:01:09.040]   What does it mean to be united to Christ and what are a few of the most significant implications
[00:01:09.040 --> 00:01:11.960]   for my life?"
[00:01:11.960 --> 00:01:17.760]   I think the most important thing I can do for Taylor is to give him confidence that
[00:01:17.760 --> 00:01:26.560]   he can answer this question for himself with his concordance in a way that will bring more
[00:01:26.560 --> 00:01:34.960]   assurance and more insight and more transforming power and more personal sweetness and more
[00:01:34.960 --> 00:01:42.400]   life application than if he read 10 books about the doctrine of union with Christ.
[00:01:42.400 --> 00:01:51.080]   So my strong suggestion to Taylor and everybody else is that if you must choose—and you
[00:01:51.080 --> 00:01:56.800]   don't have to, but let's just say you do, and I hope you don't—if you must choose
[00:01:56.800 --> 00:02:04.480]   between reading a book on union with Christ, and there are some great ones, or studying
[00:02:04.480 --> 00:02:11.080]   your Bible on union with Christ, then set aside time that you would have spent on that
[00:02:11.080 --> 00:02:18.800]   book and type into your search feature in your Bible program on your computer, "In
[00:02:18.800 --> 00:02:23.840]   Christ," a little phrase, "In Christ," and you'll find, what, 89 uses or something
[00:02:23.840 --> 00:02:24.840]   like that.
[00:02:24.840 --> 00:02:29.520]   And then type "In Jesus," and you'll only get a handful, like nine.
[00:02:29.520 --> 00:02:31.480]   And then type in the phrase "In Him."
[00:02:31.480 --> 00:02:35.120]   Now, you're going to have to exclude a lot of those because those are going to not all
[00:02:35.120 --> 00:02:38.240]   refer to Christ, but dozens of them will.
[00:02:38.240 --> 00:02:45.240]   And then type in the phrase "In Whom," and then read them all over whatever days
[00:02:45.240 --> 00:02:53.160]   and weeks it takes, writing down all that you see about the nature of what it means
[00:02:53.160 --> 00:02:59.240]   to be in Christ, what it means to be in Him, what it means to be in Jesus Christ, and its
[00:02:59.240 --> 00:03:06.400]   cause—how do you get in?—and its nature, what's it like to be in, and its effects,
[00:03:06.400 --> 00:03:11.040]   what does it produce when you are in Christ?
[00:03:11.040 --> 00:03:19.520]   And I dare say that when you are done, you will have a better grasp on the glories of
[00:03:19.520 --> 00:03:26.760]   this biblical truth than if you read many books, even though, if you can, read the books
[00:03:26.760 --> 00:03:30.680]   too, because you won't see everything you need to see.
[00:03:30.680 --> 00:03:36.080]   So let me just give you a taste of what you're going to find if you do that.
[00:03:36.080 --> 00:03:42.000]   I'm saving my definition, which he asked for, of union with Christ, for the end, in
[00:03:42.000 --> 00:03:43.560]   just a minute.
[00:03:43.560 --> 00:03:55.160]   It hangs in great measure on what the word "in" means in the phrase "in Christ."
[00:03:55.160 --> 00:04:04.400]   And we would be totally unwarranted to think that the idea of being in Christ is used in
[00:04:04.400 --> 00:04:08.360]   the same sense in every case.
[00:04:08.360 --> 00:04:16.800]   For example, Paul says, "As in Adam all die, so in Christ shall all be made alive."
[00:04:16.800 --> 00:04:25.160]   Well, "in Christ" is like "in Adam," so that's some kind of "hmm, what?"
[00:04:25.160 --> 00:04:27.600]   What kind of "in" is that?
[00:04:27.600 --> 00:04:35.200]   Is that the same meaning as "the branch is in the vine" in John 15?
[00:04:35.200 --> 00:04:36.480]   I doubt it.
[00:04:36.480 --> 00:04:37.480]   I doubt it.
[00:04:37.480 --> 00:04:44.000]   I think John has a different conceptuality of what he's talking about in the nature of
[00:04:44.000 --> 00:04:51.280]   the way the juices flow from the branch to the vine that is different from the covenantal
[00:04:51.280 --> 00:04:54.840]   idea that Paul had in mind with "in Adam, in Christ."
[00:04:54.840 --> 00:05:00.760]   So the point is, there's not just one meaning of "union with Christ."
[00:05:00.760 --> 00:05:08.320]   And let me just pause here or put in a parenthesis and say, I am so concerned that seminary students
[00:05:08.320 --> 00:05:14.960]   and just Bible students in general get a hold of a theological word or phrase like "union
[00:05:14.960 --> 00:05:18.400]   with Christ," and they have this idea, "Okay, that's a reality.
[00:05:18.400 --> 00:05:25.800]   I've got to go to the Bible and find what that reality is," when in fact that limits
[00:05:25.800 --> 00:05:33.100]   their understanding of reality because they've already packed it into one single conceptuality,
[00:05:33.100 --> 00:05:38.840]   when in fact there may be a half a dozen ways that "union with Christ" is conceived of in
[00:05:38.840 --> 00:05:40.000]   the Bible.
[00:05:40.000 --> 00:05:43.440]   So here's what you're going to see if you do this.
[00:05:43.440 --> 00:05:45.160]   These are just tastes.
[00:05:45.160 --> 00:05:51.400]   Ephesians 1:4 says, "God chose us in Christ before the foundation of the world."
[00:05:51.400 --> 00:05:59.740]   So in Christ, in connection with Christ, God sees us before we existed in such a way that
[00:05:59.740 --> 00:06:06.480]   our election hangs on our being connected somehow with Jesus before we even exist.
[00:06:06.480 --> 00:06:12.620]   Ephesians 1:6 says that we have received grace in the Beloved.
[00:06:12.620 --> 00:06:14.360]   So in Christ.
[00:06:14.360 --> 00:06:22.320]   So the only way that grace flows to a sinner is somehow in our connection with, union with,
[00:06:22.320 --> 00:06:27.880]   relationship with—I'm leaving all that undefined right now—in Christ.
[00:06:27.880 --> 00:06:31.080]   Number three, that's Ephesians 1.
