
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:08.000]   Well, does God detest Africa?
[00:00:08.000 --> 00:00:12.000]   It's a stark question and it comes to us from inside the continent.
[00:00:12.000 --> 00:00:17.000]   Pastor John, hello. My name is Jason from Kampala, the capital city of Uganda.
[00:00:17.000 --> 00:00:21.000]   First, thank you for your continued ministry. It's been a huge blessing in my life.
[00:00:21.000 --> 00:00:26.000]   My question is this. Does God care for Africans?
[00:00:26.000 --> 00:00:30.000]   Providence has a long track record here. Throughout history we have been a beastly,
[00:00:30.000 --> 00:00:34.000]   deplorable, enslavable race.
[00:00:34.000 --> 00:00:38.000]   Constantly riddled with disease, famine, and suffering.
[00:00:38.000 --> 00:00:43.000]   How are we not to conclude that we are God's least favorite race?
[00:00:43.000 --> 00:00:47.000]   Every day is pure struggle for most Ugandans.
[00:00:47.000 --> 00:00:51.000]   I know God promises to look after all people, but it still makes me wonder
[00:00:51.000 --> 00:00:57.000]   why does he especially seem to hate Africa so much?
[00:00:57.000 --> 00:01:00.000]   I feel a special urgency about this question.
[00:01:00.000 --> 00:01:06.000]   It would be an easy question for us to ignore, but the reason I feel a special urgency
[00:01:06.000 --> 00:01:13.000]   is not only because it comes with such heartfelt, painful earnestness
[00:01:13.000 --> 00:01:20.000]   about Jason's own experience and his love for his people in Uganda,
[00:01:20.000 --> 00:01:28.000]   not to mention the whole of Africa, but also because I wrote a big book on Providence.
[00:01:28.000 --> 00:01:33.000]   So I feel indebted to give some accounting for his statement,
[00:01:33.000 --> 00:01:41.000]   "Providence has a long track record here," meaning God's providence has been hard
[00:01:41.000 --> 00:01:49.000]   on the continent of Africa. None of us can just blithely say that we believe
[00:01:49.000 --> 00:01:54.000]   in all-wise, all-embracing, all-pervasive, all-sovereign providence of God
[00:01:54.000 --> 00:01:59.000]   and then just walk away from such questions. That won't do. It just won't do.
[00:01:59.000 --> 00:02:07.000]   So I have four observations that I have prayed over and thought about
[00:02:07.000 --> 00:02:15.000]   to suggest that I hope will shed some light on Jason's question,
[00:02:15.000 --> 00:02:21.000]   and his mind as he wrestles with this question there in Uganda.
[00:02:21.000 --> 00:02:30.000]   He asked, "How can we not conclude that we are God's least favorite race?"
[00:02:30.000 --> 00:02:36.000]   What an explosive question. He's not just talking about the continent of Africa.
[00:02:36.000 --> 00:02:42.000]   He's talking about blackness. It's national, it's geographic, it's racial.
[00:02:42.000 --> 00:02:49.000]   What is God's providence in relation to these? That's his heart-agonizing question.
[00:02:49.000 --> 00:02:54.000]   I doubt that he's alone in it. First, so he's four observations.
[00:02:54.000 --> 00:02:59.000]   First, I would make the absolutely crucial biblical observation
[00:02:59.000 --> 00:03:06.000]   that all human beings everywhere in the world at all times in all history
[00:03:06.000 --> 00:03:14.000]   are fallen, sinful, and to use the words of Ephesians 2, sons of disobedience,
[00:03:14.000 --> 00:03:20.000]   and "by nature children of wrath." Or as Romans 5.12 says,
[00:03:20.000 --> 00:03:24.000]   "Sin came into the world through one man and death through sin,
[00:03:24.000 --> 00:03:28.000]   and so death spread to all because all sinned."
[00:03:28.000 --> 00:03:34.000]   Now, in calling all human beings of every race, every nationality,
[00:03:34.000 --> 00:03:42.000]   every age, every sex, every ethnicity, in calling all human beings children of wrath,
