
[00:00:00.000 --> 00:00:05.000]   [Music]
[00:00:05.000 --> 00:00:10.500]   A podcast listener from Malaysia named Sun Yin writes in to ask this.
[00:00:10.500 --> 00:00:16.000]   "Hello Pastor John. My home church hardly preaches about the cross in sermons,
[00:00:16.000 --> 00:00:21.000]   usually only during Easter or Christmas. I have approached my pastors and asked
[00:00:21.000 --> 00:00:28.000]   about this with gentleness, tact, and respect. They point out Hebrews 6:1-2
[00:00:28.000 --> 00:00:33.000]   stating that we need to move beyond the cross to other more mature teachings in
[00:00:33.000 --> 00:00:40.000]   the Bible. Is that the right view of the gospel?" Thank you Pastor John.
[00:00:40.000 --> 00:00:51.000]   When I was growing up, the church I was in preached and taught in a way that may
[00:00:51.000 --> 00:00:58.000]   perhaps be the kind of ministry this church in Malaysia is reacting against.
[00:00:58.000 --> 00:01:06.000]   They are saying, this church in Malaysia are saying, that we need to move beyond
[00:01:06.000 --> 00:01:13.000]   the cross to more mature teachings in the Bible. And in a sense, that's what I
[00:01:13.000 --> 00:01:20.000]   would have said about my church that I grew up in. Now it's not a helpful way to say it.
[00:01:20.000 --> 00:01:24.000]   Well, I'll come back to that, but I'm just trying to figure out what's in the minds
[00:01:24.000 --> 00:01:30.000]   of this church when they talk like this to Sun Yin. It would have been misleading
[00:01:30.000 --> 00:01:36.000]   for me to talk like that, but something needed to change. I knew something was amiss.
[00:01:36.000 --> 00:01:42.000]   We did need to move on. We did somehow need to go beyond what was being said
[00:01:42.000 --> 00:01:47.000]   Sunday after Sunday, because almost every Sunday it seemed that we circled around
[00:01:47.000 --> 00:01:54.000]   to the most simple, basic, repetitive gospel invitation to unbelievers to be saved.
[00:01:54.000 --> 00:01:59.000]   And everybody started putting on their coats, and everybody knew it was coming,
[00:01:59.000 --> 00:02:07.000]   and we hardly ever got "beyond it." It never felt as though the depth and breadth
[00:02:07.000 --> 00:02:13.000]   and height of the biblical books were even being looked at, let alone penetrated.
[00:02:13.000 --> 00:02:22.000]   And so I can imagine that a church, this church in Malaysia perhaps, would react
[00:02:22.000 --> 00:02:28.000]   against that by saying, "We need to get beyond the cross." And what they might
[00:02:28.000 --> 00:02:35.000]   mean, maybe, is we need to stop being so superficial and repetitive and narrow
[00:02:35.000 --> 00:02:40.000]   in presenting the gospel to unbelievers at the expense of feeding believers
[00:02:40.000 --> 00:02:47.000]   on the riches of biblical truth. But the way to describe what's needed here
[00:02:47.000 --> 00:02:55.000]   is not to say that we move on from the cross. What's needed is to take all
