
[00:00:00.000 --> 00:00:04.000]   [Music]
[00:00:04.000 --> 00:00:09.000]   We get loads of situational questions from people who are struggling.
[00:00:09.000 --> 00:00:16.000]   And Pastor John and I are honored that so many of you entrust us with some really gut-wrenching emails.
[00:00:16.000 --> 00:00:20.000]   I only wish we could address them all, but we can't.
[00:00:20.000 --> 00:00:24.000]   We can address a few of them, like this question from a burned-out dad.
[00:00:24.000 --> 00:00:26.000]   He writes in anonymously.
[00:00:26.000 --> 00:00:31.000]   "Pastor John, I love your work and I love how seriously you take the Bible. Thank you.
[00:00:31.000 --> 00:00:37.000]   I just turned 40, married for 11 years. We have three special needs kids under 10.
[00:00:37.000 --> 00:00:42.000]   Only our oldest is out of diapers. All have autism or developmental issues.
[00:00:42.000 --> 00:00:45.000]   I've been a follower of Jesus for 13 years.
[00:00:45.000 --> 00:00:50.000]   I'm easily sorrowful and find it impossible to be always rejoicing."
[00:00:50.000 --> 00:00:52.000]   2 Corinthians 6:10
[00:00:52.000 --> 00:00:58.000]   "I get so worn down, discouraged, and sometimes outright bitter and angry because as much as I love my kids,
[00:00:58.000 --> 00:01:01.000]   taking care of them is hard for me and for my wife.
[00:01:01.000 --> 00:01:05.000]   I've even confessed in the past to hating my job as a father.
[00:01:05.000 --> 00:01:12.000]   How do I love my family like God wants me to, and how do I find peace and joy in all of this despite how taxing it is?
[00:01:12.000 --> 00:01:18.000]   It just feels like no matter how hard I try or how much I do, I'm barely getting it all done.
[00:01:18.000 --> 00:01:23.000]   I hate that I sometimes resent my kids and my wife and this life.
[00:01:23.000 --> 00:01:28.000]   Now the middle-age years have arrived and I fear burnout, even of running away.
[00:01:28.000 --> 00:01:31.000]   Pastor John, can you help me?"
[00:01:31.000 --> 00:01:44.000]   Yes, I think I can if God gives me grace to speak the truth and he gives you the inclination to believe whatever is true that I say,
[00:01:44.000 --> 00:01:50.000]   because I do believe God is working in you and for you.
[00:01:50.000 --> 00:01:59.000]   So let me picture his work, this work that I'm saying is for you, with two images.
[00:01:59.000 --> 00:02:03.000]   One is that God has given you a walled fortress.
[00:02:03.000 --> 00:02:08.000]   The walls keep you in and keep destruction out.
[00:02:08.000 --> 00:02:10.000]   That's the first picture. I'll come back to it.
[00:02:10.000 --> 00:02:17.000]   The other picture is that inside this fortress that God has mercifully given to you,
[00:02:17.000 --> 00:02:21.000]   inside this fortress where you live with your wife and your children,
[00:02:21.000 --> 00:02:29.000]   God has been, is now, and will continue to be at work omnipotently on your behalf.
[00:02:29.000 --> 00:02:31.000]   So those are my two pictures.
[00:02:31.000 --> 00:02:40.000]   God has walled you in and God is working inside those walls to be for you everything you need.
[00:02:40.000 --> 00:02:44.000]   So here's a brief explanation of those two pictures.
[00:02:44.000 --> 00:02:55.000]   When I say he's walled you in, I mean he has made clear the boundaries of your legitimate options in life as husband and father.
[00:02:55.000 --> 00:03:06.000]   You do not have to lose sleep or spend any agonizing time trying to decide what those life boundaries are.
[00:03:06.000 --> 00:03:14.000]   These are protective walls, and one of them is you may not leave your wife, period.
[00:03:14.000 --> 00:03:20.000]   She is your wife by covenant. God was witness to this covenant.
[00:03:20.000 --> 00:03:28.000]   He has joined you together, and what God has joined, man may not put asunder.
[00:03:28.000 --> 00:03:37.000]   It is a precious, protective wall keeping you in and keeping destruction out.
[00:03:37.000 --> 00:03:41.000]   Second, you may not abandon your children.
[00:03:41.000 --> 00:03:47.000]   If anyone does not provide for his relatives, especially for the members of his household,
[00:03:47.000 --> 00:03:51.000]   he has denied the faith and is worse than an unbeliever, 1 Timothy 5, 8.
[00:03:51.000 --> 00:03:58.000]   That's a wall, a precious, protective wall.
[00:03:58.000 --> 00:04:03.000]   You stay in, destruction stays out.
[00:04:03.000 --> 00:04:05.000]   Those are gifts.
[00:04:05.000 --> 00:04:12.000]   In fact, though in one sense they constrain, they are ultimately freeing.
[00:04:12.000 --> 00:04:22.000]   Just like a tightly fitted parachute constrains the upper body, and then as you jump, gives you life.
[00:04:22.000 --> 00:04:24.000]   But here's the main thing.
[00:04:24.000 --> 00:04:35.000]   Inside these protective, life-giving walls where you live and struggle and feel beaten down with weariness and discouragement,
[00:04:35.000 --> 00:04:44.000]   that's where God Almighty has worked, is working, promises to work for his trusting children.
[00:04:44.000 --> 00:04:53.000]   He is mightily at work, and it helps when you feel overwhelmed to have someone come alongside—
[00:04:53.000 --> 00:05:06.000]   that's me right now—come alongside and rehearse the magnificence of God's help inside the fortresses he has built for you.
