
[00:00:00.000 --> 00:00:02.000]   [Music]
[00:00:02.000 --> 00:00:07.520]   Well, why are we so content to go prayerless?
[00:00:07.520 --> 00:00:12.120]   To ask it another way, what is it that motivates our prayer lives?
[00:00:12.120 --> 00:00:17.160]   What can sustain us here? What breathes urgency and jump-starts our inner session?
[00:00:17.160 --> 00:00:23.360]   This seems like such a relevant topic for every Christian to ponder. And with that topic on the table today,
[00:00:23.360 --> 00:00:27.920]   we turn to a classic John Piper clip from a sermon he preached in the late
[00:00:28.520 --> 00:00:33.720]   1980s. It was sent in to us by Sommer who lives in Niceville, Florida.
[00:00:33.720 --> 00:00:39.280]   Thank you very much Sommer for sending this in. Here's Pastor John now addressing prayer neglect.
[00:00:39.280 --> 00:00:47.040]   Move a step farther when he talks about his ministry further. That was 1st Corinthians 9 26.
[00:00:47.040 --> 00:00:51.960]   This is 2nd Corinthians 10 3. Though we live in the world,
[00:00:51.960 --> 00:00:55.960]   we are not carrying on a worldly war.
[00:00:56.760 --> 00:01:01.840]   For the weapons of our warfare are not worldly, but have divine
[00:01:01.840 --> 00:01:03.600]   power.
[00:01:03.600 --> 00:01:05.600]   So ministry is war.
[00:01:05.600 --> 00:01:08.040]   Fighting for faith in my heart is war.
[00:01:08.040 --> 00:01:12.120]   Fighting for the souls of men is war. All
[00:01:12.120 --> 00:01:19.240]   aspects of the Christian life are war. And if I were to ask you, what's the most crucial text on warfare,
[00:01:19.240 --> 00:01:21.240]   you would all say what?
[00:01:21.240 --> 00:01:23.680]   Ephesians 6.
[00:01:23.680 --> 00:01:29.520]   Let's read a little bit of it. Ephesians 6 12. We are not contending against flesh and blood.
[00:01:29.520 --> 00:01:33.120]   We are contending against
[00:01:33.120 --> 00:01:39.520]   principalities and powers and the world rulers of this present darkness and
[00:01:39.520 --> 00:01:43.880]   spiritual forces, hosts in the heavenly places.
[00:01:43.880 --> 00:01:45.760]   Therefore,
[00:01:45.760 --> 00:01:51.960]   clothe yourself or put on the armor of God that you might be able to withstand and stand.
[00:01:52.560 --> 00:01:54.560]   And then comes the list of the armor.
[00:01:54.560 --> 00:01:59.400]   Life is war. The enemy is awesome.
[00:01:59.400 --> 00:02:03.080]   And you can't see him.
[00:02:03.080 --> 00:02:07.120]   Most people do not believe this.
[00:02:07.120 --> 00:02:12.600]   How you ever gonna get them to pray when they don't believe it?
[00:02:12.600 --> 00:02:16.480]   I mean, they'll say they believe it,
[00:02:16.480 --> 00:02:19.320]   but watch their lives.
[00:02:20.360 --> 00:02:25.280]   And there is a peacetime casualness in the church.
[00:02:25.280 --> 00:02:29.360]   A casualness about spiritual things.
[00:02:29.360 --> 00:02:32.520]   There are no bombs falling in their lives.
[00:02:32.520 --> 00:02:39.920]   No bullets whizzing overhead. No mines to be avoided. No roars on the horizon.
[00:02:39.920 --> 00:02:44.920]   It's all well in America, the Disneyland of the universe.
