
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:08.000]   The prophet Isaiah tells us in Isaiah 65, 17
[00:00:08.000 --> 00:00:12.000]   something pretty incredible. In the new creation, he says,
[00:00:12.000 --> 00:00:16.000]   "The former things," the experiences of this life, it seems,
[00:00:16.000 --> 00:00:20.000]   "The former things shall not be
[00:00:20.000 --> 00:00:24.000]   remembered or come to mind."
[00:00:24.000 --> 00:00:28.000]   And that raises a question about eternity. In the new creation,
[00:00:28.000 --> 00:00:32.000]   are we mind-wiped? Two listeners are asking this
[00:00:32.000 --> 00:00:36.000]   exact question, Pastor John, who joins us today remotely over Zoom.
[00:00:36.000 --> 00:00:40.000]   Here's David, who lives in San Antonio, Texas.
[00:00:40.000 --> 00:00:44.000]   Hello, Pastor John. Praise God for you and for Tony and for your faithfulness to this
[00:00:44.000 --> 00:00:48.000]   podcast over the years. I've searched the archive high and low and cannot find
[00:00:48.000 --> 00:00:52.000]   your take on Isaiah 65, 17, which is exactly true.
[00:00:52.000 --> 00:00:56.000]   The text has never appeared on APJ, not until today.
[00:00:56.000 --> 00:01:00.000]   So, does this passage effectively say that we will be
[00:01:00.000 --> 00:01:04.000]   memory-wiped before we enter the new creation?
[00:01:04.000 --> 00:01:08.000]   And then a listener named Rylan wants to know how Isaiah
[00:01:08.000 --> 00:01:12.000]   65, 17 jibes with Revelation 5, 12,
[00:01:12.000 --> 00:01:16.000]   which puts Christ's sacrifice, the past tense,
[00:01:16.000 --> 00:01:20.000]   "was slain," the memorial of his crucifixion in this world,
[00:01:20.000 --> 00:01:24.000]   front and center for all of eternity. Pastor John, what do you
[00:01:24.000 --> 00:01:28.000]   make of Isaiah 65, 17, and are my memories of
[00:01:28.000 --> 00:01:32.000]   this life deleted in the new creation?
[00:01:32.000 --> 00:01:36.000]   Well, here's the quote. Let's put Isaiah 65, 17
[00:01:36.000 --> 00:01:40.000]   right in front of us so that we can be specific.
[00:01:40.000 --> 00:01:44.000]   "Behold, I create new heavens and
[00:01:44.000 --> 00:01:48.000]   new earth," God is speaking, of course, "and the former
[00:01:48.000 --> 00:01:52.000]   things shall not be remembered
[00:01:52.000 --> 00:01:56.000]   or come to mind." So, David is asking,
[00:01:56.000 --> 00:02:00.000]   does that mean a complete "memory wipe,"
[00:02:00.000 --> 00:02:04.000]   like, I assume, the hard drive of our
[00:02:04.000 --> 00:02:08.000]   former life crashes and starts over as
[00:02:08.000 --> 00:02:12.000]   a totally blank slate?
[00:02:12.000 --> 00:02:16.000]   And my response is, there are numerous reasons
[00:02:16.000 --> 00:02:20.000]   why it does not mean that.
[00:02:20.000 --> 00:02:24.000]   And if we think about a few of them, we will get
[00:02:24.000 --> 00:02:28.000]   a clearer picture of what the Christian
[00:02:28.000 --> 00:02:32.000]   eternal future will be like. So, first,
[00:02:32.000 --> 00:02:36.000]   in the immediately preceding verse, so verse 16
[00:02:36.000 --> 00:02:40.000]   of Isaiah 65, God says of his servants,
[00:02:40.000 --> 00:02:44.000]   "He who takes an oath in the land shall swear by the God
[00:02:44.000 --> 00:02:48.000]   of truth, because the former troubles
[00:02:48.000 --> 00:02:52.000]   are forgotten and are hidden from our
[00:02:52.000 --> 00:02:56.000]   eyes." So, verse 17 says
[00:02:56.000 --> 00:03:00.000]   "former things shall not be
[00:03:00.000 --> 00:03:04.000]   remembered," and verse 16 limits those things to former troubles.
[00:03:04.000 --> 00:03:08.000]   Now, that's a contextual warning to me,
[00:03:08.000 --> 00:03:12.000]   that we better be careful not to overstate
[00:03:12.000 --> 00:03:16.000]   the forgetting of verse 17.
[00:03:16.000 --> 00:03:20.000]   It's probably not a memory wipe
[00:03:20.000 --> 00:03:24.000]   of all former things, but a selective
[00:03:24.000 --> 00:03:28.000]   memory wipe in some way.
[00:03:28.000 --> 00:03:32.000]   So, that's just a little flag warning me,
[00:03:32.000 --> 00:03:36.000]   be careful here, don't overstate this,
[00:03:36.000 --> 00:03:40.000]   or think of a total memory wipe of what it would mean.
[00:03:40.000 --> 00:03:44.000]   Think what it would mean. If you remember nothing
[00:03:44.000 --> 00:03:48.000]   from your former life, you
[00:03:48.000 --> 00:03:52.000]   are not you any longer. You have no
[00:03:52.000 --> 00:03:56.000]   identity at all. There would be nothing
[00:03:56.000 --> 00:04:00.000]   in your mind that could identify you as
[00:04:00.000 --> 00:04:04.000]   you. In essence, a total memory wipe means
[00:04:04.000 --> 00:04:08.000]   you don't exist anymore as the person you were.
[00:04:08.000 --> 00:04:12.000]   And if you are to have any personhood at all, it would start
[00:04:12.000 --> 00:04:16.000]   all over again, like a new creation. You'd be a new total person,
[00:04:16.000 --> 00:04:20.000]   and there would be no continuity with that former person
[00:04:20.000 --> 00:04:24.000]   at all. But that contradicts several things we know from Scripture.
[00:04:24.000 --> 00:04:28.000]   It contradicts the parables of Jesus and the teachings
[00:04:28.000 --> 00:04:32.000]   of the apostles that we will be rewarded in the age to come
[00:04:32.000 --> 00:04:36.000]   according to our works in this life.
[00:04:36.000 --> 00:04:40.000]   So, there's a correlation or a continuity
[00:04:40.000 --> 00:04:44.000]   between the person you are and what you did
[00:04:44.000 --> 00:04:48.000]   in this world and the person you will be in the new
[00:04:48.000 --> 00:04:52.000]   earth. A complete memory wipe also contradicts
[00:04:52.000 --> 00:04:56.000]   the fact that we will recognize each other
[00:04:56.000 --> 00:05:00.000]   in the age to come. The risen Christ
[00:05:00.000 --> 00:05:04.000]   is the first fruits, Paul says. He's the
[00:05:04.000 --> 00:05:08.000]   first fruits of that final resurrection
[00:05:08.000 --> 00:05:12.000]   reality, and he relates to his disciples after the resurrection
[00:05:12.000 --> 00:05:16.000]   as one that they know. We will know
[00:05:16.000 --> 00:05:20.000]   Jesus as the one who came into the world and worked
[00:05:20.000 --> 00:05:24.000]   wonders and died for us and rose from the dead, and we will
[00:05:24.000 --> 00:05:28.000]   know each other. All that assumes that our memories have not been
[00:05:28.000 --> 00:05:32.000]   wiped out. Perhaps the most important
[00:05:32.000 --> 00:05:36.000]   of all is the fact
[00:05:36.000 --> 00:05:40.000]   that the ultimate purpose of history,
[00:05:40.000 --> 00:05:44.000]   the ultimate purpose of redemption from creation to
[00:05:44.000 --> 00:05:48.000]   consummation, is the praise of the glory
[00:05:48.000 --> 00:05:52.000]   of the grace of God. That's a quote from Ephesians 1:6.
[00:05:52.000 --> 00:05:56.000]   God has worked in history
[00:05:56.000 --> 00:06:00.000]   so that his wonders would be remembered
[00:06:00.000 --> 00:06:04.000]   and praised, especially the wonders of his
[00:06:04.000 --> 00:06:08.000]   grace. Psalm 114. He has caused
[00:06:08.000 --> 00:06:12.000]   his wonders, the wonderful works,
[00:06:12.000 --> 00:06:16.000]   to be remembered. The Lord is gracious
[00:06:16.000 --> 00:06:20.000]   and merciful. God is not going to obliterate
[00:06:20.000 --> 00:06:24.000]   the memory of his thousands of works
[00:06:24.000 --> 00:06:28.000]   of grace as though they didn't matter.
[00:06:28.000 --> 00:06:32.000]   On the contrary, according to Isaiah 63
[00:06:32.000 --> 00:06:36.000]   7, God will "cause
[00:06:36.000 --> 00:06:40.000]   to be remembered the steadfast love of the Lord,
[00:06:40.000 --> 00:06:44.000]   the great goodness of the house of Israel that he has granted them
[00:06:44.000 --> 00:06:48.000]   according to his compassion." This is why Ryland's question
[00:06:48.000 --> 00:06:52.000]   about Revelation 5.12 is relevant.
[00:06:52.000 --> 00:06:56.000]   He's right that the book of
[00:06:56.000 --> 00:07:00.000]   Revelation pictures the perfected saints in heaven
[00:07:00.000 --> 00:07:04.000]   as singing the song of the Lamb.
[00:07:04.000 --> 00:07:08.000]   That's the Lamb that was slain at a point
[00:07:08.000 --> 00:07:12.000]   in history at a place called Golgotha, worthy
[00:07:12.000 --> 00:07:16.000]   as the Lamb who was slain to receive power and
