
[00:00:00.000 --> 00:00:07.000]   [Music]
[00:00:07.000 --> 00:00:18.000]   Jesus, Lord of Heaven, I do not deserve
[00:00:18.000 --> 00:00:23.000]   The grace that You have given
[00:00:23.000 --> 00:00:29.000]   Or the promise of Your Word
[00:00:29.000 --> 00:00:34.000]   Lord, I stand in wonder
[00:00:34.000 --> 00:00:40.000]   At the sacrifice You've made
[00:00:40.000 --> 00:00:45.000]   With mercy beyond measure
[00:00:45.000 --> 00:00:51.000]   My high debt You freely pay
[00:00:51.000 --> 00:00:58.000]   And Your love is deeper
[00:00:58.000 --> 00:01:04.000]   Than any ocean higher
[00:01:04.000 --> 00:01:09.000]   Than the heavens reaching
[00:01:09.000 --> 00:01:16.000]   Beyond the stars in the sky
[00:01:16.000 --> 00:01:22.000]   Jesus, Your love has no bounds
[00:01:22.000 --> 00:01:28.000]   Jesus, Your love has no bounds
[00:01:28.000 --> 00:01:39.000]   Jesus, Lord of Heaven, I do not deserve
[00:01:39.000 --> 00:01:44.000]   The grace that You have given
[00:01:44.000 --> 00:01:50.000]   Or the promise of Your Word
[00:01:50.000 --> 00:01:55.000]   Lord, I stand in wonder
[00:01:55.000 --> 00:02:01.000]   At the sacrifice You've made
[00:02:01.000 --> 00:02:06.000]   With mercy beyond measure
[00:02:06.000 --> 00:02:14.000]   My high debt You freely pay
[00:02:14.000 --> 00:02:20.000]   And Your love is deeper
[00:02:20.000 --> 00:02:25.000]   Than any ocean higher
[00:02:25.000 --> 00:02:30.000]   Than the heavens reaching
[00:02:30.000 --> 00:02:37.000]   Beyond the stars in the sky
[00:02:37.000 --> 00:02:42.000]   Your love is deeper
[00:02:42.000 --> 00:02:47.000]   Than any ocean higher
[00:02:47.000 --> 00:02:52.000]   Than the heavens reaching
[00:02:52.000 --> 00:03:00.000]   Beyond the stars in the sky
[00:03:00.000 --> 00:03:05.000]   Jesus, Your love has no bounds
[00:03:05.000 --> 00:03:12.000]   Jesus, Your love has no bounds
[00:03:12.000 --> 00:03:20.000]   Hi, good morning. Welcome to Breen Community Church.
[00:03:20.000 --> 00:03:23.000]   We're going to get started. We have an announcement from our family ministry
[00:03:23.000 --> 00:03:25.000]   about our Christmas events that are going on.
[00:03:25.000 --> 00:03:28.000]   So Dean's going to come up and he's going to give the announcements.
[00:03:32.000 --> 00:03:35.000]   Hi, good morning, everyone. I'm Dean Shin.
[00:03:35.000 --> 00:03:38.000]   I'm part of the family ministry logistics team.
[00:03:38.000 --> 00:03:41.000]   So this year for the family ministry for Christmas,
[00:03:41.000 --> 00:03:43.000]   rather than having a large gathering,
[00:03:43.000 --> 00:03:46.000]   what we will do, you know, with the church getting bigger and whatnot,
[00:03:46.000 --> 00:03:50.000]   is have smaller, cozier, more intimate gatherings.
[00:03:50.000 --> 00:03:53.000]   So it will be at individual people's homes.
[00:03:53.000 --> 00:03:56.000]   Okay, so this is kind of going to be ongoing.
[00:03:56.000 --> 00:04:00.000]   So as you sign up, you'll be asked if you are willing to open up your home
[00:04:00.000 --> 00:04:03.000]   both to host and to facilitate.
[00:04:03.000 --> 00:04:09.000]   So we are asking if you live in Irvine or Tustin or kind of closer to church,
[00:04:09.000 --> 00:04:12.000]   if you would pray about it and see if you are willing to open up your home.
[00:04:12.000 --> 00:04:18.000]   That way people can sort of come in and maybe don't have to travel as far of a distance.
[00:04:18.000 --> 00:04:21.000]   If you do have to travel a little bit, hopefully you'll be okay with that.
[00:04:21.000 --> 00:04:24.000]   But, you know, people are often asking, like, how can I serve?
[00:04:24.000 --> 00:04:25.000]   How can I be involved?
[00:04:25.000 --> 00:04:30.000]   So this is really a great way for you to serve the church and show hospitality.
[00:04:30.000 --> 00:04:38.000]   And in Exodus 36, there's a time when Moses is gathering things for the tabernacle,
[00:04:38.000 --> 00:04:40.000]   and he has to actually stop the people.
[00:04:40.000 --> 00:04:44.000]   He has to refrain--he has to restrain them because they're giving so much, right?
[00:04:44.000 --> 00:04:48.000]   So my prayer and hope is that so many of you will be moved to open up your homes,
[00:04:48.000 --> 00:04:51.000]   that we'll have too many homes, and we'll say, "Thank you for your heart.
[00:04:51.000 --> 00:04:54.000]   God sees it, but we don't need your home this time around."
[00:04:54.000 --> 00:04:57.000]   If you have any questions about it, please let me know.
