
[00:00:00.000 --> 00:00:06.880]   [Pause]
[00:00:06.880 --> 00:00:10.320]   Gracious and loving Father, we thank you, Lord God, for this day.
[00:00:10.320 --> 00:00:11.900]   We thank you for the rain.
[00:00:11.900 --> 00:00:16.680]   And I know that there are so many people, Lord, especially in our area that has been
[00:00:16.680 --> 00:00:20.920]   praying, the farmers, Lord God, who are in desperate need for this.
[00:00:20.920 --> 00:00:23.640]   And we thank you for answering prayers.
[00:00:23.640 --> 00:00:28.760]   We thank you, Lord God, for just your goodness of all the things, Lord, that you pour onto
[00:00:28.760 --> 00:00:32.560]   us, and many times, Lord, that we overlook.
[00:00:32.560 --> 00:00:39.880]   Help us, Lord God, to be men and women who recognize your gift, that every single day
[00:00:39.880 --> 00:00:45.360]   that we live, that we may know and appreciate that it's only by your grace, Lord God, we
[00:00:45.360 --> 00:00:47.280]   can be sustained.
[00:00:47.280 --> 00:00:51.400]   Help us, Lord, as we come to worship you and spend time in your word and to praise and
[00:00:51.400 --> 00:00:55.840]   to give that all of these things, Lord, would simply be a reflection of the true worship
[00:00:55.840 --> 00:00:57.960]   taking place in our hearts.
[00:00:57.960 --> 00:00:59.560]   So for that end, we pray for your blessing.
[00:00:59.560 --> 00:01:03.200]   In Jesus' name we pray, amen.
[00:01:03.200 --> 00:01:08.120]   As you guys know, again, I was only gone for about seven or eight days, but again, whenever
[00:01:08.120 --> 00:01:12.680]   I leave and I get to see so many things, there's a sensory overload.
[00:01:12.680 --> 00:01:15.400]   And so those of you who've been out to missions, you know what I'm talking about.
[00:01:15.400 --> 00:01:18.660]   To me, it felt like I've been gone for a month, but even though I've only missed two Sundays
[00:01:18.660 --> 00:01:21.780]   in about eight days.
[00:01:21.780 --> 00:01:26.640]   Pastor Peter Chung, who used to be our education pastor here, and then he was sent out as a
[00:01:26.640 --> 00:01:32.200]   missionary and then now he's serving as a vision coordinator for Compassion International.
[00:01:32.200 --> 00:01:37.240]   And he invited me to come to Philippines to participate in a vision trip to see what Compassion
[00:01:37.240 --> 00:01:39.000]   is doing and how they are helping.
[00:01:39.000 --> 00:01:43.340]   And I was thoroughly impressed with how they're running their organization, how the money's
[00:01:43.340 --> 00:01:45.560]   being used, accountability.
[00:01:45.560 --> 00:01:48.840]   And the thing that I was mostly impressed with is how they're working through the local
[00:01:48.840 --> 00:01:53.640]   church and how the money is not only being used to get children out of poverty, but how
[00:01:53.640 --> 00:01:58.600]   they're working through the local church and how many of these children and their parents
[00:01:58.600 --> 00:02:01.880]   and their siblings end up coming to Christ as a result of their work.
[00:02:01.880 --> 00:02:06.280]   And so we were able to visit different parts of the Philippines and different churches
[00:02:06.280 --> 00:02:13.320]   and see the gospel ministry really, even though it's presented as, you know, getting children
[00:02:13.320 --> 00:02:17.040]   out of poverty, the bigger work really is the gospel ministry.
[00:02:17.040 --> 00:02:20.380]   And I was able to see that and I was really encouraged.
[00:02:20.380 --> 00:02:24.180]   And again, we asked him that when he's going to come here in February because his wife
[00:02:24.180 --> 00:02:31.000]   is pregnant with twins and she's going to be here from February to October, I think.
[00:02:31.000 --> 00:02:35.840]   And then so she's going to prepare, deliver and then recover all of that while here.
[00:02:35.840 --> 00:02:40.440]   Because Peter, Peter Chang, he's actually travels quite a bit, so he won't be able to
[00:02:40.440 --> 00:02:41.440]   be with her.
[00:02:41.440 --> 00:02:44.240]   So it'd be a good idea for him to, for them to be here.
[00:02:44.240 --> 00:02:48.640]   But he's going to come in February and I asked him, again, I have to talk to the elders,
[00:02:48.640 --> 00:02:52.100]   but again, so he'll give a little bit more presentation of what's going on.
[00:02:52.100 --> 00:02:56.580]   Maybe it's something that we can pray about getting involved with, about maybe supporting
[00:02:56.580 --> 00:02:59.200]   children and things like that.
[00:02:59.200 --> 00:03:03.680]   Going out to the Philippines obviously was a tremendous blessing for me.
[00:03:03.680 --> 00:03:07.360]   And I knew that I was going to be able to see a lot of things and they deliberately
[00:03:07.360 --> 00:03:12.560]   took us to what they call extreme poverty, not just poverty, but extreme poverty.
[00:03:12.560 --> 00:03:18.820]   So we were taken to different homes in different places in parts of Philippines where they're
[00:03:18.820 --> 00:03:23.260]   struggling and none of that really surprised me because I went there expecting that.
[00:03:23.260 --> 00:03:28.000]   You know, I've been to different parts of the world where I've seen poverty, I've seen
[00:03:28.000 --> 00:03:29.000]   extreme poverty.
[00:03:29.000 --> 00:03:32.140]   And so none of that stuff really was shocking to me.
[00:03:32.140 --> 00:03:38.860]   But what was shocking, what I didn't expect is to run into so many of the sex trafficking
[00:03:38.860 --> 00:03:39.860]   that's happening.
[00:03:39.860 --> 00:03:44.180]   And again, it wasn't happening in front of us, but we ended up staying in a Western hotel
[00:03:44.180 --> 00:03:48.640]   because we were in areas, visiting areas where there was a lot of poverty and a lot of churches
[00:03:48.640 --> 00:03:50.300]   reaching out to the children.
[00:03:50.300 --> 00:03:55.160]   But because we were in a Western hotel, we saw a lot of Westerners coming in and it didn't
[00:03:55.160 --> 00:03:56.260]   hit any of us.
[00:03:56.260 --> 00:04:00.100]   And I was there with about 10 other pastors and it didn't hit any of us until about the
[00:04:00.100 --> 00:04:02.100]   second or third day.
[00:04:02.100 --> 00:04:07.980]   And we started noticing a lot of old men, 50s, 60s, maybe even 70 year old men with
[00:04:07.980 --> 00:04:09.700]   young teenage girls.
[00:04:09.700 --> 00:04:13.660]   And they must have been, if they were old, they must know more than maybe about 18, 19
[00:04:13.660 --> 00:04:18.780]   years old, young, maybe as young as 15 or 14.
[00:04:18.780 --> 00:04:20.020]   And it wasn't just one or two.
[00:04:20.020 --> 00:04:21.660]   We were running into them in the restaurant.
[00:04:21.660 --> 00:04:26.880]   We were running into them in the elevator, in the lounge.
