
[00:00:00.000 --> 00:00:02.760]   (audio cuts out)
[00:00:02.760 --> 00:00:08.120]   the authorship and recipient parts of the First Corinthians,
[00:00:08.120 --> 00:00:10.560]   there's a little segment on methodology.
[00:00:10.560 --> 00:00:11.960]   I'm not gonna spend a whole lot of time,
[00:00:11.960 --> 00:00:13.820]   but I want to explain to you,
[00:00:13.820 --> 00:00:17.560]   when we say that we want to do an inductive study,
[00:00:17.560 --> 00:00:19.560]   what we're saying is we want to go through
[00:00:19.560 --> 00:00:22.600]   the necessary due diligence process
[00:00:22.600 --> 00:00:26.880]   of observing all there is to observe of the passage,
[00:00:26.880 --> 00:00:30.200]   of appropriately interpreting the things that we observe,
[00:00:30.200 --> 00:00:34.240]   and doing a thorough study as to apply it, okay?
[00:00:34.240 --> 00:00:37.560]   So that being the case, with observation,
[00:00:37.560 --> 00:00:41.080]   we want to make sure that we take it verse by verse.
[00:00:41.080 --> 00:00:43.140]   We want to make sure that we're not just skipping over
[00:00:43.140 --> 00:00:44.360]   huge chunks of things, why?
[00:00:44.360 --> 00:00:46.760]   Because there can be another approach we take,
[00:00:46.760 --> 00:00:48.960]   which is what I did when we did the Psalm study,
[00:00:48.960 --> 00:00:50.440]   a devotional study.
[00:00:50.440 --> 00:00:51.840]   How is it different?
[00:00:51.840 --> 00:00:53.680]   When I did a devotional study,
[00:00:53.680 --> 00:00:55.760]   I studied the passages and decided,
[00:00:55.760 --> 00:00:59.400]   in this Psalm that's typically pretty huge,
[00:00:59.400 --> 00:01:02.240]   I saw major themes and movements.
[00:01:02.240 --> 00:01:03.320]   Because it was repetitive,
[00:01:03.320 --> 00:01:05.840]   because there were things that were emphasized,
[00:01:05.840 --> 00:01:09.520]   I just used those major points to give you a devotion,
[00:01:09.520 --> 00:01:10.960]   to give you something to meditate
[00:01:10.960 --> 00:01:12.920]   and pray about for your life.
[00:01:12.920 --> 00:01:14.440]   That's very different from saying,
[00:01:14.440 --> 00:01:17.760]   verse one, here's what it says, what is it?
[00:01:17.760 --> 00:01:20.380]   Verse two, this is what it is, what is that?
[00:01:20.380 --> 00:01:22.400]   And you're asking all these questions
[00:01:22.400 --> 00:01:24.900]   about every element of that entire passage.
[00:01:24.900 --> 00:01:26.360]   You see the difference?
[00:01:26.360 --> 00:01:28.400]   We can also take a topical study,
[00:01:28.400 --> 00:01:30.220]   which we've done in our previous Bible studies,
[00:01:30.220 --> 00:01:31.920]   where we say, hey, we want to talk about counseling.
[00:01:31.920 --> 00:01:34.160]   We want to talk about hurt and pain.
[00:01:34.160 --> 00:01:36.120]   What does the Bible have to say about that?
[00:01:36.120 --> 00:01:37.640]   You see how that's a different approach
[00:01:37.640 --> 00:01:40.040]   than saying, we're gonna work through this passage,
[00:01:40.040 --> 00:01:42.040]   follow its trail of thought,
[00:01:42.040 --> 00:01:45.600]   we're gonna observe all that it has to say to us, right?
[00:01:45.600 --> 00:01:47.980]   So by nature, we're gonna take smaller chunks,
[00:01:47.980 --> 00:01:50.000]   typically no more than 10 verses,
[00:01:50.000 --> 00:01:52.880]   and we're going to do an in-depth study, okay?
[00:01:52.880 --> 00:01:54.120]   Any questions about that?
[00:01:55.120 --> 00:01:56.600]   All right.
[00:01:56.600 --> 00:02:00.640]   Nonetheless, our study is truly for the purpose
[00:02:00.640 --> 00:02:02.800]   of our growth, our spiritual growth,
[00:02:02.800 --> 00:02:05.120]   both in understanding and practice.
[00:02:05.120 --> 00:02:09.080]   So we do have to have moments when we're sitting here
[00:02:09.080 --> 00:02:14.080]   asking ourselves, how do I now evaluate myself
[00:02:14.080 --> 00:02:16.680]   against what I'm studying, you know?
[00:02:16.680 --> 00:02:18.680]   And that's gonna be a necessary part of our study,
[00:02:18.680 --> 00:02:20.680]   and I hope you guys can do that,
[00:02:20.680 --> 00:02:23.160]   more so in your discussion time.
[00:02:23.160 --> 00:02:25.040]   And obviously, I'm gonna bring up certain points
