
[00:00:00.000 --> 00:00:14.000]   Okay, good evening everyone. Let us go and take our seats so that we can get our hearts ready to sing together and get started with Bible study.
[00:00:14.000 --> 00:00:42.000]   Okay, let's pray together. Heavenly Father, we want to gather our hearts to lift your name on high. To God sing praises to you and continue just to strengthen our faith.
[00:00:42.000 --> 00:00:55.000]   Lord God, we do believe that you are worthy of our time, of our full attention and consideration. And what's more, Lord, we do want to hear your word so that God it would guide our every step.
[00:00:55.000 --> 00:01:05.000]   And even down to some of the more private decisions we make, some of the way that we interact with our loved ones and in our lives.
[00:01:05.000 --> 00:01:12.000]   And I pray that the gospel, the presence of Christ would continue to affect us in every way.
[00:01:12.000 --> 00:01:21.000]   Lord, we want to always thank you for the opportunity to gather in this way and we lift this time up to you. It's in Christ's name. Amen.
[00:01:21.000 --> 00:01:31.000]   [ Music ]
[00:01:31.000 --> 00:01:34.000]   >> Let's sing come thou fount.
[00:01:34.000 --> 00:01:40.000]   Come thou fount of every blessing.
[00:01:40.000 --> 00:01:46.000]   To my heart to sing thy grace.
[00:01:46.000 --> 00:01:52.000]   Streams of mercy never ceasing.
[00:01:52.000 --> 00:01:58.000]   Call for songs of loudest praise.
[00:01:58.000 --> 00:02:04.000]   Teach me some melodious song.
[00:02:04.000 --> 00:02:10.000]   Some by claiming tongues above.
[00:02:10.000 --> 00:02:16.000]   Praise the mount I'm fixed upon it.
[00:02:16.000 --> 00:02:24.000]   Mount of thy beautiful rock.
[00:02:24.000 --> 00:02:30.000]   Here I raise my heavenly song.
[00:02:30.000 --> 00:02:36.000]   Here by thy help I come.
[00:02:36.000 --> 00:02:42.000]   And I hold by thy good pleasure.
[00:02:42.000 --> 00:02:48.000]   Safely to a ride at home.
[00:02:48.000 --> 00:02:54.000]   Thou saw me when a stranger.
[00:02:54.000 --> 00:03:00.000]   Wandering from the fold of God.
[00:03:00.000 --> 00:03:06.000]   He to rescue me from danger.
[00:03:06.000 --> 00:03:14.000]   In a pose his passion blind.
[00:03:14.000 --> 00:03:20.000]   Praise how great a debtor.
[00:03:20.000 --> 00:03:26.000]   Daily I'm constrained to be.
[00:03:26.000 --> 00:03:32.000]   Let thy grace like a fetter.
[00:03:32.000 --> 00:03:38.000]   Find my wandering heart to be.
[00:03:38.000 --> 00:03:44.000]   Prone to wander Lord I feel it.
[00:03:44.000 --> 00:03:50.000]   Prone to leave the God I love.
[00:03:50.000 --> 00:03:54.000]   Here's my heart Lord.
[00:03:54.000 --> 00:03:58.000]   Take and seal it.
[00:03:58.000 --> 00:04:04.000]   Seal it for thy courts above.
[00:04:04.000 --> 00:04:08.000]   Give thanks.
[00:04:08.000 --> 00:04:14.000]   Give thanks Lord for thy grace.
[00:04:14.000 --> 00:04:20.000]   Here I raise my heavenly song.
[00:04:20.000 --> 00:04:26.000]   Here by thy good pleasure.
[00:04:26.000 --> 00:04:32.000]   Safely to a ride at home.
[00:04:32.000 --> 00:04:38.000]   Give thanks with a grateful heart.
[00:04:38.000 --> 00:04:46.000]   Give thanks to the Holy One.
[00:04:46.000 --> 00:04:54.000]   Give thanks because he's given.
[00:04:54.000 --> 00:05:00.000]   Jesus Christ his son.
[00:05:00.000 --> 00:05:02.000]   Give thanks.
[00:05:02.000 --> 00:05:10.000]   Give thanks with a grateful heart.
[00:05:10.000 --> 00:05:18.000]   Give thanks to the Holy One.
[00:05:18.000 --> 00:05:24.000]   Give thanks because he's given.
[00:05:24.000 --> 00:05:32.000]   Jesus Christ his son.
[00:05:32.000 --> 00:05:44.000]   And now let the weak say I am strong.
[00:05:44.000 --> 00:05:52.000]   Let the poor say I am rich.
[00:05:52.000 --> 00:06:04.000]   Because of what the Lord has done for us.
[00:06:04.000 --> 00:06:12.000]   Give thanks.
[00:06:12.000 --> 00:06:20.000]   Give thanks with a grateful heart.
[00:06:20.000 --> 00:06:28.000]   Give thanks to the Holy One.
[00:06:28.000 --> 00:06:34.000]   Give thanks because he's given.
[00:06:34.000 --> 00:06:40.000]   Jesus Christ his son.
[00:06:40.000 --> 00:06:44.000]   One more time give thanks.
[00:06:44.000 --> 00:06:52.000]   Give thanks with a grateful heart.
