
[00:00:00.000 --> 00:00:04.000]   [no audio]
[00:00:04.000 --> 00:00:08.500]   with the announcements. Okay, if you can please turn your Bibles to Romans chapter 2.
[00:00:08.500 --> 00:00:13.000]   I'll be reading from verse 2 to verse 4. Okay.
[00:00:13.000 --> 00:00:18.000]   Romans chapter 2 verses 1 through 4. Okay.
[00:00:18.000 --> 00:00:22.000]   So those of you who are gone in the summer, those collegians, we've been
[00:00:22.000 --> 00:00:26.000]   preaching through the, or studying through the Book of Romans.
[00:00:26.000 --> 00:00:30.000]   So we're only at chapter 2, so you didn't miss a whole lot. But again,
[00:00:30.000 --> 00:00:34.000]   Romans chapter 2 verses 1 through 4. Reading the ESV.
[00:00:34.000 --> 00:00:38.000]   "Therefore you have no excuse, O man, every one of you who judges, for in passing judgment
[00:00:38.000 --> 00:00:42.000]   on another you condemn yourself, because you the judge practice the very
[00:00:42.000 --> 00:00:46.000]   same things. We know that the judgment of God rightly falls on those who
[00:00:46.000 --> 00:00:50.000]   practice such things. Do you suppose, O man, you who judge those who practice
[00:00:50.000 --> 00:00:54.000]   such things, and yet do them yourself, that you will escape the judgment of God?
[00:00:54.000 --> 00:00:58.000]   Or do you presume on the riches of His kindness, and forbearance, and
[00:00:58.000 --> 00:01:02.000]   patience, not knowing that God's kindness is meant to lead you to repentance?"
[00:01:02.000 --> 00:01:06.000]   You know I forgot one thing, next Sunday we do have a members meeting. That's what I forgot
[00:01:06.000 --> 00:01:10.000]   to tell you. So we have a members meeting after the Second Service
[00:01:10.000 --> 00:01:14.000]   next week. Okay, I won't read it again, but it's the next Sunday.
[00:01:14.000 --> 00:01:18.000]   And then we have some announcements to make about our church. I mentioned it in the
[00:01:18.000 --> 00:01:22.000]   First Service, but I didn't mention the Second Service last week. We are an escrow with our
[00:01:22.000 --> 00:01:26.000]   new church facility. It is only about five minutes down the street over
[00:01:26.000 --> 00:01:30.000]   Red Hill, past Main, left turn. And so there is plenty of room
[00:01:30.000 --> 00:01:34.000]   for our children. Our main reason for purchasing, obviously
[00:01:34.000 --> 00:01:38.000]   we are starting to outgrow this facility, but our children have already outgrown
[00:01:38.000 --> 00:01:42.000]   the facility. So they are busting at the seams over there. And so we
[00:01:42.000 --> 00:01:46.000]   found a location that we are an escrow. We found
[00:01:46.000 --> 00:01:50.000]   parking. Okay, I'm not going to get into detail. I'll tell you the details
[00:01:50.000 --> 00:01:54.000]   at the members meeting. But just to kind of give you a heads up, that's what's going on. And if everything
[00:01:54.000 --> 00:01:58.000]   goes well, we're hoping at the latest by May
[00:01:58.000 --> 00:02:02.000]   or June next year that we'll be able to move into the new facility. Okay, so
[00:02:02.000 --> 00:02:06.000]   please keep that in your prayer. We'll give you updates as things are
[00:02:06.000 --> 00:02:10.000]   going along. But again, we are an escrow with that building, just to give you a heads up.
[00:02:10.000 --> 00:02:14.000]   Now let's pray. Alright, so Romans chapter 2.
[00:02:14.000 --> 00:02:18.000]   Heavenly Father, we bless you and thank you Father for this morning.
[00:02:18.000 --> 00:02:22.000]   We ask Lord God that your word would truly speak to us.
[00:02:22.000 --> 00:02:26.000]   And everything that you've intended in these words through
[00:02:26.000 --> 00:02:30.000]   your Holy Spirit would open our eyes and cause us
[00:02:30.000 --> 00:02:34.000]   to hear from Christ. That we would deeply fall in love
[00:02:34.000 --> 00:02:38.000]   with Him. That our worship to you may be simply a reasonable response
[00:02:38.000 --> 00:02:42.000]   considering your great mercy. So we ask Lord
[00:02:42.000 --> 00:02:46.000]   God that your Holy Spirit would guide and lead us, convict us, encourage
[00:02:46.000 --> 00:02:50.000]   and refresh us. In Jesus name we pray, Amen.
[00:02:50.000 --> 00:02:54.000]   You know this week I was reading an article from Wall Street Journal
[00:02:54.000 --> 00:02:58.000]   and something really caught my eye. It was interesting, I think related to what we are talking about today.
[00:02:58.000 --> 00:03:02.000]   And instead of butchering it, I'm just going to read what they said.
[00:03:02.000 --> 00:03:06.000]   And please try to pay attention and I hope you grasp
[00:03:06.000 --> 00:03:10.000]   what they are saying. A recent study suggests that acetaminophen,
[00:03:10.000 --> 00:03:14.000]   okay I'm going to butcher that, acetaminophen
[00:03:14.000 --> 00:03:18.000]   found in Tylenol. Did I miss something?
[00:03:18.000 --> 00:03:22.000]   What did I say? Alright.
[00:03:22.000 --> 00:03:26.000]   Oh really? Oh, so you guys know
[00:03:26.000 --> 00:03:30.000]   all this already. Acetaminophen.
[00:03:30.000 --> 00:03:34.000]   How do you guys know all this?
[00:03:34.000 --> 00:03:38.000]   So it's just common. Okay, I'm the fob. Alright. Acetaminophen.
[00:03:38.000 --> 00:03:42.000]   Alright. A recent study suggests that acetaminophen
[00:03:42.000 --> 00:03:46.000]   found in Tylenol, Excedrin and a host of other medications
[00:03:46.000 --> 00:03:50.000]   is an all purpose damper, stifling range of strong feelings.
[00:03:50.000 --> 00:03:54.000]   Throbbing pain, the sting of rejection, paralyzing, indecision
[00:03:54.000 --> 00:03:58.000]   along with euphoria and delight all appear to be taken down a notch
[00:03:58.000 --> 00:04:02.000]   by the drug. Did you catch that? They said that the
[00:04:02.000 --> 00:04:06.000]   new study found that not only does it help in blocking certain
[00:04:06.000 --> 00:04:10.000]   kind of pain, but it also blocks certain kinds of euphoria and delight.
[00:04:10.000 --> 00:04:14.000]   And I was reading this, I thought this was
[00:04:14.000 --> 00:04:18.000]   kind of interesting because that kind of
[00:04:18.000 --> 00:04:22.000]   describes our generation where everything, every decision that we make
[00:04:22.000 --> 00:04:26.000]   a lot of times is to kind of avoid any kind of discomfort or pain and as a result
[00:04:26.000 --> 00:04:30.000]   of that we don't experience the joy that comes with life either. Everything has just kind of
[00:04:30.000 --> 00:04:34.000]   become mundane. That's true in life, but especially when we're talking
[00:04:34.000 --> 00:04:38.000]   about the Gospel of Jesus Christ. If we take
[00:04:38.000 --> 00:04:42.000]   the bite out of the Gospel, where we make it
[00:04:42.000 --> 00:04:46.000]   palatable to as many people as possible, then you may have more and more people
[00:04:46.000 --> 00:04:50.000]   coming through the door, but at the end the punch of the Gospel, the power of the Gospel is taken
[00:04:50.000 --> 00:04:54.000]   out. A Gospel that is preached
[00:04:54.000 --> 00:04:58.000]   that is more concerned about offending the offender than properly
[00:04:58.000 --> 00:05:02.000]   representing the one who has been offended, our Holy God
[00:05:02.000 --> 00:05:06.000]   is not the Gospel of the Bible. And it is not the Gospel
[00:05:06.000 --> 00:05:10.000]   that has the power to deliver us from our sins.
[00:05:10.000 --> 00:05:14.000]   A Gospel that only soothes, but it doesn't convict or cut,
[00:05:14.000 --> 00:05:18.000]   neither brings true joy or victory.
[00:05:18.000 --> 00:05:22.000]   You know one of the greatest revivals that we see in the Old Testament,
[00:05:22.000 --> 00:05:26.000]   at least I personally perceive in the Old Testament,
[00:05:26.000 --> 00:05:30.000]   is not with the Israelites, it's with the Ninevites. Again,
[00:05:30.000 --> 00:05:34.000]   we can argue as to what was the greatest revival, but remember the story of Jonah.
[00:05:34.000 --> 00:05:38.000]   Jonah is a reluctant prophet of God,
