
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:05.720]   Studying today.
[00:00:05.720 --> 00:00:07.840]   Father God, we thank you for your grace.
[00:00:07.840 --> 00:00:10.040]   Lord, we thank you for your truth.
[00:00:10.040 --> 00:00:13.700]   I pray, Lord, that truly your spirit would help
[00:00:13.700 --> 00:00:16.560]   in preparing our hearts and the soil of our heart
[00:00:16.560 --> 00:00:18.800]   that we might be able to receive.
[00:00:18.800 --> 00:00:20.740]   God, I pray that ultimately our church
[00:00:20.740 --> 00:00:24.400]   would continue to be transformed by your truth
[00:00:24.400 --> 00:00:26.600]   into the closer image of your Son,
[00:00:26.600 --> 00:00:28.480]   and Lord, into further obedience.
[00:00:28.480 --> 00:00:30.640]   Father, we also pray for Pastor Peter.
[00:00:30.640 --> 00:00:32.440]   God, would you continue to be with him,
[00:00:32.440 --> 00:00:34.720]   using him as a mouthpiece,
[00:00:34.720 --> 00:00:37.080]   as one who's going to speak the word clearly
[00:00:37.080 --> 00:00:39.120]   and powerfully and with great passion,
[00:00:39.120 --> 00:00:40.920]   and that the congregation at Lighthouse
[00:00:40.920 --> 00:00:42.400]   would be challenged.
[00:00:42.400 --> 00:00:44.680]   God, that they would continue to be transformed,
[00:00:44.680 --> 00:00:46.080]   and Lord, that all the more the church
[00:00:46.080 --> 00:00:47.400]   would glorify your name.
[00:00:47.400 --> 00:00:50.240]   Let's say in Christ's name we pray, amen.
[00:00:50.240 --> 00:00:51.080]   Okay.
[00:00:51.080 --> 00:00:56.860]   If you look at the title of the sermon,
[00:00:56.860 --> 00:00:58.200]   it's a servant's perspective,
[00:00:58.200 --> 00:01:00.240]   and we're gonna be talking really
[00:01:00.240 --> 00:01:05.240]   about a frame of thinking, a way of seeing things.
[00:01:05.240 --> 00:01:08.160]   And I don't know if you've heard this one already,
[00:01:08.160 --> 00:01:11.160]   short little anecdote here, about a college girl.
[00:01:11.160 --> 00:01:13.160]   She emailed her parents and said,
[00:01:13.160 --> 00:01:16.320]   "Mom and Dad, I've got news.
[00:01:16.320 --> 00:01:17.480]   "The apartment that I was living at,
[00:01:17.480 --> 00:01:20.360]   "it caught on fire about three months ago.
[00:01:20.360 --> 00:01:23.000]   "I didn't tell you just 'cause fire was my fault."
[00:01:23.000 --> 00:01:26.280]   But then thankfully, this young dashing boy
[00:01:26.280 --> 00:01:29.480]   who lives next to me came and saved me.
[00:01:29.480 --> 00:01:31.600]   But I decided to live with him.
[00:01:31.600 --> 00:01:33.280]   So I'm emailing you to announce to you
[00:01:33.280 --> 00:01:36.220]   that on December 15th we're gonna get married.
[00:01:36.220 --> 00:01:38.660]   And then, congratulations are in order
[00:01:38.660 --> 00:01:41.840]   because you guys are gonna be grandparents.
[00:01:41.840 --> 00:01:43.080]   It just gets worse and worse.
[00:01:43.080 --> 00:01:44.280]   (laughs)
[00:01:44.280 --> 00:01:45.760]   But then she says, "The real reason why
[00:01:45.760 --> 00:01:48.600]   "I actually emailed you and contacted you now
[00:01:48.600 --> 00:01:50.720]   "is to tell you all this stuff, but what's more,
[00:01:50.720 --> 00:01:52.680]   "is it okay if we move in after we get married?"
[00:01:52.680 --> 00:01:53.880]   (laughs)
[00:01:53.880 --> 00:01:56.280]   And you can imagine what the parents were thinking
[00:01:56.280 --> 00:01:57.600]   as they read this email.
[00:01:57.600 --> 00:01:59.840]   She writes off, "Love, April."
[00:01:59.840 --> 00:02:02.080]   But then on the very bottom, she like scrolls down more
[00:02:02.080 --> 00:02:05.480]   and then writes, "P.S., obviously none of this stuff is true.
[00:02:05.480 --> 00:02:07.840]   "There was no fire, there was no young dashing boy,
[00:02:07.840 --> 00:02:09.300]   "I'm not even dating.
[00:02:09.300 --> 00:02:11.340]   "I'm not pregnant, and of course I'm not getting married.
[00:02:11.340 --> 00:02:14.160]   "But I got an F in bio,
[00:02:14.160 --> 00:02:16.600]   "and I'm just putting things in perspective.
[00:02:16.600 --> 00:02:18.680]   "Like how bad things could potentially be."
[00:02:18.680 --> 00:02:20.440]   (laughs)
[00:02:20.440 --> 00:02:22.440]   Thought that was hilarious, it's really good.
[00:02:22.440 --> 00:02:23.680]   (laughs)
[00:02:23.680 --> 00:02:25.920]   Well, the whole idea is there's perspective
[00:02:25.920 --> 00:02:28.080]   that we all have pertaining to certain matters.
[00:02:28.080 --> 00:02:30.560]   Sometimes, if we have a perspective
[00:02:30.560 --> 00:02:32.920]   that's too narrowly focused on one thing,
[00:02:32.920 --> 00:02:35.400]   then that one thing becomes all.
[00:02:35.400 --> 00:02:38.120]   That one thing becomes dominating, right?
[00:02:38.120 --> 00:02:39.700]   But then sometimes if we have a perspective
[00:02:39.700 --> 00:02:41.280]   that's too broad and spread out,
[00:02:41.280 --> 00:02:43.200]   then nothing's truly important.
[00:02:43.200 --> 00:02:45.560]   Nothing really stands out.
[00:02:45.560 --> 00:02:48.000]   Well, the reason why I'm talking about perspective
[00:02:48.000 --> 00:02:50.160]   is because I'm reading through the Book of Acts,
[00:02:50.160 --> 00:02:51.560]   and today we're gonna walk through
[00:02:51.560 --> 00:02:53.740]   chapters one through five of Book of Acts.
[00:02:53.740 --> 00:02:56.160]   And as I see the early church,
[00:02:56.160 --> 00:02:58.200]   and particularly the disciples,
[00:02:58.200 --> 00:03:00.840]   and from there even more particularly,
[00:03:00.840 --> 00:03:04.720]   Apostle Peter, I see a change in perspective.
[00:03:04.720 --> 00:03:07.600]   I see a change in the way that they view the world,
[00:03:07.600 --> 00:03:08.740]   the way that they view God,
[00:03:08.740 --> 00:03:09.980]   the way that they view the church,
[00:03:09.980 --> 00:03:12.520]   the way that they view themselves.
[00:03:12.520 --> 00:03:15.280]   And they're constantly having a change of perspective.
[00:03:15.280 --> 00:03:16.880]   And I believe it's helpful for us
