
[00:00:00.000 --> 00:00:05.020]   [ Silence ]
[00:00:05.020 --> 00:00:07.620]   >> We went over, or the chapters.
[00:00:07.620 --> 00:00:10.860]   So if you look at it, there are four chapters every single day.
[00:00:10.860 --> 00:00:13.620]   Okay? So that's a lot of reading.
[00:00:13.620 --> 00:00:18.380]   So the assignment for every single day,
[00:00:18.380 --> 00:00:20.860]   and I hope you guys will take advantage.
[00:00:20.860 --> 00:00:23.700]   I know it's a lot of chapters.
[00:00:23.700 --> 00:00:27.400]   It's four chapters, but I know just talking to a few of you
[00:00:27.640 --> 00:00:30.520]   that some of you guys are already a little bit lost.
[00:00:30.520 --> 00:00:34.420]   Right? So we want to review so that when we pick back
[00:00:34.420 --> 00:00:37.400]   up next time in chapter, I think, 21.
[00:00:37.400 --> 00:00:40.020]   We're going up to chapter 19, but I'm going to have you guys go
[00:00:40.020 --> 00:00:42.680]   up to chapter 20, because 20 is kind of connected to 19.
[00:00:42.680 --> 00:00:44.520]   Then when we get back together, we're going to start
[00:00:44.520 --> 00:00:45.400]   on chapter 21.
[00:00:45.400 --> 00:00:50.460]   Okay? So especially those of you guys who kind of jumped
[00:00:50.460 --> 00:00:53.080]   in in the middle, and those of you guys who feel like, man,
[00:00:53.080 --> 00:00:55.600]   we're like, one week we're talking about the end times,
[00:00:55.600 --> 00:00:58.060]   next week we're talking about Assyria, and you know,
[00:00:58.060 --> 00:00:59.460]   you kind of want to catch up.
[00:00:59.460 --> 00:01:04.700]   Again, I want to make it clear to you for your --
[00:01:04.700 --> 00:01:10.320]   just for clarity, if you are lost as far as a theme,
[00:01:10.320 --> 00:01:12.220]   you know, what theme is being carried out,
[00:01:12.220 --> 00:01:14.980]   it's okay to be lost.
[00:01:14.980 --> 00:01:19.480]   Okay? Because Isaiah is not written like, oh, chapter 1,
[00:01:19.480 --> 00:01:22.520]   2, 3 is about this, and then it builds to the next one.
[00:01:22.520 --> 00:01:24.640]   The subjects are sometimes completely different.
[00:01:24.640 --> 00:01:27.820]   In fact, the time -- even the time that Isaiah is talking
[00:01:27.820 --> 00:01:30.580]   about will sometimes jump to the end times,
[00:01:30.580 --> 00:01:32.280]   and then it'll come back, talks about Assyria,
[00:01:32.280 --> 00:01:34.900]   and then it goes to Babylonia, and then it comes back to Assyria.
[00:01:34.900 --> 00:01:37.460]   So it's not a consecutive thing.
[00:01:37.460 --> 00:01:40.420]   So if you -- if we're studying up to chapter 20,
[00:01:40.420 --> 00:01:42.680]   it's like, you know what, I kind of lost, you know,
[00:01:42.680 --> 00:01:44.340]   it's not like math or chemistry
[00:01:44.340 --> 00:01:47.340]   where you didn't understand the first three chapters,
[00:01:47.340 --> 00:01:48.420]   I don't know where this is going.
[00:01:48.420 --> 00:01:51.120]   So every week that we're studying, you kind of have
[00:01:51.120 --> 00:01:52.200]   to study it independently.
[00:01:52.700 --> 00:01:55.120]   Okay? There's no clear connection
[00:01:55.120 --> 00:01:57.400]   to what he said before and what he said afterwards.
[00:01:57.400 --> 00:02:00.900]   When you look at the big picture, the 66 chapters,
[00:02:00.900 --> 00:02:04.280]   there's some thematic things that kind of hold together,
[00:02:04.280 --> 00:02:06.800]   but they're not done in a systematic way where it's
[00:02:06.800 --> 00:02:09.100]   like chapter 1, you know, is the judgment,
[00:02:09.100 --> 00:02:10.920]   chapter 2 is this, chapter 3 is that.
[00:02:10.920 --> 00:02:15.660]   So if you feel like, you know, we're in chapter 19,
[00:02:15.660 --> 00:02:17.740]   and we talked about this, and then three days,
[00:02:17.740 --> 00:02:19.220]   three weeks ago we talked about that,
[00:02:19.220 --> 00:02:22.120]   and I don't know how they'd all connect together, don't worry.
[00:02:22.120 --> 00:02:23.920]   They're not, they don't all connect together.
[00:02:23.920 --> 00:02:25.340]   Some connect, some don't connect.
[00:02:25.340 --> 00:02:27.600]   So you don't have to, when you're studying Isaiah,
[00:02:27.600 --> 00:02:28.540]   you don't have to think that way.
[00:02:28.540 --> 00:02:30.920]   You don't have to think like, well, you know,
[00:02:30.920 --> 00:02:33.440]   Thessalonians chapter 1, and then chapter 2,
[00:02:33.440 --> 00:02:36.520]   chapter 3 builds on this, and this is a theme that kind
[00:02:36.520 --> 00:02:37.460]   of unites it all together.
[00:02:37.460 --> 00:02:38.880]   That's not how Isaiah is written.
[00:02:38.880 --> 00:02:44.900]   Okay? Isaiah is, the large theme is about salvation of mankind
[00:02:44.900 --> 00:02:48.480]   and the coming of the Messiah as a solution
[00:02:48.480 --> 00:02:49.600]   to the problem of mankind.
[00:02:50.020 --> 00:02:52.720]   But how that's presented is very choppy.
[00:02:52.720 --> 00:02:57.940]   Okay? So what I want you to do in preparation
[00:02:57.940 --> 00:03:01.840]   for next week's overview study is just to go back and read it.
[00:03:01.840 --> 00:03:04.560]   So every day you have four chapters.
[00:03:04.560 --> 00:03:07.100]   Now when I ask you, on top of it you'll see
[00:03:07.100 --> 00:03:08.680]   that it says outline.
[00:03:08.680 --> 00:03:13.100]   Okay? I'm not asking you to outline verse 1 and 2 is this,
[00:03:13.100 --> 00:03:15.740]   3 and 4, that'll take you, you know, too long.
[00:03:15.740 --> 00:03:17.540]   What I'm asking you to do is just read it,
[00:03:17.780 --> 00:03:20.100]   and then you're going to see large sections.
[00:03:20.100 --> 00:03:23.380]   Oh, he's talking about Assyria in verses 1 through 18.
[00:03:23.380 --> 00:03:27.320]   Right? I just want you to see the large outline so
[00:03:27.320 --> 00:03:29.800]   that in each chapter there should be no more than about 2
[00:03:29.800 --> 00:03:31.160]   or 3 outlines in each chapter.
[00:03:31.160 --> 00:03:33.460]   So you'll just read it.
[00:03:33.460 --> 00:03:36.880]   So if you can't do it all in one sitting, maybe do, you know,
[00:03:36.880 --> 00:03:39.200]   one or two chapters in the morning, and then come back
[00:03:39.200 --> 00:03:42.100]   at night and do one or two chapters at night.
[00:03:42.100 --> 00:03:45.140]   So that way, by the time you come here next week,
[00:03:45.440 --> 00:03:48.040]   you'll kind of have some, a general flow in your head
[00:03:48.040 --> 00:03:50.920]   as to the first 20 chapters.
[00:03:50.920 --> 00:03:53.460]   Okay? So that when we review it, we're just going
[00:03:53.460 --> 00:03:55.260]   to reinforce what you've already done.
[00:03:55.260 --> 00:03:56.200]   All right?
[00:03:56.200 --> 00:03:58.700]   So I really want you guys to take advantage of the fact
[00:03:58.700 --> 00:04:01.020]   that we're kind of going back and reviewing.
[00:04:01.020 --> 00:04:03.660]   So especially those of you who jumped in the middle or those
[00:04:03.660 --> 00:04:05.900]   of you that are coming, you know, every other week,
[00:04:05.900 --> 00:04:09.940]   it'll kind of help you to see, to see some kind of, you know,
[00:04:09.940 --> 00:04:12.180]   that these are the subjects and these are the things
[00:04:12.180 --> 00:04:13.080]   that we've been talking about.
[00:04:13.080 --> 00:04:15.240]   Okay? The large picture
[00:04:15.240 --> 00:04:19.020]   of Isaiah, the first section goes all the way to chapter 39.
[00:04:19.020 --> 00:04:20.500]   It's about the judgment of God.
[00:04:20.500 --> 00:04:23.680]   Right? And then, remember we talked about it last week
[00:04:23.680 --> 00:04:25.240]   that, that you know how he,
[00:04:25.240 --> 00:04:29.420]   he's specifically mentioning certain nations, like Damascus,
[00:04:29.420 --> 00:04:31.900]   Assyria, Philistia, that is going to continue
[00:04:31.900 --> 00:04:32.960]   up to chapter 23.
[00:04:32.960 --> 00:04:36.060]   But the larger theme of judgment, because of sin,
[00:04:36.060 --> 00:04:38.360]   is going to go all the way to verse, chapter 39,
[00:04:38.360 --> 00:04:39.300]   generally speaking.
[00:04:39.300 --> 00:04:41.400]   And then starting from chapter 40, you're going
[00:04:41.400 --> 00:04:45.340]   to see a slight, you know, change where there's,
[00:04:45.340 --> 00:04:47.660]   there was a lot more hope.
[00:04:47.660 --> 00:04:50.540]   Right? First 39 chapters is a lot of,
[00:04:50.540 --> 00:04:52.320]   you're being judged for this reason.
[00:04:52.320 --> 00:04:53.740]   This is how judgment is going to come.
[00:04:53.740 --> 00:04:55.120]   This is what judgment is going to look like.
[00:04:55.120 --> 00:04:56.840]   This is what it's going to look like after you're judged.
[00:04:56.840 --> 00:04:58.480]   This is why you're being judged.
[00:04:58.480 --> 00:04:59.440]   That's 39 chapters.
[00:04:59.440 --> 00:05:02.920]   Starting from chapter 40 is there's a lot more emphasis
[00:05:02.920 --> 00:05:03.860]   on the solution.
[00:05:03.860 --> 00:05:06.220]   Right? All the way to chapter 66.
[00:05:06.220 --> 00:05:09.220]   So if you think of any particular outline,
[00:05:09.220 --> 00:05:11.340]   that's the outline that I want you guys to have in your head.
[00:05:12.140 --> 00:05:13.560]   First section, judgment.
[00:05:13.560 --> 00:05:14.700]   Second section, hope.
[00:05:14.700 --> 00:05:18.540]   Okay? And then within the first section, there's,
[00:05:18.540 --> 00:05:20.020]   he goes into detail.
[00:05:20.020 --> 00:05:21.980]   Well, this judgment is to the nation of Israel.
[00:05:21.980 --> 00:05:23.680]   This judgment is the nation of Syria.
[00:05:23.680 --> 00:05:26.640]   This judgment is for, you know, putting confidence in man.
[00:05:26.640 --> 00:05:28.880]   This judgment is for idolatry.
[00:05:28.880 --> 00:05:31.700]   Right? This judgment is for false religion.
[00:05:31.700 --> 00:05:33.940]   Right? And so he goes into detail,
[00:05:33.940 --> 00:05:35.300]   all the thematically that way.
[00:05:35.300 --> 00:05:38.520]   But under the larger, chapter 4, connect to chapter 10,
[00:05:38.520 --> 00:05:41.280]   you know, what does chapter 13 have to do with chapter 19?
[00:05:41.280 --> 00:05:42.260]   You don't have to worry about that.
[00:05:42.260 --> 00:05:44.860]   Okay? Isaiah, you don't study it that way.
[00:05:44.860 --> 00:05:46.600]   When you New Testament, you have to study it that way.
[00:05:46.600 --> 00:05:49.780]   Okay? And then the memory verses too.
[00:05:49.780 --> 00:05:52.860]   I'm, I didn't add any memory verses.
[00:05:52.860 --> 00:05:54.980]   And I know that most of you probably have been trying
[00:05:54.980 --> 00:05:56.140]   to do it cumulatively.
[00:05:56.140 --> 00:05:59.260]   So I'm just asking you guys to review the verses.
[00:05:59.260 --> 00:06:02.160]   Okay? So don't wait until the last day and then come
[00:06:02.160 --> 00:06:03.660]   and then review all of it all at once.
[00:06:03.660 --> 00:06:05.500]   So try this week to go back
[00:06:05.500 --> 00:06:07.500]   and just review a few verses every week
[00:06:07.500 --> 00:06:09.140]   so that when you come back.
[00:06:09.180 --> 00:06:11.120]   I know you guys are, you know, you guys,
[00:06:11.120 --> 00:06:14.160]   all of you have been very diligent in memorizing.
[00:06:14.160 --> 00:06:15.580]   I know that for a fact.
[00:06:15.580 --> 00:06:18.500]   Right? So I'm very encouraged to see all of it.
[00:06:18.500 --> 00:06:21.120]   But next week, just kind of solidify it.
[00:06:21.120 --> 00:06:21.620]   All right?
