
[00:00:00.000 --> 00:00:07.000]   Chapter 46 and 47
[00:00:07.000 --> 00:00:12.000]   Alright, so we're looking at Chapter 46 and 47 today.
[00:00:12.000 --> 00:00:15.000]   We're actually just starting to get into the good stuff.
[00:00:15.000 --> 00:00:24.000]   And then the next session is the heavy messianic, you know, full-on...
[00:00:24.000 --> 00:00:28.000]   You know, I kind of like the emphasis starting from the... for the next session.
[00:00:28.000 --> 00:00:32.000]   Starting from, I think, Chapter 48, 49, okay?
[00:00:32.000 --> 00:00:36.000]   But I'm sure you've already noticed that that's kind of like where he's going.
[00:00:36.000 --> 00:00:42.000]   So let me pray for us and then we'll jump into the text.
[00:00:42.000 --> 00:00:45.000]   Heavenly Father, we thank you for today.
[00:00:45.000 --> 00:00:47.000]   We thank you for all the mercies.
[00:00:47.000 --> 00:00:53.000]   We thank you for all the blessings that we have to be able to be in a country where we have the freedom.
[00:00:53.000 --> 00:00:59.000]   That we don't have to worry about persecution, that we may be able to live peaceful and quiet lives.
[00:00:59.000 --> 00:01:04.000]   But in the midst of all the blessings that you've given us, that we would not become complacent.
[00:01:04.000 --> 00:01:10.000]   That there would be a constant reminder, Lord God, if not physically, spiritually.
[00:01:10.000 --> 00:01:14.000]   Be able to understand, Lord, that we are in the midst of spiritual battle.
[00:01:14.000 --> 00:01:19.000]   That you have a great work, Lord, that you are always doing and always have been doing.
[00:01:19.000 --> 00:01:23.000]   That we may participate in this work, that we may be able to know your heart.
[00:01:23.000 --> 00:01:29.000]   And as you pursue sinners, that you would make us people, Lord God, who join you in your work.
[00:01:29.000 --> 00:01:33.000]   So we ask for your blessing. We ask, Lord God, that you give us deeper insight into your word.
[00:01:33.000 --> 00:01:36.000]   In Jesus' name we pray. Amen.
[00:01:36.000 --> 00:01:40.000]   All right, so we're in Isaiah.
[00:01:40.000 --> 00:01:42.000]   All right, so the first question that was asked was,
[00:01:42.000 --> 00:01:49.000]   Bel and Nebo were Babylonian names and Babylonian idols.
[00:01:49.000 --> 00:01:54.000]   What are the two people that you thought of, either from memory or maybe you did some research,
[00:01:54.000 --> 00:02:00.000]   that has the name Bello and Nebo to begin with?
[00:02:00.000 --> 00:02:03.000]   I think the second one is pretty obvious.
[00:02:03.000 --> 00:02:05.000]   Belshizer and Nebuchadnezzar.
[00:02:05.000 --> 00:02:07.000]   And obviously they're kind of connected.
[00:02:07.000 --> 00:02:10.000]   So when the passage begins in verse 46, it says,
[00:02:10.000 --> 00:02:15.000]   "Bel bows down, Nebo stoops. Their idols are on beasts and livestock."
[00:02:15.000 --> 00:02:20.000]   So it is obviously in reference to the Babylonians and the idols that they worshipped.
[00:02:20.000 --> 00:02:25.000]   Okay? All right.
[00:02:25.000 --> 00:02:29.000]   What are the first three verses a picture of?
[00:02:29.000 --> 00:02:42.000]   What historical activity is pictured in the first three verses of Isaiah 46?
[00:02:42.000 --> 00:02:45.000]   Anybody?
[00:02:45.000 --> 00:02:57.000]   What happens to Israel that's related to Babylon?
[00:02:57.000 --> 00:02:59.000]   Anybody?
[00:02:59.000 --> 00:03:04.000]   What do the Babylonians do when they take Israel and they conquer Israel?
[00:03:04.000 --> 00:03:11.000]   What do they do to the nation of Israel?
[00:03:11.000 --> 00:03:14.000]   Yes, they sack this temple.
[00:03:14.000 --> 00:03:29.000]   But what particular event do you think this is in reference to, first seven verses?
[00:03:29.000 --> 00:03:33.000]   It's like on the tip of your tongue. I can see it.
[00:03:33.000 --> 00:03:37.000]   All I have to do is push you and it's going to come out. I can see it.
