
[00:00:00.000 --> 00:00:09.560]   Through this passage that you would awaken a greater longing and desire for you
[00:00:09.560 --> 00:00:15.600]   We pray that our hearts and our minds Lord God may be fixated on the things that honor and glorify you
[00:00:15.600 --> 00:00:20.520]   We pray for your Holy Spirit's guidance on leading Jesus name. We pray. Amen
[00:00:20.520 --> 00:00:23.560]   Okay, just to kind of give you a quick brief cap
[00:00:23.560 --> 00:00:27.780]   I think most of you guys already know that this is gonna be a shortened session
[00:00:27.780 --> 00:00:30.040]   And if you didn't get an email
[00:00:30.040 --> 00:00:33.800]   Hopefully, you know just to give me a heads up
[00:00:33.800 --> 00:00:39.600]   We're gonna be finishing everything by 825 and anyone who is not a member in the church
[00:00:39.600 --> 00:00:46.400]   We're gonna have to ask you guys to not be in the room because we're having a members meeting at 830 830
[00:00:46.400 --> 00:00:49.640]   At 830 we have snacks in the back
[00:00:49.640 --> 00:00:54.600]   You guys are in the middle as you guys are having small group discussion more than welcome to go and grab that stuff
[00:00:54.600 --> 00:00:56.600]   But there's not going to be a separate
[00:00:57.200 --> 00:00:59.480]   Snack time unless it's gonna be way at the end
[00:00:59.480 --> 00:01:07.080]   Okay, so I'm gonna cut my teaching time a little bit shorter or a lot shorter than normal so that we can get to that
[00:01:07.080 --> 00:01:09.080]   So again, just to give you a heads up
[00:01:09.080 --> 00:01:14.960]   Anybody who's not a member even if you're in the process of going through BCC right now
[00:01:14.960 --> 00:01:16.960]   And if you have not been officially announced
[00:01:16.960 --> 00:01:23.880]   We ask that you guys are not in the room by 830. So we don't have to say hey, please exit the premises
[00:01:24.000 --> 00:01:29.540]   So if you see 830, please do us a favor and if you know that you cannot be here, please
[00:01:29.540 --> 00:01:36.640]   There's certain things that we need to talk about we're gonna try to start us as as close to 830 as possible
[00:01:36.640 --> 00:01:41.420]   So again at 830 without any announcement if we don't and again your small small group leaders
[00:01:41.420 --> 00:01:47.500]   No matter how intense your small group gets please try to finish by a time shoot for 825
[00:01:47.500 --> 00:01:53.060]   So that if you can't finish by 25 at 830 at the at the maximum that that's when it's gonna be done
[00:01:53.060 --> 00:01:56.940]   So please control your small group so that that can happen on time. Okay?
[00:01:56.940 --> 00:02:01.860]   All right. Let's look at the text. We're looking at Isaiah chapter 56 and 57
[00:02:01.860 --> 00:02:13.100]   So again just to give you context chapter 56 is the continuation of 55
[00:02:13.100 --> 00:02:20.060]   Where the Lord calls his people to repentance to come and draw and to to gain insight and life from him
[00:02:21.240 --> 00:02:23.840]   And so chapter 56 is a follow-up from that
[00:02:23.840 --> 00:02:28.900]   So what does it look like to come to him and so he begins by calling his people?
[00:02:28.900 --> 00:02:31.940]   in redemption
[00:02:31.940 --> 00:02:33.940]   to keep justice and
[00:02:33.940 --> 00:02:35.880]   righteousness
[00:02:35.880 --> 00:02:37.760]   So some of you guys remember a few weeks ago
[00:02:37.760 --> 00:02:43.920]   I talked about that on Sunday the word for justice is to make something that was wrong to make it right
[00:02:43.920 --> 00:02:49.800]   Righteousness is to do what is right. So the root word at least in the Greek is the same, right?
[00:02:50.140 --> 00:02:52.940]   To make something right that was wrong to do something, right?
[00:02:52.940 --> 00:02:55.660]   That was wrong
[00:02:55.660 --> 00:03:03.560]   So basically what God's calling them to do is now that redemption has come to draw near to him and make what was wrong, right?
[00:03:03.560 --> 00:03:16.140]   And what is the scope of his invitation even though he begins with a nation of Israel his intent always has been the world
[00:03:17.260 --> 00:03:20.380]   Genesis begins with the world and then Genesis chapter 12
[00:03:20.380 --> 00:03:24.140]   It begins to focus on how he's going to reach the world to the nation of Israel
[00:03:24.140 --> 00:03:31.560]   But now that he's prophesying about the redemption of redemption. He's again opening up the scope to mankind, right?
[00:03:31.560 --> 00:03:35.980]   So he begins by saying it's going to foreigners and verses 3 to 8
[00:03:35.980 --> 00:03:40.040]   Not just the Israelites, but the foreigners are going to be called to this
[00:03:40.040 --> 00:03:43.260]   Gentiles and anyone who is considered an outcast
[00:03:45.100 --> 00:03:51.440]   And again the theme of the redemption is for those who are who are in need of redemption those who are in need of grace
[00:03:51.440 --> 00:03:55.360]   Who normally did not have access to God God's gonna open the door wide
[00:03:55.360 --> 00:04:00.020]   It specifically mentions that they're in the kingdom. There's going to be eunuchs
[00:04:00.020 --> 00:04:04.400]   Again to a Jew
[00:04:04.400 --> 00:04:06.400]   this means quite a bit because
[00:04:06.400 --> 00:04:12.580]   Jews knew that it was prohibited for eunuchs to have access to the temple
[00:04:13.000 --> 00:04:16.560]   So it was prohibited that that passes not here, but Leviticus chapter 21
[00:04:16.560 --> 00:04:23.660]   18 through 20 specifically spells out that the eunuchs were not allowed because they were considered unclean
[00:04:23.660 --> 00:04:31.260]   Deuteronomy 23 1 says the same thing Acts chapter 8 anybody know what is contained in Acts chapters 8 26
[00:04:31.260 --> 00:04:35.500]   What happens in Acts 8 26
[00:04:41.540 --> 00:04:43.540]   What happened
