
[00:00:00.000 --> 00:00:02.920]   (crowd chattering)
[00:00:02.920 --> 00:00:14.640]   All right.
[00:00:14.640 --> 00:00:18.840]   Again, we apologize if the tables got moved around
[00:00:18.840 --> 00:00:22.800]   a little bit, it's because we had lunch
[00:00:22.800 --> 00:00:25.160]   and then we set it up, and I think this is better anyway.
[00:00:25.160 --> 00:00:27.000]   It gives you a little bit more space
[00:00:27.000 --> 00:00:29.880]   so that you're not sitting back to back with somebody.
[00:00:29.880 --> 00:00:31.560]   So instead of having seven tables,
[00:00:31.560 --> 00:00:32.640]   there's six tables per row,
[00:00:32.640 --> 00:00:34.800]   and that's why we have extra tables in the back.
[00:00:34.800 --> 00:00:38.680]   So most likely, I asked you to look at the table
[00:00:38.680 --> 00:00:41.480]   that you're in now and try to stay within that table.
[00:00:41.480 --> 00:00:47.160]   Last week wasn't the final one, this is it, okay?
[00:00:47.160 --> 00:00:49.120]   So whatever table you are in now,
[00:00:49.120 --> 00:00:52.240]   please stick to that table, okay?
[00:00:52.240 --> 00:00:54.440]   So that next week when we come around,
[00:00:54.440 --> 00:00:55.360]   you don't have to come and look,
[00:00:55.360 --> 00:00:58.160]   you can just come straight and sit down, okay?
[00:00:58.160 --> 00:01:01.560]   All right, today we're gonna be talking about,
[00:01:01.560 --> 00:01:03.040]   again, the third part,
[00:01:03.040 --> 00:01:05.400]   when we're talking about God-centered worship,
[00:01:05.400 --> 00:01:07.640]   and we talked about the holiness of God.
[00:01:07.640 --> 00:01:11.320]   So first week, we talked about God's nature of holiness
[00:01:11.320 --> 00:01:14.200]   and the importance of that as a foundation
[00:01:14.200 --> 00:01:16.160]   for understanding everything that we know.
[00:01:16.160 --> 00:01:17.920]   Pastor Mark talked about Leviticus
[00:01:17.920 --> 00:01:21.200]   and how in reflection of his holiness,
[00:01:21.200 --> 00:01:23.080]   how that affects our view of ourselves
[00:01:23.080 --> 00:01:24.200]   and where we stand before God.
[00:01:24.200 --> 00:01:26.800]   So he went through the book of Leviticus
[00:01:26.800 --> 00:01:30.440]   in highlighting God's teaching
[00:01:30.440 --> 00:01:33.880]   through the tabernacle, through the sacrifices,
[00:01:33.880 --> 00:01:37.240]   and how that reveals where we stand before him.
[00:01:37.240 --> 00:01:38.860]   So we talked about that last week.
[00:01:38.860 --> 00:01:40.200]   Today's session, we're gonna be talking about
[00:01:40.200 --> 00:01:42.840]   the ramification of that in the life,
[00:01:42.840 --> 00:01:45.820]   individual life and in the corporate life.
[00:01:45.820 --> 00:01:47.800]   Because we're, again, gathered together as a church,
[00:01:47.800 --> 00:01:50.640]   we're gonna be talking about our church vision,
[00:01:50.640 --> 00:01:53.480]   why we practice what we do.
[00:01:53.480 --> 00:01:55.180]   So the part of PCC is not simply
[00:01:55.180 --> 00:01:57.140]   to go over fundamental doctrine,
[00:01:57.140 --> 00:01:58.920]   but also to kind of bring the church
[00:01:58.920 --> 00:02:01.640]   on the same page as to the philosophies.
[00:02:01.640 --> 00:02:05.240]   And again, if you've been at our church for a long time,
[00:02:05.240 --> 00:02:07.440]   again, all of this stuff is gonna be reviewed to you,
[00:02:07.440 --> 00:02:11.240]   but for those of you who are maybe in the last,
[00:02:11.240 --> 00:02:13.720]   maybe five or six years that's been here,
[00:02:13.720 --> 00:02:15.320]   you probably heard it here and there,
[00:02:15.320 --> 00:02:17.580]   but maybe not collectively.
[00:02:17.580 --> 00:02:20.480]   But that's the point of what we're gonna be doing today.
[00:02:20.480 --> 00:02:23.000]   The ramification, how a right view of God
[00:02:23.000 --> 00:02:26.000]   affects the way we approach everything that we do at church.
[00:02:26.000 --> 00:02:28.480]   All right.
[00:02:28.480 --> 00:02:31.800]   Before we get to that.
[00:02:31.800 --> 00:02:33.960]   So today, if you look at your handouts,
[00:02:33.960 --> 00:02:36.200]   there's a, the way I'm gonna do it is,
[00:02:36.200 --> 00:02:37.440]   you're just gonna have to fill out,
[00:02:37.440 --> 00:02:38.640]   so the red parts are the parts
[00:02:38.640 --> 00:02:39.540]   that you're supposed to fill out.
[00:02:39.540 --> 00:02:43.020]   So if you don't have a handout sheet with those open,
[00:02:43.020 --> 00:02:44.160]   it's still in the back.
[00:02:44.160 --> 00:02:46.080]   So the first thing is,
[00:02:46.080 --> 00:02:49.680]   our worship must be God-centered and not man-centered.
[00:02:49.680 --> 00:02:51.720]   So before we even get to that,
[00:02:51.720 --> 00:02:53.040]   as an introduction,
[00:02:53.040 --> 00:02:58.080]   I would say, if there's one particular doctrine
[00:02:58.080 --> 00:03:00.480]   that has affected the way I read scripture,
[00:03:00.480 --> 00:03:03.440]   the way I view church worship, evangelism,
[00:03:03.440 --> 00:03:04.840]   more than any other doctrine,
[00:03:04.840 --> 00:03:07.040]   is a doctrine that we've been talking about.
[00:03:07.040 --> 00:03:10.880]   I remember early on in ministry as a youth pastor,
[00:03:10.880 --> 00:03:14.560]   and then an EM pastor at Irvine Baptist.
[00:03:14.560 --> 00:03:18.160]   I preached topically because that's all I knew how to do.
[00:03:18.160 --> 00:03:21.480]   That's, you know, that's how I heard the messages,
[00:03:21.480 --> 00:03:23.320]   and then out of necessity,
[00:03:23.320 --> 00:03:25.360]   I started preaching out of,
[00:03:25.360 --> 00:03:27.960]   preaching systematically through the Bible.
[00:03:27.960 --> 00:03:30.800]   So the first book that I started preaching out of,
[00:03:30.800 --> 00:03:32.440]   I think I was a youth pastor when I started,
[00:03:32.440 --> 00:03:33.880]   it was the Book of John.
[00:03:33.880 --> 00:03:35.760]   And then I moved on to Philippians,
[00:03:35.760 --> 00:03:37.480]   and then I started teaching Thessalonians,
[00:03:37.480 --> 00:03:38.960]   and then after that, it's a blur.
[00:03:38.960 --> 00:03:41.240]   And I remember doing Romans at some point back then.
[00:03:41.240 --> 00:03:43.440]   I went through the Romans about three times.
[00:03:43.440 --> 00:03:47.280]   By the time I got to about three or four books,
[00:03:47.280 --> 00:03:48.600]   and going to the fifth book,
[00:03:48.600 --> 00:03:51.480]   I began to see a pattern in certain things
[00:03:51.480 --> 00:03:53.320]   that I saw in scripture that didn't match
[00:03:53.320 --> 00:03:57.120]   how I understood God, how I understood church.
[00:03:57.120 --> 00:03:59.440]   And the central thing that I started to see
[00:03:59.440 --> 00:04:01.800]   was a very, very high view of God.
[00:04:01.800 --> 00:04:04.600]   His holiness just kept on popping up,
[00:04:04.600 --> 00:04:06.320]   Old and the New Testament.
[00:04:06.320 --> 00:04:08.800]   So I decided to give a topical message
[00:04:08.800 --> 00:04:11.360]   on this topic of holiness, which I've never given before.
[00:04:11.360 --> 00:04:13.560]   I've kind of mentioned it before.
[00:04:13.560 --> 00:04:16.880]   How can you read the Bible without coming across passages
[00:04:16.880 --> 00:04:18.440]   where holiness is mentioned?
[00:04:18.440 --> 00:04:20.520]   But I decided to give a message,
[00:04:20.520 --> 00:04:22.320]   and one particular message on this holiness.
[00:04:22.320 --> 00:04:25.240]   So I spent several weeks preparing for this.
[00:04:25.240 --> 00:04:27.160]   And as a result of preparation
[00:04:27.160 --> 00:04:30.480]   for this one particular message I was gonna give,
[00:04:30.480 --> 00:04:33.680]   it really changed my paradigm.
[00:04:33.680 --> 00:04:35.240]   And again, I've shared this before
[00:04:35.240 --> 00:04:36.920]   with our church many times.
[00:04:36.920 --> 00:04:40.920]   I was literally shaking as I was preparing
[00:04:40.920 --> 00:04:45.640]   that this was central to everything that I knew about God.
[00:04:45.640 --> 00:04:49.280]   And it caused me to change the way I view church,
[00:04:49.280 --> 00:04:50.960]   fellowship, everything.
[00:04:50.960 --> 00:04:52.600]   So from that moment on,
[00:04:52.600 --> 00:04:56.000]   it kind of pushed me toward a trajectory,
[00:04:56.000 --> 00:04:58.400]   the way I understood scripture.
[00:04:58.400 --> 00:05:00.760]   Again, so when this church was planted,
[00:05:00.760 --> 00:05:02.120]   that was the fundamental.
[00:05:02.120 --> 00:05:03.400]   That was kind of like the foundation
[00:05:03.400 --> 00:05:04.920]   upon which we were building everything.
