
[00:00:00.000 --> 00:00:06.840]   We're on lesson six.
[00:00:06.840 --> 00:00:14.040]   Last week, we were talking about handling the Word of God, and in the next, this week
[00:00:14.040 --> 00:00:20.480]   and even the next, we're still talking about that as in combination with our church's vision,
[00:00:20.480 --> 00:00:25.960]   but in just thinking about what was presented last time is just this idea that how important
[00:00:25.960 --> 00:00:29.960]   interpretation is of the scripture for us, right?
[00:00:29.960 --> 00:00:34.200]   As we think about our faith and what it's built upon as a foundation, and then also
[00:00:34.200 --> 00:00:41.280]   as we think about the authority that we receive from God, interpretation is incredibly vital.
[00:00:41.280 --> 00:00:47.980]   And one of the things that Pastor Peter mentioned was that accurate and clear interpretation
[00:00:47.980 --> 00:00:54.120]   is absolutely crucial because only when that interpretation is clear, so is the authority
[00:00:54.120 --> 00:00:55.120]   of God, right?
[00:00:55.120 --> 00:01:00.800]   Now, when we don't have accuracy and clarity in the interpretation of scripture, then that
[00:01:00.800 --> 00:01:04.200]   can surmount to only our opinions.
[00:01:04.200 --> 00:01:09.060]   And so the authority of God that is the message given to us is also unclear.
[00:01:09.060 --> 00:01:11.520]   So really, the impetus is...
[00:01:11.520 --> 00:01:16.360]   Okay, hello, hello.
[00:01:16.360 --> 00:01:23.600]   You know, I think it's an issue with my...
[00:01:23.600 --> 00:01:25.360]   I'm gonna try not to move.
[00:01:25.360 --> 00:01:31.840]   All right, so the impetus is on us to make sure that we try our best to accurately understand
[00:01:31.840 --> 00:01:33.440]   the scriptures.
[00:01:33.440 --> 00:01:37.400]   And another way I wanna put it is just to kind of, again, inspire us to make sure that
[00:01:37.400 --> 00:01:43.560]   we're actually digging is that in us trying to have that clarity is truly our hunger,
[00:01:43.560 --> 00:01:44.560]   you know?
[00:01:44.560 --> 00:01:51.120]   We're exercising not just simply a process of hermeneutics, we're exercising our thirst,
[00:01:51.120 --> 00:01:55.960]   we're exercising our desire for scripture when we try to approach it with the desire
[00:01:55.960 --> 00:01:57.960]   for right interpretation.
[00:01:57.960 --> 00:02:05.160]   Now along those lines then today, we're gonna talk about one major aspect of biblical hermeneutics,
[00:02:05.160 --> 00:02:07.880]   and it's the lesson on genre, okay?
[00:02:07.880 --> 00:02:09.480]   On genre.
[00:02:09.480 --> 00:02:14.120]   Now in thinking about genre, I don't...
[00:02:14.120 --> 00:02:20.360]   Today is gonna be, you know, again, more like class time and talking specifically about
[00:02:20.360 --> 00:02:25.480]   the principles and guidelines for interpretation, but I don't want it to be something where
[00:02:25.480 --> 00:02:31.120]   it's like, "Oh man, that's just too much specifics and details that I don't have time to get
[00:02:31.120 --> 00:02:32.120]   into."
[00:02:32.120 --> 00:02:36.440]   Truthfully speaking, the things that we're gonna be talking about today, a lot of it
[00:02:36.440 --> 00:02:38.600]   is intuitive, okay?
[00:02:38.600 --> 00:02:41.500]   A lot of it you already practice.
[00:02:41.500 --> 00:02:45.920]   It's just an admonition for us to be both regular and consistent with our approach to
[00:02:45.920 --> 00:02:46.920]   scripture, okay?
[00:02:46.920 --> 00:02:51.800]   What I mean by that is, when we think about genre, you know exactly what I'm talking about.
[00:02:51.800 --> 00:02:56.720]   When you enter into a library, you know that you go to a certain section when you're looking
