
[00:00:00.000 --> 00:00:06.920]   [BLANK_AUDIO]
[00:00:06.920 --> 00:00:07.960]   >> Here it is.
[00:00:07.960 --> 00:00:12.720]   >> [LAUGH] >> But yeah, I'm just so
[00:00:12.720 --> 00:00:16.320]   excited to be here, to be with you guys.
[00:00:16.320 --> 00:00:19.680]   You guys actually asked me back again, so that's cool.
[00:00:19.680 --> 00:00:21.480]   I didn't flop it too bad last time.
[00:00:21.480 --> 00:00:23.840]   >> [LAUGH] >> So that's encouraging to me.
[00:00:23.840 --> 00:00:26.720]   But yeah, myself and just Pastor Peter, just over the years,
[00:00:26.720 --> 00:00:31.640]   we've just been able to grow a relationship and partnership and ministry over the years.
[00:00:31.640 --> 00:00:35.440]   And just to watch this man's faithfulness, along with his wife and
[00:00:35.440 --> 00:00:40.520]   their children, and just his commitment to you guys as a pastor and a shepherd,
[00:00:40.520 --> 00:00:44.400]   has been a wonderful example for me as a pastor and a shepherd.
[00:00:44.400 --> 00:00:50.560]   To see somebody that really loves their flock, and they love you guys.
[00:00:50.560 --> 00:00:55.160]   And I'm sure you guys know that far beyond what even I could even understand.
[00:00:55.160 --> 00:00:58.720]   You just walked with him and his family for years.
[00:00:58.720 --> 00:01:02.720]   So for me to be able to come up here and exhort this body,
[00:01:02.720 --> 00:01:07.880]   for him to entrust me with you guys just means a lot.
[00:01:07.880 --> 00:01:09.960]   There's a gravity there for me.
[00:01:09.960 --> 00:01:13.480]   As well as just myself, so many personal connections for me over the years.
[00:01:13.480 --> 00:01:19.240]   It's been years, decades, some of you guys have been over a decade now at this point.
[00:01:19.240 --> 00:01:22.080]   So I'm just happy to be here.
[00:01:22.080 --> 00:01:27.440]   When Pastor Peter asked me to come and speak on marriage, I just thought, man,
[00:01:27.440 --> 00:01:31.040]   I don't know if you want me to do that.
[00:01:31.040 --> 00:01:35.520]   And one of the reasons why is because you guys are so well taught.
[00:01:35.520 --> 00:01:38.880]   And it is always intimidating for me because I'm just thinking, man,
[00:01:38.880 --> 00:01:42.840]   I don't know what else I can really say that probably your leadership hasn't
[00:01:42.840 --> 00:01:43.640]   already taught you.
[00:01:43.640 --> 00:01:46.520]   So I'm just bringing you some crumbs, that's all.
[00:01:46.520 --> 00:01:50.440]   And I'm just praying that God take those live loaves and two fish and
[00:01:50.440 --> 00:01:55.360]   just feed you guys in a way that I, in my own strength and power, just couldn't.
[00:01:55.360 --> 00:01:57.600]   I appreciate all you guys' prayers.
[00:01:57.600 --> 00:01:59.600]   I know you guys have been praying for me.
[00:01:59.600 --> 00:02:03.040]   And I've felt that, I've experienced that in very tangible and
[00:02:03.040 --> 00:02:05.120]   clear ways, by the grace of God.
[00:02:05.120 --> 00:02:06.360]   And I needed it.
[00:02:06.360 --> 00:02:11.560]   This has been a real hard time and a hard season of life and
[00:02:11.560 --> 00:02:13.440]   ministry for me personally.
[00:02:13.440 --> 00:02:15.640]   Our church is going through a whole church move, and
[00:02:15.640 --> 00:02:17.720]   we're trying to figure all that stuff out.
[00:02:17.720 --> 00:02:21.720]   Along with some major transitions, namely, I know this is going to college in the fall,
[00:02:21.720 --> 00:02:22.840]   so I'm trying to let go.
[00:02:22.840 --> 00:02:25.800]   This is my baby girl, and she's not my baby girl anymore.
[00:02:25.800 --> 00:02:28.800]   She's a woman now, and I'm like, man, that doesn't make sense.
[00:02:28.800 --> 00:02:32.880]   And I'm gonna be up at the campus checking all these fellas out.
[00:02:32.880 --> 00:02:35.040]   Like, yeah, yeah, yeah, yeah.
[00:02:35.040 --> 00:02:36.680]   [LAUGH]
[00:02:36.680 --> 00:02:38.280]   I'll be working out, all that stuff.
[00:02:38.280 --> 00:02:44.160]   [LAUGH]
[00:02:44.160 --> 00:02:50.720]   So, man, so anyway, yeah, I just really appreciate all you guys.
[00:02:50.720 --> 00:02:53.600]   And thank you for just the warm welcome, for taking care of me.
[00:02:53.600 --> 00:02:56.560]   All of the snacks that you guys got me, and James and Valerie,
[00:02:56.560 --> 00:02:58.440]   you guys have just been wonderful.
[00:02:58.440 --> 00:03:00.880]   I love y'all, for taking care of Pastor Ray.
[00:03:00.880 --> 00:03:03.360]   And I sent you guys probably like, we had like 20 emails,
[00:03:03.360 --> 00:03:05.800]   over 30 emails going back and forth.
[00:03:05.800 --> 00:03:10.320]   And you guys just did such a wonderful job, Jen, and the way you guys packed the room,
[00:03:10.320 --> 00:03:13.240]   the way you took care of all the slots, everything that I needed,
[00:03:13.240 --> 00:03:16.640]   all the help, there's probably background individuals that were involved that I just
[00:03:16.640 --> 00:03:17.160]   don't know.
[00:03:17.160 --> 00:03:20.400]   I just want you guys to know that I feel cared for and loved, and
[00:03:20.400 --> 00:03:22.040]   that just means the world to me.
[00:03:22.040 --> 00:03:26.920]   And so I just wanna thank you guys for that.
[00:03:26.920 --> 00:03:31.960]   I had you guys do a survey, and I'm just gonna try to sum up some of the surveys.
[00:03:31.960 --> 00:03:34.920]   I got 83 responses, which was good.
[00:03:34.920 --> 00:03:39.120]   And after being married now for almost, actually, it's 19 years,
[00:03:39.120 --> 00:03:43.760]   I think it's gonna be 19 in August, I think at this point.
[00:03:43.760 --> 00:03:48.120]   And just really trying to ask myself, why did I get married then?
[00:03:48.120 --> 00:03:50.880]   And trying to see what you guys would say as a result.
[00:03:50.880 --> 00:03:53.440]   I got some good ones.
[00:03:53.440 --> 00:03:55.880]   I got to have his babies, and that was a good one.
[00:03:55.880 --> 00:04:03.640]   >> [LAUGH]
[00:04:03.640 --> 00:04:06.920]   >> Fulfill my desire to be married was
[00:04:06.920 --> 00:04:11.080]   another, summing it up, having children.
[00:04:11.080 --> 00:04:13.320]   I don't wanna be alone.
[00:04:13.320 --> 00:04:15.520]   I fell in love and put a ring on it.
[00:04:15.520 --> 00:04:18.320]   >> [LAUGH]
[00:04:18.320 --> 00:04:19.640]   >> Some of you guys said it was just
[00:04:19.640 --> 00:04:21.280]   the next steps.
[00:04:21.280 --> 00:04:26.120]   I couldn't imagine my life without her or without him.
[00:04:26.120 --> 00:04:30.680]   I have, this one person said, I have strong passions and I couldn't survive.
[00:04:30.680 --> 00:04:31.480]   It's it.
[00:04:31.480 --> 00:04:33.880]   >> [LAUGH]
[00:04:33.880 --> 00:04:35.200]   >> I'm feeling it all, and I got you.
[00:04:35.200 --> 00:04:37.000]   That's okay, that's a good one.
[00:04:37.000 --> 00:04:40.120]   >> [LAUGH]
[00:04:40.120 --> 00:04:41.560]   >> All right.
[00:04:41.560 --> 00:04:44.320]   One person said, double income, just kidding.
[00:04:44.320 --> 00:04:49.960]   >> [LAUGH]
[00:04:49.960 --> 00:04:51.720]   >> Those of you said things, again,
[00:04:51.720 --> 00:04:55.360]   very, very good, raising up the next generation.
[00:04:55.360 --> 00:04:57.080]   I need him.
[00:04:57.080 --> 00:04:58.520]   Couldn't live without him.
[00:04:58.520 --> 00:05:00.240]   He earns our keep.
[00:05:00.240 --> 00:05:02.240]   I like that one too.
[00:05:02.240 --> 00:05:04.840]   Leadership, protection, guidance.
[00:05:04.840 --> 00:05:07.400]   She made me a better man.
[00:05:07.400 --> 00:05:09.960]   I got married to be sanctified.
