
[00:00:00.000 --> 00:00:03.000]   (children cheering)
[00:00:03.000 --> 00:00:05.280]   - So,
[00:00:05.280 --> 00:00:10.800]   cats, fork and spork were able to share the bottle
[00:00:10.800 --> 00:00:13.280]   with coughing and wheezing.
[00:00:13.280 --> 00:00:16.720]   They traveled again to continue God's great commission
[00:00:16.720 --> 00:00:20.400]   to spread the gospel to the ends of the earth.
[00:00:20.400 --> 00:00:23.560]   (children chattering)
[00:00:23.560 --> 00:00:27.200]   - Are we lost?
[00:00:27.200 --> 00:00:28.280]   - We're not lost.
[00:00:28.280 --> 00:00:30.520]   - This looks like a moon.
[00:00:30.520 --> 00:00:31.920]   - But we're not lost.
[00:00:31.920 --> 00:00:35.160]   I know exactly where we are and we're not lost.
[00:00:35.160 --> 00:00:38.600]   - Hey, look at us, that means we're directions.
[00:00:38.600 --> 00:00:40.020]   - We're not lost.
[00:00:40.020 --> 00:00:46.160]   - Can you tell us how to get to Mars?
[00:00:46.160 --> 00:00:47.240]   We need directions.
[00:00:47.240 --> 00:00:49.480]   (chomping)
[00:00:49.480 --> 00:00:53.560]   We're trying to get to Mars.
[00:00:53.560 --> 00:00:55.640]   Can you help us?
[00:00:55.640 --> 00:00:57.280]   (chomping)
[00:00:57.280 --> 00:01:00.400]   - I'm Cork and this is Spork.
[00:01:00.400 --> 00:01:02.280]   Can you tell us where Mars is?
[00:01:02.280 --> 00:01:05.640]   (chomping)
[00:01:05.640 --> 00:01:06.840]   - You already said that.
[00:01:06.840 --> 00:01:09.080]   (chomping)
[00:01:09.080 --> 00:01:12.440]   - Let's just go this way.
[00:01:12.440 --> 00:01:13.280]   - Okay, fine.
[00:01:13.280 --> 00:01:17.040]   (chomping)
[00:01:17.040 --> 00:01:21.360]   (dramatic music)
[00:01:25.720 --> 00:01:27.960]   (cheering)
[00:01:27.960 --> 00:01:35.200]   - Hey, I never wanted to know who I am
[00:01:35.200 --> 00:01:38.480]   if my computer was this size.
[00:01:38.480 --> 00:01:40.840]   Those four, they're only gonna fall
[00:01:40.840 --> 00:01:43.080]   through my trap once again.
[00:01:43.080 --> 00:01:46.440]   - Hey, let's go stop Annie.
[00:01:46.440 --> 00:01:47.280]   - Okay.
[00:01:47.280 --> 00:01:48.120]   - Shh.
[00:01:48.120 --> 00:01:50.480]   - Wow, she's so pretty.
[00:01:50.480 --> 00:01:53.160]   - I know, like look right there.
[00:01:54.160 --> 00:01:56.920]   - Wow, and she even has earrings.
[00:01:56.920 --> 00:01:59.600]   (laughing)
[00:01:59.600 --> 00:02:02.600]   And does she have a mustache?
[00:02:02.600 --> 00:02:05.000]   She kind of has a manly face.
[00:02:05.000 --> 00:02:07.320]   (laughing)
[00:02:07.320 --> 00:02:08.640]   She's so pretty.
[00:02:08.640 --> 00:02:13.840]   Anyway, can you give us the directions to Mars?
[00:02:13.840 --> 00:02:17.600]   - Of course I can give you directions to Mars.
[00:02:17.600 --> 00:02:20.520]   Come here, this way, this way, this way.
[00:02:20.520 --> 00:02:23.280]   This way, this way, here, let me show you.
[00:02:23.280 --> 00:02:24.880]   All you have to do is come right here and--
[00:02:24.880 --> 00:02:26.560]   (screaming)
[00:02:26.560 --> 00:02:28.960]   - I can't believe they fell through my pipe once again,
[00:02:28.960 --> 00:02:30.120]   you fools.
[00:02:30.120 --> 00:02:32.440]   I mean, I can't blame you though.
[00:02:32.440 --> 00:02:34.880]   I am pretty gorgeous.
[00:02:34.880 --> 00:02:38.800]   You fools, you better wait.
[00:02:38.800 --> 00:02:42.240]   I'm gonna come back and get you and do evil things.
[00:02:42.240 --> 00:02:43.800]   - What happened?
[00:02:43.800 --> 00:02:46.440]   - I think I hit the computer.
[00:02:46.440 --> 00:02:47.880]   - Oh no, we can't get out.
[00:02:47.880 --> 00:02:49.600]   How are we gonna get out of this theater?
[00:02:49.600 --> 00:02:51.720]   - Don't worry, we'll find a way out somehow.
[00:02:51.720 --> 00:02:53.000]   How, somehow?
[00:02:53.000 --> 00:02:54.440]   - Why did this have to happen to us?
[00:02:54.440 --> 00:02:55.280]   Why us?
[00:02:55.280 --> 00:02:56.280]   Hey!
[00:02:56.280 --> 00:02:59.240]   - Don't worry, God has a plan for us
