
[00:00:00.000 --> 00:00:09.400]   Let's pray.
[00:00:09.400 --> 00:00:12.400]   Gracious Father, we thank you again for the privilege that we have to be able to come
[00:00:12.400 --> 00:00:14.460]   and worship you.
[00:00:14.460 --> 00:00:20.080]   We pray, Father, that you would give us eyes to see, ears to hear, and hearts that are
[00:00:20.080 --> 00:00:21.840]   easily molded, Lord God.
[00:00:21.840 --> 00:00:26.760]   We pray that your word would have the authority and power over our lives as it ought to.
[00:00:26.760 --> 00:00:30.040]   Help us to understand and to apply your word this morning.
[00:00:30.040 --> 00:00:32.720]   In Jesus' name we pray, amen.
[00:00:32.720 --> 00:00:37.840]   As we've been studying Romans chapter 12, we started in verse 1 where Paul says, "In
[00:00:37.840 --> 00:00:40.100]   view of God's mercy."
[00:00:40.100 --> 00:00:45.940]   In light of his mercy and by the authority and the power given through us by his mercy
[00:00:45.940 --> 00:00:50.960]   to present our body as a living sacrifice, which is our spiritual act of worship.
[00:00:50.960 --> 00:00:55.920]   So our reasonable response to God in view of our salvation is to worship him.
[00:00:55.920 --> 00:01:01.080]   And then it says in verse 2, "The application of that is not to conform to this world but
[00:01:01.080 --> 00:01:05.840]   be transformed by the renewal of our mind so that we may test and may discern what is
[00:01:05.840 --> 00:01:10.000]   the will of God, what is good, acceptable, and perfect."
[00:01:10.000 --> 00:01:17.460]   So verse 3 and verse 8 basically is an application that specifically we are told to transform
[00:01:17.460 --> 00:01:21.440]   our mind, not to be conformed but to transform by renewing of our mind.
[00:01:21.440 --> 00:01:25.000]   So starting from verse 3, he'll go into details of what that looks like.
[00:01:25.000 --> 00:01:26.920]   The first application of that.
[00:01:26.920 --> 00:01:31.600]   So this morning we're going to look at three separate principles that we see about sanctification
[00:01:31.600 --> 00:01:35.440]   in application within the context of the body of Christ.
[00:01:35.440 --> 00:01:39.280]   But before we even get into it, I want to give you the whole summary of what we're going
[00:01:39.280 --> 00:01:40.280]   to be talking about.
[00:01:40.280 --> 00:01:43.260]   So I'm going to tell it to you now and then I'm going to repeat it later.
[00:01:43.260 --> 00:01:47.800]   So if you happen to fall asleep in the middle, at least get the beginning and get the end.
[00:01:47.800 --> 00:01:48.800]   So that's the...
[00:01:48.800 --> 00:01:52.560]   I'm just going to tell you ahead of time.
[00:01:52.560 --> 00:01:57.600]   Sanctification, Paul has been stating starting from chapter 1 through chapter 11, it happens
[00:01:57.600 --> 00:02:04.280]   when we confront the glory of God and we are humbled and it leads us to repentance.
[00:02:04.280 --> 00:02:07.480]   Repentance is the key to our salvation.
[00:02:07.480 --> 00:02:13.400]   Christ offered himself as a living sacrifice for us and he took on our sins upon himself.
[00:02:13.400 --> 00:02:18.000]   So when we are confronted by the glory of the gospel of Jesus Christ, we can either
[00:02:18.000 --> 00:02:20.800]   say, "I don't believe in that," and walk away from that.
[00:02:20.800 --> 00:02:27.160]   Or when you're confronted by that, it causes you to recognize your own sins and repent.
[00:02:27.160 --> 00:02:32.480]   And as you know, the word repentance, metanoia, literally means to change your mind.
[00:02:32.480 --> 00:02:38.880]   So repentance in justification isn't just, "I did something Tuesday or Thursday or I
[00:02:38.880 --> 00:02:44.040]   have this act or a particular aspect of my life I'm repenting."
[00:02:44.040 --> 00:02:49.320]   Justification happens when you recognize that there is a sin nature in you.
[00:02:49.320 --> 00:02:55.080]   That the way you view the world, the way that you view what is right, what is wrong, creation,
[00:02:55.080 --> 00:02:59.760]   purpose, death, life, all of it was tainted by this world.
[00:02:59.760 --> 00:03:02.960]   So when you're confronted by the gospel of Jesus Christ, you repent.
[00:03:02.960 --> 00:03:05.720]   Your mind is changed.
[00:03:05.720 --> 00:03:09.160]   But for some reason, when we come to sanctification, we think, "Well, we've done that.
[00:03:09.160 --> 00:03:11.320]   We've humbled ourselves and we've repented."
[00:03:11.320 --> 00:03:18.000]   And the rest of it is hard work trying to get closer to God through our works.
[00:03:18.000 --> 00:03:22.640]   Now there's an aspect of it where it is true, where it does require our labor, it does require
[00:03:22.640 --> 00:03:24.200]   our commitment.
[00:03:24.200 --> 00:03:28.360]   But again, this is the summary of what we're going to be talking about this morning.
[00:03:28.360 --> 00:03:34.480]   Justification happens when we humble ourselves before God.
[00:03:34.480 --> 00:03:37.760]   Sanctification begins when we humble ourselves before man.
[00:03:37.760 --> 00:03:40.400]   Let me say that again.
[00:03:40.400 --> 00:03:44.000]   Justification happens when we humble ourselves before God.
[00:03:44.000 --> 00:03:47.760]   Sanctification begins when we humble ourselves before man.
[00:03:47.760 --> 00:03:54.000]   So it begins with humbling ourselves, and then we continue by humbling ourselves.
