
[00:00:00.000 --> 00:00:07.260]   Alright, so let's start.
[00:00:07.260 --> 00:00:12.760]   The Day of Atonement was a constant reminder that God is holy and that sinners and God
[00:00:12.760 --> 00:00:14.040]   cannot dwell together.
[00:00:14.040 --> 00:00:19.400]   It also reminded Israelites that sin was constantly in their midst and needed constant and repeated
[00:00:19.400 --> 00:00:20.400]   cleansing.
[00:00:20.400 --> 00:00:25.080]   So, Day of Atonement was sort of like spring cleaning.
[00:00:25.080 --> 00:00:29.560]   All the other days, they kind of cleaned here, cleaned the living room, cleaned the bathrooms,
[00:00:29.560 --> 00:00:33.520]   but it's almost kind of like the way we had at church about a month ago.
[00:00:33.520 --> 00:00:37.280]   We had everybody come together and we're just cleaning house, like from top to bottom.
[00:00:37.280 --> 00:00:42.880]   So Day of Atonement was kind of like spring cleaning at the tabernacle.
[00:00:42.880 --> 00:00:47.040]   But they didn't just clean the tabernacle, they cleaned all the priests, in particular
[00:00:47.040 --> 00:00:51.640]   Aaron as he was preparing for this day.
[00:00:51.640 --> 00:00:59.400]   So all the sacrifices was a constant reminder to the nation of Israel that they needed to
[00:00:59.400 --> 00:01:02.360]   be atoned for in order to be in the presence of God.
[00:01:02.360 --> 00:01:06.720]   But in particular, on the Day of Atonement, it was a reminder to them that even with the
[00:01:06.720 --> 00:01:11.680]   sacrifices there was this sin and uncleanness that was being piled up.
[00:01:11.680 --> 00:01:19.560]   And what does it mean for the nation of Israel for sin to pile up?
[00:01:19.560 --> 00:01:24.880]   How would they have understood an uncleansed and unatoned for sin in the presence of a
[00:01:24.880 --> 00:01:27.160]   holy God?
[00:01:27.160 --> 00:01:30.240]   Judgment, right?
[00:01:30.240 --> 00:01:33.320]   So this wasn't just they needed a clean house because they wanted the tabernacle to look
[00:01:33.320 --> 00:01:35.360]   nice or to be clean.
[00:01:35.360 --> 00:01:39.400]   It meant that at the Day of Atonement, it was a wrath of God that's being stored up
[00:01:39.400 --> 00:01:44.320]   against the nation of Israel had to be cleansed and wiped clean so that every year they can
[00:01:44.320 --> 00:01:46.180]   start over.
[00:01:46.180 --> 00:01:52.080]   So imagine what this did, what this was supposed to do for the nation of Israel.
[00:01:52.080 --> 00:01:58.200]   If you were constantly reminded that your sins needed to be atoned for and once a year
[00:01:58.200 --> 00:02:02.400]   there needed to be this massive cleaning, cleaning out of the nation of Israel, cleaning
[00:02:02.400 --> 00:02:05.120]   out of the temple, right?
[00:02:05.120 --> 00:02:13.800]   What did that teach the nation of Israel?
[00:02:13.800 --> 00:02:20.720]   If you were an Israelite living at this time, what do you think that would have taught you?
[00:02:20.720 --> 00:02:23.880]   You don't need to say it.
[00:02:23.880 --> 00:02:30.720]   I just want you to, I just want you to like let it digest.
[00:02:30.720 --> 00:02:33.200]   Put yourself in their shoes.
[00:02:33.200 --> 00:02:38.040]   What would these sacrifices have caused you to think psychologically?
[00:02:38.040 --> 00:02:40.480]   Hmm?
[00:02:40.480 --> 00:02:42.520]   The need for a savior?
[00:02:42.520 --> 00:02:44.360]   How about even before that?
[00:02:44.360 --> 00:02:49.440]   That's true, but even before that?
[00:02:49.440 --> 00:02:51.720]   That we're dirty, right?
[00:02:51.720 --> 00:02:54.640]   Which led to need for a savior, which ultimately led to that.
[00:02:54.640 --> 00:02:59.840]   So an Israelite did not have to be told, they didn't have to have Bible study to tell them,
[00:02:59.840 --> 00:03:02.240]   hey, all I've sinned, I fall short of the glory of God.
[00:03:02.240 --> 00:03:05.560]   Let's look up the book of Romans and study how sinful we are.
[00:03:05.560 --> 00:03:06.560]   They didn't need to be taught that.
[00:03:06.560 --> 00:03:09.560]   It was part of their culture, right?
[00:03:09.560 --> 00:03:13.720]   They had to constantly be cleansed, ritually cleansed.
[00:03:13.720 --> 00:03:17.800]   They had to take baths, they had to clean the garment that they were wearing, and even
[00:03:17.800 --> 00:03:23.920]   the tabernacle where the sacrifices were being made had to be cleansed once a year to completely
[00:03:23.920 --> 00:03:24.920]   clean it out.
[00:03:24.920 --> 00:03:29.240]   Because if they didn't do that, the presence of God would destroy them.
[00:03:29.240 --> 00:03:35.040]   So think about when Christ comes, that all of this is embedded in them for the purpose
[00:03:35.040 --> 00:03:40.280]   of showing them physically, you are a sinner.
[00:03:40.280 --> 00:03:43.960]   There is no Israelites who could have missed that.
[00:03:43.960 --> 00:03:50.200]   That you are a sinner who is constantly sinning and in constant need of saving.
[00:03:50.200 --> 00:03:54.720]   So take that to the New Testament where you have the Pharisee and the tax collector who
[00:03:54.720 --> 00:03:59.120]   is coming before God praying, and the tax collector is praying, thank God I'm not like
[00:03:59.120 --> 00:04:01.760]   him.
[00:04:01.760 --> 00:04:06.040]   So it kind of gives you context in how blind the Pharisees and Sadducees were.
[00:04:06.040 --> 00:04:10.280]   It wasn't just like, well, I can understand why they could have missed that, but in the
[00:04:10.280 --> 00:04:14.480]   context of everything that God did with the nation of Israel, how could they have possibly
[00:04:14.480 --> 00:04:24.280]   missed that they were in need of a Savior, considering everything he was doing.
[00:04:24.280 --> 00:04:29.080]   Leviticus 16 begins by reminding us how Aaron's sons died.
