
[00:00:00.000 --> 00:00:07.000]   [silence]
[00:00:07.000 --> 00:00:12.000]   ...worship has not been restored, you missed the whole point of salvation.
[00:00:12.000 --> 00:00:19.000]   That if your life is still lived with you at the center, and the whole point of your relationship with God
[00:00:19.000 --> 00:00:25.000]   is what can God do for you, then the whole point of salvation, you missed the whole point.
[00:00:25.000 --> 00:00:32.000]   You've entered the race, but you're running the whole opposite direction.
[00:00:32.000 --> 00:00:37.000]   So lordship is central to what it means to be saved.
[00:00:37.000 --> 00:00:41.000]   It is not one of many things that Christians should know.
[00:00:41.000 --> 00:00:51.000]   Because to be restored into a proper relationship with God is to be restored as worshipers of God, not ourselves.
[00:00:51.000 --> 00:00:56.000]   And that's how he concluded the text, concluded his message.
[00:00:56.000 --> 00:00:59.000]   So for the next chapter and a half, what is he going to talk about?
[00:00:59.000 --> 00:01:03.000]   He's done, should be, we're done, goodbye, see you later, right?
[00:01:03.000 --> 00:01:08.000]   Well for the next chapter and a half, he's going to be explaining about his own ministry.
[00:01:08.000 --> 00:01:18.000]   Why he wrote what he wrote, what his intentions are, and he basically is going to be giving an exposition of his ministry itself.
[00:01:18.000 --> 00:01:22.000]   Typically we would think that somebody would begin the letter like that, right?
[00:01:22.000 --> 00:01:25.000]   They begin the letter and say, "This is why I'm writing to you, and this is how I'm going to speak to you,
[00:01:25.000 --> 00:01:29.000]   and this is what I'm going to say," and then he would say it, but Paul says it at the end of his letter, right?
[00:01:29.000 --> 00:01:34.000]   And so we have to be careful that we don't read the last chapter and a half thinking,
[00:01:34.000 --> 00:01:38.000]   "It's a postscript, and he's just saying bye, so we don't need to pay much close attention."
[00:01:38.000 --> 00:01:47.000]   But in fact, what Paul says in the last chapter and a half really reveals the application in his own life.
[00:01:47.000 --> 00:01:54.000]   The application of everything that Paul has been teaching and encouraging the churches to practice,
[00:01:54.000 --> 00:01:58.000]   it's a revelation of Paul himself practicing it in his own life.
[00:01:58.000 --> 00:02:06.000]   So what I'm going to start today is going to go on, obviously, for maybe a couple of months, describing Paul's ministry.
[00:02:06.000 --> 00:02:12.000]   And so in particular, verse 14 through 21 is a defense of Paul's ministry.
[00:02:12.000 --> 00:02:16.000]   Why did he write this letter? How did he write it? Why is he doing what he is doing?
