
[00:00:00.000 --> 00:00:10.520]   Father, we thank you.
[00:00:10.520 --> 00:00:13.600]   Thank you for what we have.
[00:00:13.600 --> 00:00:16.160]   Thank you for your living Word.
[00:00:16.160 --> 00:00:21.280]   Thank you for the ability to be able to spend time together with brothers and sisters.
[00:00:21.280 --> 00:00:26.640]   We know, Father God, that you said that we have all things that we need for life of godliness
[00:00:26.640 --> 00:00:29.320]   in the knowledge of your Son, Jesus.
[00:00:29.320 --> 00:00:34.680]   So we pray that you would help us, Lord God, to know him more.
[00:00:34.680 --> 00:00:41.560]   Not only what he has done on the cross, but all the preparation, all the symbolisms, all
[00:00:41.560 --> 00:00:47.480]   the foreshadowing that you placed in the Old Testament and how ultimately, Lord God, that
[00:00:47.480 --> 00:00:49.960]   it was to prepare us for him.
[00:00:49.960 --> 00:00:55.280]   I pray that you would help us to understand the depth of your heart, depth of your will
[00:00:55.280 --> 00:01:00.320]   and plans, Lord God, that more and more that our hearts and our lives, our minds may be
[00:01:00.320 --> 00:01:02.160]   gripped by these things.
[00:01:02.160 --> 00:01:08.920]   Lord, the power, Lord God, to distract us in this world is so strong and so heavy.
[00:01:08.920 --> 00:01:14.480]   You know, Father God, how easily we can straddle both the things that are eternal and things
[00:01:14.480 --> 00:01:19.560]   that are temporal and just click on back and forth, Lord God, and how frustrating that
[00:01:19.560 --> 00:01:21.160]   is.
[00:01:21.160 --> 00:01:27.280]   We are desperate, Father God, for your power to grip us, that we would move beyond just
[00:01:27.280 --> 00:01:34.040]   routine, just going through the motion, but our very passions, our desire, our worship
[00:01:34.040 --> 00:01:36.060]   may be you and you alone.
[00:01:36.060 --> 00:01:37.480]   So we pray for your grace this evening.
[00:01:37.480 --> 00:01:38.480]   In Jesus' name we pray.
[00:01:38.480 --> 00:01:39.480]   Amen.
[00:01:39.480 --> 00:01:42.600]   All right, today we're going to be looking at chapter 23.
[00:01:42.600 --> 00:01:46.640]   It's going to be mainly dealing with the seven festivals that God commanded to the nation
[00:01:46.640 --> 00:01:50.480]   of Israel.
[00:01:50.480 --> 00:01:54.760]   We could have probably just spent just a whole day just on one of these festivals because
[00:01:54.760 --> 00:02:00.000]   there's so much involved, not only the details of the meaning behind it, but how it's fulfilled
[00:02:00.000 --> 00:02:01.000]   in Christ.
[00:02:01.000 --> 00:02:05.360]   And in every one of these festivals, there's a clear fulfillment in Christ, and there's
[00:02:05.360 --> 00:02:08.320]   so many passages in the New Testament that we could have covered.
[00:02:08.320 --> 00:02:12.520]   Like Jesus mentions it in the book of Revelation and the Gospels, and Paul brings it up.
[00:02:12.520 --> 00:02:16.120]   So as I was preparing, the study was just getting longer and longer and longer, and
[00:02:16.120 --> 00:02:20.600]   there's just no way that I would have been able to sit there and talk about each one
[00:02:20.600 --> 00:02:25.560]   of these things in that detail, and so nor did I want to just kind of skim over it.
[00:02:25.560 --> 00:02:31.400]   So the way I organized it today is the seven festivals, and kind of give you an overarching
[00:02:31.400 --> 00:02:35.440]   reasons behind what He did and how it points to certain specific things.
[00:02:35.440 --> 00:02:40.360]   So we are going to go into some of the details, but again, if you study thoroughly through
[00:02:40.360 --> 00:02:46.320]   chapter 23, there's a lot of little things that are mentioned there that I'm just not
[00:02:46.320 --> 00:02:50.120]   going to mention in today's Bible study just because there's a lot of things to cover,
[00:02:50.120 --> 00:02:52.240]   and I'm just going to give you a large overview.
[00:02:52.240 --> 00:02:55.240]   So I'm going to mention the significant things, but again, I'm not going to be able to go
[00:02:55.240 --> 00:02:57.280]   into too much detail.
[00:02:57.280 --> 00:03:04.120]   So to jump right in, the chapter begins with the command to observe the Sabbath on a weekly
[00:03:04.120 --> 00:03:05.120]   basis.
[00:03:05.120 --> 00:03:11.520]   So in verses 1, 2, and 3, before He gets into the seventh feast, starting from chapter
[00:03:11.520 --> 00:03:14.320]   4, He begins with the practice of Sabbath.
[00:03:14.320 --> 00:03:19.840]   So Sabbath, obviously, is not one of the seventh feasts, but the reason why He gave the Sabbath
[00:03:19.840 --> 00:03:24.320]   to the nation of Israel is the same reason why He gave the seventh feast, and this is
[00:03:24.320 --> 00:03:29.760]   the only one that He does on a weekly basis, where every single week on Saturday, on the
[00:03:29.760 --> 00:03:34.960]   Sabbath, they were to take time off and not engage in work, all for the purpose of renewing
[00:03:34.960 --> 00:03:38.760]   their covenant, renewing their relationship with God.
[00:03:38.760 --> 00:03:45.720]   So restoring the Sabbath, if you, again, you probably may have heard a sermon at our church
[00:03:45.720 --> 00:03:50.640]   at some point, is ultimately the purpose of redemption.
[00:03:50.640 --> 00:03:55.440]   So if you look at the creation account, God creates in six days, and seventh day, He enters
[00:03:55.440 --> 00:03:56.520]   the Sabbath.
[00:03:56.520 --> 00:04:01.100]   So we know that God didn't enter Sabbath because He needed a break and recuperate and start
[00:04:01.100 --> 00:04:03.040]   over the next day, right?
[00:04:03.040 --> 00:04:04.760]   And a lot of times we think of Sabbath that way.
[00:04:04.760 --> 00:04:10.080]   The Sabbath, the way it's described in the scripture, is God enters the rest, and He
[00:04:10.080 --> 00:04:11.860]   is there permanently.
[00:04:11.860 --> 00:04:13.360]   And so He brings us into that rest.
