
[00:00:00.000 --> 00:00:07.000]   Leviticus chapter 26.
[00:00:07.000 --> 00:00:08.000]   Okay.
[00:00:08.000 --> 00:00:18.000]   Alright, so we only have two more chapters left.
[00:00:18.000 --> 00:00:20.000]   So we have 26.
[00:00:20.000 --> 00:00:21.000]   Next week we have 27.
[00:00:21.000 --> 00:00:24.000]   A week after that is Thanksgiving.
[00:00:24.000 --> 00:00:26.000]   And then a couple weeks after that,
[00:00:26.000 --> 00:00:29.000]   and the week after that we have review.
[00:00:29.000 --> 00:00:31.000]   So we have about two or three weeks that we're going to be,
[00:00:31.000 --> 00:00:38.000]   take about a week to review and then a week or two to do something else.
[00:00:38.000 --> 00:00:40.000]   I'll let you know when we get closer to that.
[00:00:40.000 --> 00:00:43.000]   But 26, 27.
[00:00:43.000 --> 00:00:49.000]   Before we get into this, last week the first discussion question that I asked was about the Sabbath,
[00:00:49.000 --> 00:00:51.000]   the application of the Sabbath.
[00:00:51.000 --> 00:00:55.000]   I've already gotten maybe about five or six different questions from different people.
[00:00:55.000 --> 00:00:57.000]   And so I wanted to address that before.
[00:00:57.000 --> 00:01:00.000]   How do you apply the Sabbath in the New Covenant?
[00:01:00.000 --> 00:01:04.000]   Now there's two extremes that you can misapply the Sabbath.
[00:01:04.000 --> 00:01:08.000]   One is where you take the literal teaching of the Sabbath in the Old Testament
[00:01:08.000 --> 00:01:11.000]   and you try to apply it in the New Testament,
[00:01:11.000 --> 00:01:14.000]   where you say, you know, the Sabbath, you can't put gas in,
[00:01:14.000 --> 00:01:17.000]   you can't do any kind of work, you shouldn't do housework,
[00:01:17.000 --> 00:01:20.000]   you should pretty much be in worship all day, you know,
[00:01:20.000 --> 00:01:23.000]   you have to be in worship during the morning,
[00:01:23.000 --> 00:01:26.000]   and if you don't go to evening service at night, you're not keeping the Sabbath,
[00:01:26.000 --> 00:01:29.000]   then you have the wrong application of that
[00:01:29.000 --> 00:01:31.000]   because the Old Covenant has passed away.
[00:01:31.000 --> 00:01:36.000]   That specific covenant of the Old Testament doesn't apply to us.
[00:01:36.000 --> 00:01:41.000]   The mistake on the other end is where we treat the teaching of the Sabbath
[00:01:41.000 --> 00:01:45.000]   like all the other laws of the Old Testament, like none of it applies today.
[00:01:45.000 --> 00:01:48.000]   Because in the Ten Commandments,
[00:01:48.000 --> 00:01:52.000]   we all believe that the Ten Commandments apply in some form today
[00:01:52.000 --> 00:01:55.000]   because they're all moral laws, right?
[00:01:55.000 --> 00:01:59.000]   They're all moral laws about, you know, not worshiping any other god,
[00:01:59.000 --> 00:02:03.000]   don't make gravy in images, do not take the Lord's name in vain,
[00:02:03.000 --> 00:02:06.000]   and then you have all these other moral laws about honoring your father and mother,
[00:02:06.000 --> 00:02:08.000]   thou shalt not kill, bear fault in this,
[00:02:08.000 --> 00:02:11.000]   all of these things are all repeated in the New Testament
[00:02:11.000 --> 00:02:15.000]   except keeping the Sabbath, right?
[00:02:15.000 --> 00:02:17.000]   You shall keep the Sabbath holy.
[00:02:17.000 --> 00:02:19.000]   It's one of the Ten Commandments.
[00:02:19.000 --> 00:02:22.000]   So why is that ceremonial or civic, civil law
[00:02:22.000 --> 00:02:26.000]   mentioned in the Ten Commandments, right?
[00:02:26.000 --> 00:02:30.000]   Because God highlights that particular commandment above the other commandments
[00:02:30.000 --> 00:02:33.000]   and it's placed in the Ten Commandments,
[00:02:33.000 --> 00:02:36.000]   which all of it is repeated in the New Testament
[00:02:36.000 --> 00:02:41.000]   except for the specifics of keeping the Sabbath, obviously, on Saturday.
[00:02:41.000 --> 00:02:44.000]   We don't even keep the Sabbath on Saturday anymore.
[00:02:44.000 --> 00:02:47.000]   We moved it to Sunday because that's the day that Jesus was resurrected.
[00:02:47.000 --> 00:02:51.000]   There's huge significance behind why we worship on Sunday instead of Sabbath.
[00:02:51.000 --> 00:02:54.000]   On Saturday.
[00:02:54.000 --> 00:02:57.000]   Because the meaning of Sabbath, again,
[00:02:57.000 --> 00:02:59.000]   I'm not going to answer it for you and say,
[00:02:59.000 --> 00:03:02.000]   "Therefore, this is what you need to do on the Sabbath."
[00:03:02.000 --> 00:03:06.000]   But we need to understand the principle behind the Sabbath.
[00:03:06.000 --> 00:03:09.000]   God made creation in six days, and then it says,
[00:03:09.000 --> 00:03:13.000]   "On the seventh day, he rested."
[00:03:13.000 --> 00:03:17.000]   So in the Genesis creation account, when it says he rested on the seventh day,
[00:03:17.000 --> 00:03:20.000]   does that mean that he rested and then Monday he woke up again,
[00:03:20.000 --> 00:03:22.000]   he went back to work?
[00:03:22.000 --> 00:03:25.000]   And then he worked another six days and then entered into Sabbath again?
[00:03:25.000 --> 00:03:28.000]   The second week?
[00:03:28.000 --> 00:03:31.000]   No. He enters into the Sabbath, right?
[00:03:31.000 --> 00:03:34.000]   And it doesn't say that he ever comes out of the Sabbath.
[00:03:34.000 --> 00:03:37.000]   What happens when sin comes in,
[00:03:37.000 --> 00:03:40.000]   mankind gets separated from God,
[00:03:40.000 --> 00:03:43.000]   and the Sabbath for the man is broken.
[00:03:43.000 --> 00:03:46.000]   So even though he may observe the Sabbath on Saturday,
[00:03:46.000 --> 00:03:49.000]   the real Sabbath, the significance of the real Sabbath
[00:03:49.000 --> 00:03:53.000]   is to be with his God, right?
[00:03:53.000 --> 00:03:56.000]   So Sabbath is with God, so God--rest is with God.
[00:03:56.000 --> 00:04:00.000]   So if you're separated from God, you've broken the Sabbath.
[00:04:00.000 --> 00:04:04.000]   So the whole concept of Sabbath in the Old Testament
[00:04:04.000 --> 00:04:07.000]   is another way of saying being saved,
[00:04:07.000 --> 00:04:10.000]   to be restored back into the presence of God.
[00:04:10.000 --> 00:04:13.000]   That's why Jesus says in the New Testament,
[00:04:13.000 --> 00:04:16.000]   the invitation to come to him is to do what?
[00:04:16.000 --> 00:04:19.000]   To rest. Those who are weary and heavy laden,
[00:04:19.000 --> 00:04:22.000]   I will give you rest.
[00:04:22.000 --> 00:04:25.000]   So over and over again, the Scripture talks about entering back
[00:04:25.000 --> 00:04:28.000]   into the presence of God as entering back into Sabbath.
[00:04:28.000 --> 00:04:31.000]   And that's why this teaching of Sabbath was so significant,
[00:04:31.000 --> 00:04:35.000]   because it symbolized reunion with God.
[00:04:35.000 --> 00:04:38.000]   And that's why it says in the book of Hebrews
[00:04:38.000 --> 00:04:41.000]   to make every effort to enter the Sabbath.
[00:04:41.000 --> 00:04:45.000]   So the wrong idea of Sabbath
[00:04:45.000 --> 00:04:48.000]   is to make regulations and say,
[00:04:48.000 --> 00:04:51.000]   Sabbath means you shouldn't work, so therefore you can't do this,
[00:04:51.000 --> 00:04:54.000]   you can't do that, you can't do this.
[00:04:54.000 --> 00:04:57.000]   Remember the Jews were practicing the Sabbath that way,
[00:04:57.000 --> 00:05:00.000]   and then they saw Jesus doing certain things, and then he said,
[00:05:00.000 --> 00:05:03.000]   "Oh, you're breaking the Sabbath." Remember what Jesus says to them?
[00:05:03.000 --> 00:05:06.000]   "The Sabbath was made for man, not man for Sabbath."
[00:05:06.000 --> 00:05:09.000]   Meaning the Sabbath was given to him,
[00:05:09.000 --> 00:05:12.000]   not for you to have another bunch of things
[00:05:12.000 --> 00:05:15.000]   that you should or should not do to earn righteousness,
[00:05:15.000 --> 00:05:18.000]   but it was to give you rest, to be restored back to God.
[00:05:18.000 --> 00:05:23.000]   And he says that God is the Lord of the Sabbath.
[00:05:23.000 --> 00:05:26.000]   The Son of Man is the Lord of the Sabbath.
[00:05:26.000 --> 00:05:29.000]   So the principle of Sabbath is to find rest
[00:05:29.000 --> 00:05:32.000]   and to be restored back to God.
[00:05:32.000 --> 00:05:35.000]   So if you make the Sabbath into a bunch of rules
[00:05:35.000 --> 00:05:38.000]   that you should or should not do,
[00:05:38.000 --> 00:05:41.000]   you're repeating what the Jews were doing in the Old Testament.
