
[00:00:00.000 --> 00:00:07.480]   My heart and my hands are lifted to You.
[00:00:07.480 --> 00:00:13.960]   Lord, I offer my life to You.
[00:00:13.960 --> 00:00:21.960]   Everything I've been through, use it for Your glory.
[00:00:21.960 --> 00:00:26.940]   Lord, I offer my days to You.
[00:00:26.940 --> 00:00:34.420]   Lifting my praise to You as a pleasing sacrifice.
[00:00:34.420 --> 00:00:45.380]   Lord, I offer You my life.
[00:00:45.380 --> 00:00:51.360]   What can we give that You have not given?
[00:00:51.360 --> 00:00:58.340]   And what do we have that is not already Yours?
[00:00:58.340 --> 00:01:04.820]   All we possess are these lives we're living.
[00:01:04.820 --> 00:01:11.320]   And that's what we give to You, Lord.
[00:01:11.320 --> 00:01:16.800]   Lord, I offer my life to You.
[00:01:16.800 --> 00:01:24.780]   Everything I've been through, use it for Your glory.
[00:01:24.780 --> 00:01:29.760]   Lord, I offer my days to You.
[00:01:29.760 --> 00:01:36.760]   Lifting my praise to You as a pleasing sacrifice.
[00:01:41.240 --> 00:01:47.220]   Lord, I offer You my life.
[00:01:47.220 --> 00:01:56.200]   Lord, I offer my life to You.
[00:01:56.200 --> 00:02:04.200]   Everything I've been through, use it for Your glory.
[00:02:04.200 --> 00:02:09.180]   Lord, I offer my days to You.
[00:02:09.180 --> 00:02:17.660]   Lifting my praise to You as a pleasing sacrifice.
[00:02:17.660 --> 00:02:25.140]   Lord, I offer You my life.
[00:02:25.140 --> 00:02:32.640]   Lord, I offer You my life.
[00:02:33.600 --> 00:02:37.600]   [MUSIC - "DOWN ON YOUR FEET"]
[00:02:38.560 --> 00:02:43.040]   [MUSIC - "DOWN ON YOUR FEET"]
[00:02:43.040 --> 00:02:47.020]   [MUSIC - "DOWN ON YOUR FEET"]
[00:02:47.020 --> 00:03:07.480]   Down on your feet, oh Lord, is the most high way.
[00:03:08.360 --> 00:03:16.840]   In your presence, Lord, I seek your face.
[00:03:16.840 --> 00:03:19.340]   I seek your face.
[00:03:19.340 --> 00:03:31.820]   For down at your feet, oh Lord, is the most high place.
[00:03:31.820 --> 00:03:39.800]   In your presence, Lord, we seek your face.
[00:03:39.800 --> 00:03:42.780]   We seek your face.
[00:03:42.780 --> 00:03:53.260]   There is no higher calling, no greater honor
[00:03:53.260 --> 00:03:58.240]   than to bow and kneel before your throne.
