
[00:00:00.000 --> 00:00:07.780]   Alright, let's get together.
[00:00:07.780 --> 00:00:12.280]   Colossians chapter 2, 16 to 23.
[00:00:12.280 --> 00:00:13.960]   Okay.
[00:00:13.960 --> 00:00:23.600]   Let me ask you, now that we've been in it maybe about 5 or 6 weeks, are you getting
[00:00:23.600 --> 00:00:27.680]   the hang of things and asking questions and looking for observations?
[00:00:27.680 --> 00:00:29.040]   Okay.
[00:00:29.040 --> 00:00:30.440]   Yes?
[00:00:30.440 --> 00:00:32.000]   Alright.
[00:00:32.000 --> 00:00:39.280]   Tell me, just by show of hands, because I can't tell just by you nodding your head,
[00:00:39.280 --> 00:00:41.320]   how many of you feel like you're getting the hang of things?
[00:00:41.320 --> 00:00:43.120]   Okay, raise your hand.
[00:00:43.120 --> 00:00:47.360]   How many of you guys are getting lost every week?
[00:00:47.360 --> 00:00:49.800]   Okay, a few of you.
[00:00:49.800 --> 00:00:50.800]   Okay.
[00:00:50.800 --> 00:00:53.720]   You're getting the hang of getting lost every week, huh?
[00:00:53.720 --> 00:00:55.360]   Okay, good.
[00:00:55.360 --> 00:01:02.000]   Alright, like I said, from the beginning, our goal in the study wasn't simply to go
[00:01:02.000 --> 00:01:05.640]   through Colossians, it was to kind of give you some guidelines as to what to look for
[00:01:05.640 --> 00:01:07.800]   and how to do Bible study on your own.
[00:01:07.800 --> 00:01:14.040]   Okay, so that's why we're not going through every line by line thoroughly, the meaning
[00:01:14.040 --> 00:01:18.440]   behind it, because it would, there would be too much to cover and there's no way I'm
[00:01:18.440 --> 00:01:21.480]   going to be able to do that in 30 minutes every single week.
[00:01:21.480 --> 00:01:25.120]   So the goal of it is just to highlight it, give some outlines, certain things to look
[00:01:25.120 --> 00:01:29.620]   for so that you can do your study and hopefully that the main part of your study is something
[00:01:29.620 --> 00:01:33.640]   that you do on your own and then when you come, you're able to share with your group.
[00:01:33.640 --> 00:01:39.120]   Okay, so let me pray first and then we'll jump in.
[00:01:39.120 --> 00:01:42.160]   Gracious Father, we thank you for your living word.
[00:01:42.160 --> 00:01:46.800]   We thank you for the amazing truth, Lord God, that we find week to week.
[00:01:46.800 --> 00:01:51.240]   There's so much depth and wisdom behind all that you have to tell us.
