
[00:00:00.000 --> 00:00:04.660]   (children speaking in foreign language)
[00:00:04.660 --> 00:00:17.080]   (upbeat music)
[00:00:17.080 --> 00:00:26.420]   (singing in foreign language)
[00:00:26.420 --> 00:00:30.260]   (singing in foreign language)
[00:00:30.260 --> 00:00:34.100]   (singing in foreign language)
[00:00:34.100 --> 00:00:37.940]   (singing in foreign language)
[00:00:37.940 --> 00:00:41.780]   (singing in foreign language)
[00:00:41.780 --> 00:01:00.660]   (singing in foreign language)
[00:01:00.660 --> 00:01:03.240]   (upbeat music)
[00:01:04.080 --> 00:01:08.740]   ♪ Whoa, whoa ♪
[00:01:08.740 --> 00:01:12.380]   ♪ You are mighty, never ending ♪
[00:01:12.380 --> 00:01:16.140]   ♪ You are holy, you are powerful ♪
[00:01:16.140 --> 00:01:19.780]   ♪ King of all kings, incomparable ♪
[00:01:19.780 --> 00:01:24.780]   ♪ You are wonderful, you are so amazing ♪
[00:01:24.780 --> 00:01:29.020]   ♪ God, you are almighty, stronger ♪
[00:01:29.020 --> 00:01:33.860]   ♪ You are so amazing ♪
[00:01:33.860 --> 00:01:36.420]   ♪ Darkness, you defeated Jesus ♪
[00:01:36.420 --> 00:01:41.300]   ♪ You are so amazing ♪
[00:01:41.300 --> 00:01:43.780]   ♪ God, you are almighty, stronger ♪
[00:01:43.780 --> 00:01:48.660]   ♪ You are so amazing ♪
[00:01:48.660 --> 00:01:51.260]   ♪ Darkness, you defeated Jesus ♪
[00:01:51.260 --> 00:01:55.900]   ♪ We lift you high ♪
[00:01:55.900 --> 00:02:00.900]   ♪ Whoa, whoa ♪
[00:02:21.860 --> 00:02:25.700]   (singing in foreign language)
[00:02:50.700 --> 00:02:54.540]   (singing in foreign language)
[00:02:54.540 --> 00:02:58.380]   (singing in foreign language)
[00:02:58.380 --> 00:03:02.220]   (singing in foreign language)
[00:03:02.740 --> 00:03:06.580]   (singing in foreign language)
[00:03:06.580 --> 00:03:23.860]   (singing in foreign language)
[00:03:23.860 --> 00:03:31.220]   (singing in foreign language)
[00:03:32.140 --> 00:03:35.980]   (singing in foreign language)
[00:03:36.020 --> 00:03:39.860]   (singing in foreign language)
[00:03:39.860 --> 00:03:47.340]   (singing in foreign language)
[00:03:47.340 --> 00:03:58.380]   (singing in foreign language)
[00:03:58.420 --> 00:04:02.260]   (singing in foreign language)
[00:04:02.300 --> 00:04:06.140]   (singing in foreign language)
[00:04:06.980 --> 00:04:10.820]   (singing in foreign language)
[00:04:10.860 --> 00:04:14.700]   (singing in foreign language)
[00:04:14.700 --> 00:04:23.600]   [BLANK_AUDIO]

