
[00:00:00.000 --> 00:00:03.240]   All right, everybody.
[00:00:03.240 --> 00:00:11.480]   If I could get your attention up here, we'll take a moment to pray for God to bless our
[00:00:11.480 --> 00:00:16.720]   time in the Word, and then we'll take about 30 minutes to go over the passage.
[00:00:16.720 --> 00:00:17.720]   Let's pray together.
[00:00:17.720 --> 00:00:21.480]   All right, God, we want to thank you again.
[00:00:21.480 --> 00:00:26.400]   Lord, we believe that your Word is true.
[00:00:26.400 --> 00:00:30.200]   And what's more, God, we believe your Word is powerful.
[00:00:30.200 --> 00:00:37.160]   And I know that all of us have experienced just the sweetness of seeing your truth, having
[00:00:37.160 --> 00:00:42.080]   our eyes be opened, and having your Word shed light onto our path.
[00:00:42.080 --> 00:00:46.640]   God, we are regularly absolutely challenged by your Word.
[00:00:46.640 --> 00:00:52.840]   And Lord, it is our desire that it would cause us, Lord, to live this life in wisdom, and
[00:00:52.840 --> 00:00:57.200]   Father God, to live this life in adherence to your truth.
[00:00:57.200 --> 00:01:01.440]   Lord, truthfully, that is where it is most difficult.
[00:01:01.440 --> 00:01:05.360]   A lot of these things, God, we've probably heard in other passages and other sermons.
[00:01:05.360 --> 00:01:10.960]   But Lord, we do really eagerly pray that your Spirit would cause, every time your Word is
[00:01:10.960 --> 00:01:14.560]   open to us, your Spirit would cause conviction.
[00:01:14.560 --> 00:01:16.800]   Your Spirit would cause us to remember.
[00:01:16.800 --> 00:01:22.600]   And what's more, God, to effectively evaluate and desire to change so that, God, we would
[00:01:22.600 --> 00:01:26.240]   be all the more in conformity to your Son, Jesus Christ.
[00:01:26.240 --> 00:01:29.920]   We thank you and pray for your blessing upon our time of study tonight.
[00:01:29.920 --> 00:01:33.000]   It's in Christ's name, amen.
[00:01:33.000 --> 00:01:34.240]   Okay.
[00:01:34.240 --> 00:01:39.320]   So as we normally do, let's take a moment to read through the passage together.
[00:01:39.320 --> 00:01:40.360]   I'll read for us.
[00:01:40.360 --> 00:01:42.040]   Just please follow along.
[00:01:42.040 --> 00:01:49.360]   And Apostle Paul says, in Philippians here, verse 21, "For to me, to live is Christ and
[00:01:49.360 --> 00:01:51.320]   to die is gain.
[00:01:51.320 --> 00:01:57.960]   But if I am to live on in the flesh, this will mean fruitful labor for me.
[00:01:57.960 --> 00:02:02.760]   And I do not know which one to choose, but I am hard-pressed from both directions, having
[00:02:02.760 --> 00:02:07.880]   the desire to depart and be with Christ, for that is very much better.
[00:02:07.880 --> 00:02:12.800]   Yet to remain on in the flesh is more necessary for your sake.
[00:02:12.800 --> 00:02:18.800]   Convinced of this, I know that I will remain and continue with you all for your progress
[00:02:18.800 --> 00:02:24.320]   and joy in the faith, so that your proud confidence in me may abound in Christ Jesus through my
[00:02:24.320 --> 00:02:26.280]   coming to you again.
[00:02:26.280 --> 00:02:31.080]   Only conduct yourselves in a manner worthy of the gospel of Christ, so that whether I
[00:02:31.080 --> 00:02:35.720]   come and see you or remain absent, I will hear of you that you are standing firm in
[00:02:35.720 --> 00:02:42.720]   one spirit, with one mind, striving together for the faith of the gospel, in no way alarmed
[00:02:42.720 --> 00:02:48.320]   by your opponents, which is a sign of destruction for them, but of salvation for you, and that
[00:02:48.320 --> 00:02:50.080]   too from God.
[00:02:50.080 --> 00:02:54.720]   For to you it has been granted for Christ's sake, not only to believe in Him, but also
[00:02:54.720 --> 00:03:01.480]   to suffer for His sake, experiencing the same conflict which you saw in me, and now hear
[00:03:01.480 --> 00:03:03.200]   to be in me."
[00:03:03.200 --> 00:03:04.500]   Okay.
[00:03:04.500 --> 00:03:08.840]   As you read this passage, this is an epic one.
[00:03:08.840 --> 00:03:17.920]   Epic because when you read a verse like, "For to me, to live is Christ and to die is gain,"
[00:03:17.920 --> 00:03:19.920]   that is such a powerful statement, right?
[00:03:19.920 --> 00:03:26.240]   It is one of those all-life-encompassing, even death-encompassing, right?
[00:03:26.240 --> 00:03:31.200]   Almost like majestic statement that summarizes so much.
[00:03:31.200 --> 00:03:35.880]   And so we've got to ask, how does Apostle Paul come to this statement?
[00:03:35.880 --> 00:03:39.000]   How does Apostle Paul get here?
[00:03:39.000 --> 00:03:42.720]   Meaning how does he lead up to say something like that?
[00:03:42.720 --> 00:03:47.440]   And so one of the things that we typically do in Bible study is to ask, how does this
[00:03:47.440 --> 00:03:51.680]   thought even connect with what he said before, right?
[00:03:51.680 --> 00:03:57.120]   What was in his mind, what was he saying previously that he would say something like this?
[00:03:57.120 --> 00:04:01.640]   So we take a moment to go back in our Bibles to a previous passage, and I'm just going
[00:04:01.640 --> 00:04:04.480]   to read from verse 18 through 20.
[00:04:04.480 --> 00:04:07.800]   And Apostle Paul said this, "What then?
[00:04:07.800 --> 00:04:15.200]   Only that in every way, whether in pretense or in truth, Christ is proclaimed.
[00:04:15.200 --> 00:04:19.080]   And in this I rejoice, yes, I will rejoice.
[00:04:19.080 --> 00:04:24.120]   For I know that this will turn out for my deliverance through your prayers and the provision
[00:04:24.120 --> 00:04:29.440]   of the Spirit of Jesus Christ, according to my earnest expectation and hope, that I will
[00:04:29.440 --> 00:04:35.040]   not be put to shame in anything, but that in all boldness, Christ will even now, as
[00:04:35.040 --> 00:04:40.440]   always, be exalted in my body, whether by life or by death."
[00:04:40.440 --> 00:04:46.440]   And then he says, "For to me, to live is Christ and to die is gain."
[00:04:46.440 --> 00:04:52.280]   I want to make mention of the fact that clearly his thought from this verse 18 where he says,
[00:04:52.280 --> 00:04:54.780]   "If Christ is proclaimed, I rejoice.
[00:04:54.780 --> 00:04:58.160]   This is my desire, it's what I'm looking for."
[00:04:58.160 --> 00:05:02.000]   That thought is carried through all the way to verse 20 where he says, "Whether by life
[00:05:02.000 --> 00:05:09.440]   or by death, my expectation and my hope is that Christ would be exalted."
[00:05:09.440 --> 00:05:14.280]   That thought is carried in verse 21, "For to me, to live is Christ and to die is gain."
[00:05:14.280 --> 00:05:19.520]   These section headings are not inspired and what you can tell is that actually the paragraph
[00:05:19.520 --> 00:05:21.160]   continues to run.
[00:05:21.160 --> 00:05:23.240]   There isn't actually a break there.
[00:05:23.240 --> 00:05:25.160]   It's a continuing thought.
[00:05:25.160 --> 00:05:29.280]   So going back to our verse then, oh no, oh it's that one.
[00:05:29.280 --> 00:05:30.280]   Okay.
[00:05:30.280 --> 00:05:34.760]   Going back to our verse then, we can summarize previously Apostle Paul is saying that he
[00:05:34.760 --> 00:05:43.080]   is so committed, his number one passion, the desire, you can say the treasure, the goal
[00:05:43.080 --> 00:05:50.100]   that he has set in his heart is to see Christ proclaimed and his Savior exalted in his life.
[00:05:50.100 --> 00:05:56.200]   And no matter what happens to him, that's what's going to be the measure by which he
[00:05:56.200 --> 00:05:59.440]   can say, "And all is fine."
[00:05:59.440 --> 00:06:00.640]   Right?
[00:06:00.640 --> 00:06:06.880]   No matter what the circumstances are, he has found a way to make sense of his imprisonment,
[00:06:06.880 --> 00:06:12.080]   of the beatings he received, of his privileges taken away.
[00:06:12.080 --> 00:06:18.120]   There is a way for him to make sense of it all and that making sense of it all is his
[00:06:18.120 --> 00:06:21.560]   commitment to see Christ exalted.
[00:06:21.560 --> 00:06:27.400]   So what's interesting here is right now all I'm doing is making much of this idea that
[00:06:27.400 --> 00:06:32.640]   he says, "For to me to live is Christ and to die is gain," and all I'm saying to you
[00:06:32.640 --> 00:06:34.720]   is there is a flow here.
[00:06:34.720 --> 00:06:38.320]   And my question now then is, what's the connection?
[00:06:38.320 --> 00:06:43.200]   Is he just reiterating the same thing or is he saying more?
[00:06:43.200 --> 00:06:51.080]   And what I like to think is, well, he's actually giving us a because statement.
[00:06:51.080 --> 00:06:55.880]   And the reason why I say it is saying, "Okay, I have as my number one desire the exaltation
[00:06:55.880 --> 00:07:00.840]   of Christ," and then he says, "For to me," and when he says that, all he's saying is,
[00:07:00.840 --> 00:07:07.360]   "Because for me to live is Christ and to die is gain."
[00:07:07.360 --> 00:07:17.200]   This number one eager desire, this passion and hope, this is what is causing him now
[00:07:17.200 --> 00:07:23.040]   to not only evaluate this time of suffering or the time in prison, what he's doing is
[00:07:23.040 --> 00:07:26.680]   he's evaluating everything, right?
[00:07:26.680 --> 00:07:28.760]   He's evaluating everything.
[00:07:28.760 --> 00:07:30.840]   And this is what I like to do.
