
[00:00:00.000 --> 00:00:07.000]   Okay, good morning.
[00:00:07.000 --> 00:00:08.000]   Morning.
[00:00:08.000 --> 00:00:09.000]   Morning.
[00:00:09.000 --> 00:00:14.000]   Did you have your readers this morning?
[00:00:14.000 --> 00:00:15.360]   Okay.
[00:00:15.360 --> 00:00:20.600]   I have the privilege of sharing God's Word with you this morning and I have to say that
[00:00:20.600 --> 00:00:24.560]   I haven't done this in a while, coming up and preaching.
[00:00:24.560 --> 00:00:28.360]   And I really do appreciate in preparing this message.
[00:00:28.360 --> 00:00:33.000]   I really do appreciate our pastors, I just want to say that because to come every Sunday
[00:00:33.000 --> 00:00:40.880]   to do this day, week in and week out, and to provide and provide good, expositive, you
[00:00:40.880 --> 00:00:46.000]   know, messages every week is hard to do.
[00:00:46.000 --> 00:00:47.680]   I can attest to that.
[00:00:47.680 --> 00:00:54.520]   It was a labor for me, just because, you know, what do you say and everything that goes with
[00:00:54.520 --> 00:00:55.520]   it.
[00:00:55.520 --> 00:01:02.800]   But in any case, this morning I hope that some of this, that being prepared, that it
[00:01:02.800 --> 00:01:09.080]   was led by the Spirit and that in the end, you know, I feel inadequate up here to preach
[00:01:09.080 --> 00:01:10.080]   the Word of God.
[00:01:10.080 --> 00:01:17.960]   You know, I have to admit to you that, you know, when the thought of coming up and preaching,
[00:01:17.960 --> 00:01:22.360]   there's a flesh that comes in and I want to entertain you guys so that you would like
[00:01:22.360 --> 00:01:25.960]   me, you know, like my message and I get praised.
[00:01:25.960 --> 00:01:32.800]   But I realize that is wrong and that's something that, you know, I have to fight with in myself
[00:01:32.800 --> 00:01:35.400]   in doing that.
[00:01:35.400 --> 00:01:38.600]   So again, I really appreciate our pastors.
[00:01:38.600 --> 00:01:46.600]   I know that they come and serve the church humbly and to come and preach up here is definitely
[00:01:46.600 --> 00:01:48.000]   a service to the church.
[00:01:48.000 --> 00:01:54.040]   So I want to give props to our pastors, even our elders, you know, props to you guys.
[00:01:54.040 --> 00:01:55.360]   They're great men of God.
[00:01:55.360 --> 00:02:02.600]   I really admire them and see their love for the Lord and by challenge of them.
[00:02:02.600 --> 00:02:05.560]   So I will start.
[00:02:05.560 --> 00:02:11.280]   I've been tasked to review the fourth membership covenant, which states, "I commit to attending
[00:02:11.280 --> 00:02:17.400]   Sunday worship at BCC to the best of my ability."
