
[00:00:00.000 --> 00:00:03.480]   [VIDEO PLAYBACK]
[00:00:03.480 --> 00:00:06.960]   [CHILDREN PLAYING]
[00:00:06.960 --> 00:00:10.440]   [CHILDREN PLAYING]
[00:00:10.440 --> 00:00:13.920]   [CHILDREN PLAYING]
[00:00:13.920 --> 00:00:17.400]   [CHILDREN PLAYING]
[00:00:17.400 --> 00:00:20.880]   [LAUGHTER]
[00:00:20.880 --> 00:00:27.340]   [CHILDREN PLAYING]
[00:00:27.340 --> 00:00:45.800]   [MUSIC PLAYING]
[00:00:46.640 --> 00:00:50.120]   [CHILDREN SINGING]
[00:00:50.120 --> 00:00:53.600]   [MUSIC PLAYING]
[00:00:54.440 --> 00:00:57.920]   [MUSIC PLAYING]
[00:00:57.920 --> 00:01:01.400]   [MUSIC PLAYING]
[00:01:01.400 --> 00:01:04.880]   [MUSIC PLAYING]
[00:01:04.880 --> 00:01:08.360]   [MUSIC PLAYING]
[00:01:08.360 --> 00:01:14.320]   [MUSIC PLAYING]
[00:01:14.320 --> 00:01:18.280]   [MUSIC PLAYING]
[00:01:18.280 --> 00:01:22.760]   [MUSIC PLAYING]
[00:01:22.760 --> 00:01:26.720]   [MUSIC PLAYING]
[00:01:26.720 --> 00:01:30.680]   [MUSIC PLAYING]
[00:01:30.680 --> 00:01:34.160]   [LAUGHTER]
[00:01:34.440 --> 00:01:37.920]   [MUSIC PLAYING]
[00:01:37.920 --> 00:01:42.400]   [MUSIC PLAYING]
[00:01:42.400 --> 00:01:46.360]   [MUSIC PLAYING]
[00:01:46.360 --> 00:01:50.360]   [MUSIC PLAYING]
[00:01:50.360 --> 00:01:54.360]   [MUSIC PLAYING]
[00:01:54.360 --> 00:01:58.360]   [MUSIC PLAYING]
[00:01:58.360 --> 00:02:02.360]   [MUSIC PLAYING]
[00:02:02.880 --> 00:02:06.360]   [MUSIC PLAYING]
[00:02:06.360 --> 00:02:10.360]   [MUSIC PLAYING]
[00:02:10.360 --> 00:02:14.360]   [MUSIC PLAYING]
[00:02:14.360 --> 00:02:18.360]   [MUSIC PLAYING]
[00:02:18.360 --> 00:02:22.360]   [MUSIC PLAYING]
[00:02:22.360 --> 00:02:26.360]   [MUSIC PLAYING]
[00:02:26.360 --> 00:02:30.360]   [APPLAUSE]
[00:02:30.840 --> 00:02:33.840]   [CHEERING]
[00:02:33.840 --> 00:02:49.840]   [MUSIC PLAYING]
[00:02:49.840 --> 00:02:53.840]   [CHILDREN PLAYING]
[00:02:53.840 --> 00:02:57.840]   [MUSIC PLAYING]
[00:02:58.320 --> 00:03:01.320]   [MUSIC PLAYING]
[00:03:01.320 --> 00:03:13.320]   [CHILDREN SINGING]
[00:03:13.320 --> 00:03:17.320]   [CHILDREN SINGING]
[00:03:17.320 --> 00:03:21.320]   [CHILDREN SINGING]
[00:03:21.320 --> 00:03:25.320]   [CHILDREN SINGING]
[00:03:26.320 --> 00:03:29.320]   [CHILDREN SINGING]
[00:03:29.320 --> 00:03:33.320]   [CHILDREN SINGING]
[00:03:33.320 --> 00:03:37.320]   [CHILDREN SINGING]
[00:03:37.320 --> 00:03:41.320]   [CHILDREN SINGING]
[00:03:41.320 --> 00:03:45.320]   [CHILDREN SINGING]
[00:03:45.320 --> 00:03:49.320]   [CHILDREN SINGING]
[00:03:49.320 --> 00:03:53.320]   [CHILDREN SINGING]
[00:03:54.320 --> 00:03:57.320]   [CHILDREN SINGING]
[00:03:57.320 --> 00:04:01.320]   [CHILDREN SINGING]
[00:04:01.320 --> 00:04:05.320]   [CHILDREN SINGING]
[00:04:05.320 --> 00:04:09.320]   [CHILDREN SINGING]
[00:04:09.320 --> 00:04:13.320]   [CHILDREN SINGING]
[00:04:13.320 --> 00:04:17.320]   [CHILDREN SINGING]
[00:04:17.320 --> 00:04:21.320]   [CHILDREN SINGING]
[00:04:22.320 --> 00:04:25.320]   [CHILDREN SINGING]
[00:04:25.320 --> 00:04:29.320]   [CHILDREN SINGING]
[00:04:29.320 --> 00:04:33.320]   [CHILDREN SINGING]
[00:04:33.320 --> 00:04:37.320]   [CHILDREN SINGING]
[00:04:37.320 --> 00:04:41.320]   [CHILDREN SINGING]
[00:04:41.320 --> 00:04:45.320]   [CHILDREN SINGING]
[00:04:45.320 --> 00:04:49.320]   [CHILDREN SINGING]
[00:04:50.320 --> 00:04:53.320]   [CHILDREN SINGING]
[00:04:53.320 --> 00:04:57.320]   [CHILDREN SINGING]
[00:04:57.320 --> 00:05:01.320]   [CHILDREN SINGING]
[00:05:01.320 --> 00:05:05.320]   [CHILDREN SINGING]
