
[00:00:00.000 --> 00:00:09.800]   Okay, everyone.
[00:00:09.800 --> 00:00:12.800]   Hope you guys had a good time of discussion.
[00:00:12.800 --> 00:00:15.320]   Let's bring our attention up here to the front.
[00:00:15.320 --> 00:00:20.760]   We will take a moment to pray and then jump into our study.
[00:00:20.760 --> 00:00:22.720]   745.
[00:00:22.720 --> 00:00:26.960]   Okay, let's pray together.
[00:00:26.960 --> 00:00:36.520]   Our God, we truly want to have our minds filled with your truth so that, Father God, we may
[00:00:36.520 --> 00:00:39.120]   be filled, Father Lord, with your love.
[00:00:39.120 --> 00:00:46.720]   God, as we have been studying so far your scripture in the book of Ephesians, God, we
[00:00:46.720 --> 00:00:53.000]   can see, Lord, just how incredibly rich and deep your love is.
[00:00:53.000 --> 00:00:59.040]   And I pray, Father God, that in our hearts and our souls, there would be such an appreciation.
[00:00:59.040 --> 00:01:06.200]   Lord, I pray, Father God, that we would exercise our faith particularly here so that, God,
[00:01:06.200 --> 00:01:14.080]   we can experience just the incredible joy that comes from seeing, Lord, your work towards
[00:01:14.080 --> 00:01:19.680]   us, the incredible confidence and hope from seeing, Father God, what you have secured
[00:01:19.680 --> 00:01:21.160]   for us in Christ.
[00:01:21.160 --> 00:01:24.960]   Lord, would you be with us tonight as we continue to study?
[00:01:24.960 --> 00:01:28.280]   We do ask for your Spirit's leading and conviction.
[00:01:28.280 --> 00:01:33.280]   We ask for eyes open to observe, to ask, and to continue learning, Lord.
[00:01:33.280 --> 00:01:35.760]   We thank you it's in Christ's name we pray.
[00:01:35.760 --> 00:01:36.760]   Amen.
[00:01:36.760 --> 00:01:40.840]   Okay, so let's begin with review.
[00:01:40.840 --> 00:01:47.040]   It's always good to just follow the trail of thought from Apostle Paul as he is teaching
[00:01:47.040 --> 00:01:54.680]   this amazing theology, the amazing truth, just the amazing kind of praise of God and
[00:01:54.680 --> 00:01:57.280]   his work and love towards us.
[00:01:57.280 --> 00:02:01.760]   So remember that in the first, you can just think of the first half, chapter one, rather
[00:02:01.760 --> 00:02:03.800]   than thinking through like, "Oh, which verse?"
[00:02:03.800 --> 00:02:08.740]   Just think, okay, chapter, chapter, chapter, first half of chapter one, the overwhelming
[00:02:08.740 --> 00:02:12.480]   spiritual blessings of God in Christ, okay?
[00:02:12.480 --> 00:02:18.600]   Remember that there was such an emphasis of all cross time, across like the, just the
[00:02:18.600 --> 00:02:20.680]   spectrum of the way that God has loved us.
[00:02:20.680 --> 00:02:22.720]   It was all according to his purposes.
[00:02:22.720 --> 00:02:27.040]   It was all in Christ and it was to his praise, okay?
[00:02:27.040 --> 00:02:29.640]   Now I have a bunch of blanks for you guys and stuff like that on there.
[00:02:29.640 --> 00:02:33.480]   Just go ahead and jot those down just for your retention's sake.
[00:02:33.480 --> 00:02:39.720]   Second half of chapter one, remember Apostle Paul says, "So if there is this massive blessing
[00:02:39.720 --> 00:02:44.000]   that exists in Christ and I hear of your faith in it, I'm so overjoyed."
[00:02:44.000 --> 00:02:46.680]   So he's thankful and then he prays.
[00:02:46.680 --> 00:02:51.840]   He prays that every single person would have their eyes open and enlightened to know what
[00:02:51.840 --> 00:02:56.800]   is the hope, the riches, and the greatness of his power, okay?
[00:02:56.800 --> 00:02:59.160]   The greatness of his power.
[00:02:59.160 --> 00:03:03.640]   Now from there, remember that those things are things that we could have just camped
[00:03:03.640 --> 00:03:09.720]   out on, but very specifically, Apostle Paul focuses on the power of God and begins to
[00:03:09.720 --> 00:03:10.720]   extrapolate.
[00:03:10.720 --> 00:03:18.560]   He begins to unpack, see the power of God that has placed Christ far above, and there
[00:03:18.560 --> 00:03:21.800]   was a lot of lists of various things that he did.
[00:03:21.800 --> 00:03:24.480]   And then, so that's chapter one.
[00:03:24.480 --> 00:03:28.480]   Chapter two, what we studied last time, first half, right?
[00:03:28.480 --> 00:03:32.440]   First half, essentially verses one through 10, you could almost see it as, and there
[00:03:32.440 --> 00:03:38.200]   is then this great, magnificent display of the power of God and the gospel.
[00:03:38.200 --> 00:03:45.440]   Ultimately, if you summarize it, it takes you dead and made alive with Christ, right?
[00:03:45.440 --> 00:03:49.800]   And so we began by saying, "Though you were dead, you were dead in your sins and your
[00:03:49.800 --> 00:03:51.160]   trespasses."
[00:03:51.160 --> 00:03:55.640]   And we described how that deadness displays itself in multiple ways.
[00:03:55.640 --> 00:04:00.480]   We described how, I said, one of the focal points of this too was that just like a dirty
[00:04:00.480 --> 00:04:08.120]   sock puppet with the hand of Satan in it, you are like a lifeless being under the control
[00:04:08.120 --> 00:04:12.520]   of the world, Satan, and your flesh.
[00:04:12.520 --> 00:04:14.920]   Really incredibly bleak scenario.
[00:04:14.920 --> 00:04:19.840]   And I tried to give you that visual of a dead man, not just on the floor, but on the floor
[00:04:19.840 --> 00:04:24.760]   inside of a jail cell with many other dead people throughout the generations of time,
[00:04:24.760 --> 00:04:25.760]   right?
[00:04:25.760 --> 00:04:29.080]   So if you guys recall that picture I gave you guys, the scripture is teaching us about
[00:04:29.080 --> 00:04:33.240]   the state of affairs prior to knowing God, okay?
[00:04:33.240 --> 00:04:37.280]   And then in verses four through five, oops, I think I have an error there.
[00:04:37.280 --> 00:04:41.600]   Chapter two, verses four through five, he says there's a great transition of the but,
[00:04:41.600 --> 00:04:48.200]   but God made us alive, and the context of that is all of God and his rich mercy, of
[00:04:48.200 --> 00:04:55.400]   his love, his great love, and then though we were dead in the transgressions, okay?
[00:04:55.400 --> 00:05:00.080]   So today, let's take a moment to read our passage.
[00:05:00.080 --> 00:05:03.920]   We're moving forward from that review to this section of scripture, and I'll read it for
[00:05:03.920 --> 00:05:04.920]   us.
[00:05:04.920 --> 00:05:11.720]   It says, "But God, being rich in mercy because of his great love with which he loved us,
[00:05:11.720 --> 00:05:17.400]   even when we were dead in our transgressions, made us alive together with Christ by grace
