
[00:00:00.000 --> 00:00:05.640]   All right, good morning.
[00:00:05.640 --> 00:00:10.280]   You can turn your Bibles to Exodus chapter 3, 13 to 15.
[00:00:10.280 --> 00:00:14.080]   We're going to take a break in our Hebrews.
[00:00:14.080 --> 00:00:18.060]   I've been teasing you that we're going to be back in Hebrews for a while.
[00:00:18.060 --> 00:00:21.360]   But knowing that our children are going to be joining us and that this is probably going
[00:00:21.360 --> 00:00:26.480]   to be temporary, I thought it'd be a great time for us, as we said that our theme for
[00:00:26.480 --> 00:00:29.780]   this year is knowing Christ and making him known.
[00:00:29.780 --> 00:00:34.480]   We're going to be spending probably the next month, depending on how long we're together,
[00:00:34.480 --> 00:00:36.560]   the I Am Statements of Christ.
[00:00:36.560 --> 00:00:40.680]   And we're going to start today with the I Am Statement where it started in Exodus chapter
[00:00:40.680 --> 00:00:42.620]   3, 13 to 15.
[00:00:42.620 --> 00:00:47.960]   So as you guys are going there, I'll just give you a minute.
[00:00:47.960 --> 00:00:50.520]   I think it's already on your thing.
[00:00:50.520 --> 00:00:59.280]   But as a pastor, there's two dreams that pastors have, negative dreams.
[00:00:59.280 --> 00:01:03.240]   And one is that you show up to church and you forgot your notes and you have to stand
[00:01:03.240 --> 00:01:05.720]   in front of people and you got to preach and you just kind of have to wing it.
[00:01:05.720 --> 00:01:09.720]   And then that's kind of a -- obviously you wake up in a cold sweat.
[00:01:09.720 --> 00:01:16.240]   The other one is that everybody is -- that you came thoroughly prepared and you show
[00:01:16.240 --> 00:01:18.480]   up to church and nobody's there.
[00:01:18.480 --> 00:01:19.920]   You know, that's the other dream.
[00:01:19.920 --> 00:01:22.120]   And today my dream has come true.
[00:01:22.120 --> 00:01:23.120]   Okay.
[00:01:23.120 --> 00:01:26.320]   So I'm preaching to -- except for you guys here.
[00:01:26.320 --> 00:01:27.320]   Okay.
[00:01:27.320 --> 00:01:28.320]   All right.
[00:01:28.320 --> 00:01:29.320]   I'm going to read it.
[00:01:29.320 --> 00:01:31.320]   But anyway, let me read the passage and then we'll jump right in.
[00:01:31.320 --> 00:01:37.400]   "Then Moses said to God, 'Behold, I am going to the sons of Israel and I will say to them,
[00:01:37.400 --> 00:01:40.680]   the God of your fathers has sent me to you.
[00:01:40.680 --> 00:01:42.400]   Now they may say to me, what is his name?
[00:01:42.400 --> 00:01:43.520]   What shall I say to them?'
[00:01:43.520 --> 00:01:46.320]   God said to Moses, 'I am who I am.'
[00:01:46.320 --> 00:01:51.720]   And he said, 'Thus you shall say to the sons of Israel, I am has sent me to you.'
[00:01:51.720 --> 00:01:55.880]   God furthermore said to Moses, 'Thus you shall say to the sons of Israel, the Lord, the God
[00:01:55.880 --> 00:02:00.680]   of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob has sent me
[00:02:00.680 --> 00:02:02.040]   to you.
[00:02:02.040 --> 00:02:06.840]   This is my name forever and this is my memorial name to all generations.'"
[00:02:06.840 --> 00:02:08.800]   Let me pray.
[00:02:08.800 --> 00:02:12.720]   Father, we pray for your blessing over this time.
[00:02:12.720 --> 00:02:17.100]   We pray that your word would truly go forth.
[00:02:17.100 --> 00:02:20.120]   Open our ears that we may understand.
[00:02:20.120 --> 00:02:22.160]   Help us, Lord God, to know who you are.
[00:02:22.160 --> 00:02:27.960]   That all that we think, all that we feel, all that we do may stem from who you are.
[00:02:27.960 --> 00:02:29.720]   So we pray for your guidance and your blessing.
[00:02:29.720 --> 00:02:33.780]   In Jesus' name we pray, amen.
[00:02:33.780 --> 00:02:37.320]   You know, this whole thing has been a blessing in disguise.
[00:02:37.320 --> 00:02:42.480]   And I know a lot of people that I talk to often say how little time that they have,
[00:02:42.480 --> 00:02:46.840]   especially if you're working full time and you're taking care of children and by the
[00:02:46.840 --> 00:02:51.960]   time you put the children to bed, you're tired, you wake up early to go to work and this pattern
[00:02:51.960 --> 00:02:53.480]   goes on and on and on and on.
[00:02:53.480 --> 00:03:00.360]   And so we speak to many people who are always saying, "It would be great to take a break,
[00:03:00.360 --> 00:03:01.560]   spend more time with our children."
[00:03:01.560 --> 00:03:03.480]   Well, now you have that time.
[00:03:03.480 --> 00:03:10.280]   You know, so I want to encourage all of you out there to make the best of the situation
[00:03:10.280 --> 00:03:15.520]   that we have, that we don't become like people who are always looking at the grass greener
[00:03:15.520 --> 00:03:17.000]   on the other side.
[00:03:17.000 --> 00:03:18.520]   So when we're working, we want to be home.
[00:03:18.520 --> 00:03:21.040]   When we're home, we want to be at work.
[00:03:21.040 --> 00:03:23.600]   That God has given us a blessing in disguise.
[00:03:23.600 --> 00:03:28.480]   What the virus meant for evil, God means it for good.
[00:03:28.480 --> 00:03:36.240]   When I think about something that happened in my life with Esther, that at the moment
[00:03:36.240 --> 00:03:43.280]   was very difficult but turned out to be the greatest blessing, I have to say it was Isaiah,
[00:03:43.280 --> 00:03:45.260]   the birth of our fourth son, Isaiah.
[00:03:45.260 --> 00:03:50.200]   And I remember Esther and I, we were all prepared to move on to our next stage.
[00:03:50.200 --> 00:03:52.360]   All the children were going to be at school.
[00:03:52.360 --> 00:03:54.580]   Finally Esther was going to be able to get a job.
[00:03:54.580 --> 00:04:00.760]   And then we were able to just kind of, you know, be okay financially.
[00:04:00.760 --> 00:04:05.460]   And then when we found out that Esther was pregnant with our fourth child, Isaiah, obviously
[00:04:05.460 --> 00:04:09.480]   we were surprised is an understatement, right?
[00:04:09.480 --> 00:04:14.840]   Maybe shocked, stared into the space for a while.
