
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:10.140]   - Hello everyone.
[00:00:10.140 --> 00:00:13.040]   We're gonna be starting our Bible study week,
[00:00:13.040 --> 00:00:15.320]   number 10 on Ephesians chapter three,
[00:00:15.320 --> 00:00:17.840]   verses seven through 13.
[00:00:17.840 --> 00:00:19.600]   Now I do wanna make a quick announcement
[00:00:19.600 --> 00:00:22.440]   that this week we'll have this Bible study
[00:00:22.440 --> 00:00:25.920]   and then the following week starts our Easter services.
[00:00:25.920 --> 00:00:27.200]   And so as you recall,
[00:00:27.200 --> 00:00:29.200]   there is going to be Monday through Thursday,
[00:00:29.200 --> 00:00:32.040]   evening 7.30 p.m. devotions.
[00:00:32.040 --> 00:00:36.120]   And then, excuse me, on Friday,
[00:00:36.120 --> 00:00:39.520]   there's going to be our Good Friday evening service at 7.30.
[00:00:39.520 --> 00:00:42.800]   And then we'll have one Easter service at 10 a.m. on Sunday.
[00:00:42.800 --> 00:00:44.080]   And then we'll pick back up
[00:00:44.080 --> 00:00:46.700]   onto the Ephesians Bible study the week after.
[00:00:46.700 --> 00:00:48.000]   Would you take a moment to pray with me
[00:00:48.000 --> 00:00:49.160]   as we begin our study?
[00:00:49.160 --> 00:00:53.240]   Lord, we thank you God for your grace.
[00:00:53.240 --> 00:00:55.800]   Thank you Father for your love and mercies.
[00:00:56.720 --> 00:01:00.560]   Thank you God that you have allowed us
[00:01:00.560 --> 00:01:02.820]   to be a part of your redemptive plan.
[00:01:02.820 --> 00:01:05.040]   You have allowed us Father God,
[00:01:05.040 --> 00:01:08.620]   such great privileges and blessings in your salvation.
[00:01:08.620 --> 00:01:10.660]   And I pray Lord that by faith,
[00:01:10.660 --> 00:01:12.900]   we would continue to grasp
[00:01:12.900 --> 00:01:14.800]   and understand the depth of our privilege,
[00:01:14.800 --> 00:01:17.520]   the depth of our blessing to greater degrees.
[00:01:17.520 --> 00:01:20.520]   We thank you Lord, it's in Christ's name we pray, amen.
[00:01:20.520 --> 00:01:25.400]   Okay, as we take a look at the passage,
[00:01:25.400 --> 00:01:29.840]   what I would like to do is take a moment
[00:01:29.840 --> 00:01:31.760]   to read verses one through seven.
[00:01:31.760 --> 00:01:34.360]   So please take your Bibles and follow along with me.
[00:01:34.360 --> 00:01:42.840]   What I'll do is set up my PowerPoint really fast.
[00:01:42.840 --> 00:01:46.360]   In verse one, it says,
[00:01:46.360 --> 00:01:48.920]   for this reason, I Paul, the prisoner of Christ Jesus,
[00:01:48.920 --> 00:01:50.780]   for the sake of you Gentiles,
[00:01:50.780 --> 00:01:55.000]   if indeed you have heard of the stewardship of God's grace,
[00:01:55.000 --> 00:01:57.200]   which was given to me for you,
[00:01:57.200 --> 00:02:00.480]   that by revelation there was made known to me the mystery
[00:02:00.480 --> 00:02:02.660]   as I wrote before in brief.
[00:02:02.660 --> 00:02:04.360]   By referring to this, when you read,
[00:02:04.360 --> 00:02:08.140]   you can understand my insight into the mystery of Christ,
[00:02:08.140 --> 00:02:10.360]   which in other generations was not made known
[00:02:10.360 --> 00:02:12.060]   to the sons of men,
[00:02:12.060 --> 00:02:14.680]   as it has now been revealed to his holy apostles
[00:02:14.680 --> 00:02:16.060]   and prophets in the spirit.
[00:02:16.060 --> 00:02:19.640]   To be specific, that the Gentiles are fellow heirs
[00:02:19.640 --> 00:02:21.400]   and fellow members of the body
[00:02:21.400 --> 00:02:23.800]   and fellow partakers of the promise in Christ Jesus
[00:02:23.800 --> 00:02:27.200]   through the gospel of which I was made a minister
[00:02:27.200 --> 00:02:29.640]   according to the gift of God's grace,
[00:02:29.640 --> 00:02:34.240]   which was given to me according to the working of his power.
[00:02:34.240 --> 00:02:35.720]   We take a moment to pause there
[00:02:35.720 --> 00:02:37.380]   and review what he's been saying.
[00:02:37.380 --> 00:02:41.280]   Recall that the end of chapter two,
[00:02:41.280 --> 00:02:46.280]   apostle Paul said that Christ has made us into one.
[00:02:46.280 --> 00:02:50.960]   And as he was talking about the ramification of the gospel,
[00:02:50.960 --> 00:02:53.920]   he emphasized that the church is a building,
[00:02:53.920 --> 00:02:58.040]   it's a household, and importantly, it is a temple of God.
[00:02:58.040 --> 00:03:01.200]   And that signified God's dwelling place.
[00:03:01.200 --> 00:03:04.360]   That signified that God was building a place
[00:03:04.360 --> 00:03:08.160]   for by which he could meet his people.
[00:03:08.160 --> 00:03:11.560]   And so that has incredible significance for us.
[00:03:11.560 --> 00:03:14.320]   And what's more, in this passage that I just read
[00:03:14.320 --> 00:03:17.920]   in verse one through seven, he's emphasizing this truth.
[00:03:17.920 --> 00:03:19.240]   If you really understand this,
[00:03:19.240 --> 00:03:23.040]   this is an incredible mystery about the church.
[00:03:23.040 --> 00:03:26.600]   That what constitutes this temple and household of God,
[00:03:26.600 --> 00:03:30.360]   surprisingly, is not just the chosen people of the old,
[00:03:30.360 --> 00:03:32.620]   but rather it is inclusive of those
[00:03:32.620 --> 00:03:36.640]   who have previously considered without God so far,
[00:03:36.640 --> 00:03:38.480]   including all the Gentiles.
[00:03:38.480 --> 00:03:40.400]   And so with that said,
[00:03:40.400 --> 00:03:45.280]   apostle Paul essentially challenges the audience
[00:03:45.280 --> 00:03:48.160]   and asks, do you actually understand?
[00:03:48.160 --> 00:03:50.520]   And last week I made much of this point
[00:03:50.520 --> 00:03:52.760]   that apostle Paul is taking a moment
[00:03:52.760 --> 00:03:56.800]   to pause and ask the question, do you really understand?
[00:03:56.800 --> 00:04:01.160]   Do you understand that in receiving this powerful gospel,
[00:04:01.160 --> 00:04:05.880]   we receive the power of God to break every dividing wall,
[00:04:05.880 --> 00:04:08.800]   the incredible wall that exists between us and God,
[00:04:08.800 --> 00:04:12.480]   and also the walls that exist between ourselves.
[00:04:12.480 --> 00:04:16.080]   And so consequently, we recognize
[00:04:16.080 --> 00:04:18.600]   that what God is doing with the church
[00:04:18.600 --> 00:04:22.360]   is absolutely incredible, but also we recognize
[00:04:22.360 --> 00:04:25.000]   that the church therefore is precious in God's sight.
[00:04:25.000 --> 00:04:29.160]   As we know that in scripture,
[00:04:29.160 --> 00:04:31.960]   our Lord Jesus Christ talks about in the gospels
[00:04:31.960 --> 00:04:35.220]   how he is building the church, right, Matthew 16,
[00:04:35.220 --> 00:04:38.200]   how even the gates of Hades will not overcome it.
[00:04:38.200 --> 00:04:42.340]   The church is founded upon, established upon God's power.
[00:04:42.340 --> 00:04:44.600]   It is established for God's glory.
[00:04:44.600 --> 00:04:46.760]   It is empowered by the love of Christ,
[00:04:46.760 --> 00:04:48.560]   and it continues to serve God's purpose.
[00:04:48.560 --> 00:04:51.800]   And so the church is both vital
[00:04:51.800 --> 00:04:53.760]   and it's precious in the sight of God.
[00:04:53.760 --> 00:04:57.880]   And what we see is that in Paul's attitude and perspective,
[00:04:57.880 --> 00:05:01.360]   it's therefore precious in Paul's sight as well.
[00:05:01.360 --> 00:05:04.400]   And so the passage that we have connects
[00:05:04.400 --> 00:05:08.080]   as apostle Paul speaks of his perspective
[00:05:08.080 --> 00:05:11.680]   in his ministry and servanthood towards the church,
[00:05:11.680 --> 00:05:14.320]   towards the administration of the gospel.
[00:05:14.320 --> 00:05:17.200]   Okay, so with that being said,
[00:05:17.200 --> 00:05:20.160]   I'd like to read the passage for today.
[00:05:20.160 --> 00:05:23.600]   I'm gonna read again verse seven and work our way down.
[00:05:23.600 --> 00:05:24.840]   And the scripture says,
[00:05:24.840 --> 00:05:30.000]   of which I have, sorry, of which I was made a minister
[00:05:30.000 --> 00:05:32.200]   according to the gift of God's grace,
[00:05:32.200 --> 00:05:35.500]   which was given to me according to the working of his power.
[00:05:35.500 --> 00:05:40.500]   To me, the very least of all saints, this grace was given
[00:05:40.820 --> 00:05:42.180]   to preach to the Gentiles,
[00:05:42.180 --> 00:05:44.460]   the unfathomable riches of Christ,
[00:05:44.460 --> 00:05:46.740]   and to bring to light what is the administration
[00:05:46.740 --> 00:05:50.280]   of the mystery, which for ages has been hidden in God,
[00:05:50.280 --> 00:05:51.940]   who created all things,
[00:05:51.940 --> 00:05:54.900]   so that the manifold wisdom of God
[00:05:54.900 --> 00:05:57.020]   might now be made known through the church
[00:05:57.020 --> 00:06:00.460]   to the rulers and the authorities in the heavenly places.
[00:06:00.460 --> 00:06:03.300]   This was in accordance with the eternal purpose,
[00:06:03.300 --> 00:06:06.060]   which he carried out in Christ Jesus, our Lord,
[00:06:06.060 --> 00:06:09.400]   in whom we have boldness and confident access
[00:06:09.400 --> 00:06:11.020]   through faith in him.
[00:06:11.020 --> 00:06:13.180]   Therefore, I ask you not to lose heart
[00:06:13.180 --> 00:06:15.400]   on my tribulations on your behalf,
[00:06:15.400 --> 00:06:18.640]   for they are your glory.
[00:06:18.640 --> 00:06:23.900]   I wanna begin by just giving you a brief kind of outline.
[00:06:23.900 --> 00:06:27.180]   I've broken this section down into three parts,
[00:06:27.180 --> 00:06:28.240]   verse seven through nine,
[00:06:28.240 --> 00:06:31.420]   where it speaks of the apostle Paul's responsibility.
[00:06:31.420 --> 00:06:35.100]   Verse 10 through 12, the grand purpose of God,
[00:06:35.100 --> 00:06:37.900]   and verse 13, the encouragement that Paul gives.
[00:06:37.900 --> 00:06:40.000]   Beginning with the first one,
[00:06:40.000 --> 00:06:42.960]   Paul's perspective on his responsibility,
[00:06:42.960 --> 00:06:45.320]   which was given to him by grace, okay?
[00:06:45.320 --> 00:06:47.240]   Paul's perspective on his responsibility
[00:06:47.240 --> 00:06:49.360]   given to him by grace.
[00:06:49.360 --> 00:06:51.040]   Let's take a look at this passage one more time.
[00:06:51.040 --> 00:06:53.720]   It never hurts to read the passage again.
[00:06:53.720 --> 00:06:56.720]   And it says, "Of which I was made a minister
[00:06:56.720 --> 00:06:59.280]   "according to this gift of God's grace,
[00:06:59.280 --> 00:07:01.240]   "which was given to me according
[00:07:01.240 --> 00:07:03.680]   "to the working of his power.
[00:07:03.680 --> 00:07:06.320]   "To me, the very least of all the saints,
[00:07:06.320 --> 00:07:09.000]   "this grace was given to preach to the Gentiles
[00:07:09.000 --> 00:07:11.360]   "the unfathomable riches of Christ,
[00:07:11.360 --> 00:07:14.080]   "and to bring to light what is the administration
[00:07:14.080 --> 00:07:15.880]   "of the mystery which for ages has been hidden
[00:07:15.880 --> 00:07:17.920]   "in God who created all things."
[00:07:17.920 --> 00:07:21.520]   Okay, one of the observations that we make is,
[00:07:21.520 --> 00:07:25.200]   throughout this passage, verses one all the way down,
[00:07:25.200 --> 00:07:27.520]   apostle Paul has various labels
[00:07:27.520 --> 00:07:29.560]   or descriptions about himself.
[00:07:29.560 --> 00:07:31.680]   And so one of the study questions is,
[00:07:31.680 --> 00:07:33.640]   let's label, or at least identify,
[00:07:33.640 --> 00:07:35.720]   all of these descriptions.
[00:07:35.720 --> 00:07:40.160]   And what it really describes is apostle Paul's perspective
[00:07:40.160 --> 00:07:44.040]   on who he is in relationship to the gospel he's received.
[00:07:44.040 --> 00:07:46.900]   Who he is in relationship to how God
[00:07:46.900 --> 00:07:49.160]   is going to now use him.
[00:07:49.160 --> 00:07:53.160]   And what I'd like to do is have you look at your Bibles
[00:07:53.160 --> 00:07:57.040]   and scan again with me, starting from actually verse one.
[00:07:57.040 --> 00:08:00.880]   Remember this section, verses two through 13,
[00:08:00.880 --> 00:08:04.320]   was one paragraph, it's one long thought.
[00:08:04.320 --> 00:08:07.720]   And within it, he has a lot to say about, again,
[00:08:07.720 --> 00:08:11.080]   his perspective of where he fits.
[00:08:11.080 --> 00:08:15.440]   Verse one, he says, "I, Paul, the prisoner of Christ Jesus,
[00:08:15.440 --> 00:08:17.480]   "for the sake of you Gentiles."
[00:08:17.480 --> 00:08:18.360]   Right?
[00:08:18.360 --> 00:08:20.880]   And we have to take a moment to remember
[00:08:20.880 --> 00:08:23.100]   that he's literally in prison.
[00:08:23.100 --> 00:08:24.920]   That's not a figurative statement.
[00:08:24.920 --> 00:08:26.400]   That's not saying I'm so devoted.
[00:08:26.400 --> 00:08:29.400]   No, he's literally in prison, and it's not for two weeks.
[00:08:29.400 --> 00:08:32.880]   It's not confinement or quarantine for just several weeks.
[00:08:32.880 --> 00:08:35.520]   We're talking potentially years here, right?
[00:08:35.520 --> 00:08:38.100]   Some commentators think it's up to four years
[00:08:38.100 --> 00:08:39.760]   that he's already been in prison.
[00:08:39.760 --> 00:08:43.760]   Verse two, he says, "If indeed you heard of the stewardship
[00:08:43.760 --> 00:08:47.440]   "of God's grace which was given to me for you."
[00:08:47.440 --> 00:08:50.480]   And so what you have then is Apostle Paul being a steward.
[00:08:50.480 --> 00:08:53.960]   And I'm gonna highlight these for you here.
[00:08:53.960 --> 00:08:56.000]   Apostle Paul is a steward.
[00:08:56.000 --> 00:08:59.120]   He's a steward of the grace for the people.
[00:08:59.120 --> 00:09:01.620]   Verse three, "That by revelation there was made known
[00:09:01.620 --> 00:09:04.840]   "to me this mystery as I wrote before in brief."
[00:09:04.840 --> 00:09:07.940]   And so then he becomes essentially a writer and a scribe,
[00:09:07.940 --> 00:09:10.680]   jotting down all that God has given him.
[00:09:10.680 --> 00:09:12.760]   In verse seven, in this passage he says,
[00:09:12.760 --> 00:09:15.680]   "Of which I was made a minister according to the gift
[00:09:15.680 --> 00:09:18.280]   "of God's grace which was given to me."
[00:09:18.280 --> 00:09:22.360]   So Apostle Paul is a minister by the grace and power of God.
[00:09:22.360 --> 00:09:24.860]   And then in verse eight through nine, he says,
[00:09:24.860 --> 00:09:27.840]   "To me the very least of all saints, this grace was given
[00:09:27.840 --> 00:09:31.420]   "to preach to the Gentiles the unfathomable riches
[00:09:31.420 --> 00:09:36.420]   "of Christ and to bring to light what is the administration."
[00:09:36.420 --> 00:09:41.280]   So Apostle Paul clearly recognizes what is his calling,
[00:09:41.280 --> 00:09:46.100]   what is his job, responsibility.
[00:09:46.100 --> 00:09:48.120]   What God has given him by grace,
[00:09:48.120 --> 00:09:50.100]   and that is to be a preacher.
[00:09:50.100 --> 00:09:53.600]   Essentially a man who is to speak, open his mouth,
[00:09:53.600 --> 00:09:56.120]   and be loud, to be an incredible light
[00:09:56.120 --> 00:09:58.040]   of the gospel of Christ.
[00:09:58.040 --> 00:10:00.280]   And that much is very clear.
[00:10:00.280 --> 00:10:02.340]   Now, as we think about this then,
[00:10:02.340 --> 00:10:08.280]   when we see Apostle Paul's perspective on his role,
[00:10:08.280 --> 00:10:10.240]   that altogether is very challenging.
[00:10:10.240 --> 00:10:13.740]   As Apostle Paul sees the stewardship,
[00:10:13.740 --> 00:10:15.740]   the ministry of the gospel, the administration
[00:10:15.740 --> 00:10:17.620]   of the gospel and the grace of God,
[00:10:17.620 --> 00:10:21.660]   he recognizes then that he's a prisoner to all that.
[00:10:21.660 --> 00:10:24.900]   He recognizes then that he's a minister to all of that.
[00:10:24.900 --> 00:10:27.120]   And I want us to take a moment to dwell on that
[00:10:27.120 --> 00:10:28.440]   for a little bit.
[00:10:28.440 --> 00:10:33.440]   Because what that shows us is in his sight, the cause,
[00:10:33.440 --> 00:10:37.900]   the responsibility is massive.
[00:10:37.900 --> 00:10:40.040]   The magnitude of what God has called him to,
[00:10:40.040 --> 00:10:42.760]   already in his sights, he is showing to us
[00:10:42.760 --> 00:10:44.920]   what he sees and understands.
[00:10:44.920 --> 00:10:46.400]   And what he says is profound,
[00:10:46.400 --> 00:10:50.160]   because he says that he has been made a minister.
[00:10:50.160 --> 00:10:51.960]   I want to highlight something here.
[00:10:51.960 --> 00:10:54.140]   If we look up the word minister,
[00:10:54.140 --> 00:10:56.080]   it's the Greek word diakonos.
[00:10:56.080 --> 00:10:58.520]   And that's where we get the word deacon.
[00:10:58.520 --> 00:11:00.400]   But essentially, when that word was used
[00:11:00.400 --> 00:11:04.160]   outside of the church context, it meant servant.
[00:11:04.160 --> 00:11:06.880]   It meant somebody who was a lowly servant,
[00:11:06.880 --> 00:11:08.800]   who was more like a busboy.
[00:11:08.800 --> 00:11:11.120]   It was somebody who was like a waiter, so to speak.
[00:11:11.120 --> 00:11:14.120]   It was somebody who would clean up after the mess.
[00:11:14.120 --> 00:11:14.960]   And so when you think about this,
[00:11:14.960 --> 00:11:18.240]   it's not some classy leader.
[00:11:18.240 --> 00:11:20.000]   He's not a spokesperson.
[00:11:20.000 --> 00:11:23.520]   He's not deemed as a great guest speaker.
[00:11:23.520 --> 00:11:26.400]   He is seeing himself as a role subservient
[00:11:26.400 --> 00:11:29.960]   to the great cause of the administration of God.
[00:11:29.960 --> 00:11:33.800]   And that's exactly how he actually tells the church
[00:11:33.800 --> 00:11:35.200]   to consider him.
[00:11:35.200 --> 00:11:37.740]   Take a look at 1 Corinthians chapter four,
[00:11:37.740 --> 00:11:38.960]   verses one through two.
[00:11:38.960 --> 00:11:41.320]   Apostle Paul says this.
[00:11:41.320 --> 00:11:44.700]   "Let a man regard us in this manner,
[00:11:44.700 --> 00:11:47.280]   "as servants of Christ and stewards
[00:11:47.280 --> 00:11:49.400]   "of the mysteries of God.
[00:11:49.400 --> 00:11:52.280]   "In this case, moreover, it is required of stewards
[00:11:52.280 --> 00:11:54.760]   "that one be found trustworthy."
