
[00:00:00.000 --> 00:00:09.080]   - Good evening, everyone.
[00:00:09.080 --> 00:00:12.000]   Let's take a moment to pray and go before the Lord
[00:00:12.000 --> 00:00:14.840]   as we start our weekday Bible study.
[00:00:14.840 --> 00:00:19.680]   All right, God, we thank you, God, for your truth.
[00:00:19.680 --> 00:00:24.960]   Lord, we recognize truly how powerful your word is
[00:00:24.960 --> 00:00:27.360]   because God, you're a powerful God.
[00:00:27.360 --> 00:00:31.200]   We thank you so much that this word, which you describe
[00:00:31.200 --> 00:00:35.640]   as so precious, more to be desired than money and gold,
[00:00:35.640 --> 00:00:38.920]   and sweeter, Father God, than any sweet thing in this world.
[00:00:38.920 --> 00:00:42.800]   I do pray that we would all the more experience it, trust,
[00:00:42.800 --> 00:00:45.240]   and continue to build our lives upon it.
[00:00:45.240 --> 00:00:47.040]   And we again want to thank you.
[00:00:47.040 --> 00:00:50.880]   Week in and week out, we have opportunity to study and learn.
[00:00:50.880 --> 00:00:53.200]   And we do recognize, God, we feel
[00:00:53.200 --> 00:00:55.480]   how it continues to feed our soul
[00:00:55.480 --> 00:00:58.800]   and causes us to be strong in faith towards you, Lord.
[00:00:58.800 --> 00:01:00.920]   We want to thank you again and pray for a fruitful time
[00:01:00.920 --> 00:01:01.960]   of study this evening.
[00:01:01.960 --> 00:01:04.560]   It's in Christ's name we pray, amen.
[00:01:04.560 --> 00:01:06.280]   OK.
[00:01:06.280 --> 00:01:09.040]   This evening, we are looking at Ephesians chapter 4,
[00:01:09.040 --> 00:01:11.080]   verses 11 through 16.
[00:01:11.080 --> 00:01:13.480]   So let's take a moment to start reading.
[00:01:13.480 --> 00:01:16.160]   I will start reading in verse 7 because, again, those
[00:01:16.160 --> 00:01:17.880]   were connected thoughts.
[00:01:17.880 --> 00:01:20.560]   And in verse 7, it says, "But to each one of us,
[00:01:20.560 --> 00:01:23.880]   grace was given according to the measure of Christ's gift.
[00:01:23.880 --> 00:01:26.800]   Therefore, it says, when he ascended on high,
[00:01:26.800 --> 00:01:29.400]   he led captive, a host of captives,
[00:01:29.400 --> 00:01:31.600]   and he gave gifts to men."
[00:01:31.600 --> 00:01:33.600]   Now, this expression, "he ascended," what does it mean
[00:01:33.600 --> 00:01:36.080]   except that he also had descended into the lower
[00:01:36.080 --> 00:01:37.440]   parts of the earth?
[00:01:37.440 --> 00:01:39.520]   "He who descended is himself also he
[00:01:39.520 --> 00:01:41.760]   who ascended far above all the heavens
[00:01:41.760 --> 00:01:44.840]   so that he might fill all things."
[00:01:44.840 --> 00:01:46.520]   Our passage for today.
[00:01:46.520 --> 00:01:48.720]   "And he gave some as apostles and some as prophets
[00:01:48.720 --> 00:01:51.920]   and some as evangelists and some as pastors and teachers
[00:01:51.920 --> 00:01:54.480]   for the equipping of the saints for the work of service,
[00:01:54.480 --> 00:01:56.440]   to the building up of the body of Christ
[00:01:56.440 --> 00:01:59.240]   until we all attain to the unity of faith
[00:01:59.240 --> 00:02:02.240]   and the knowledge of the Son of God, to a mature man,
[00:02:02.240 --> 00:02:04.200]   to the measure of the stature which belongs
[00:02:04.200 --> 00:02:05.360]   to the fullness of Christ.
[00:02:05.360 --> 00:02:08.760]   As a result, we are no longer to be children tossed here
[00:02:08.760 --> 00:02:10.480]   and there by waves and carried about
[00:02:10.480 --> 00:02:14.040]   by every wind of doctrine, by the trickery of men,
[00:02:14.040 --> 00:02:16.720]   by craftiness and deceitful scheming.
[00:02:16.720 --> 00:02:18.560]   But speaking the truth in love, we
[00:02:18.560 --> 00:02:20.280]   are to grow up in all aspects.
[00:02:20.280 --> 00:02:23.160]   And to him who is the head, even Christ,
[00:02:23.160 --> 00:02:25.680]   from whom the whole body being fitted and held together
[00:02:25.680 --> 00:02:28.080]   by what every joint supplies, according
[00:02:28.080 --> 00:02:31.200]   to the proper working of each individual part,
[00:02:31.200 --> 00:02:34.000]   causes the growth of the body for the building up
[00:02:34.000 --> 00:02:36.240]   of itself in love."
[00:02:36.240 --> 00:02:37.520]   OK.
[00:02:37.520 --> 00:02:40.200]   This passage has a lot to say.
[00:02:40.200 --> 00:02:42.000]   But I do want to make mention of the fact
[00:02:42.000 --> 00:02:44.760]   that this is a very pivotal and important passage
[00:02:44.760 --> 00:02:48.400]   to the doctrine of the church, namely
[00:02:48.400 --> 00:02:50.760]   how the church has been blessed, but also
[00:02:50.760 --> 00:02:54.280]   the vision of what the church should be like.
[00:02:54.280 --> 00:02:57.640]   We're going to start with verse 11 that describes the gift,
[00:02:57.640 --> 00:03:00.440]   the gift that Christ has given.
