
[00:00:00.000 --> 00:00:06.840]   - Hello, everyone.
[00:00:06.840 --> 00:00:11.920]   This is lesson 22 through our inductive study through the Book of Ephesians.
[00:00:11.920 --> 00:00:16.760]   That's a lot of weeks and we're still excited to go through our last chapter,
[00:00:16.760 --> 00:00:18.760]   chapter 6.
[00:00:18.760 --> 00:00:21.440]   We are essentially then on the tail end of the study.
[00:00:21.440 --> 00:00:26.080]   There are so many practical applications and important truths for us to apply.
[00:00:26.080 --> 00:00:30.480]   We're praying for a lot of fruitfulness, especially as it relates to our home
[00:00:30.480 --> 00:00:33.000]   lives and the relationships that we have.
[00:00:33.000 --> 00:00:37.280]   Before we jump in, let's pray and ask for the Lord's blessing on our time.
[00:00:37.280 --> 00:00:40.680]   Lord, we thank you, God, for your grace.
[00:00:40.680 --> 00:00:46.520]   Father, we pray that all the truths that we learn, we will take the step,
[00:00:46.520 --> 00:00:50.840]   the necessary step to examine our private lives through it.
[00:00:50.840 --> 00:00:56.960]   Especially, Lord, and even the comforts of our own home in the daily experiences and
[00:00:56.960 --> 00:00:58.360]   the relationships that we have.
[00:00:58.360 --> 00:01:02.920]   In those contexts, Lord, help us to live out your truth.
[00:01:02.920 --> 00:01:08.360]   Particularly, Father God, with the empowerment and strength of your spirit,
[00:01:08.360 --> 00:01:12.000]   help us to know what it means to serve the needs of others,
[00:01:12.000 --> 00:01:15.040]   to submit ourselves to the good of those around us.
[00:01:15.040 --> 00:01:21.160]   Ultimately, seeking, Father God, that people all around us will come to a
[00:01:21.160 --> 00:01:23.000]   saving knowledge of you.
[00:01:23.000 --> 00:01:28.040]   And we pray, Father God, that by us living in faith, you would magnify yourself.
[00:01:28.040 --> 00:01:31.280]   Lord, we thank you so much for your truth tonight, and pray, God,
[00:01:31.280 --> 00:01:34.320]   that again, you would use it in our lives in a mighty way.
[00:01:34.320 --> 00:01:36.880]   We thank you in Christ's name, amen.
[00:01:36.880 --> 00:01:38.320]   Okay.
[00:01:38.320 --> 00:01:41.880]   Well, let's take a look at chapter 6, verses 1 through 9.
[00:01:41.880 --> 00:01:49.280]   And I'm reading out of the NASB, and it says here, "Children, obey your parents
[00:01:49.280 --> 00:01:51.960]   in the Lord, for this is right.
[00:01:51.960 --> 00:01:54.640]   Honor your father and mother, which is the first commandment,
[00:01:54.640 --> 00:01:59.600]   with a promise, so that it may be well with you, and that you may live long
[00:01:59.600 --> 00:02:00.760]   on the earth.
[00:02:00.760 --> 00:02:05.440]   Fathers, do not provoke your children to anger, but bring them up in the discipline
[00:02:05.440 --> 00:02:07.800]   and instruction of the Lord.
[00:02:07.800 --> 00:02:12.360]   Slaves, be obedient to those who are your masters according to the flesh,
[00:02:12.360 --> 00:02:17.560]   with fear and trembling, and the sincerity of your heart as to Christ,
[00:02:17.560 --> 00:02:21.680]   not by way of eye service as men pleasers, but as slaves of Christ,
[00:02:21.680 --> 00:02:24.320]   doing the will of God from the heart.
[00:02:24.320 --> 00:02:28.280]   With goodwill, render service as to the Lord and not to men,
[00:02:28.280 --> 00:02:31.920]   knowing that whatever good thing each one does, this he will receive back
[00:02:31.920 --> 00:02:35.080]   from the Lord, whether slave or free.
[00:02:35.080 --> 00:02:38.800]   And masters, do the same things to them and give up threatening,
[00:02:38.800 --> 00:02:42.840]   knowing that both their master and yours is in heaven, and there is no
[00:02:42.840 --> 00:02:45.080]   partiality with him."
[00:02:45.080 --> 00:02:46.160]   Okay.
[00:02:46.160 --> 00:02:51.520]   So, as we take a look at this passage, it does this categorical, you know,
[00:02:51.520 --> 00:02:55.600]   places in people's lives, and there's a theme, obviously,
[00:02:55.600 --> 00:02:58.240]   within the various commandments that he gives.
[00:02:58.240 --> 00:03:02.640]   So, if we recall back in chapter 5, verses 20 and through 21,
[00:03:02.640 --> 00:03:06.400]   Apostle Paul said, "Always giving thanks for all things in the name of our Lord,
[00:03:06.400 --> 00:03:10.720]   Jesus Christ, to God, even the Father, and to be subject to one another in the
[00:03:10.720 --> 00:03:11.720]   fear of Christ."
[00:03:11.720 --> 00:03:16.920]   The reason why I included verse 20 is because there is a sentiment that
[00:03:16.920 --> 00:03:20.160]   everything you are doing, you're supposed to be doing it with
[00:03:20.160 --> 00:03:24.360]   thankfulness in your heart and in the name of the Lord, right?
[00:03:24.360 --> 00:03:29.440]   In Christ is the realm in which you are supposed to be living your life.
[00:03:29.440 --> 00:03:33.960]   And that, he connects it to being subject to one another in the fear of Christ.
[00:03:33.960 --> 00:03:39.520]   So, in you living your life in the context of Christ, there should be an
[00:03:39.520 --> 00:03:45.080]   empowerment that now you're able to be subject to one another through your own
[00:03:45.080 --> 00:03:46.800]   relationship with Christ.
[00:03:46.800 --> 00:03:52.760]   And so, as an application of that, we learn, starting from verse 22 of chapter 5,
[00:03:52.760 --> 00:03:57.840]   that wives ought to give submission to your husbands, just as you would give
[00:03:57.840 --> 00:03:59.520]   submission to Christ.
[00:03:59.520 --> 00:04:04.240]   And then the husbands, I phrased it this way, you're supposed to be submitting
[00:04:04.240 --> 00:04:09.640]   essentially to the example of Christ, just as he gave us that example, okay?
[00:04:09.640 --> 00:04:15.440]   He gave us this example to love for the benefit in a sacrificial manner for his
[00:04:15.440 --> 00:04:16.120]   church.
[00:04:16.120 --> 00:04:19.960]   And likewise, then, for the husband is called to submit to that role.
[00:04:19.960 --> 00:04:26.440]   As a head of the home, as a head of the wife, he is to be seeking her good,
[00:04:26.440 --> 00:04:28.080]   her spiritual good.
[00:04:28.080 --> 00:04:32.640]   And then here now, we have then categorical exhortations that that
[00:04:32.640 --> 00:04:37.320]   application of the submit to one another should also happen within the relationship
[00:04:37.320 --> 00:04:40.880]   between child and father, and then slave and master, okay?
[00:04:40.880 --> 00:04:42.960]   So, that's what we're studying tonight.
[00:04:42.960 --> 00:04:47.760]   And so, the first portion of it, starting from verse 1 through 3, we have here the
[00:04:47.760 --> 00:04:52.960]   scripture saying, "Children, obey your parents in the Lord for this is right.
[00:04:52.960 --> 00:04:57.400]   Honor your father and mother, which is the first commandment with a promise,
[00:04:57.400 --> 00:05:01.760]   so that it may be well with you and that you may live long on the earth."
[00:05:01.760 --> 00:05:03.120]   Okay.
[00:05:03.120 --> 00:05:06.200]   So, as we take a look at that, the commandments I've highlighted for you
[00:05:06.200 --> 00:05:12.320]   there in purple, and it is this idea that we ought to obey the parents and honor the
[00:05:12.320 --> 00:05:14.320]   father and mother, right?
[00:05:14.320 --> 00:05:20.640]   So, essentially, when we think about children, I mean, it's no like news and
[00:05:20.640 --> 00:05:25.800]   something, I guess, novel and brand new to us to say that children should learn how
[00:05:25.800 --> 00:05:28.200]   to respect authority, okay?
[00:05:28.200 --> 00:05:33.720]   But sometimes, I think that a lot of people expect people to learn that or
[00:05:33.720 --> 00:05:38.480]   children to learn that when they play sports, when they get involved in organized
[00:05:38.480 --> 00:05:41.280]   activities, or at school.
[00:05:41.280 --> 00:05:45.160]   But the idea here is they should be learning that initially through their
[00:05:45.160 --> 00:05:47.880]   relationship with their parents, right?
[00:05:47.880 --> 00:05:52.480]   So, as we think about this, I'm not going to spend a whole lot of time,
[00:05:52.480 --> 00:05:55.280]   but we do want to make mention of this fact that there should be in the
[00:05:55.280 --> 00:06:01.480]   relationship between child and parent a respect for authority and obedience, okay?
[00:06:01.480 --> 00:06:06.160]   Now, one of the things that will be of good question, or at least something of an
