
[00:00:00.000 --> 00:00:06.480]   - Hello everyone.
[00:00:06.480 --> 00:00:09.360]   Hope you guys are having a great week in the Lord.
[00:00:09.360 --> 00:00:10.840]   Let's take a moment to pray
[00:00:10.840 --> 00:00:12.920]   as we jump into our text for tonight.
[00:00:12.920 --> 00:00:16.940]   Our God, we thank you so much for your grace.
[00:00:16.940 --> 00:00:20.800]   Lord, we're truly grateful that God in this life
[00:00:20.800 --> 00:00:25.800]   where we are besieged with attacks, distractions,
[00:00:27.000 --> 00:00:30.300]   where we have weaknesses within ourselves,
[00:00:30.300 --> 00:00:33.040]   where we also have our enemy trying to deceive us
[00:00:33.040 --> 00:00:34.480]   and attack us.
[00:00:34.480 --> 00:00:35.760]   We thank you so much God
[00:00:35.760 --> 00:00:38.160]   that you grant to us so much in Christ.
[00:00:38.160 --> 00:00:42.720]   God that you grant to us his power and strength,
[00:00:42.720 --> 00:00:45.280]   but also Father God, the light of your word
[00:00:45.280 --> 00:00:47.460]   and a ministry of your Holy Spirit.
[00:00:47.460 --> 00:00:50.440]   We're also so thankful for the church
[00:00:50.440 --> 00:00:52.660]   that God in fellowship together,
[00:00:52.660 --> 00:00:55.360]   we can in many ways bind together,
[00:00:55.360 --> 00:00:57.720]   staying strong, standing firm
[00:00:57.720 --> 00:01:00.360]   against all the tide of the generations.
[00:01:00.360 --> 00:01:01.840]   So God through our study tonight,
[00:01:01.840 --> 00:01:04.040]   would you continue to build us up?
[00:01:04.040 --> 00:01:05.580]   God that we would be strong in you.
[00:01:05.580 --> 00:01:07.940]   We thank you it's in Christ name we pray, amen.
[00:01:07.940 --> 00:01:09.800]   Okay.
[00:01:09.800 --> 00:01:13.740]   Well, as we continue on the study of the book of Ephesians,
[00:01:13.740 --> 00:01:15.960]   as you recall, we are in a section
[00:01:15.960 --> 00:01:19.160]   where we are talking about applications
[00:01:19.160 --> 00:01:22.440]   of everything that we've been learning.
[00:01:22.440 --> 00:01:23.740]   And if you think about it,
[00:01:24.740 --> 00:01:28.540]   in this section so far,
[00:01:28.540 --> 00:01:31.820]   we've talked about like family relationships,
[00:01:31.820 --> 00:01:34.700]   submission to each other, the character,
[00:01:34.700 --> 00:01:36.140]   but here and now in this section,
[00:01:36.140 --> 00:01:40.340]   we're talking about standing firm in the Lord, being strong.
[00:01:40.340 --> 00:01:42.580]   And there's so much terminology
[00:01:42.580 --> 00:01:45.700]   that's related to a fight, okay?
[00:01:45.700 --> 00:01:47.720]   Let's take a look through the passage
[00:01:47.720 --> 00:01:49.740]   and for the sake of getting the whole paragraph,
[00:01:49.740 --> 00:01:52.640]   I'm going to read to us the entire section.
[00:01:52.640 --> 00:01:54.540]   It says, "Finally be strong in the Lord
[00:01:54.540 --> 00:01:56.840]   and the strength of his might.
[00:01:56.840 --> 00:01:58.500]   Put on the full armor of God
[00:01:58.500 --> 00:02:00.420]   so that you will be able to stand firm
[00:02:00.420 --> 00:02:02.900]   against the schemes of the devil.
[00:02:02.900 --> 00:02:05.560]   For our struggle is not against flesh and blood,
[00:02:05.560 --> 00:02:07.500]   but against the rulers, against the powers,
[00:02:07.500 --> 00:02:10.180]   against the world forces of this darkness,
[00:02:10.180 --> 00:02:12.020]   against the spiritual forces of wickedness
[00:02:12.020 --> 00:02:13.860]   in the heavenly places.
[00:02:13.860 --> 00:02:16.020]   Therefore take up the full armor of God
[00:02:16.020 --> 00:02:19.300]   so that you will be able to resist in the evil day.
[00:02:19.300 --> 00:02:22.020]   And having done everything to stand firm,
[00:02:22.020 --> 00:02:25.060]   stand firm therefore, having girded your loins with truth
[00:02:25.060 --> 00:02:27.900]   and having put on the breastplate of righteousness
[00:02:27.900 --> 00:02:29.860]   and having shod your feet with the preparation
[00:02:29.860 --> 00:02:31.860]   of the gospel of peace.
[00:02:31.860 --> 00:02:34.860]   In addition to all, taking up the shield of faith
[00:02:34.860 --> 00:02:36.420]   with which you will be able to extinguish
[00:02:36.420 --> 00:02:38.740]   the flaming arrows of the evil one.
[00:02:38.740 --> 00:02:40.360]   And take the helmet of salvation
[00:02:40.360 --> 00:02:43.540]   and the sword of the spirit, which is the word of God.
[00:02:43.540 --> 00:02:45.860]   With all prayer and petition, pray at all times
[00:02:45.860 --> 00:02:47.060]   in the spirit.
[00:02:47.060 --> 00:02:49.300]   And with this in view, be on the alert
[00:02:49.300 --> 00:02:52.580]   with all perseverance and petition for all the saints.
[00:02:52.580 --> 00:02:55.620]   And pray on my behalf that utterance may be given to me
[00:02:55.620 --> 00:02:58.680]   in the opening of my mouth to make known the boldness
[00:02:58.680 --> 00:03:00.500]   of the mystery of the gospel.
[00:03:00.500 --> 00:03:02.740]   For which I am an ambassador in chains,
[00:03:02.740 --> 00:03:05.620]   that in proclaiming it, I may speak boldly
[00:03:05.620 --> 00:03:07.660]   as I ought to speak."
[00:03:07.660 --> 00:03:10.780]   Now, jumping right into the passage,
[00:03:10.780 --> 00:03:13.380]   there is a strong exhortation for us,
[00:03:13.380 --> 00:03:16.680]   strong exhortation for us to be strong.
[00:03:18.940 --> 00:03:21.980]   He says, "Finally be strong in the Lord."
[00:03:21.980 --> 00:03:24.500]   And whenever the command is given,
[00:03:24.500 --> 00:03:25.740]   there are sometimes commands
[00:03:25.740 --> 00:03:27.240]   that are a little bit more complicated.
[00:03:27.240 --> 00:03:31.220]   And then there are commands that is just straightforward.
[00:03:31.220 --> 00:03:33.580]   You need to be strong.
[00:03:33.580 --> 00:03:36.700]   But I think sometimes we kind of,
[00:03:36.700 --> 00:03:37.980]   because it's so straightforward,
[00:03:37.980 --> 00:03:39.780]   we glance over and then move on.
[00:03:39.780 --> 00:03:41.380]   But it's important for you to ask,
[00:03:41.380 --> 00:03:45.980]   do I understand the kind of strength he wants me to have?
[00:03:45.980 --> 00:03:49.660]   Do I have a picture of the kind of fortitude, right?
[00:03:49.660 --> 00:03:52.500]   That God wants us to exhibit in this life.
[00:03:52.500 --> 00:03:55.160]   And the idea here, the expectation for you
[00:03:55.160 --> 00:03:58.120]   is to have all kinds of strengths.
[00:03:58.120 --> 00:03:59.920]   Take a look at all the various ways
[00:03:59.920 --> 00:04:03.740]   that God has described the strength you need
[00:04:03.740 --> 00:04:05.700]   in this, I guess you can say last hour
[00:04:05.700 --> 00:04:08.300]   or the evil day or the time to come,
[00:04:08.300 --> 00:04:10.660]   the struggle that we're engaged in now.
[00:04:10.660 --> 00:04:12.740]   He talked about standing firm.
[00:04:12.740 --> 00:04:15.980]   So you should be able to resist, right?
[00:04:15.980 --> 00:04:19.100]   You should be able to hold your ground, so to speak.
[00:04:19.100 --> 00:04:20.500]   You shouldn't be a pushover.
[00:04:20.500 --> 00:04:23.020]   It talks about the struggle.
[00:04:23.020 --> 00:04:24.720]   Like you're supposed to be engaged
[00:04:24.720 --> 00:04:28.460]   in a kind of a combative struggle,
[00:04:28.460 --> 00:04:31.660]   a fight that is both defensive and offensive.
[00:04:31.660 --> 00:04:34.820]   When you look at the various pieces of the army,
[00:04:34.820 --> 00:04:39.100]   you'll notice that there are multiple elements to this.
[00:04:39.100 --> 00:04:41.740]   He talks about a kind of strength that's full.
[00:04:41.740 --> 00:04:43.920]   He talks about, again, being able to resist
[00:04:43.920 --> 00:04:45.340]   and to stand firm.
[00:04:45.340 --> 00:04:46.820]   So when you take a look at all this,
[00:04:46.820 --> 00:04:49.720]   I mean, the emphasis is very clear.
[00:04:49.720 --> 00:04:54.720]   God wants you as an individual in Christ to be very strong.
[00:04:54.720 --> 00:04:56.540]   Another passage I wanna turn to
[00:04:56.540 --> 00:05:00.260]   just by way of a cross-reference,
[00:05:00.260 --> 00:05:01.420]   as Apostle Paul says,
[00:05:01.420 --> 00:05:04.620]   "As a prayer for the church and every Christian,"
[00:05:04.620 --> 00:05:06.020]   he says in Philippians,
[00:05:06.020 --> 00:05:09.660]   "This I pray that your love may abound still more and more
[00:05:09.660 --> 00:05:12.980]   in real knowledge and all discernment,
[00:05:12.980 --> 00:05:16.220]   so that you may approve the things that are excellent
[00:05:16.220 --> 00:05:19.020]   in order to be sincere and blameless
[00:05:19.020 --> 00:05:21.460]   until the day of Christ,
[00:05:21.460 --> 00:05:23.700]   having been filled with the fruit of righteousness,
[00:05:23.700 --> 00:05:25.060]   which comes through Jesus Christ
[00:05:25.060 --> 00:05:27.140]   to the glory and praise of God."
[00:05:27.140 --> 00:05:29.420]   Now, this prayer doesn't include things like
[00:05:29.420 --> 00:05:31.420]   military battle strength,
[00:05:31.420 --> 00:05:33.340]   being prepared in that kind of fashion,
[00:05:33.340 --> 00:05:36.700]   but it talks about you growing all the way up to the end,
[00:05:36.700 --> 00:05:39.500]   having sincerity and blamelessness and righteousness,
[00:05:39.500 --> 00:05:41.260]   and so when I ask the question again,
[00:05:41.260 --> 00:05:45.340]   do you understand what it means to be strong, right?
[00:05:45.340 --> 00:05:46.980]   I hope you're not thinking just like,
[00:05:46.980 --> 00:05:48.940]   "Ugh," that kind of strong,
[00:05:48.940 --> 00:05:50.780]   but obviously there's a strength here
[00:05:50.780 --> 00:05:52.500]   that Apostle Paul is praying for.
[00:05:52.500 --> 00:05:56.140]   Can you use your love and your mind
[00:05:56.140 --> 00:05:58.740]   to discern what is pleasing to God,
[00:05:58.740 --> 00:06:00.740]   what is excellent in His eyes?
[00:06:00.740 --> 00:06:04.100]   Can you approve of what is true and godly,
[00:06:04.100 --> 00:06:07.620]   and can you be so clear that you're sincere and blameless
[00:06:07.620 --> 00:06:08.980]   all the way through?
[00:06:08.980 --> 00:06:12.100]   So again, contributing to the idea
[00:06:12.100 --> 00:06:14.620]   of what does it mean to be strong.
[00:06:14.620 --> 00:06:16.820]   Now, this passage describes to us
[00:06:16.820 --> 00:06:18.780]   even more of what it means to be strong
[00:06:18.780 --> 00:06:21.180]   by describing the context
[00:06:21.180 --> 00:06:23.180]   and the means by which you're supposed to be strong,
[00:06:23.180 --> 00:06:25.060]   which is both in the Lord
[00:06:25.060 --> 00:06:28.500]   and in the strength of His might.
[00:06:28.500 --> 00:06:30.940]   Now, we can talk so much about in the Lord
[00:06:30.940 --> 00:06:32.420]   and the strength of His might,
[00:06:32.420 --> 00:06:35.580]   but you guys remember the chapters one through three.
[00:06:35.580 --> 00:06:40.580]   It was through His exhibition of His love
[00:06:40.580 --> 00:06:43.620]   and His might that He accomplished redemption.
[00:06:43.620 --> 00:06:45.740]   Through the power that is in Christ,
[00:06:45.740 --> 00:06:48.820]   He is changing and transforming you, right?
[00:06:48.820 --> 00:06:49.740]   But within all this,
[00:06:49.740 --> 00:06:52.100]   one of the highlights that I would like to say is
[00:06:52.100 --> 00:06:56.500]   there is clearly a concept of dependency, okay?
