
[00:00:00.000 --> 00:00:05.960]   Good morning, Church family.
[00:00:05.960 --> 00:00:09.440]   My name is Abby Bechtel, and this is my testimony.
[00:00:09.440 --> 00:00:11.720]   I grew up in a nominally Christian home.
[00:00:11.720 --> 00:00:13.800]   My family went to church on Sundays.
[00:00:13.800 --> 00:00:17.680]   We prayed before every meal and read the Children's Story Bible before bed.
[00:00:17.680 --> 00:00:22.280]   When I was five years old with my parents, I prayed a prayer that I didn't understand.
[00:00:22.280 --> 00:00:26.280]   I recall asking for forgiveness of my sins and believing in stories I heard about Jesus
[00:00:26.280 --> 00:00:31.000]   Christ, but I don't count this as my moment of genuine salvation because at such a young
[00:00:31.000 --> 00:00:34.520]   age I didn't truly understand the depths of my sin.
[00:00:34.520 --> 00:00:38.760]   I didn't repent or put my faith in my Heavenly Father.
[00:00:38.760 --> 00:00:42.280]   Throughout grade school and on, I continued living a life of sin.
[00:00:42.280 --> 00:00:46.320]   I confessed with my mouth that I knew Jesus Christ, but I was lost.
[00:00:46.320 --> 00:00:50.940]   My family situation worsened, and I took the burden of fixing it upon myself.
[00:00:50.940 --> 00:00:55.740]   I wanted to live the perfect life, to have the perfect parents, be the perfect student,
[00:00:55.740 --> 00:00:58.160]   and I thought I could live by my own strength.
[00:00:58.160 --> 00:01:00.200]   I tried to hold it together.
[00:01:00.200 --> 00:01:01.200]   I was prideful.
[00:01:01.200 --> 00:01:02.200]   I was resentful.
[00:01:02.200 --> 00:01:03.200]   I was angry.
[00:01:03.200 --> 00:01:04.720]   I lied to those around me.
[00:01:04.720 --> 00:01:05.720]   I was bitter.
[00:01:05.720 --> 00:01:10.040]   I was a sinner, not seeking saving because I didn't recognize my need.
[00:01:10.040 --> 00:01:15.940]   I had no understanding of the width and depth of my sin and my desperate need of salvation.
[00:01:15.940 --> 00:01:18.720]   My life revolved around myself and my family.
[00:01:18.720 --> 00:01:24.980]   I found security in my capability, and I sought for joy in the respect and admiration of others.
[00:01:24.980 --> 00:01:29.080]   This phantom of control came crashing down when I was around 13 years old.
[00:01:29.080 --> 00:01:33.020]   My parents' relationship was always rocky, and it was brought to the point where talk
[00:01:33.020 --> 00:01:35.680]   of divorce was circling.
[00:01:35.680 --> 00:01:40.680]   And that cloud of ability that was around me disappeared, and I was left with just an
[00:01:40.680 --> 00:01:42.520]   empty feeling of anger.
[00:01:42.520 --> 00:01:44.640]   I didn't know where to turn to.
[00:01:44.640 --> 00:01:47.840]   But God used these trials in my life for His glory.
[00:01:47.840 --> 00:01:50.960]   My conversion was by no means immediate.
[00:01:50.960 --> 00:01:55.760]   After God showed me my incapability to fix my family, I turned to myself.
[00:01:55.760 --> 00:01:59.960]   Achieving a certain grade, having enough people respect me, or living a comfortable life would
[00:01:59.960 --> 00:02:02.920]   do nothing to fix the hole in my heart.
[00:02:02.920 --> 00:02:07.080]   I had come to the point where I had exhausted the options that the world had to offer.
[00:02:07.080 --> 00:02:09.660]   For once in my life, I didn't know what to do.
[00:02:09.660 --> 00:02:12.240]   It was then that I opened my Bible to Romans.
[00:02:12.240 --> 00:02:16.640]   I read Romans 5, "For while we were still weak, at the right time Christ died for the
[00:02:16.640 --> 00:02:17.700]   ungodly.
[00:02:17.700 --> 00:02:21.440]   For one would scarcely die for a righteous person, though perhaps for a good person one
