
[00:00:00.000 --> 00:00:06.880]   Thank you, Agnes.
[00:00:06.880 --> 00:00:16.640]   As a pastor, there's a part of me that is so thankful for your testimony and what I
[00:00:16.640 --> 00:00:19.760]   know of Agnes.
[00:00:19.760 --> 00:00:26.240]   I'm hoping in many ways that my own daughter can grow up to be similar and share a lot
[00:00:26.240 --> 00:00:34.000]   of these traits, and I'm sure your parents are very proud, so thank you for that testimony.
[00:00:34.000 --> 00:00:43.160]   Well, it's Monday night, and each year our observance of the Passion Week begins on Palm
[00:00:43.160 --> 00:00:50.840]   Sunday, as you guys know, with Jesus' triumphal entry on a donkey into Jerusalem.
[00:00:50.840 --> 00:00:57.160]   And we reflected on this yesterday, and so each evening this week we will be meeting
[00:00:57.160 --> 00:01:04.160]   here to reflect on each of the days leading up to Jesus' death and resurrection.
[00:01:04.160 --> 00:01:09.720]   The Passion Week, which means the week of his sufferings, is the most important week
[00:01:09.720 --> 00:01:16.720]   in all of human history, and it's also central to the narratives of the four gospel accounts.
[00:01:16.720 --> 00:01:24.680]   The man Jesus, you guys know, walked 30 years – 33 years on the earth, but nearly half
[00:01:24.680 --> 00:01:29.720]   of all the gospel accounts are devoted to the events and the teachings of just this
[00:01:29.720 --> 00:01:32.680]   single week.
[00:01:32.680 --> 00:01:38.540]   During this week, most all things public – Christ's teachings, confrontations with religious
[00:01:38.540 --> 00:01:45.060]   leaders, and the events surrounding his trial – they all take place in Jerusalem.
[00:01:45.060 --> 00:01:52.120]   But after each day, Jesus and his disciples, they walk about two miles and return to Bethany,
[00:01:52.120 --> 00:01:56.420]   presumably to the home of Lazarus and his sisters.
[00:01:56.420 --> 00:02:03.480]   So Bethany to Jerusalem, Jerusalem to Bethany, Bethany to Jerusalem, and much teaching happens
[00:02:03.480 --> 00:02:07.480]   to and from, and also on the road.
[00:02:07.480 --> 00:02:14.920]   So this is the physical setting of this week – Bethany to Jerusalem, back and forth.
[00:02:14.920 --> 00:02:20.160]   And this is a week in which we also see a lot of Jesus' emotions.
[00:02:20.160 --> 00:02:27.840]   We see him weep, we see him rage, and elsewhere in the gospel narratives, we see more amazement
[00:02:27.840 --> 00:02:32.160]   from Jesus than either weeping or raging.
[00:02:32.160 --> 00:02:39.800]   But this week is different, and understandably, we see more emotion as Jesus heads toward
[00:02:39.800 --> 00:02:42.000]   the cross.
[00:02:42.000 --> 00:02:47.160]   And you can tell a lot about the passions of a person's heart by what we see him weep
[00:02:47.160 --> 00:02:50.380]   over and what we see him rage over.
[00:02:50.380 --> 00:02:57.400]   And you can observe a lot of what a person loves and what a person hates by outbursts
[00:02:57.400 --> 00:02:59.600]   of these emotions.
[00:02:59.600 --> 00:03:06.060]   And on Monday, Jesus is visibly very upset.
[00:03:06.060 --> 00:03:11.840]   And there are two major things that Scripture points us to that take place on Monday.
[00:03:11.840 --> 00:03:19.500]   The first one is the only miracle of destruction in the gospel accounts, where Jesus curses
[00:03:19.500 --> 00:03:24.700]   a fig tree while on his way toward Jerusalem.
[00:03:24.700 --> 00:03:32.200]   The second is Jesus causing a scene in the temple where he overturns tables, chases away
[00:03:32.200 --> 00:03:37.760]   the money changers, drives away those selling doves, and then he gets into it with the religious
[00:03:37.760 --> 00:03:39.280]   leaders.
[00:03:39.280 --> 00:03:46.080]   And we read that Jesus literally stands physically in people's ways so that they can't carry
[00:03:46.080 --> 00:03:48.700]   merchandise through the temple.
[00:03:48.700 --> 00:03:54.840]   So this is possibly the most physically animated we have ever seen Jesus.
[00:03:54.840 --> 00:03:57.400]   So Jesus curses the fig tree.
[00:03:57.400 --> 00:04:00.200]   Jesus disrupts business at the temple.
[00:04:00.200 --> 00:04:02.320]   The fig tree and the temple.
[00:04:02.320 --> 00:04:05.880]   And there is a connection between these two events.
[00:04:05.880 --> 00:04:10.880]   The curse of the fig tree is a symbol of God's judgment on the temple.
[00:04:10.880 --> 00:04:18.080]   The leafy fig tree, with all its promise of fruit, is as deceptive as the temple, which,
[00:04:18.080 --> 00:04:25.660]   despite its religious activity, it's really an outlaw's hideout, a robber's den.
[00:04:25.660 --> 00:04:31.680]   It had the appearance of fruitfulness, of holy sacrifice, but in reality it was barren
[00:04:31.680 --> 00:04:34.140]   of anything of worth.
[00:04:34.140 --> 00:04:37.200]   So let's take a look at Mark's account together.
[00:04:37.200 --> 00:04:45.480]   I'll be reading Mark 11, 15 to 19 for you, and it's up on the screen.
[00:04:45.480 --> 00:04:49.960]   Then they came to Jerusalem, and he entered the temple and began to drive out those who
[00:04:49.960 --> 00:04:54.640]   were buying and selling in the temple, and overturned the tables of the money changers
[00:04:54.640 --> 00:04:57.860]   and the seats of those who were selling doves.
[00:04:57.860 --> 00:05:02.860]   And he would not permit anyone to carry merchandise through the temple.
[00:05:02.860 --> 00:05:08.600]   And he began to teach and say to them, "Is it not written, 'My house shall be called
[00:05:08.600 --> 00:05:12.640]   a house of prayer for all the nations'?
[00:05:12.640 --> 00:05:17.540]   But you have made it a robber's den."
[00:05:17.540 --> 00:05:23.200]   The chief priests and the scribes heard this and began seeking how to destroy him, for
[00:05:23.200 --> 00:05:29.140]   they were afraid of him, for the whole crowd was astonished at his teaching.
[00:05:29.140 --> 00:05:33.480]   And when evening came, they would go out of the city.
[00:05:33.480 --> 00:05:40.640]   So here in verse 17, we see Jesus alluding to two Old Testament prophecies, Isaiah 56,
[00:05:40.640 --> 00:05:41.840]   Jeremiah 7.
[00:05:41.840 --> 00:05:44.320]   And I'm going to read little sections of both for you.
[00:05:44.320 --> 00:05:50.280]   The first one, Isaiah 56, is one of the most uplifting chapters in all of the Old Testament.
[00:05:50.280 --> 00:05:55.480]   In Isaiah chapter 55, he says, "Seek the Lord while he may be found.
[00:05:55.480 --> 00:05:57.280]   Call upon him while he is near."
[00:05:57.280 --> 00:06:04.980]   And then in 56, it describes reward upon reward for those who earnestly seek the Lord's face
[00:06:04.980 --> 00:06:05.980]   and obedience.
[00:06:05.980 --> 00:06:10.880]   Okay, so I'm going to read verses 6 through 7 of Isaiah 56 for you.
[00:06:10.880 --> 00:06:18.280]   "Also the foreigners who join themselves to the Lord, to minister to him and to love the
[00:06:18.280 --> 00:06:25.000]   name of the Lord, to be his servants, everyone who keeps from profaning the Sabbath and holds
[00:06:25.000 --> 00:06:31.420]   fast my covenant, even those I will bring to my holy mountain and make them joyful in
[00:06:31.420 --> 00:06:33.220]   my house of prayer.
[00:06:33.220 --> 00:06:39.020]   Their burnt offerings and their sacrifices will be acceptable on my altar, for my house
[00:06:39.020 --> 00:06:45.440]   will be called a house of prayer for all the peoples."
[00:06:45.440 --> 00:06:51.700]   The second passage, where the den of robbers is prophesied, has a very different feel.
