
[00:00:00.000 --> 00:00:08.160]   - Good morning again.
[00:00:08.160 --> 00:00:11.040]   Let's take a moment to go before the Lord and pray,
[00:00:11.040 --> 00:00:13.360]   asking him to bless our time and the word.
[00:00:13.360 --> 00:00:14.200]   Let's pray together.
[00:00:14.200 --> 00:00:19.080]   Heavenly Father, God, we pray that as each Sunday,
[00:00:19.080 --> 00:00:20.880]   we open up your word.
[00:00:20.880 --> 00:00:24.440]   God, we know that you are revealing to us your will,
[00:00:24.440 --> 00:00:27.000]   your truth, and it is our prayer, God,
[00:00:27.000 --> 00:00:31.040]   that as we open it up, Lord, we would expose
[00:00:31.040 --> 00:00:33.520]   the intentions of our mind
[00:00:33.520 --> 00:00:35.740]   and the contents of our heart to you.
[00:00:35.740 --> 00:00:37.780]   God, that we would be changed.
[00:00:37.780 --> 00:00:40.900]   Lord, that we would be edified by your powerful word.
[00:00:40.900 --> 00:00:42.900]   So we pray for a blessed time this morning.
[00:00:42.900 --> 00:00:45.260]   It's in Christ's name we pray, amen.
[00:00:45.260 --> 00:00:51.240]   So just by way of asking you to get in a frame of mind,
[00:00:51.240 --> 00:00:55.260]   I want to ask you to think about the last time
[00:00:55.260 --> 00:00:59.380]   that you're about to get into some major trouble, okay?
[00:00:59.380 --> 00:01:02.180]   Now, for some of you guys, you're thinking,
[00:01:02.180 --> 00:01:04.080]   maybe at work, right?
[00:01:04.080 --> 00:01:07.460]   You made a royal blunder at your office.
[00:01:07.460 --> 00:01:10.220]   There was a time when I used to work at a sales admin
[00:01:10.220 --> 00:01:12.520]   at a warehouse distributor,
[00:01:12.520 --> 00:01:16.320]   and I accidentally sent the end product,
[00:01:16.320 --> 00:01:20.400]   the merchant's price tag to them,
[00:01:20.400 --> 00:01:23.360]   and the upper department managers
[00:01:23.360 --> 00:01:26.220]   immediately all sent me one email ticket,
[00:01:26.220 --> 00:01:28.520]   like a bunch of emails at one time.
[00:01:28.520 --> 00:01:30.260]   I felt my body just shrinking,
[00:01:30.260 --> 00:01:32.420]   and then just wanting to escape, okay?
[00:01:32.420 --> 00:01:36.480]   Think about a time when you were getting into trouble,
[00:01:36.480 --> 00:01:39.040]   so to speak, or trying to escape.
[00:01:39.040 --> 00:01:40.840]   The reason why I want you to think of that
[00:01:40.840 --> 00:01:42.640]   is because I want you to think about
[00:01:42.640 --> 00:01:47.640]   when was the last time you were tempted to lie, okay?
[00:01:47.640 --> 00:01:50.640]   This silly machine, I don't know why it sent the thingy.
[00:01:51.640 --> 00:01:53.560]   When was the last time you were tempted
[00:01:53.560 --> 00:01:57.680]   to fudge on what really happened?
[00:01:57.680 --> 00:01:59.920]   And the thing about it is, when it comes to maturity,
[00:01:59.920 --> 00:02:03.040]   even from a young age, we recognize that for little ones,
[00:02:03.040 --> 00:02:05.680]   for the young children, when we were kids,
[00:02:05.680 --> 00:02:09.120]   that lying came pretty natural to us, you know?
[00:02:09.120 --> 00:02:11.440]   Your mom asks, like, did you eat that candy?
[00:02:11.440 --> 00:02:13.440]   No, you know, it's just immediate,
[00:02:13.440 --> 00:02:15.640]   just without even hesitation.
[00:02:15.640 --> 00:02:17.800]   And the thing about it is, our maturity doesn't mean
[00:02:17.800 --> 00:02:19.880]   that we don't make mistakes over time.
[00:02:19.880 --> 00:02:21.760]   Actually, our parents are looking at us like,
[00:02:21.760 --> 00:02:24.840]   do you have the maturity to tell me the truth
[00:02:24.840 --> 00:02:29.000]   when you make your mistakes, when you sin, right?
[00:02:29.000 --> 00:02:33.120]   Unfortunately, truth be told,
[00:02:33.120 --> 00:02:36.280]   sometimes even though I wish I would mature a lot faster,
[00:02:36.280 --> 00:02:40.160]   I have still the temptation to lie,
[00:02:40.160 --> 00:02:42.480]   and intentionally lie to hide.
[00:02:42.480 --> 00:02:44.560]   Silliest example, very recently,
[00:02:44.560 --> 00:02:47.040]   I purchased some camping gear.
[00:02:47.040 --> 00:02:49.360]   Now, the thing is, I don't go camping a lot a lot.
[00:02:49.360 --> 00:02:52.120]   Our family goes maybe once or twice a year,
[00:02:52.120 --> 00:02:55.040]   but I have enough camping gear to last me like months.
[00:02:55.040 --> 00:02:57.720]   So my wife already knows, like,
[00:02:57.720 --> 00:03:01.440]   we don't need another thing, okay.
[00:03:01.440 --> 00:03:05.360]   But to my weakness and flesh,
[00:03:05.360 --> 00:03:08.240]   I bought this really amazing solar panel generator, okay?
[00:03:08.240 --> 00:03:10.840]   So it's expensive, right?
[00:03:10.840 --> 00:03:13.560]   And the thing is, as things for guys go,
[00:03:13.560 --> 00:03:16.000]   we like to brag about the camp gear we buy.
[00:03:16.000 --> 00:03:17.240]   So the next time you go camping,
[00:03:17.240 --> 00:03:18.720]   they're like, oh, look at that.
[00:03:18.720 --> 00:03:21.880]   I'm like, yeah, it's pretty cool.
[00:03:21.880 --> 00:03:23.840]   And then we talk about the amperage
[00:03:23.840 --> 00:03:25.320]   and the solar panel thing.
[00:03:25.320 --> 00:03:29.160]   But the next question always is, how much did it cost?
[00:03:29.160 --> 00:03:32.920]   And immediately I felt this weird tingling sensation.
[00:03:32.920 --> 00:03:36.400]   They're gonna judge me if I say how much this thing cost.
