
[00:00:00.000 --> 00:00:06.560]   - Good morning.
[00:00:06.560 --> 00:00:10.280]   My name is Lauren and I'm a recent graduate from UC Riverside and it's a privilege to
[00:00:10.280 --> 00:00:15.080]   be able to share with you this morning how God has worked in my life.
[00:00:15.080 --> 00:00:18.800]   I had grown up attending church every Sunday as early as I can remember.
[00:00:18.800 --> 00:00:24.440]   I have fond memories of it from when I was a child, but still I would not have considered
[00:00:24.440 --> 00:00:29.920]   myself a church kid as many people's testimonies would go and there are many reasons for that.
[00:00:29.920 --> 00:00:33.840]   Since early childhood, I was taught about God and as I would graduate into the next
[00:00:33.840 --> 00:00:38.960]   ministries as I got older, my curiosity would ever so slightly grow too.
[00:00:38.960 --> 00:00:42.320]   Transitioning into middle school, I moved to a different area and before that I had
[00:00:42.320 --> 00:00:44.960]   never dealt with change in my life.
[00:00:44.960 --> 00:00:50.520]   During that time in youth ministry, I found the pastor's messages very engaging and encouraging
[00:00:50.520 --> 00:00:52.200]   to my troubled soul.
[00:00:52.200 --> 00:00:54.280]   In seventh grade, I went on a retreat.
[00:00:54.280 --> 00:00:57.080]   There God revealed his presence to me through worship and prayer.
[00:00:57.080 --> 00:01:01.560]   For the first time, I felt that God was in the same room as me and that he wanted to
[00:01:01.560 --> 00:01:03.720]   have a relationship with me.
[00:01:03.720 --> 00:01:07.120]   The church I went to did not emphasize the importance of being in the word.
[00:01:07.120 --> 00:01:11.760]   My relationship with him was vague, but my desire to be near him was strong.
[00:01:11.760 --> 00:01:16.000]   I only knew God to be a feeling, so when life continued to move, I fell away due to my lack
[00:01:16.000 --> 00:01:17.000]   of foundation.
[00:01:17.000 --> 00:01:20.520]   In my first year of high school, my church relocated.
[00:01:20.520 --> 00:01:22.600]   Many of my friends went to a different church.
[00:01:22.600 --> 00:01:26.600]   The remaining people were all very close to each other, being family friends and going
[00:01:26.600 --> 00:01:27.600]   to the same school.
[00:01:27.600 --> 00:01:32.680]   Though I knew most of them my whole life, it was a group that was difficult to infiltrate.
[00:01:32.680 --> 00:01:36.720]   My family seemed to share the same sentiment and slowly we stopped going.
[00:01:36.720 --> 00:01:41.880]   Finally, I found myself in a relationship very early in my first year of high school.
