
[00:00:00.000 --> 00:00:02.000]   >> One minute.
[00:00:02.000 --> 00:00:04.000]   [ Laughter ]
[00:00:04.000 --> 00:00:06.000]   [ Laughter ]
[00:00:06.000 --> 00:00:08.000]   [ Laughter ]
[00:00:08.000 --> 00:00:10.000]   [ Laughter ]
[00:00:10.000 --> 00:00:12.000]   [ Laughter ]
[00:00:12.000 --> 00:00:14.000]   [ Laughter ]
[00:00:14.000 --> 00:00:16.000]   [ Laughter ]
[00:00:16.000 --> 00:00:18.000]   [ Laughter ]
[00:00:18.000 --> 00:00:20.000]   [ Laughter ]
[00:00:20.000 --> 00:00:22.000]   [ Laughter ]
[00:00:22.000 --> 00:00:24.000]   [ Laughter ]
[00:00:24.000 --> 00:00:26.000]   [ Laughter ]
[00:00:26.000 --> 00:00:28.000]   [ Laughter ]
[00:00:28.000 --> 00:00:30.000]   [ Laughter ]
[00:00:30.000 --> 00:00:32.000]   [ Laughter ]
[00:00:32.000 --> 00:00:34.000]   [ Laughter ]
[00:00:34.000 --> 00:00:36.000]   [ Laughter ]
[00:00:36.000 --> 00:00:38.000]   [ Laughter ]
[00:00:38.000 --> 00:00:40.000]   [ Laughter ]
[00:00:40.000 --> 00:00:42.000]   [ Laughter ]
[00:00:42.000 --> 00:00:44.000]   [ Laughter ]
[00:00:44.000 --> 00:00:46.000]   [ Laughter ]
[00:00:46.000 --> 00:00:48.000]   [ Laughter ]
[00:00:48.000 --> 00:00:50.000]   [ Laughter ]
[00:00:50.000 --> 00:00:52.000]   [ Laughter ]
[00:00:52.000 --> 00:00:54.000]   [ Laughter ]
[00:00:54.000 --> 00:00:56.000]   [ Laughter ]
[00:00:56.000 --> 00:00:58.000]   [ Laughter ]
[00:00:58.000 --> 00:01:00.000]   [ Laughter ]
[00:01:00.000 --> 00:01:02.000]   [ Laughter ]
[00:01:02.000 --> 00:01:04.000]   [ Laughter ]
[00:01:04.000 --> 00:01:06.000]   [ Laughter ]
[00:01:06.000 --> 00:01:08.000]   [ Laughter ]
[00:01:08.000 --> 00:01:10.000]   [ Laughter ]
[00:01:10.000 --> 00:01:12.000]   [ Laughter ]
[00:01:12.000 --> 00:01:14.000]   [ Laughter ]
[00:01:14.000 --> 00:01:16.000]   [ Laughter ]
[00:01:16.000 --> 00:01:18.000]   >> All right.
[00:01:18.000 --> 00:01:20.000]   Let's compose ourselves.
[00:01:20.000 --> 00:01:22.000]   All right.
[00:01:22.000 --> 00:01:24.000]   Let's compose ourselves.
[00:01:24.000 --> 00:01:26.000]   All right.
[00:01:26.000 --> 00:01:28.000]   [ Laughter ]
[00:01:28.000 --> 00:01:30.000]   [ Laughter ]
[00:01:30.000 --> 00:01:32.000]   [ Laughter ]
[00:01:32.000 --> 00:01:34.000]   I'm going to go ahead and open us up in a word of prayer.
[00:01:34.000 --> 00:01:36.000]   [ Laughter ]
[00:01:36.000 --> 00:01:38.000]   [ Laughter ]
