
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:00:03.160 --> 00:00:07.240]   (audience chattering continues)
[00:00:07.240 --> 00:00:11.320]   (audience chattering continues)
[00:00:11.320 --> 00:00:15.400]   (audience chattering continues)
[00:00:15.400 --> 00:00:19.480]   (audience chattering continues)
[00:00:19.480 --> 00:00:23.560]   (audience chattering continues)
[00:00:23.560 --> 00:00:27.640]   (audience chattering continues)
[00:00:27.640 --> 00:00:31.720]   (audience chattering continues)
[00:00:31.720 --> 00:00:35.800]   (audience chattering continues)
[00:00:35.800 --> 00:00:39.880]   (audience chattering continues)
[00:00:39.880 --> 00:00:43.960]   (audience chattering continues)
[00:00:43.960 --> 00:00:48.040]   (audience chattering continues)
[00:00:48.040 --> 00:00:52.120]   (audience chattering continues)
[00:00:52.120 --> 00:00:56.120]   (audience chattering continues)
[00:00:56.120 --> 00:01:00.120]   (audience chattering continues)
[00:01:00.120 --> 00:01:04.120]   (audience chattering continues)
[00:01:04.120 --> 00:01:08.120]   (audience chattering continues)
[00:01:08.120 --> 00:01:12.120]   (audience chattering continues)
[00:01:12.120 --> 00:01:16.120]   (audience chattering continues)
[00:01:16.120 --> 00:01:20.120]   (audience chattering continues)
[00:01:20.120 --> 00:01:24.120]   (audience chattering continues)
[00:01:24.120 --> 00:01:28.120]   (audience chattering continues)
[00:01:28.120 --> 00:01:32.120]   (audience chattering continues)
[00:01:32.120 --> 00:01:36.120]   (audience chattering continues)
[00:01:36.120 --> 00:01:40.120]   (audience chattering continues)
[00:01:40.120 --> 00:01:44.120]   (audience chattering continues)
[00:01:44.120 --> 00:01:48.120]   (audience chattering continues)
[00:01:48.120 --> 00:01:52.120]   (audience chattering continues)
[00:01:52.120 --> 00:01:56.120]   (audience chattering continues)
[00:01:56.120 --> 00:02:00.120]   (audience chattering continues)
[00:02:00.120 --> 00:02:04.120]   (audience chattering continues)
[00:02:04.120 --> 00:02:08.120]   (audience chattering continues)
[00:02:08.120 --> 00:02:12.120]   (audience chattering continues)
[00:02:12.120 --> 00:02:16.120]   (audience chattering continues)
[00:02:16.120 --> 00:02:20.120]   (audience chattering continues)
[00:02:20.120 --> 00:02:24.120]   (audience chattering continues)
[00:02:24.120 --> 00:02:28.120]   (audience chattering continues)
[00:02:28.120 --> 00:02:32.120]   (audience chattering continues)
[00:02:32.120 --> 00:02:36.120]   (audience chattering continues)
[00:02:36.120 --> 00:02:40.120]   (audience chattering continues)
[00:02:40.120 --> 00:02:48.120]   (audience chattering continues)
[00:03:04.120 --> 00:03:08.120]   (audience chattering continues)
[00:03:08.120 --> 00:03:12.120]   (audience chattering continues)
[00:03:12.120 --> 00:03:16.120]   (audience chattering continues)
[00:03:16.120 --> 00:03:20.120]   (audience chattering continues)
[00:03:20.120 --> 00:03:24.120]   (audience chattering continues)
[00:03:24.120 --> 00:03:28.120]   (audience chattering continues)
[00:03:28.120 --> 00:03:32.120]   (audience chattering continues)
[00:03:32.120 --> 00:03:36.120]   (audience chattering continues)
[00:03:36.120 --> 00:03:40.120]   (audience chattering continues)
[00:03:40.120 --> 00:03:44.120]   (audience chattering continues)
[00:03:44.120 --> 00:03:48.120]   (audience chattering continues)
[00:03:48.120 --> 00:03:52.120]   (audience chattering continues)
[00:03:52.120 --> 00:03:56.120]   (audience chattering continues)
[00:03:56.120 --> 00:04:00.120]   (audience chattering continues)
[00:04:00.120 --> 00:04:04.120]   (audience chattering continues)
[00:04:04.120 --> 00:04:08.120]   (audience chattering continues)
[00:04:08.120 --> 00:04:12.120]   (audience chattering continues)
[00:04:12.120 --> 00:04:16.120]   (audience chattering continues)
[00:04:16.120 --> 00:04:20.120]   (audience chattering continues)
[00:04:20.120 --> 00:04:24.120]   (audience chattering continues)
[00:04:24.120 --> 00:04:28.120]   (audience chattering continues)
[00:04:28.120 --> 00:04:32.120]   (audience chattering continues)
