
[00:00:00.000 --> 00:00:08.320]   Amazing grace, how sweet the sound.
[00:00:08.320 --> 00:00:11.360]   And then let's go into "And Grace Will Lead Me Home."
[00:00:11.360 --> 00:00:20.720]   And I've heard this grace, I've found it's so sweet.
[00:00:20.720 --> 00:00:36.240]   And grace will lead me home, the Lord has promised good times.
[00:00:36.240 --> 00:00:51.280]   And grace will lead me home, the Lord has promised good times.
[00:00:51.280 --> 00:01:16.240]   And grace will lead me home, the Lord has promised good times.
[00:01:16.240 --> 00:01:37.040]   And grace will lead me home, the Lord has promised good times.
[00:01:37.040 --> 00:01:50.160]   Let's go back to the--
[00:01:50.160 --> 00:02:01.280]   So let me--
[00:02:01.280 --> 00:02:01.780]   Cool.
[00:02:01.780 --> 00:02:07.240]   [INAUDIBLE]
[00:02:07.240 --> 00:02:34.680]   [INAUDIBLE]
[00:02:34.680 --> 00:02:37.640]   It's a piano-- you can't copy.
[00:02:37.640 --> 00:02:39.640]   And then come to that D.
[00:02:39.640 --> 00:02:41.140]   Oh, I can do that.
[00:02:41.140 --> 00:02:42.140]   I definitely can do that.
[00:02:42.140 --> 00:02:43.140]   I mean, I see.
[00:02:43.140 --> 00:02:44.140]   Also--
[00:02:44.140 --> 00:02:45.140]   I don't understand.
[00:02:45.140 --> 00:02:46.640]   I can't tell you.
[00:02:46.640 --> 00:02:52.120]   But we'll come back at like 7 o'clock.
[00:02:52.120 --> 00:02:52.620]   OK.
[00:02:52.620 --> 00:02:53.620]   Thanks, man.
[00:02:53.620 --> 00:02:54.600]   [INAUDIBLE]
[00:02:54.600 --> 00:02:57.580]   [INAUDIBLE]
[00:02:57.580 --> 00:03:00.560]   [INAUDIBLE]
[00:03:00.560 --> 00:03:03.540]   [INAUDIBLE]
[00:03:04.020 --> 00:03:07.000]   [INAUDIBLE]
[00:03:07.420 --> 00:03:10.400]   [INAUDIBLE]
[00:03:10.400 --> 00:03:13.380]   [INAUDIBLE]
[00:03:13.760 --> 00:03:16.740]   [INAUDIBLE]
