
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:06.000]   (gentle music continues)
[00:00:06.000 --> 00:00:09.420]   (gentle music continues)
[00:00:09.420 --> 00:00:12.840]   (gentle music continues)
[00:00:12.840 --> 00:00:16.260]   (gentle music continues)
[00:00:16.260 --> 00:00:19.680]   (gentle music continues)
[00:00:19.680 --> 00:00:23.100]   (gentle music continues)
[00:00:23.100 --> 00:00:26.520]   (gentle music continues)
[00:00:26.520 --> 00:00:29.940]   (gentle music continues)
[00:00:29.940 --> 00:00:33.360]   (gentle music continues)
[00:00:33.360 --> 00:00:36.780]   (gentle music continues)
[00:00:36.780 --> 00:00:40.200]   (gentle music continues)
[00:00:40.200 --> 00:00:43.620]   (gentle music continues)
[00:00:43.620 --> 00:00:51.120]   (gentle music continues)
[00:00:51.120 --> 00:00:57.040]   (gentle music continues)
[00:00:57.040 --> 00:01:02.960]   (gentle music continues)
[00:01:07.240 --> 00:01:10.660]   (gentle music continues)
[00:01:10.660 --> 00:01:22.080]   (gentle music continues)
[00:01:22.080 --> 00:01:31.500]   (gentle music continues)
[00:01:31.500 --> 00:01:37.000]   (gentle music continues)
[00:01:37.840 --> 00:01:41.260]   (gentle music continues)
[00:01:41.260 --> 00:01:50.260]   (gentle music continues)
[00:01:50.260 --> 00:02:02.760]   (gentle music continues)
[00:02:03.100 --> 00:02:06.520]   (gentle music continues)
[00:02:06.520 --> 00:02:22.520]   (gentle music continues)
[00:02:22.520 --> 00:02:30.520]   (gentle music continues)
[00:02:30.860 --> 00:02:34.280]   (gentle music continues)
[00:02:34.280 --> 00:02:45.280]   (gentle music continues)
[00:02:45.280 --> 00:02:55.280]   (gentle music continues)
[00:02:55.620 --> 00:02:59.040]   (gentle music continues)
[00:02:59.040 --> 00:03:15.040]   (gentle music continues)
[00:03:15.380 --> 00:03:18.800]   (gentle music continues)
[00:03:18.800 --> 00:03:35.800]   (gentle music continues)
[00:03:36.140 --> 00:03:39.560]   (gentle music continues)
[00:03:39.560 --> 00:03:50.560]   (gentle music continues)
[00:03:50.560 --> 00:04:02.560]   (gentle music continues)
[00:04:02.900 --> 00:04:06.320]   (gentle music continues)
[00:04:06.320 --> 00:04:23.320]   (gentle music continues)
[00:04:23.660 --> 00:04:27.080]   (gentle music continues)
[00:04:27.080 --> 00:04:44.080]   (gentle music continues)
[00:04:44.920 --> 00:04:48.340]   (gentle music continues)
[00:04:48.340 --> 00:04:59.840]   - Good morning, church family.
[00:04:59.840 --> 00:05:02.340]   We're gonna go ahead and begin our worship.
[00:05:02.340 --> 00:05:07.760]   (gentle music continues)
[00:05:07.760 --> 00:05:11.180]   (gentle music continues)
[00:05:11.180 --> 00:05:22.900]   ♪ It is good to praise the Lord ♪
[00:05:22.900 --> 00:05:30.020]   ♪ It is good to gaze upon His majesty ♪
[00:05:32.900 --> 00:05:37.900]   ♪ To proclaim His love in the morning ♪
[00:05:37.900 --> 00:05:45.320]   ♪ And His faithfulness at night ♪
[00:05:45.320 --> 00:05:51.540]   ♪ Oh, it is good to worship and praise the Lord ♪
[00:05:51.540 --> 00:06:00.660]   (gentle music continues)
[00:06:00.660 --> 00:06:01.580]   It is good.
[00:06:02.440 --> 00:06:07.440]   ♪ It is good to praise the Lord ♪
[00:06:07.440 --> 00:06:14.780]   ♪ It is good to gaze upon His majesty ♪
[00:06:14.780 --> 00:06:22.660]   ♪ To proclaim His love in the morning ♪
[00:06:22.660 --> 00:06:30.160]   ♪ And His faithfulness at night ♪
[00:06:31.280 --> 00:06:36.280]   ♪ Oh, it is good to worship and praise the Lord ♪
[00:06:36.280 --> 00:06:41.700]   To proclaim.
[00:06:41.700 --> 00:06:48.540]   ♪ To proclaim His love in the morning ♪
[00:06:48.540 --> 00:06:55.900]   ♪ And His faithfulness at night ♪
[00:06:57.000 --> 00:07:02.000]   ♪ Oh, it is good to worship and praise ♪
[00:07:02.000 --> 00:07:09.380]   ♪ Oh, it is good to worship and praise ♪
[00:07:09.380 --> 00:07:11.660]   Oh, it is.
[00:07:11.660 --> 00:07:16.660]   ♪ Oh, it is good to worship and praise the Lord ♪
[00:07:16.660 --> 00:07:19.900]   ♪ And praise the Lord ♪
[00:07:19.900 --> 00:07:30.200]   - All right, good morning.
[00:07:30.200 --> 00:07:32.200]   Welcome to Breen Community Church.
[00:07:32.200 --> 00:07:33.600]   Okay, before we get started,
[00:07:33.600 --> 00:07:37.100]   we have announcement from FAM245 from Pastor Peter Chung.
[00:07:37.100 --> 00:07:42.640]   - All right, good morning.
[00:07:42.640 --> 00:07:44.560]   This announcement is especially for people
[00:07:44.560 --> 00:07:45.840]   who are newer to our church.
[00:07:45.840 --> 00:07:47.280]   My name's Peter Chung.
[00:07:47.280 --> 00:07:49.880]   I'm the Family Ministry Pastor at the church.
[00:07:49.880 --> 00:07:52.800]   And we do have a ministry that is specifically devoted
[00:07:52.800 --> 00:07:57.600]   to people who've been married about three years or fewer.
[00:07:57.600 --> 00:08:00.040]   It's called FAM245.
[00:08:00.040 --> 00:08:02.960]   And we had 18 weddings for our church last year,
[00:08:02.960 --> 00:08:05.180]   and we've already got about 12 lined up for this year.
