
[00:00:00.000 --> 00:00:12.640]   Guilty pair bowed down with care, God gave His Son to win.
[00:00:12.640 --> 00:00:29.040]   His erring child He reconciled and pardoned from His sin.
[00:00:29.040 --> 00:00:42.240]   When years of time shall pass away, and earthly thrones and kingdoms fall,
[00:00:42.240 --> 00:00:55.360]   when men who hear refuse to pray on rocks and hills and mountains call,
[00:00:55.360 --> 00:01:08.560]   God's love so sure shall still endure, though measureless and strong.
[00:01:08.560 --> 00:01:20.000]   Redeeming grace to Adam's race, the saints and angels.
[00:01:20.000 --> 00:01:35.040]   Oh love of God, how rich and pure, how measureless and strong.
[00:01:35.040 --> 00:01:54.000]   It shall forevermore endure, the saints and angels song.
[00:01:54.000 --> 00:02:17.920]   Okay, let's go from the saints and angels song into verse three.
[00:02:17.920 --> 00:02:27.760]   The saints and angels song.
[00:02:27.760 --> 00:02:40.880]   Could we with ink the ocean fill, and were the skies of parchment made?
[00:02:40.880 --> 00:02:51.920]   Were every stock on earth acquired, and every man a scribe?
[00:02:51.920 --> 00:02:59.120]   No, no, no, no. You start by trade. By trade.
[00:02:59.120 --> 00:03:05.120]   Every man a scribe by trade.
[00:03:05.120 --> 00:03:11.120]   To write the love of God above.
[00:03:11.120 --> 00:03:13.120]   Let's try that. Were every stock.
[00:03:13.120 --> 00:03:25.120]   Were every stock on earth acquired, and every man a scribe by trade?
[00:03:25.120 --> 00:03:39.120]   To write the love of God above. Would drain the ocean dry.
[00:03:39.120 --> 00:03:45.120]   Nor could the scroll contain the whole.
[00:03:45.120 --> 00:04:05.120]   Nor stretch from sky to sky. Oh love of God, how rich and pure, how measureless and strong.
[00:04:05.120 --> 00:04:17.120]   It shall forevermore endure, the saints and angels song.
[00:04:17.120 --> 00:04:31.120]   Oh love of God, how rich and pure, how measureless and strong.
[00:04:31.120 --> 00:04:45.120]   It shall forevermore endure, the saints and angels song.
[00:04:45.120 --> 00:04:51.120]   Don't drop out. The first chorus is loud and the second chorus is soft. Okay?
[00:04:51.120 --> 00:04:55.120]   Capisce.
[00:04:55.120 --> 00:05:09.120]   Alright. I think we're good. I think we're good. Alright.
[00:05:09.120 --> 00:05:13.120]   Right after the second chorus.
[00:05:13.120 --> 00:05:17.120]   My God is a bitch.
[00:05:17.120 --> 00:05:21.120]   A bitch.
[00:05:21.120 --> 00:05:33.120]   We're good. We're good.
[00:05:33.120 --> 00:05:47.120]   She's with him since.
[00:05:47.120 --> 00:06:07.120]   She's with him since.
[00:06:07.120 --> 00:06:17.120]   She's with him since.
[00:06:17.120 --> 00:06:37.120]   She's with him since.
[00:06:37.120 --> 00:06:47.120]   She's with him since.
[00:06:47.120 --> 00:06:57.120]   She's with him since.
[00:06:57.120 --> 00:07:07.120]   She's with him since.
[00:07:07.120 --> 00:07:17.120]   She's with him since.
[00:07:17.120 --> 00:07:27.120]   She's with him since.
[00:07:27.120 --> 00:07:37.120]   She's with him since.
[00:07:37.120 --> 00:07:51.120]   She's with him since.
[00:07:51.120 --> 00:08:13.120]   She's with him since.
[00:08:13.120 --> 00:08:23.120]   She's with him since.
[00:08:23.120 --> 00:08:33.120]   Almost forgot.
[00:08:33.120 --> 00:08:43.120]   Almost forgot.
[00:08:43.120 --> 00:08:53.120]   Almost forgot.
[00:08:53.120 --> 00:09:03.120]   Almost forgot.
[00:09:03.120 --> 00:09:13.120]   Almost forgot.
[00:09:13.120 --> 00:09:23.120]   Almost forgot.
[00:09:23.120 --> 00:09:33.120]   Almost forgot.
[00:09:33.120 --> 00:09:43.120]   Almost forgot.
[00:09:43.120 --> 00:09:53.120]   Almost forgot.
[00:09:53.120 --> 00:10:03.120]   Almost forgot.
[00:10:03.120 --> 00:10:13.120]   Almost forgot.
[00:10:13.120 --> 00:10:23.120]   Almost forgot.
[00:10:23.120 --> 00:10:33.120]   Almost forgot.
[00:10:33.120 --> 00:10:43.120]   Almost forgot.
[00:10:43.120 --> 00:10:53.120]   Almost forgot.
[00:10:53.120 --> 00:11:03.120]   Almost forgot.
[00:11:03.120 --> 00:11:13.120]   Almost forgot.
[00:11:13.120 --> 00:11:23.120]   Almost forgot.
[00:11:23.120 --> 00:11:33.120]   Almost forgot.
[00:11:33.120 --> 00:11:43.120]   Almost forgot.
[00:11:43.120 --> 00:11:53.120]   Almost forgot.
[00:11:53.120 --> 00:12:03.120]   Almost forgot.
[00:12:03.120 --> 00:12:13.120]   Almost forgot.
[00:12:13.120 --> 00:12:23.120]   Almost forgot.
[00:12:23.120 --> 00:12:33.120]   Almost forgot.
[00:12:33.120 --> 00:12:43.120]   Almost forgot.
[00:12:43.120 --> 00:12:53.120]   Almost forgot.
[00:12:53.120 --> 00:13:03.120]   Almost forgot.
[00:13:03.120 --> 00:13:13.120]   Almost forgot.
[00:13:13.120 --> 00:13:23.120]   Almost forgot.
[00:13:23.120 --> 00:13:33.120]   Almost forgot.
[00:13:33.120 --> 00:13:43.120]   Almost forgot.
[00:13:43.120 --> 00:13:53.120]   Almost forgot.
[00:13:53.120 --> 00:14:03.120]   Almost forgot.
[00:14:03.120 --> 00:14:13.120]   Almost forgot.
[00:14:13.120 --> 00:14:23.120]   Almost forgot.
[00:14:23.120 --> 00:14:33.120]   Almost forgot.
[00:14:33.120 --> 00:14:43.120]   Almost forgot.
[00:14:43.120 --> 00:14:53.120]   Almost forgot.
[00:14:53.120 --> 00:15:03.120]   Almost forgot.
[00:15:03.120 --> 00:15:13.120]   Almost forgot.
[00:15:13.120 --> 00:15:23.120]   Almost forgot.
[00:15:23.120 --> 00:15:33.120]   Almost forgot.
[00:15:33.120 --> 00:15:43.120]   Almost forgot.
[00:15:43.120 --> 00:16:03.120]   Almost forgot.
[00:16:03.120 --> 00:16:13.120]   Almost forgot.
[00:16:13.120 --> 00:16:23.120]   Almost forgot.
[00:16:23.120 --> 00:16:33.120]   Almost forgot.
[00:16:33.120 --> 00:16:43.120]   Almost forgot.
[00:16:43.120 --> 00:16:53.120]   Almost forgot.
[00:16:53.120 --> 00:17:03.120]   Almost forgot.
[00:17:03.120 --> 00:17:13.120]   Almost forgot.
[00:17:13.120 --> 00:17:23.120]   Almost forgot.
[00:17:23.120 --> 00:17:33.120]   Almost forgot.
[00:17:33.120 --> 00:17:43.120]   Almost forgot.
[00:17:43.120 --> 00:17:53.120]   Almost forgot.
[00:17:53.120 --> 00:18:03.120]   Almost forgot.
[00:18:03.120 --> 00:18:13.120]   Almost forgot.
[00:18:13.120 --> 00:18:23.120]   Almost forgot.
[00:18:23.120 --> 00:18:33.120]   Almost forgot.
[00:18:33.120 --> 00:18:43.120]   Almost forgot.
[00:18:43.120 --> 00:18:53.120]   Almost forgot.
[00:18:53.120 --> 00:19:03.120]   Almost forgot.
[00:19:03.120 --> 00:19:13.120]   Almost forgot.
[00:19:13.120 --> 00:19:23.120]   Almost forgot.
[00:19:23.120 --> 00:19:33.120]   Almost forgot.
[00:19:33.120 --> 00:19:43.120]   Almost forgot.
[00:19:43.120 --> 00:19:53.120]   Almost forgot.
[00:19:53.120 --> 00:20:03.120]   Almost forgot.
[00:20:03.120 --> 00:20:13.120]   Almost forgot.
[00:20:13.120 --> 00:20:23.120]   Almost forgot.
[00:20:23.120 --> 00:20:33.120]   Almost forgot.
[00:20:33.120 --> 00:20:43.120]   Almost forgot.
[00:20:43.120 --> 00:20:53.120]   Almost forgot.
[00:20:53.120 --> 00:21:03.120]   Almost forgot.
[00:21:03.120 --> 00:21:13.120]   Almost forgot.
[00:21:13.120 --> 00:21:23.120]   Almost forgot.
[00:21:23.120 --> 00:21:33.120]   Almost forgot.
[00:21:33.120 --> 00:21:43.120]   Almost forgot.
[00:21:43.120 --> 00:21:53.120]   Almost forgot.
[00:21:53.120 --> 00:22:03.120]   Almost forgot.
[00:22:03.120 --> 00:22:13.120]   Almost forgot.
[00:22:13.120 --> 00:22:23.120]   Almost forgot.
[00:22:23.120 --> 00:22:33.120]   Almost forgot.
[00:22:33.120 --> 00:22:43.120]   Almost forgot.
[00:22:43.120 --> 00:22:53.120]   Almost forgot.
[00:22:53.120 --> 00:23:03.120]   Almost forgot.
[00:23:03.120 --> 00:23:13.120]   Almost forgot.
[00:23:13.120 --> 00:23:23.120]   Almost forgot.
[00:23:23.120 --> 00:23:33.120]   Almost forgot.
[00:23:33.120 --> 00:23:43.120]   Almost forgot.
[00:23:43.120 --> 00:23:53.120]   Almost forgot.
[00:23:53.120 --> 00:24:03.120]   Almost forgot.
[00:24:03.120 --> 00:24:13.120]   Almost forgot.
[00:24:13.120 --> 00:24:23.120]   Almost forgot.
[00:24:23.120 --> 00:24:33.120]   Almost forgot.
[00:24:33.120 --> 00:24:43.120]   Almost forgot.
[00:24:43.120 --> 00:24:53.120]   Almost forgot.
[00:24:53.120 --> 00:25:03.120]   Almost forgot.
[00:25:03.120 --> 00:25:13.120]   Almost forgot.
[00:25:13.120 --> 00:25:23.120]   Almost forgot.
[00:25:23.120 --> 00:25:33.120]   Almost forgot.
[00:25:33.120 --> 00:25:43.120]   Almost forgot.
[00:25:43.120 --> 00:25:53.120]   Almost forgot.
[00:25:53.120 --> 00:26:03.120]   Almost forgot.
[00:26:03.120 --> 00:26:13.120]   Almost forgot.
[00:26:13.120 --> 00:26:23.120]   Almost forgot.
[00:26:23.120 --> 00:26:33.120]   Almost forgot.
[00:26:33.120 --> 00:26:43.120]   Almost forgot.
[00:26:43.120 --> 00:26:53.120]   Almost forgot.
[00:26:53.120 --> 00:27:03.120]   Almost forgot.
[00:27:03.120 --> 00:27:13.120]   Almost forgot.
[00:27:13.120 --> 00:27:23.120]   Almost forgot.
[00:27:23.120 --> 00:27:33.120]   Almost forgot.
[00:27:33.120 --> 00:27:43.120]   Almost forgot.
[00:27:43.120 --> 00:27:53.120]   Almost forgot.
[00:27:53.120 --> 00:28:03.120]   Almost forgot.
[00:28:03.120 --> 00:28:13.120]   Almost forgot.
[00:28:13.120 --> 00:28:23.120]   Almost forgot.
[00:28:23.120 --> 00:28:33.120]   Almost forgot.
[00:28:33.120 --> 00:28:43.120]   Almost forgot.
[00:28:43.120 --> 00:28:53.120]   Almost forgot.
[00:28:53.120 --> 00:29:03.120]   Almost forgot.
[00:29:03.120 --> 00:29:13.120]   Almost forgot.
[00:29:13.120 --> 00:29:23.120]   Almost forgot.
[00:29:23.120 --> 00:29:33.120]   Almost forgot.
[00:29:33.120 --> 00:29:43.120]   Almost forgot.
[00:29:43.120 --> 00:29:53.120]   Almost forgot.
[00:29:53.120 --> 00:30:03.120]   Almost forgot.
[00:30:03.120 --> 00:30:13.120]   Almost forgot.
[00:30:13.120 --> 00:30:23.120]   Almost forgot.
[00:30:23.120 --> 00:30:33.120]   Almost forgot.
[00:30:33.120 --> 00:30:43.120]   Almost forgot.
[00:30:43.120 --> 00:30:53.120]   Almost forgot.
[00:30:53.120 --> 00:31:03.120]   Almost forgot.
[00:31:03.120 --> 00:31:13.120]   Almost forgot.
[00:31:13.120 --> 00:31:23.120]   Almost forgot.
[00:31:23.120 --> 00:31:33.120]   Almost forgot.
[00:31:33.120 --> 00:31:43.120]   Almost forgot.
[00:31:43.120 --> 00:31:53.120]   Almost forgot.
[00:31:53.120 --> 00:32:03.120]   Almost forgot.
[00:32:03.120 --> 00:32:13.120]   Almost forgot.
[00:32:13.120 --> 00:32:23.120]   Almost forgot.
[00:32:23.120 --> 00:32:33.120]   Almost forgot.
[00:32:33.120 --> 00:32:43.120]   Almost forgot.
[00:32:43.120 --> 00:32:53.120]   Almost forgot.
[00:32:53.120 --> 00:33:03.120]   Almost forgot.
[00:33:03.120 --> 00:33:13.120]   Almost forgot.
[00:33:13.120 --> 00:33:23.120]   Almost forgot.
[00:33:23.120 --> 00:33:33.120]   Almost forgot.
[00:33:33.120 --> 00:33:43.120]   Almost forgot.
[00:33:43.120 --> 00:33:53.120]   Almost forgot.
[00:33:53.120 --> 00:34:03.120]   Almost forgot.
[00:34:03.120 --> 00:34:13.120]   Almost forgot.
[00:34:13.120 --> 00:34:23.120]   Almost forgot.
[00:34:23.120 --> 00:34:33.120]   Almost forgot.
[00:34:33.120 --> 00:34:43.120]   Almost forgot.
[00:34:43.120 --> 00:34:53.120]   Almost forgot.
[00:34:53.120 --> 00:35:03.120]   Almost forgot.
[00:35:03.120 --> 00:35:13.120]   Almost forgot.
[00:35:13.120 --> 00:35:23.120]   Almost forgot.
[00:35:23.120 --> 00:35:33.120]   Almost forgot.
[00:35:33.120 --> 00:35:43.120]   Almost forgot.
[00:35:43.120 --> 00:35:53.120]   Almost forgot.
[00:35:53.120 --> 00:36:03.120]   Almost forgot.
[00:36:03.120 --> 00:36:13.120]   Almost forgot.
[00:36:13.120 --> 00:36:23.120]   Almost forgot.
[00:36:23.120 --> 00:36:33.120]   Almost forgot.
[00:36:33.120 --> 00:36:43.120]   Almost forgot.
[00:36:43.120 --> 00:36:53.120]   Almost forgot.
[00:36:53.120 --> 00:37:03.120]   Almost forgot.
[00:37:03.120 --> 00:37:13.120]   Almost forgot.
[00:37:13.120 --> 00:37:23.120]   Almost forgot.
[00:37:23.120 --> 00:37:33.120]   Almost forgot.
[00:37:33.120 --> 00:37:43.120]   Almost forgot.
[00:37:43.120 --> 00:37:53.120]   Almost forgot.
[00:37:53.120 --> 00:38:03.120]   Almost forgot.
[00:38:03.120 --> 00:38:13.120]   Almost forgot.
[00:38:13.120 --> 00:38:23.120]   Almost forgot.
[00:38:23.120 --> 00:38:33.120]   Almost forgot.
[00:38:33.120 --> 00:38:43.120]   Almost forgot.
[00:38:43.120 --> 00:38:53.120]   Almost forgot.
[00:38:53.120 --> 00:39:03.120]   Almost forgot.
[00:39:03.120 --> 00:39:13.120]   Almost forgot.
[00:39:13.120 --> 00:39:23.120]   Almost forgot.
[00:39:23.120 --> 00:39:33.120]   Almost forgot.
[00:39:33.120 --> 00:39:43.120]   Almost forgot.
[00:39:43.120 --> 00:39:53.120]   Almost forgot.
[00:39:53.120 --> 00:40:03.120]   Almost forgot.
[00:40:03.120 --> 00:40:13.120]   Almost forgot.
[00:40:13.120 --> 00:40:23.120]   Almost forgot.
[00:40:23.120 --> 00:40:33.120]   Almost forgot.
[00:40:33.120 --> 00:40:43.120]   Almost forgot.
[00:40:43.120 --> 00:40:53.120]   Almost forgot.
[00:40:53.120 --> 00:41:03.120]   Almost forgot.
[00:41:03.120 --> 00:41:13.120]   Almost forgot.
[00:41:13.120 --> 00:41:23.120]   Almost forgot.
[00:41:23.120 --> 00:41:33.120]   Almost forgot.
[00:41:33.120 --> 00:41:43.120]   Almost forgot.
[00:41:43.120 --> 00:41:53.120]   Almost forgot.
[00:41:53.120 --> 00:42:03.120]   Almost forgot.
[00:42:03.120 --> 00:42:13.120]   Almost forgot.
[00:42:13.120 --> 00:42:23.120]   Almost forgot.
[00:42:23.120 --> 00:42:33.120]   Almost forgot.
[00:42:33.120 --> 00:42:43.120]   Almost forgot.
[00:42:43.120 --> 00:42:53.120]   Almost forgot.
[00:42:53.120 --> 00:43:03.120]   Almost forgot.
[00:43:03.120 --> 00:43:13.120]   Almost forgot.
[00:43:13.120 --> 00:43:23.120]   Almost forgot.
[00:43:23.120 --> 00:43:33.120]   Almost forgot.
[00:43:33.120 --> 00:43:43.120]   Almost forgot.
[00:43:43.120 --> 00:43:53.120]   Almost forgot.
[00:43:53.120 --> 00:44:03.120]   Almost forgot.
[00:44:03.120 --> 00:44:13.120]   Almost forgot.
[00:44:13.120 --> 00:44:23.120]   Almost forgot.
[00:44:23.120 --> 00:44:33.120]   Almost forgot.
[00:44:33.120 --> 00:44:43.120]   Almost forgot.
[00:44:43.120 --> 00:44:53.120]   Almost forgot.
[00:44:53.120 --> 00:45:03.120]   Almost forgot.
[00:45:03.120 --> 00:45:13.120]   Almost forgot.
[00:45:13.120 --> 00:45:23.120]   Almost forgot.
[00:45:23.120 --> 00:45:33.120]   Almost forgot.
[00:45:33.120 --> 00:45:43.120]   Almost forgot.
[00:45:43.120 --> 00:45:53.120]   Almost forgot.
[00:45:53.120 --> 00:46:03.120]   Almost forgot.
[00:46:03.120 --> 00:46:13.120]   Almost forgot.
[00:46:13.120 --> 00:46:23.120]   Almost forgot.
[00:46:23.120 --> 00:46:33.120]   Almost forgot.
[00:46:33.120 --> 00:46:37.120]   >> So the next prayer topic will be God's love.
[00:46:37.120 --> 00:46:48.120]   And to guide our thoughts through this topic, I'm just going to read Psalm 103, verse 1 through 8, which says, "Bless the Lord, O my soul, and all that is within me, bless his holy name.
[00:46:48.120 --> 00:47:04.120]   Bless the Lord, O my soul, and forget none of his benefits, who pardons all your iniquities, who heals all your diseases, who redeems your life from the pit, who crowns you with loving kindness and compassion, who satisfies your years with good things, so that your youth is renewed like the eagle.
[00:47:04.120 --> 00:47:09.120]   The Lord performs righteous deeds and judgments for all who are oppressed.
[00:47:09.120 --> 00:47:13.120]   The Lord is gracious to Moses, his acts to the sons of Israel.
[00:47:13.120 --> 00:47:19.120]   The Lord is compassionate and gracious, slow to anger and abounding in loving kindness."
[00:47:19.120 --> 00:47:24.120]   I'll just pray for us over this topic.
[00:47:24.120 --> 00:47:30.120]   Dear God, we want to take this time to thank you for your great love for us.
[00:47:30.120 --> 00:47:35.120]   Lord, we confess before you that we are people who are sinful to the core.
[00:47:35.120 --> 00:47:39.120]   We are people who are not worthy of your love.
[00:47:39.120 --> 00:47:42.120]   We are people who are not worthy of your love.
[00:47:42.120 --> 00:47:45.120]   We are people who are not worthy of your mercy.
[00:47:45.120 --> 00:48:02.120]   But because of who you are, because of your great love, you have reached down to us when we were your enemies, and you've given your son to die on our behalf so that we could be rescued from our sin and that we could have a personal relationship with you.
[00:48:02.120 --> 00:48:15.120]   We ask that you would give us the understanding of your love for us and that our love for you will grow as well, and that this love will fill our hearts so that we can show it to others the way that Christ has loved us.
[00:48:15.120 --> 00:48:30.120]   Lord, we know that we can't do this without your help, without your grace, so we ask that you will remind us tonight of this love that you have for us and that this truth will transform us in our hearts so that we will be people who are known by our love for one another.
[00:48:30.120 --> 00:48:37.120]   Thank you, and we ask these things in Jesus' name. Amen.
[00:48:37.120 --> 00:48:40.120]   Why don't we all stand?
[00:48:40.120 --> 00:48:52.120]   And just like what Pastor Mark said, feel free to take some time to pray and reflect also on the great love that God has shown us.
[00:48:52.120 --> 00:49:15.120]   [Music]
[00:49:15.120 --> 00:49:26.120]   No eye has seen, and no ear has heard, and no mind has ever conceived
[00:49:26.120 --> 00:49:39.120]   the glorious things that you have prepared for everyone who has been weak.
[00:49:39.120 --> 00:49:51.120]   You brought us here, and you called us love, and made us join as with your Son.
[00:49:51.120 --> 00:50:03.120]   How high as your Word, how deep as your love, how sweet and how strong is your love.
[00:50:03.120 --> 00:50:14.120]   How lavish your grace, how faithful your ways, how great is your love, oh Lord.
[00:50:14.120 --> 00:50:22.120]   [Music]
[00:50:22.120 --> 00:50:24.120]   Objects of mercy.
[00:50:24.120 --> 00:50:36.120]   Objects of mercy who should have known wrath were filled with unspeakable joy.
[00:50:36.120 --> 00:50:48.120]   Witches of wisdom, unsearchable wealth, and the wonder of knowing your voice.
[00:50:48.120 --> 00:51:00.120]   You are our treasure and our great reward, our hope and our glorious King.
[00:51:00.120 --> 00:51:12.120]   How high as your Word, how deep as your love, how sweet and how strong is your love.
[00:51:12.120 --> 00:51:24.120]   How lavish your grace, how faithful your ways, how great is your love, oh Lord.
[00:51:24.120 --> 00:51:30.120]   How great is your love, oh Lord.
[00:51:35.120 --> 00:51:47.120]   [Music]
[00:51:47.120 --> 00:52:00.120]   The love of God is greater far than tongue or pen can ever tell.
[00:52:00.120 --> 00:52:13.120]   It goes beyond the highest star and reaches to the lowest hell.
[00:52:13.120 --> 00:52:20.120]   The guilty pair bow down with care.
[00:52:20.120 --> 00:52:43.120]   God gave his Son to win. His erring child he reconciled and pardoned from his sin.
[00:52:43.120 --> 00:52:56.120]   When years of time shall pass away and earthly thrones and kingdoms fall.
[00:52:56.120 --> 00:53:09.120]   When men who hear refuse to pray on rocks and hills and mountains call.
[00:53:09.120 --> 00:53:22.120]   God's love so sure shall still endure all measureless and strong.
[00:53:22.120 --> 00:53:35.120]   Redeeming grace to Adam's race, the saints and angels sing.
[00:53:35.120 --> 00:53:48.120]   Oh love of God, how rich and pure, how measureless and strong.
[00:53:48.120 --> 00:54:01.120]   It shall forevermore endure, the saints and angels song.
[00:54:01.120 --> 00:54:04.120]   [Music]
[00:54:04.120 --> 00:54:11.120]   Could we with ink the ocean fill?
[00:54:11.120 --> 00:54:18.120]   And were the skies of parchment made?
[00:54:18.120 --> 00:54:24.120]   Were every stalk on earth a quill?
[00:54:24.120 --> 00:54:31.120]   And every man a scribe by trade?
[00:54:31.120 --> 00:54:44.120]   To write the love of God above would drain the ocean dry.
[00:54:44.120 --> 00:54:57.120]   Nor could the scroll contain the whole, though stretched from sky to sky.
[00:54:57.120 --> 00:55:10.120]   Oh love of God, how rich and pure, how measureless and strong.
[00:55:10.120 --> 00:55:23.120]   It shall forevermore endure, the saints and angels song.
[00:55:23.120 --> 00:55:37.120]   Oh love of God, how rich and pure, how measureless and strong.
[00:55:37.120 --> 00:55:52.120]   It shall forevermore endure, the saints and angels song.
[00:55:52.120 --> 00:55:55.120]   You may be seated.
[00:56:06.120 --> 00:56:11.120]   Hi, I'm going to read a passage from Psalm 51.
[00:56:11.120 --> 00:56:15.120]   It says, "Be gracious to me, O God, according to your loving kindness.
[00:56:15.120 --> 00:56:19.120]   According to your greatness of your compassion, blot out my transgressions.
