
[00:00:00.000 --> 00:00:02.300]   (coughing)
[00:00:02.300 --> 00:00:04.880]   (gentle music)
[00:00:04.880 --> 00:00:17.920]   ♪ There's no one like you ♪
[00:00:17.920 --> 00:00:19.860]   - All right, cool.
[00:00:19.860 --> 00:00:23.380]   Any other part of the set that you guys want to go over?
[00:00:23.380 --> 00:00:25.460]   Still have a few minutes.
[00:00:29.920 --> 00:00:31.920]   Going once, going twice.
[00:00:31.920 --> 00:00:34.360]   All right, cool.
[00:00:34.360 --> 00:00:36.300]   Then, yeah, we can end it here.
[00:00:36.300 --> 00:00:37.380]   Thanks, guys.
[00:00:37.380 --> 00:00:41.460]   (gentle music)
[00:00:41.460 --> 00:00:44.040]   (gentle music)
[00:00:44.040 --> 00:00:46.620]   (gentle music)
[00:00:46.620 --> 00:00:49.200]   (gentle music)
[00:00:49.200 --> 00:01:11.800]   (gentle music)
[00:01:11.800 --> 00:01:14.380]   (gentle music)
[00:01:15.360 --> 00:01:17.940]   (gentle music)
[00:01:17.940 --> 00:01:24.520]   (gentle music)
[00:01:24.520 --> 00:01:32.060]   (gentle music)
[00:01:32.060 --> 00:01:42.760]   (gentle music)
[00:01:43.060 --> 00:01:45.640]   (gentle music)
[00:01:45.640 --> 00:01:52.520]   (gentle music)
[00:01:52.520 --> 00:02:02.540]   (gentle music)
[00:02:02.540 --> 00:02:09.120]   (gentle music)
[00:02:09.120 --> 00:02:11.700]   (gentle music)
[00:02:11.700 --> 00:02:14.280]   (gentle music)
[00:02:14.280 --> 00:02:16.860]   (gentle music)
[00:02:16.860 --> 00:02:19.440]   (gentle music)
[00:02:19.440 --> 00:02:22.020]   (gentle music)
[00:02:22.020 --> 00:02:24.600]   (gentle music)
[00:02:24.600 --> 00:02:27.180]   (gentle music)
[00:02:27.180 --> 00:02:29.760]   (gentle music)
[00:02:29.760 --> 00:02:32.340]   (gentle music)
[00:02:32.500 --> 00:02:35.080]   (gentle music)
[00:02:35.080 --> 00:02:37.660]   (gentle music)
[00:02:37.660 --> 00:02:40.240]   (gentle music)
[00:02:40.240 --> 00:02:42.820]   (gentle music)
[00:02:42.820 --> 00:02:45.400]   (gentle music)
[00:02:45.400 --> 00:02:47.980]   (gentle music)
[00:02:47.980 --> 00:02:50.560]   (gentle music)
[00:02:50.640 --> 00:02:53.220]   (gentle music)
[00:02:53.220 --> 00:02:55.800]   (gentle music)
[00:02:55.800 --> 00:02:58.380]   (gentle music)
[00:02:58.380 --> 00:03:00.960]   (gentle music)
[00:03:01.960 --> 00:03:04.540]   (gentle music)
[00:03:04.540 --> 00:03:12.120]   (gentle music)
[00:03:12.120 --> 00:03:17.620]   (gentle music)
[00:03:17.620 --> 00:03:24.120]   (gentle music)
[00:03:24.120 --> 00:03:30.700]   (gentle music)
[00:03:31.700 --> 00:03:34.280]   (gentle music)
[00:03:34.280 --> 00:03:46.280]   (gentle music)
[00:03:46.280 --> 00:03:57.280]   (gentle music)
[00:03:58.280 --> 00:04:00.860]   (gentle music)
[00:04:00.860 --> 00:04:09.860]   (gentle music)
[00:04:09.860 --> 00:04:21.860]   (gentle music)
[00:04:22.860 --> 00:04:25.440]   (gentle music)
[00:04:25.440 --> 00:04:37.440]   (gentle music)
[00:04:37.440 --> 00:04:47.440]   (gentle music)
[00:04:48.440 --> 00:04:51.020]   (gentle music)
[00:04:51.020 --> 00:04:59.020]   (gentle music)
[00:04:59.020 --> 00:05:01.600]   (gentle music)
[00:05:01.600 --> 00:05:20.600]   (gentle music)
[00:05:21.600 --> 00:05:24.180]   (gentle music)
[00:05:24.180 --> 00:05:33.180]   (gentle music)
[00:05:33.180 --> 00:05:45.180]   (gentle music)
[00:05:45.180 --> 00:05:47.760]   (gentle music)
[00:05:47.760 --> 00:06:08.760]   (gentle music)
[00:06:09.760 --> 00:06:12.340]   (gentle music)
[00:06:12.340 --> 00:06:24.340]   (gentle music)
[00:06:25.340 --> 00:06:27.920]   (gentle music)
[00:06:27.920 --> 00:06:41.920]   (gentle music)
[00:06:42.920 --> 00:06:45.500]   (gentle music)
[00:06:45.500 --> 00:06:58.500]   (gentle music)
[00:06:59.500 --> 00:07:02.080]   (gentle music)
[00:07:02.080 --> 00:07:14.080]   (gentle music)
[00:07:14.080 --> 00:07:22.080]   (gentle music)
[00:07:23.080 --> 00:07:25.660]   (gentle music)
[00:07:25.660 --> 00:07:37.660]   (gentle music)
[00:07:37.660 --> 00:07:49.660]   (gentle music)
[00:07:50.660 --> 00:07:53.240]   (gentle music)
