
[00:00:00.000 --> 00:00:04.000]   I first believed
[00:00:04.000 --> 00:00:08.000]   My chains are gone
[00:00:08.000 --> 00:00:12.000]   I've been set free
[00:00:12.000 --> 00:00:16.000]   My God, my Savior
[00:00:16.000 --> 00:00:20.000]   Has ransomed me
[00:00:20.000 --> 00:00:24.000]   And like a flood
[00:00:24.000 --> 00:00:27.000]   His mercy reigns
[00:00:28.000 --> 00:00:31.000]   Unending love
[00:00:31.000 --> 00:00:35.000]   Amazing grace
[00:00:35.000 --> 00:00:55.000]   The Lord has promised good to me
[00:00:56.000 --> 00:01:01.000]   He will my hope secure
[00:01:01.000 --> 00:01:10.000]   He will my shield and watch me
[00:01:10.000 --> 00:01:16.000]   As long as life endures
[00:01:16.000 --> 00:01:20.000]   My chains are gone
[00:01:20.000 --> 00:01:24.000]   I've been set free
[00:01:25.000 --> 00:01:28.000]   My God, my Savior
[00:01:28.000 --> 00:01:32.000]   Has ransomed me
[00:01:32.000 --> 00:01:36.000]   And like a flood
[00:01:36.000 --> 00:01:40.000]   His mercy reigns
[00:01:40.000 --> 00:01:43.000]   Unending love
[00:01:43.000 --> 00:01:47.000]   Amazing grace
[00:01:47.000 --> 00:01:51.000]   My chains are gone
[00:01:52.000 --> 00:01:55.000]   I've been set free
[00:01:55.000 --> 00:01:59.000]   My God, my Savior
[00:01:59.000 --> 00:02:03.000]   Has ransomed me
[00:02:03.000 --> 00:02:07.000]   And like a flood
[00:02:07.000 --> 00:02:10.000]   His mercy reigns
[00:02:10.000 --> 00:02:14.000]   Unending love
[00:02:14.000 --> 00:02:18.000]   Amazing grace
[00:02:18.000 --> 00:02:30.000]   The earth shall soon dissolve like snow
[00:02:30.000 --> 00:02:37.000]   The sun forbear to shine
[00:02:37.000 --> 00:02:45.000]   But God who called me here alone
[00:02:46.000 --> 00:02:51.000]   Will be forever mine
[00:02:51.000 --> 00:02:59.000]   Will be forever mine
[00:02:59.000 --> 00:03:09.000]   You are forever mine
[00:03:09.000 --> 00:03:35.000]   [Piano interlude]
[00:03:36.000 --> 00:03:40.000]   Though the nations rage
[00:03:40.000 --> 00:03:45.000]   Kingdoms rise and fall
[00:03:45.000 --> 00:03:49.000]   There is still one King
[00:03:49.000 --> 00:03:54.000]   Reigning over all
[00:03:54.000 --> 00:03:58.000]   So I will not fear
[00:03:58.000 --> 00:04:03.000]   For this truth remains
[00:04:04.000 --> 00:04:11.000]   That my God is the Ancient of Days
[00:04:11.000 --> 00:04:17.000]   None above Him, none before Him
[00:04:17.000 --> 00:04:21.000]   All of time in His hands
[00:04:21.000 --> 00:04:26.000]   For His throne it shall remain
[00:04:26.000 --> 00:04:29.000]   And ever stand
[00:04:31.000 --> 00:04:35.000]   All the power, all the glory
[00:04:35.000 --> 00:04:40.000]   I will trust in His name
[00:04:40.000 --> 00:04:47.000]   For my God is the Ancient of Days
[00:04:47.000 --> 00:04:58.000]   Though the dread of night overwhelms my soul
[00:04:59.000 --> 00:05:03.000]   He is here with me
[00:05:03.000 --> 00:05:08.000]   I am not alone
[00:05:08.000 --> 00:05:12.000]   For His love is sure
[00:05:12.000 --> 00:05:17.000]   And He knows my name
[00:05:17.000 --> 00:05:24.000]   For my God is the Ancient of Days
[00:05:27.000 --> 00:05:31.000]   None above Him, none before Him
[00:05:31.000 --> 00:05:35.000]   All of time in His hands
[00:05:35.000 --> 00:05:39.000]   For His throne it shall remain
[00:05:39.000 --> 00:05:42.000]   And ever stand
[00:05:42.000 --> 00:05:49.000]   All the power, all the glory
[00:05:49.000 --> 00:05:54.000]   I will trust in His name
[00:05:55.000 --> 00:06:01.000]   For my God is the Ancient of Days
[00:06:01.000 --> 00:06:17.000]   [Piano interlude]
[00:06:17.000 --> 00:06:21.000]   Though I may not see
[00:06:22.000 --> 00:06:26.000]   What the future brings
[00:06:26.000 --> 00:06:29.000]   I will walk
[00:06:29.000 --> 00:06:41.000]   As we gather may your spirit work within us
[00:06:41.000 --> 00:06:49.000]   As we gather may we glorify your name
