
[00:00:00.000 --> 00:00:02.920]   (soft piano music)
[00:00:02.920 --> 00:00:05.940]   It's VDWaltz, right?
[00:00:05.940 --> 00:00:11.020]   How long does it typically take to warm up?
[00:00:11.020 --> 00:00:14.940]   - We're live now, my bad.
[00:00:14.940 --> 00:00:15.940]   - We're live, okay.
[00:00:15.940 --> 00:00:20.700]   Well, hello everybody at home.
[00:00:20.700 --> 00:00:24.380]   I'm glad that we could gather together in these small groups
[00:00:24.380 --> 00:00:28.620]   to fellowship, to share in a meal and spend time together.
[00:00:28.620 --> 00:00:31.180]   It's been a great Sunday, the Lord's Day,
[00:00:31.180 --> 00:00:34.020]   having service together and then being able to,
[00:00:34.020 --> 00:00:35.900]   again, spend extended time.
[00:00:35.900 --> 00:00:39.760]   And so tonight we're gonna be spending time in worship,
[00:00:39.760 --> 00:00:42.100]   we're gonna be hearing a brief encouragement
[00:00:42.100 --> 00:00:43.580]   and spending some time sharing.
[00:00:43.580 --> 00:00:46.740]   So at this time, please join me in a word of prayer
[00:00:46.740 --> 00:00:48.140]   as we begin this time.
[00:00:48.140 --> 00:00:51.920]   Heavenly Father, we are grateful.
[00:00:51.920 --> 00:00:53.880]   And God, I pray that our church,
[00:00:53.880 --> 00:00:58.520]   we would be a people so considerate and thoughtful of you.
[00:00:59.240 --> 00:01:01.320]   Meaning God, that we remember and know
[00:01:01.320 --> 00:01:03.800]   truly what it is we have in Christ.
[00:01:03.800 --> 00:01:06.800]   God, that above and beyond any blessing in this earth,
[00:01:06.800 --> 00:01:08.320]   we have the blessings of the Lord,
[00:01:08.320 --> 00:01:10.600]   we have the blessings of Christ and of the Spirit.
[00:01:10.600 --> 00:01:13.340]   And I pray that our hearts would be thankful always
[00:01:13.340 --> 00:01:15.080]   according to your will.
[00:01:15.080 --> 00:01:18.800]   And Lord, as we have time now to gather together
[00:01:18.800 --> 00:01:22.600]   in these groups, we pray that we would be very aware
[00:01:22.600 --> 00:01:25.200]   of the fact that all of this is possible
[00:01:25.200 --> 00:01:26.720]   because of our Lord.
[00:01:26.720 --> 00:01:28.520]   And God, that our hearts would be overjoyed
[00:01:28.520 --> 00:01:32.760]   to be able to enjoy this time and also to remember you.
[00:01:32.760 --> 00:01:35.840]   So God, we lift our heart of gratitude to you this evening.
[00:01:35.840 --> 00:01:38.020]   It's in Christ and we pray, amen.
[00:01:38.020 --> 00:01:53.140]   (gentle music)
[00:01:53.140 --> 00:01:55.720]   (gentle music)
