
[00:00:00.000 --> 00:00:10.000]   I know nothing but the blood of Jesus.
[00:00:10.000 --> 00:00:14.000]   Nothing but the blood of Jesus.
[00:00:14.000 --> 00:00:28.000]   That's a short one, which makes me feel like I might just go back to Amazing Love for a
[00:00:28.000 --> 00:00:31.000]   while.
[00:00:31.000 --> 00:00:46.000]   The splendor of the King.
[00:00:48.000 --> 00:00:58.000]   The golden majesty. All the earth rejoice.
[00:00:58.000 --> 00:01:07.000]   Loud. Ah, ah. Ah, ah. I can hear it a bit. I don't like it, but.
[00:01:07.000 --> 00:01:08.000]   I can barely hear it.
[00:01:08.000 --> 00:01:12.000]   I'd want more monitors, for sure. I'd want more monitors, for sure.
[00:01:12.000 --> 00:01:16.000]   But you can't. Is that mic working? A little bit.
[00:01:16.000 --> 00:01:18.000]   Oh, now it's on for sure.
[00:01:18.000 --> 00:01:20.000]   I think it's too much.
[00:01:20.000 --> 00:01:22.000]   It's on too much.
[00:01:22.000 --> 00:01:23.000]   What?
[00:01:23.000 --> 00:01:24.000]   Good.
[00:01:24.000 --> 00:01:30.000]   The splendor of the King.
[00:01:30.000 --> 00:01:32.000]   Did I really come?
[00:01:32.000 --> 00:01:33.000]   No, not to sing.
[00:01:33.000 --> 00:01:34.000]   Oh, okay.
[00:01:34.000 --> 00:01:38.000]   The golden majesty.
[00:01:38.000 --> 00:01:47.000]   Let all the earth rejoice. All the earth rejoice.
[00:01:47.000 --> 00:01:54.000]   He wraps himself in light.
[00:01:54.000 --> 00:02:00.000]   And darkness tries to hide.
[00:02:00.000 --> 00:02:09.000]   And trembles at his voice. Oh, trembles at his voice.
[00:02:09.000 --> 00:02:15.000]   How great is our God.
[00:02:15.000 --> 00:02:17.000]   And sing with me.
[00:02:17.000 --> 00:02:23.000]   How great is our God.
[00:02:23.000 --> 00:02:31.000]   Let us all sing how great.
[00:02:31.000 --> 00:02:39.000]   And how great is our God.
[00:02:39.000 --> 00:02:47.000]   You're the name above all names.
[00:02:47.000 --> 00:02:53.000]   Worthy of all praise.
