
[00:00:00.000 --> 00:00:02.920]   (soft piano music)
[00:00:02.920 --> 00:00:05.920]   (audience laughing)
[00:00:05.920 --> 00:00:08.920]   (audience laughing)
[00:00:08.920 --> 00:00:11.920]   (audience laughing)
[00:00:11.920 --> 00:00:14.920]   (audience laughing)
[00:00:14.920 --> 00:00:17.920]   (audience laughing)
[00:00:17.920 --> 00:00:23.920]   (audience laughing)
[00:00:23.920 --> 00:00:29.920]   (audience laughing)
[00:00:29.920 --> 00:00:34.920]   (audience laughing)
[00:00:34.920 --> 00:00:41.920]   (audience laughing)
[00:00:42.920 --> 00:00:45.920]   (audience laughing)
[00:00:45.920 --> 00:00:48.920]   (audience laughing)
[00:00:48.920 --> 00:00:51.920]   (audience laughing)
[00:00:51.920 --> 00:00:54.920]   (audience laughing)
[00:00:54.920 --> 00:01:02.920]   (audience laughing)
[00:01:02.920 --> 00:01:09.920]   (audience laughing)
[00:01:09.920 --> 00:01:16.920]   (audience laughing)
[00:01:16.920 --> 00:01:19.920]   (audience laughing)
[00:01:19.920 --> 00:01:26.920]   (audience laughing)
[00:01:26.920 --> 00:01:32.920]   (audience laughing)
[00:01:32.920 --> 00:01:40.920]   (audience laughing)
[00:01:44.920 --> 00:01:47.920]   (audience laughing)
[00:01:47.920 --> 00:01:58.920]   (audience laughing)
[00:01:58.920 --> 00:02:07.920]   (audience laughing)
[00:02:07.920 --> 00:02:10.920]   (audience laughing)
[00:02:10.920 --> 00:02:13.920]   (audience laughing)
[00:02:13.920 --> 00:02:16.920]   (audience laughing)
[00:02:16.920 --> 00:02:23.920]   (audience laughing)
[00:02:23.920 --> 00:02:30.920]   (audience laughing)
[00:02:39.920 --> 00:02:42.920]   (audience laughing)
[00:02:42.920 --> 00:02:57.920]   (audience laughing)
[00:02:57.920 --> 00:03:02.920]   (audience laughing)
[00:03:02.920 --> 00:03:05.920]   (audience laughing)
[00:03:05.920 --> 00:03:12.920]   (audience laughing)
[00:03:12.920 --> 00:03:20.920]   (audience laughing)
[00:03:20.920 --> 00:03:30.920]   (audience laughing)
[00:03:30.920 --> 00:03:33.920]   (audience laughing)
[00:03:33.920 --> 00:03:47.920]   (audience laughing)
[00:03:47.920 --> 00:03:50.920]   (audience laughing)
[00:03:51.920 --> 00:03:54.920]   (audience laughing)
[00:03:54.920 --> 00:04:13.920]   (audience laughing)
[00:04:13.920 --> 00:04:16.920]   (audience laughing)
[00:04:16.920 --> 00:04:19.920]   (audience laughing)
[00:04:19.920 --> 00:04:22.920]   (audience laughing)
[00:04:22.920 --> 00:04:25.920]   (audience laughing)
[00:04:25.920 --> 00:04:28.920]   (audience laughing)
[00:04:28.920 --> 00:04:31.920]   (audience laughing)
[00:04:31.920 --> 00:04:34.920]   (audience laughing)
[00:04:34.920 --> 00:04:37.920]   (audience laughing)
[00:04:37.920 --> 00:04:40.920]   (audience laughing)
[00:04:40.920 --> 00:04:55.920]   (audience laughing)
[00:04:55.920 --> 00:04:58.920]   (audience laughing)
[00:04:58.920 --> 00:05:11.920]   (audience laughing)
