
[00:00:00.000 --> 00:00:10.000]   [MUSIC]
[00:00:10.000 --> 00:00:20.000]   [BLANK_AUDIO]
[00:00:20.000 --> 00:00:34.040]   >> Hi, everybody.
[00:00:34.040 --> 00:00:37.560]   Let's take our seats now.
[00:00:37.560 --> 00:00:42.160]   Start coming back.
[00:00:42.160 --> 00:00:54.200]   I know we had a nice kind of longer lunch break.
[00:00:54.200 --> 00:00:56.840]   Really appreciative of our BAM logistics team.
[00:00:56.840 --> 00:00:58.000]   Let's give them a big round.
[00:00:58.000 --> 00:01:01.240]   >> [APPLAUSE]
[00:01:01.240 --> 00:01:02.640]   >> People were like, in and out,
[00:01:02.640 --> 00:01:03.760]   we can afford that?
[00:01:03.760 --> 00:01:08.400]   >> [LAUGH] >> And then it was so
[00:01:08.400 --> 00:01:13.800]   efficient that, typically for 130 people to get food alone just takes like
[00:01:13.800 --> 00:01:18.000]   30 minutes line, but everybody was done eating by like 1230, so.
[00:01:18.000 --> 00:01:21.880]   It went very smoothly.
[00:01:21.880 --> 00:01:28.400]   And then I know we had kind of a nice gap where you guys could talk and hang out.
[00:01:28.400 --> 00:01:33.800]   I know that some people, that kind of downtime and loitering is really painful.
[00:01:33.800 --> 00:01:36.520]   For others, I believe lifelong friendships were made.
[00:01:36.520 --> 00:01:39.200]   >> [LAUGH]
[00:01:39.200 --> 00:01:40.480]   >> Those are good times just to get to
[00:01:40.480 --> 00:01:43.560]   know each other better and hang out, and I hope that it has been.
[00:01:43.560 --> 00:01:48.560]   Again, having extended and quality time together, it's a precious thing.
[00:01:48.560 --> 00:01:52.000]   Okay, a couple announcements wise.
[00:01:52.000 --> 00:01:55.800]   So right now we're entering into a mini talk plus Q&A.
[00:01:55.800 --> 00:01:59.920]   Okay, so number one, here's my phone number,
[00:01:59.920 --> 00:02:05.720]   because you can just text me just questions pertaining to,
[00:02:05.720 --> 00:02:09.400]   A, if you've ever been confused about the concept of God's holiness.
[00:02:09.400 --> 00:02:15.800]   For us as good students of the scriptures, it's always good to ask questions.
[00:02:15.800 --> 00:02:19.600]   So please ask related to concepts of God's holiness.
[00:02:19.600 --> 00:02:22.520]   If you have questions about, okay, well, nevertheless,
[00:02:22.520 --> 00:02:27.960]   we did talk about understanding God's holiness has a natural
[00:02:27.960 --> 00:02:30.800]   ramifications of what we're gonna do and not do.
[00:02:30.800 --> 00:02:35.800]   So if you've ever wrestled with gray areas in life, this is a good opportunity
[00:02:35.800 --> 00:02:40.480]   that we do Q&A because of that, because sometimes there are areas that are grayish.
[00:02:40.480 --> 00:02:45.120]   If you even have questions about even advice that you would like for
[00:02:45.120 --> 00:02:47.360]   scenarios, you can send that over.
[00:02:47.360 --> 00:02:53.440]   And I promise you I will not disclose, like, so Mike Tice asks.
[00:02:53.440 --> 00:02:58.160]   [LAUGH] I promise you that it's just gonna be kept anonymous, okay?
[00:02:58.160 --> 00:02:59.480]   So there's the number.
[00:02:59.480 --> 00:03:03.800]   Feel free to think about questions related to things that are relevant
[00:03:03.800 --> 00:03:09.360]   in case scenario to you, but also even conceptually and applicationally, okay?
[00:03:09.360 --> 00:03:10.800]   Great.
[00:03:10.800 --> 00:03:14.080]   Then, if you would turn your Bible to Galatians chapter 5,
[00:03:14.080 --> 00:03:21.280]   I'm gonna read to us a section, and then we're going to do a quick mini talk, okay?
[00:03:21.280 --> 00:03:21.880]   Quick mini talk.
[00:03:21.880 --> 00:03:27.120]   All right, and we're gonna start in verse 16.
[00:03:27.120 --> 00:03:37.800]   So Galatians 5, verse 16, very well-known passage,
[00:03:37.800 --> 00:03:41.920]   distinguishing for us what it looks like to walk by the spirit.
[00:03:41.920 --> 00:03:45.560]   And so verse 16 says, but I say, walk by the spirit and
[00:03:45.560 --> 00:03:48.280]   you will not carry out the desire of the flesh.
[00:03:48.280 --> 00:03:52.000]   For the flesh sets its desire against the spirit, and
[00:03:52.000 --> 00:03:54.200]   the spirit against the flesh.
[00:03:54.200 --> 00:03:56.640]   For these are in opposition to one another, so
[00:03:56.640 --> 00:04:00.160]   that you may not do the things that you please.
[00:04:00.160 --> 00:04:04.080]   But if you are led by the spirit, you are not under the law.
[00:04:04.080 --> 00:04:09.200]   Now the deeds of the flesh are evident, which are immorality,
[00:04:09.200 --> 00:04:14.360]   impurity, sensuality, idolatry, sorcery, enmities,
[00:04:14.360 --> 00:04:20.000]   strife, jealousy, outbursts of anger, disputes, dissensions, and factions.
[00:04:20.000 --> 00:04:25.040]   Envying, drunkenness, carousing, and things like these of which I forewarn you,
[00:04:25.040 --> 00:04:26.680]   just as I have forewarned you,
[00:04:26.680 --> 00:04:31.800]   that those who practice such things will not inherit the kingdom of God.
[00:04:31.800 --> 00:04:36.480]   But the fruit of the spirit is love, joy, peace, patience, kindness, goodness,
[00:04:36.480 --> 00:04:39.360]   faithfulness, gentleness, self-control.
[00:04:39.360 --> 00:04:42.760]   Against such things there is no law.
[00:04:42.760 --> 00:04:46.680]   Now those who belong to Christ Jesus have crucified the flesh
[00:04:46.680 --> 00:04:49.200]   with its passions and desires.
[00:04:49.200 --> 00:04:52.800]   If we live by the spirit, let us also walk by the spirit.
[00:04:52.800 --> 00:04:57.680]   Let us not become boastful, challenging one another, envying one another.
[00:04:57.680 --> 00:04:58.840]   Now let's take a moment to pray.
[00:04:58.840 --> 00:05:05.880]   Heavenly Father, we continue always to ask that whenever,
[00:05:05.880 --> 00:05:08.760]   Lord, we are being taught by the scriptures,
[00:05:08.760 --> 00:05:12.320]   we pray your spirit will illumine that scripture to us.
[00:05:12.320 --> 00:05:17.320]   Help us to both understand, but also to, yes, feel, and
[00:05:17.320 --> 00:05:19.520]   then to be convicted and apply.
[00:05:19.520 --> 00:05:22.400]   I pray, Father Lord, that we would be strengthened by your word.
[00:05:22.400 --> 00:05:24.160]   We thank you in Christ's name, amen.
[00:05:24.160 --> 00:05:28.880]   Okay, so I am gonna do audience participation.
[00:05:28.880 --> 00:05:32.240]   And I know some of you guys hate it when I do this stuff, but
[00:05:32.240 --> 00:05:35.920]   I'm gonna call on some people to come up here and answer some questions with me.
[00:05:35.920 --> 00:05:36.680]   Okay?
[00:05:36.680 --> 00:05:41.080]   [LAUGH] It's like, a shoe with no eye contact, okay?
[00:05:41.080 --> 00:05:45.360]   All right, so I'm gonna just scan the room from my left, and
[00:05:45.360 --> 00:05:47.040]   I just invite you to come up.
[00:05:47.040 --> 00:05:49.440]   Some guys that I sometimes like to pick on.
[00:05:49.440 --> 00:05:52.280]   I see Billy over there, come on up, Billy.
[00:05:52.280 --> 00:05:56.640]   >> [APPLAUSE]
[00:05:56.640 --> 00:05:59.400]   >> And then, I know he's always down.
[00:05:59.400 --> 00:06:00.440]   Look at that excitement.
[00:06:00.440 --> 00:06:02.880]   As he comes towards the front.
[00:06:02.880 --> 00:06:04.600]   And then on my right, I got Sam.
[00:06:04.600 --> 00:06:05.400]   Come on up, Sam.
[00:06:05.400 --> 00:06:08.960]   >> [APPLAUSE]
[00:06:08.960 --> 00:06:10.880]   >> All right, so please come on up here.
[00:06:10.880 --> 00:06:15.600]   >> [LAUGH]
[00:06:15.600 --> 00:06:17.600]   >> Okay, so please,
[00:06:17.600 --> 00:06:20.680]   if you would just take a moment to introduce yourself and
[00:06:20.680 --> 00:06:23.520]   give the people just one interesting fact about yourself first.
[00:06:23.520 --> 00:06:24.020]   Come on up.
[00:06:29.400 --> 00:06:33.480]   >> My name is Billy, and interesting fact,
[00:06:33.480 --> 00:06:37.160]   I don't know, I grew up in Texas.
[00:06:37.160 --> 00:06:39.120]   >> [LAUGH]
[00:06:39.120 --> 00:06:39.800]   >> That's it, that's it.
[00:06:39.800 --> 00:06:41.800]   >> [APPLAUSE]
[00:06:41.800 --> 00:06:44.160]   >> Okay, so my question to you is,
[00:06:44.160 --> 00:06:49.640]   there is no right answer, and I want you to, I didn't prepare you because I just
[00:06:49.640 --> 00:06:54.080]   want you to respond with one of those kind of word association ways, right?
[00:06:54.080 --> 00:06:58.840]   So, being that we are in our singles ministry, a lot of times,
[00:06:58.840 --> 00:07:04.240]   if you guys ask me for advice on dating, I say, a huge part of the game of dating
[00:07:04.240 --> 00:07:10.600]   is your ability to correctly, appropriately, and realistically assess a person.
[00:07:10.600 --> 00:07:12.360]   Is this person holy?
[00:07:12.360 --> 00:07:17.640]   So my question to you is, when you take a moment to evaluate somebody, and
[00:07:17.640 --> 00:07:21.120]   you're thinking, wow, that girl is holy, right?
[00:07:21.120 --> 00:07:22.680]   What is the first thing that comes to your mind?
[00:07:22.680 --> 00:07:32.680]   >> [LAUGH]
[00:07:32.680 --> 00:07:36.440]   >> Like what I see in them, or like what?
[00:07:36.440 --> 00:07:36.940]   >> Yeah, yeah.
[00:07:36.940 --> 00:07:43.320]   >> Like someone who has a pattern of serving the church?
[00:07:43.320 --> 00:07:44.600]   >> Service to the church.
[00:07:44.600 --> 00:07:45.880]   Good answer, good answer.
[00:07:45.880 --> 00:07:51.320]   >> [APPLAUSE]
[00:07:51.320 --> 00:07:53.320]   >> Okay, so please also introduce
[00:07:53.320 --> 00:07:55.960]   yourself and give us just what you're up to in life these days.
[00:07:55.960 --> 00:08:03.160]   >> Hi, I'm Sam, and these days I'm sitting in a room for many hours working.
[00:08:03.160 --> 00:08:04.640]   I work in marketing, so that's why.
[00:08:04.640 --> 00:08:09.600]   >> [APPLAUSE]
[00:08:09.600 --> 00:08:12.400]   >> Now I'm gonna give you an option of two
[00:08:12.400 --> 00:08:14.640]   questions, okay?
[00:08:14.640 --> 00:08:16.280]   So you could take the same question.
[00:08:16.280 --> 00:08:20.280]   When you see a guy, and then you're just like, wow, that guy is holy, right?
[00:08:20.280 --> 00:08:22.360]   What is the first thing that comes to your mind?
[00:08:22.360 --> 00:08:28.160]   But also, if you see a guy and you're like, that guy is so unholy,
[00:08:28.160 --> 00:08:35.640]   what is something that's just like a massive just turn off because it's so ungodly?
[00:08:35.640 --> 00:08:39.240]   What would be your first thought when you think of, wow, that's really unholy?
[00:08:39.240 --> 00:08:40.480]   >> It's an easy question.
[00:08:40.480 --> 00:08:41.520]   >> Okay.
[00:08:41.520 --> 00:08:42.480]   >> I think about that all the time.
[00:08:42.480 --> 00:08:43.000]   No.
[00:08:43.000 --> 00:08:43.960]   >> [LAUGH]
[00:08:43.960 --> 00:08:44.920]   >> Mine's related.
[00:08:44.920 --> 00:08:46.480]   It's humility and pride.
[00:08:46.480 --> 00:08:49.160]   >> Mm, okay, good answer.
[00:08:49.160 --> 00:08:50.800]   >> [APPLAUSE]
