
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:00:03.160 --> 00:00:07.240]   (audience chattering continues)
[00:00:07.240 --> 00:00:11.320]   (audience chattering continues)
[00:00:11.320 --> 00:00:15.400]   (audience chattering continues)
[00:00:15.400 --> 00:00:19.480]   (audience chattering continues)
[00:00:19.480 --> 00:00:23.560]   (audience chattering continues)
[00:00:23.560 --> 00:00:27.640]   (audience chattering continues)
[00:00:27.660 --> 00:00:31.740]   (audience chattering continues)
[00:00:31.740 --> 00:00:35.820]   (audience chattering continues)
[00:00:35.820 --> 00:00:39.900]   (audience chattering continues)
[00:00:39.900 --> 00:00:43.980]   (audience chattering continues)
[00:01:06.940 --> 00:01:11.020]   (audience chattering continues)
[00:01:11.020 --> 00:01:15.100]   (audience chattering continues)
[00:01:15.100 --> 00:01:19.180]   (audience chattering continues)
[00:01:19.180 --> 00:01:23.260]   (audience chattering continues)
[00:01:23.820 --> 00:01:27.240]   Like, bounced it off or something, yeah.
[00:01:27.240 --> 00:01:31.240]   (audience chattering continues)
[00:01:31.240 --> 00:01:35.240]   (audience chattering continues)
[00:01:35.240 --> 00:01:39.240]   (audience chattering continues)
[00:01:39.240 --> 00:01:43.240]   (audience chattering continues)
[00:01:43.240 --> 00:01:47.240]   (audience chattering continues)
[00:01:47.240 --> 00:01:51.240]   (audience chattering continues)
[00:01:51.240 --> 00:01:55.240]   (audience chattering continues)
[00:01:56.040 --> 00:01:56.880]   I heard it.
[00:01:56.880 --> 00:02:03.180]   (audience chattering continues)
[00:02:03.180 --> 00:02:07.180]   (audience chattering continues)
[00:02:07.180 --> 00:02:11.180]   (audience chattering continues)
[00:02:11.180 --> 00:02:15.180]   (audience chattering continues)
[00:02:15.180 --> 00:02:19.180]   (audience chattering continues)
[00:02:19.180 --> 00:02:23.180]   (audience chattering continues)
[00:02:23.180 --> 00:02:40.820]   I know, it's crazy.
[00:02:40.820 --> 00:02:43.160]   I wish.
[00:02:43.160 --> 00:02:49.160]   (audience chattering continues)
[00:02:50.160 --> 00:02:54.160]   (audience chattering continues)
[00:02:54.160 --> 00:03:01.160]   (audience chattering continues)
[00:03:01.160 --> 00:03:12.240]   Are you guys having any food?
[00:03:12.240 --> 00:03:13.640]   Are you rich or something?
[00:03:13.640 --> 00:03:15.480]   What do you guys have, steak or something?
[00:03:15.480 --> 00:03:16.320]   Steak and sushi.
[00:03:16.320 --> 00:03:17.160]   Wait, actually?
[00:03:17.160 --> 00:03:17.980]   I think so.
[00:03:17.980 --> 00:03:22.320]   (audience chattering continues)
[00:03:22.320 --> 00:03:26.320]   (audience chattering continues)
[00:03:26.420 --> 00:03:28.340]   You guys go too far, that's crazy.
[00:03:28.340 --> 00:03:29.180]   I wish I had that.
[00:03:29.180 --> 00:03:33.180]   (audience chattering continues)
[00:03:33.180 --> 00:03:42.980]   What do you guys do when you think about it?
[00:03:42.980 --> 00:03:46.980]   (audience chattering continues)
[00:03:46.980 --> 00:03:51.640]   Oh, I heard not staying.
[00:03:51.640 --> 00:03:55.640]   (audience chattering continues)
[00:03:56.300 --> 00:03:57.140]   Jam.
[00:03:57.140 --> 00:04:06.360]   The customer told you to just start without.
[00:04:06.360 --> 00:04:07.200]   Okay.
[00:04:07.200 --> 00:04:08.040]   So, he's not coming out.
[00:04:08.040 --> 00:04:09.180]   Yeah, he's not coming out.
[00:04:09.180 --> 00:04:11.340]   So, I'll just pray for it.
[00:04:11.340 --> 00:04:18.380]   But I'll give it to 705.
[00:04:18.380 --> 00:04:21.300]   (soft piano music)
[00:04:21.300 --> 00:04:25.380]   (audience chattering continues)
[00:04:25.380 --> 00:04:37.960]   (microphone feedback whines)
[00:04:37.960 --> 00:04:40.100]   That mic is super loud.
[00:04:40.100 --> 00:04:41.880]   Oh, I love you, it's not me.
[00:04:41.880 --> 00:04:42.720]   Oh my God.
