
[00:00:00.000 --> 00:00:06.200]   It's in Christ's name. Amen. As we enter into time of worship, you can stay seated so we can see the lyrics. Thank you.
[00:00:06.200 --> 00:00:25.480]   Praise to the Lord, the Almighty, King of creation.
[00:00:25.480 --> 00:00:34.360]   All my soul praise Him for His health and salvation.
[00:00:34.360 --> 00:00:52.280]   All ye who hear now to His temple drum, praise Him in loud adoration.
[00:00:52.280 --> 00:01:04.040]   Praise to the Lord. Praise to the Lord who all things so wondrously reigneth.
[00:01:04.040 --> 00:01:12.760]   Shelters thee under His wisdom so truly sustaining it.
[00:01:12.760 --> 00:01:20.440]   Hast thou not seen how thy desires have been?
[00:01:20.440 --> 00:01:34.200]   Converted in all that He ordained.
[00:01:34.200 --> 00:01:42.840]   Praise to the Lord who doth prosper and work and defend thee.
[00:01:42.840 --> 00:01:51.640]   Surely His goodness and mercy continually attend thee.
[00:01:51.640 --> 00:01:59.480]   Wonder anew what the Almighty can do.
[00:01:59.480 --> 00:02:10.680]   With His love He befriend thee.
[00:02:10.680 --> 00:02:22.680]   Praise to the Lord. Praise to the Lord, O let all that have seen Thee adore Him.
[00:02:22.680 --> 00:02:31.480]   All that hath life and that cometh, praises before Him.
[00:02:31.480 --> 00:02:45.480]   Let the amen sound from His people again. Godly for aye, we adore Him.
[00:02:45.480 --> 00:02:59.480]   Let the amen sound from His people again. Godly for aye, we adore Him.
[00:02:59.480 --> 00:03:21.480]   [instrumental]
[00:03:21.480 --> 00:03:31.480]   Through the nations reach, kingdoms rise and fall.
[00:03:31.480 --> 00:03:41.480]   There is still one King, reigning over all.
[00:03:41.480 --> 00:03:51.480]   So I will not fear, for this truth remains.
[00:03:51.480 --> 00:04:01.480]   And by God it is the ancient day.
[00:04:01.480 --> 00:04:13.480]   None above Him, none before Him, all the time in His hands.
[00:04:13.480 --> 00:04:23.480]   For His throne it shall remain and ever stand.
[00:04:23.480 --> 00:04:33.480]   All the power, all the glory, I will trust in His name.
[00:04:33.480 --> 00:04:43.480]   For my God is the ancient mighty.
[00:04:43.480 --> 00:04:59.480]   Though the dread of night overwhelms my soul, He is here with me.
[00:04:59.480 --> 00:05:09.480]   I am not alone, for His love is sure.
[00:05:09.480 --> 00:05:23.480]   And He knows my name, for my God is the ancient mighty.
[00:05:23.480 --> 00:05:35.480]   None above Him, none before Him, all the time in His hands.
