
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:06.000]   (gentle music continues)
[00:00:07.000 --> 00:00:10.420]   (gentle music continues)
[00:00:10.420 --> 00:00:13.840]   (gentle music continues)
[00:00:13.840 --> 00:00:17.260]   (gentle music continues)
[00:00:17.260 --> 00:00:20.680]   (gentle music continues)
[00:00:20.680 --> 00:00:24.100]   (gentle music continues)
[00:00:24.100 --> 00:00:27.520]   (gentle music continues)
[00:00:27.520 --> 00:00:30.940]   (gentle music continues)
[00:00:30.940 --> 00:00:34.360]   (gentle music continues)
[00:00:34.360 --> 00:00:37.780]   (gentle music continues)
[00:00:37.780 --> 00:00:41.200]   (gentle music continues)
[00:00:41.200 --> 00:00:44.620]   (gentle music continues)
[00:00:44.620 --> 00:00:50.040]   (gentle music continues)
[00:00:50.040 --> 00:00:59.460]   (gentle music continues)
[00:00:59.460 --> 00:01:05.460]   (gentle music continues)
[00:01:05.800 --> 00:01:09.220]   (gentle music continues)
[00:01:09.220 --> 00:01:28.720]   (gentle music continues)
[00:01:29.560 --> 00:01:32.980]   (gentle music continues)
[00:01:32.980 --> 00:01:46.480]   (gentle music continues)
[00:01:46.820 --> 00:01:50.240]   (gentle music continues)
[00:01:50.240 --> 00:02:08.240]   (gentle music continues)
[00:02:08.580 --> 00:02:12.000]   (gentle music continues)
[00:02:12.000 --> 00:02:33.000]   (gentle music continues)
[00:02:33.340 --> 00:02:36.760]   (gentle music continues)
[00:02:36.760 --> 00:02:52.760]   (gentle music continues)
[00:02:53.100 --> 00:02:56.520]   (gentle music continues)
[00:02:56.520 --> 00:03:18.520]   (gentle music continues)
[00:03:18.860 --> 00:03:22.200]   (gentle music continues)
[00:03:22.200 --> 00:03:43.200]   (gentle music continues)
[00:03:43.540 --> 00:03:46.880]   (gentle music continues)
[00:03:46.880 --> 00:04:06.960]   (gentle music continues)
[00:04:07.800 --> 00:04:11.140]   (gentle music continues)
[00:04:11.980 --> 00:04:15.320]   (gentle music continues)
[00:04:16.160 --> 00:04:19.500]   (gentle music continues)
[00:04:20.340 --> 00:04:23.680]   (gentle music continues)
[00:04:24.520 --> 00:04:27.940]   (gentle music continues)
[00:04:28.780 --> 00:04:32.200]   (gentle music continues)
[00:04:32.200 --> 00:04:44.200]   (gentle music continues)
[00:04:45.040 --> 00:04:48.460]   (gentle music continues)
[00:04:48.460 --> 00:05:02.880]   (gentle music continues)
[00:05:03.720 --> 00:05:07.140]   (gentle music continues)
[00:05:07.140 --> 00:05:19.640]   (gentle music continues)
[00:05:19.980 --> 00:05:23.400]   (gentle music continues)
[00:05:23.400 --> 00:05:42.400]   (gentle music continues)
[00:05:42.740 --> 00:05:46.160]   (gentle music continues)
[00:05:46.160 --> 00:06:00.080]   (gentle music continues)
[00:06:00.420 --> 00:06:03.840]   (gentle music continues)
[00:06:03.840 --> 00:06:17.760]   (gentle music continues)
[00:06:18.600 --> 00:06:22.020]   (gentle music continues)
[00:06:22.020 --> 00:06:40.020]   (gentle music continues)
[00:06:40.860 --> 00:06:44.280]   (gentle music continues)
[00:06:44.280 --> 00:06:53.780]   (gentle music continues)
[00:06:53.780 --> 00:07:06.080]   (gentle music continues)
[00:07:06.920 --> 00:07:10.340]   (gentle music continues)
[00:07:10.340 --> 00:07:25.220]   - Good morning, church family.
[00:07:25.220 --> 00:07:26.260]   Happy Lord's Day.
[00:07:26.260 --> 00:07:27.720]   We will now begin our service.
[00:07:27.720 --> 00:07:33.460]   (upbeat music)
[00:07:33.460 --> 00:07:36.880]   (upbeat music continues)
[00:07:36.880 --> 00:07:56.600]   ♪ Come Thou Fount of every blessing ♪
