
[00:00:00.000 --> 00:00:28.640]   [ Background noise ]
[00:00:29.140 --> 00:00:36.180]   >> All right, let's, let me pray for us and then we'll go
[00:00:36.180 --> 00:00:37.120]   into the teaching time.
[00:00:37.120 --> 00:00:42.940]   Lord, would you help us to understand your truths well
[00:00:42.940 --> 00:00:47.360]   and to apply them appropriately in our lives
[00:00:47.360 --> 00:00:52.480]   so that every single one of us really would be able to exhort
[00:00:52.480 --> 00:00:57.540]   and reprove for the purposes of the building up of your church.
[00:00:58.300 --> 00:00:59.900]   We thank you for our discussion.
[00:00:59.900 --> 00:01:02.540]   We pray that you would help us to have a fruitful time
[00:01:02.540 --> 00:01:05.520]   of gleaning and learning over the next few minutes
[00:01:05.520 --> 00:01:06.260]   and Jesus, let me pray.
[00:01:06.260 --> 00:01:12.800]   So I read this in the beginning and I'll take this passage
[00:01:12.800 --> 00:01:16.920]   and I'll further just carve it up, okay?
[00:01:16.920 --> 00:01:22.940]   So if you've noticed, I've categorized verses five
[00:01:22.940 --> 00:01:27.980]   and six as more private life and then seven to nine as kind
[00:01:27.980 --> 00:01:30.180]   of the publicly measurable stuff there.
[00:01:30.180 --> 00:01:35.780]   And in the middle, that for, it's a Greek word, gar.
[00:01:35.780 --> 00:01:38.060]   It's a very important word, right?
[00:01:38.060 --> 00:01:40.360]   The for is a very, kind of a vague word
[00:01:40.360 --> 00:01:41.540]   but it's a very important word.
[00:01:41.540 --> 00:01:45.200]   And it tells me right away that an elder
[00:01:45.200 --> 00:01:47.860]   and an overseer are the same thing, okay?
[00:01:47.860 --> 00:01:52.220]   For, this kind of a person is supposed to do A, B, C, and D,
[00:01:52.220 --> 00:01:57.540]   okay? And so I blew up that little phrase,
[00:01:57.540 --> 00:02:00.080]   for the overseer must be above approach,
[00:02:00.080 --> 00:02:02.060]   and I blew up the bottom.
[00:02:02.060 --> 00:02:04.680]   Why must he be above approach?
[00:02:04.680 --> 00:02:08.440]   So that he will be able both to exhort in sound doctrine
[00:02:08.440 --> 00:02:09.740]   and refute those who contradict.
[00:02:09.740 --> 00:02:14.280]   So basically, if you're ministering in the flesh
[00:02:14.280 --> 00:02:16.600]   and if your character is severely flawed,
[00:02:16.600 --> 00:02:18.660]   you're going to corrupt everything you teach.
[00:02:18.660 --> 00:02:19.840]   You're going to get in your own way.
[00:02:19.840 --> 00:02:23.420]   You're going to hinder the message not only
[00:02:23.420 --> 00:02:24.860]   by teaching incorrect things
[00:02:24.860 --> 00:02:28.140]   but by practicing it inappropriately, right?
[00:02:28.140 --> 00:02:29.980]   So that's the thing.
[00:02:29.980 --> 00:02:31.980]   So for me, when I look at this,
[00:02:31.980 --> 00:02:35.360]   the holding fast isn't the part that hinges upon
[00:02:35.360 --> 00:02:36.560]   so that he may be able to teach.
[00:02:36.560 --> 00:02:39.560]   It's the, he must be above approach
[00:02:39.560 --> 00:02:43.600]   so that he will be able to exhort and reprove, okay?
[00:02:43.600 --> 00:02:47.480]   So that's visually and grammatically, I dug deeper
[00:02:47.480 --> 00:02:49.700]   but just visually I see it like that.
[00:02:49.700 --> 00:02:53.200]   And I have five negative traits there.
[00:02:54.600 --> 00:02:56.900]   And it's interesting, I just immediately thought like,
[00:02:56.900 --> 00:02:59.200]   oh, these are five ways that leaders,
[00:02:59.200 --> 00:03:01.480]   especially as they become more successful, become tempted.
[00:03:01.480 --> 00:03:06.420]   Okay? The woman one was covered already
[00:03:06.420 --> 00:03:07.580]   in the one woman man thing.
[00:03:07.580 --> 00:03:11.240]   But these are ways that this leader can be easily tempted.
[00:03:11.240 --> 00:03:16.480]   As the church grows, this leader might have his own agenda.
[00:03:16.480 --> 00:03:20.580]   As the church grows and there's people who cause problems,
[00:03:20.580 --> 00:03:23.500]   we might lose patience and be like, let's squash that.
[00:03:23.500 --> 00:03:25.740]   Let's expunge that because that's what God wants us to do
[00:03:25.740 --> 00:03:27.320]   from the church and be very quick.
[00:03:27.320 --> 00:03:32.240]   There's also a temptation to just get my mind off
[00:03:32.240 --> 00:03:35.680]   of the busyness of ministry and just indulge in things
[00:03:35.680 --> 00:03:39.160]   that are not of God, whatever it is.
[00:03:39.160 --> 00:03:42.560]   Pugnacious, if someone challenges me
[00:03:42.560 --> 00:03:44.600]   and attacks my character, I might want to fight.
[00:03:44.600 --> 00:03:49.360]   I might be tempted to be kinder to people
[00:03:49.360 --> 00:03:51.660]   who give more money to the church.
[00:03:51.660 --> 00:03:53.260]   So these are ways that I can be tempted.
[00:03:53.640 --> 00:03:55.180]   And then there's that but in there
[00:03:55.180 --> 00:03:56.860]   and that there's six positive traits.
[00:03:56.860 --> 00:03:59.240]   And if you guys have thought it was seven, okay,
[00:03:59.240 --> 00:04:00.740]   it's actually six.
[00:04:00.740 --> 00:04:03.480]   There are six adjectives and one adverb.
[00:04:03.480 --> 00:04:06.260]   Hopefully you guys can visually see this.
[00:04:06.260 --> 00:04:09.540]   The six adjectives or virtues are all good
[00:04:09.540 --> 00:04:13.580]   and that holding is not an adjective.
