
[00:00:00.000 --> 00:00:02.340]   ♪ The blood ♪
[00:00:02.340 --> 00:00:06.720]   ♪ Took the blame ♪
[00:00:06.720 --> 00:00:10.860]   ♪ For the wrath we stand ♪
[00:00:10.860 --> 00:00:14.200]   ♪ Forgiven at the cross ♪
[00:00:15.080 --> 00:00:17.660]   (gentle music)
[00:00:17.660 --> 00:00:37.580]   ♪ Now the daylight ♪
[00:00:37.580 --> 00:00:41.860]   ♪ Now the ground beneath ♪
[00:00:41.860 --> 00:00:46.240]   ♪ Waves as its maker ♪
[00:00:46.240 --> 00:00:50.460]   ♪ Bows his head ♪
[00:00:50.460 --> 00:00:54.680]   ♪ Curtain torn in two ♪
[00:00:54.680 --> 00:00:59.020]   ♪ Dead are raised to life ♪
[00:00:59.020 --> 00:01:04.020]   ♪ Finished the victory cry ♪
[00:01:04.020 --> 00:01:10.820]   ♪ This the power ♪
[00:01:10.820 --> 00:01:15.080]   ♪ Of the cross ♪
[00:01:15.080 --> 00:01:19.300]   ♪ Christ became ♪
[00:01:19.300 --> 00:01:23.640]   ♪ Sin for us ♪
[00:01:23.640 --> 00:01:27.980]   ♪ Took the blame ♪
[00:01:27.980 --> 00:01:31.980]   ♪ For the wrath we stand ♪
[00:01:31.980 --> 00:01:35.320]   ♪ Forgiven at the cross ♪
[00:01:35.320 --> 00:01:39.900]   (gentle music)
[00:01:39.900 --> 00:01:42.480]   (gentle music)
[00:01:42.480 --> 00:01:50.400]   ♪ Oh to see my name ♪
[00:01:50.400 --> 00:01:54.540]   ♪ Written in the walls ♪
[00:01:54.540 --> 00:01:58.760]   ♪ Pull through your suffering ♪
[00:01:58.760 --> 00:02:02.880]   ♪ I am free ♪
[00:02:02.880 --> 00:02:07.060]   ♪ Death is crushed to death ♪
[00:02:07.060 --> 00:02:11.260]   ♪ Life is mine to live ♪
[00:02:11.260 --> 00:02:16.260]   ♪ Walk through your selfless love ♪
[00:02:16.260 --> 00:02:22.760]   ♪ This the power ♪
[00:02:22.760 --> 00:02:26.800]   ♪ Of the cross ♪
[00:02:26.800 --> 00:02:30.920]   ♪ Son of God ♪
[00:02:30.920 --> 00:02:35.260]   ♪ Slave for us ♪
[00:02:35.260 --> 00:02:39.500]   ♪ What a love ♪
[00:02:39.500 --> 00:02:41.540]   ♪ What a cross ♪
[00:02:41.540 --> 00:02:46.540]   ♪ We stand forgiven at ♪
[00:02:46.540 --> 00:02:50.840]   ♪ The cross ♪
[00:02:50.840 --> 00:02:55.420]   (gentle music)
[00:02:55.420 --> 00:02:58.000]   (gentle music)
[00:02:58.000 --> 00:03:12.620]   (upbeat music)
[00:03:12.620 --> 00:03:18.380]   ♪ Strength arises we wait upon the Lord ♪
[00:03:18.380 --> 00:03:20.080]   ♪ Wait upon the Lord ♪
[00:03:20.080 --> 00:03:23.460]   ♪ We will wait upon the Lord ♪
[00:03:23.460 --> 00:03:27.040]   ♪ Strength arises we wait upon the Lord ♪
[00:03:27.040 --> 00:03:28.840]   ♪ Wait upon the Lord ♪
[00:03:28.840 --> 00:03:33.080]   ♪ We will wait upon the Lord ♪
[00:03:33.080 --> 00:03:38.080]   ♪ You reign forever ♪
[00:03:38.080 --> 00:03:45.800]   ♪ Our strong deliverer ♪
[00:03:45.800 --> 00:03:52.540]   ♪ You are the everlasting God ♪
[00:03:53.040 --> 00:03:57.420]   ♪ The everlasting God ♪
[00:03:57.420 --> 00:03:59.580]   ♪ You do not fail ♪
[00:03:59.580 --> 00:04:04.580]   ♪ You won't grow weary ♪
[00:04:04.580 --> 00:04:10.080]   ♪ You're the defender of the weak ♪
[00:04:10.080 --> 00:04:14.920]   ♪ You comfort those in need ♪
[00:04:14.920 --> 00:04:18.700]   ♪ You lift us up on wings ♪
[00:04:18.700 --> 00:04:22.460]   ♪ Like eagles ♪
[00:04:22.460 --> 00:04:26.000]   ♪ Strength arises we wait upon the Lord ♪
[00:04:26.000 --> 00:04:27.700]   ♪ Wait upon the Lord ♪
[00:04:27.700 --> 00:04:31.040]   ♪ We will wait upon the Lord ♪
[00:04:31.040 --> 00:04:34.700]   ♪ Strength arises we wait upon the Lord ♪
[00:04:34.700 --> 00:04:36.380]   ♪ Wait upon the Lord ♪
[00:04:36.380 --> 00:04:38.700]   ♪ We will wait upon the Lord ♪
[00:04:38.700 --> 00:04:40.740]   ♪ Our God ♪
[00:04:40.740 --> 00:04:45.740]   ♪ You reign forever ♪
[00:04:45.740 --> 00:04:48.380]   ♪ Our hope ♪
[00:04:48.380 --> 00:04:53.380]   ♪ Our strong deliverer ♪
[00:04:53.380 --> 00:05:00.160]   ♪ You are the everlasting God ♪
[00:05:00.160 --> 00:05:05.000]   ♪ The everlasting God ♪
[00:05:05.000 --> 00:05:06.960]   ♪ You do not fail ♪
[00:05:06.960 --> 00:05:11.960]   ♪ You won't grow weary ♪
[00:05:11.960 --> 00:05:17.620]   ♪ You're the defender of the weak ♪
[00:05:18.120 --> 00:05:22.460]   ♪ You comfort those in need ♪
[00:05:22.460 --> 00:05:26.300]   ♪ You lift us up on wings ♪
[00:05:26.300 --> 00:05:28.880]   ♪ Like eagles ♪
[00:05:29.720 --> 00:05:32.300]   (upbeat music)
[00:05:32.300 --> 00:05:34.880]   (upbeat music)
[00:05:34.880 --> 00:05:37.460]   (upbeat music)
[00:05:37.460 --> 00:05:40.040]   (upbeat music)
[00:05:40.040 --> 00:05:58.340]   (upbeat music)
[00:06:04.840 --> 00:06:09.840]   ♪ You are the everlasting God ♪
[00:06:09.840 --> 00:06:14.600]   ♪ The everlasting God ♪
[00:06:14.600 --> 00:06:19.060]   ♪ The everlasting God ♪
[00:06:19.060 --> 00:06:22.220]   ♪ The everlasting ♪
[00:06:22.220 --> 00:06:25.840]   ♪ Strength arises we wait upon the Lord ♪
