
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:08.040]   - Welcome to the Latent Space Podcast,
[00:00:08.040 --> 00:00:10.240]   where we dive into the wild, wild world
[00:00:10.240 --> 00:00:12.200]   of AI engineering every week.
[00:00:12.200 --> 00:00:14.520]   This is Anna, your AI co-host.
[00:00:14.520 --> 00:00:16.800]   Thanks for all the love from last episode.
[00:00:16.800 --> 00:00:19.380]   As an AI language model, I cannot love you back,
[00:00:19.380 --> 00:00:22.420]   but I'll be standing in for Alessio one last time.
[00:00:22.420 --> 00:00:24.400]   This week, we have Dr. Raza Habib,
[00:00:24.400 --> 00:00:26.560]   co-founder and CEO of Human Loop,
[00:00:26.560 --> 00:00:28.640]   which is arguably the first and best known
[00:00:28.640 --> 00:00:32.160]   prompt engineering or prompt ops platform in the world.
[00:00:32.160 --> 00:00:35.220]   You may have seen his viral conversation on YC's YouTube
[00:00:35.220 --> 00:00:38.320]   on the real potential of generative AI.
[00:00:38.320 --> 00:00:40.840]   Fortunately, we go much more in depth.
[00:00:40.840 --> 00:00:43.360]   We ask him how they got to prompt ops so early,
[00:00:43.360 --> 00:00:45.160]   what the three types of prompt evals
[00:00:45.160 --> 00:00:47.560]   and the three types of human feedback are,
[00:00:47.560 --> 00:00:50.280]   and confront him with the hardest question of all,
[00:00:50.280 --> 00:00:52.420]   is prompt engineering dead?
[00:00:52.420 --> 00:00:55.680]   At the end, we talk about whether GPT-4 got dumber,
[00:00:55.680 --> 00:00:57.800]   the most underrated AI research,
[00:00:57.800 --> 00:00:59.600]   the Europe AI startup scene,
[00:00:59.600 --> 00:01:01.720]   and why San Francisco is so back.
[00:01:01.720 --> 00:01:03.160]   By the way, dear listener,
[00:01:03.160 --> 00:01:06.560]   we will be presenting the AI Engineer Summit in October,
[00:01:06.560 --> 00:01:08.240]   and you can tune in on YouTube
[00:01:08.240 --> 00:01:10.340]   and take the state of AI engineering survey
[00:01:10.340 --> 00:01:13.320]   at the URL, ai.engineersummit.
[00:01:13.320 --> 00:01:15.560]   Watch out and take care.
[00:01:15.560 --> 00:01:16.600]   - So welcome to Latent Space.
[00:01:16.600 --> 00:01:19.200]   I'm here with Raza Habib, CEO of Human Loop.
[00:01:19.200 --> 00:01:20.040]   Welcome.
[00:01:20.040 --> 00:01:20.860]   - Thanks so much for having me.
[00:01:20.860 --> 00:01:22.160]   It's an absolute pleasure.
[00:01:22.160 --> 00:01:26.080]   - And we just spent way too long setting up our own studio
[00:01:26.080 --> 00:01:27.760]   as sound engineers.
[00:01:27.760 --> 00:01:30.120]   - I don't think something that either of us woke up today
[00:01:30.120 --> 00:01:32.160]   thinking that we'd be doing, but that was really fun.
[00:01:32.160 --> 00:01:34.840]   - Gives you greater appreciation for the work of others.
[00:01:34.840 --> 00:01:35.680]   - Yes.
[00:01:35.680 --> 00:01:36.600]   Dave, you are missed.
[00:01:36.600 --> 00:01:38.520]   Dave is our sound engineer back in SF
[00:01:38.520 --> 00:01:40.440]   who handles all this for us.
[00:01:40.440 --> 00:01:43.840]   So it's really nice to actually meet you
[00:01:43.840 --> 00:01:45.160]   and your team in person.
[00:01:45.160 --> 00:01:46.880]   I've heard about Human Loop for a long time.
[00:01:46.880 --> 00:01:48.320]   I've attended your webinars,
[00:01:48.320 --> 00:01:51.160]   and you were one of the earliest companies in this space.
[00:01:51.160 --> 00:01:52.760]   So it's an honor to meet
[00:01:52.760 --> 00:01:54.240]   and to get to know you a little bit better.
