
[00:00:00.000 --> 00:00:02.000]   Here we go!
[00:00:02.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:06.000]   (applause)
[00:00:06.000 --> 00:00:08.000]   (music)
[00:00:08.000 --> 00:00:10.000]   (applause)
[00:00:10.000 --> 00:00:12.000]   (music)
[00:00:12.000 --> 00:00:14.000]   (applause)
[00:00:14.000 --> 00:00:16.000]   (music)
[00:00:16.000 --> 00:00:18.000]   (applause)
[00:00:18.000 --> 00:00:20.000]   Okay guys, with me.
[00:00:20.000 --> 00:00:22.000]   You are gold.
[00:00:22.000 --> 00:00:24.000]   You are gold.
[00:00:24.000 --> 00:00:26.000]   You are mighty.
[00:00:26.000 --> 00:00:28.000]   You are mighty.
[00:00:28.000 --> 00:00:30.000]   You are worthy.
[00:00:30.000 --> 00:00:32.000]   You are worthy.
[00:00:32.000 --> 00:00:34.000]   Worthy of praise.
[00:00:34.000 --> 00:00:36.000]   Worthy of praise.
[00:00:36.000 --> 00:00:38.000]   I will follow.
[00:00:38.000 --> 00:00:40.000]   I will follow.
[00:00:40.000 --> 00:00:42.000]   I will listen.
[00:00:42.000 --> 00:00:44.000]   I will listen.
[00:00:44.000 --> 00:00:46.000]   I will love you.
[00:00:46.000 --> 00:00:48.000]   I will love you.
[00:00:48.000 --> 00:00:50.000]   All of my days.
[00:00:50.000 --> 00:00:52.000]   All of my days.
[00:00:52.000 --> 00:00:54.000]   I will sing.
[00:00:54.000 --> 00:00:56.000]   I will sing.
[00:00:56.000 --> 00:01:06.000]   I will sing to and worship the king who is worthy.
[00:01:06.000 --> 00:01:08.000]   I will love him.
[00:01:08.000 --> 00:01:10.000]   Adore him.
[00:01:10.000 --> 00:01:16.000]   I will bow down before him.
[00:01:16.000 --> 00:01:24.000]   I will sing to and worship the king who is worthy.
[00:01:24.000 --> 00:01:26.000]   I will love him.
[00:01:26.000 --> 00:01:28.000]   Adore him.
[00:01:28.000 --> 00:01:34.000]   I will bow down before him.
[00:01:34.000 --> 00:01:36.000]   You're my prince of peace.
[00:01:36.000 --> 00:01:40.000]   I will live my life for you.
[00:01:40.000 --> 00:01:42.000]   (applause)
[00:01:42.000 --> 00:01:44.000]   (music)
[00:01:44.000 --> 00:01:46.000]   (applause)
[00:01:46.000 --> 00:01:48.000]   (music)
[00:01:48.000 --> 00:01:50.000]   You are gold.
[00:01:50.000 --> 00:01:52.000]   You are gold.
[00:01:52.000 --> 00:01:54.000]   You are mighty.
[00:01:54.000 --> 00:01:56.000]   You are mighty.
[00:01:56.000 --> 00:01:58.000]   You are worthy.
[00:01:58.000 --> 00:02:00.000]   You are worthy.
[00:02:00.000 --> 00:02:02.000]   Worthy of praise.
[00:02:02.000 --> 00:02:04.000]   Worthy of praise.
[00:02:04.000 --> 00:02:06.000]   I will follow.
[00:02:06.000 --> 00:02:08.000]   I will follow.
[00:02:08.000 --> 00:02:10.000]   I will listen.
[00:02:10.000 --> 00:02:12.000]   I will listen.
[00:02:12.000 --> 00:02:14.000]   I will love you.
[00:02:14.000 --> 00:02:16.000]   I will love you.
[00:02:16.000 --> 00:02:18.000]   All of my days.
[00:02:18.000 --> 00:02:20.000]   All of my days.
[00:02:20.000 --> 00:02:22.000]   All of my days.
[00:02:22.000 --> 00:02:24.000]   All of my days.
[00:02:24.000 --> 00:02:34.000]   I will sing to and worship the king who is worthy.
[00:02:34.000 --> 00:02:36.000]   I will love him.
[00:02:36.000 --> 00:02:38.000]   Adore him.
