
[00:00:00.000 --> 00:00:04.360]   and be convicted and then always God I pray that your word would bear its fruit
[00:00:04.360 --> 00:00:09.680]   in our lives we thank you for this evening it's in Christ's name amen
[00:00:09.680 --> 00:00:11.740]   you
[00:00:11.740 --> 00:00:13.800]   you
[00:00:13.800 --> 00:00:15.800]   you
[00:00:15.800 --> 00:00:17.800]   you
[00:00:17.800 --> 00:00:19.800]   you
[00:00:20.800 --> 00:00:22.800]   you
[00:00:22.800 --> 00:00:25.940]   [Music]
[00:00:25.940 --> 00:00:28.980]   [Music]
[00:00:28.980 --> 00:00:32.040]   [Music]
[00:00:32.040 --> 00:00:35.120]   [Music]
[00:00:35.120 --> 00:00:38.200]   [Music]
[00:00:38.200 --> 00:00:41.280]   [Music]
[00:00:41.280 --> 00:00:44.360]   [Music]
[00:00:44.360 --> 00:00:47.440]   [Music]
[00:00:47.440 --> 00:00:50.520]   [Music]
[00:00:50.520 --> 00:00:53.600]   [Music]
[00:00:53.600 --> 00:00:56.680]   [Music]
[00:00:56.680 --> 00:00:59.760]   [Music]
[00:00:59.760 --> 00:01:02.840]   [Music]
[00:01:02.840 --> 00:01:05.920]   [Music]
[00:01:05.920 --> 00:01:09.000]   [Music]
[00:01:09.000 --> 00:01:12.080]   [Music]
[00:01:12.080 --> 00:01:15.160]   [Music]
[00:01:15.160 --> 00:01:18.240]   [Music]
[00:01:18.240 --> 00:01:21.320]   [Music]
[00:01:21.320 --> 00:01:24.400]   [Music]
[00:01:24.400 --> 00:01:27.480]   [Music]
[00:01:27.480 --> 00:01:30.560]   [Music]
[00:01:30.560 --> 00:01:33.640]   [Music]
[00:01:33.640 --> 00:01:36.720]   [Music]
[00:01:36.720 --> 00:01:39.800]   [Music]
[00:01:39.800 --> 00:01:42.880]   [Music]
[00:01:42.880 --> 00:01:45.960]   [Music]
[00:01:45.960 --> 00:01:49.040]   [Music]
[00:01:49.040 --> 00:01:52.120]   [Music]
[00:01:52.120 --> 00:01:55.200]   [Music]
[00:01:55.200 --> 00:01:58.280]   [Music]
[00:01:58.280 --> 00:02:01.360]   [Music]
[00:02:01.360 --> 00:02:04.440]   [Music]
[00:02:04.440 --> 00:02:07.520]   [Music]
[00:02:07.520 --> 00:02:10.600]   [Music]
[00:02:10.600 --> 00:02:13.680]   [Music]
[00:02:13.680 --> 00:02:16.760]   [Music]
[00:02:16.760 --> 00:02:19.840]   [Music]
[00:02:19.840 --> 00:02:22.920]   [Music]
[00:02:22.920 --> 00:02:26.000]   [Music]
[00:02:26.000 --> 00:02:42.080]   [Music]
[00:02:42.080 --> 00:02:45.160]   [Music]
[00:02:45.160 --> 00:03:01.240]   [Music]
[00:03:01.240 --> 00:03:04.320]   [Music]
