
[00:00:00.000 --> 00:00:01.400]   Let's bring him out.
[00:00:01.400 --> 00:00:02.800]   Jimmy Donaldson, Mr. Beast.
[00:00:02.800 --> 00:00:06.280]   [APPLAUSE]
[00:00:06.280 --> 00:00:11.740]   What's up, brother?
[00:00:11.740 --> 00:00:13.240]   How's it going?
[00:00:13.240 --> 00:00:14.240]   What's up, everybody?
[00:00:14.240 --> 00:00:15.720]   [MUSIC - "I'M GOING HOME"]
[00:00:15.720 --> 00:00:18.600]   Let your winners ride.
[00:00:18.600 --> 00:00:19.840]   Rain Man, David Sack--
[00:00:19.840 --> 00:00:22.800]   I'm going home.
[00:00:22.800 --> 00:00:23.520]   And it said--
[00:00:23.520 --> 00:00:25.440]   We open sourced it to the fans, and they've
[00:00:25.440 --> 00:00:26.480]   just gone crazy with it.
[00:00:26.480 --> 00:00:27.280]   Love you, Wesley.
[00:00:27.280 --> 00:00:28.760]   Ice Queen of Quinoa.
[00:00:28.760 --> 00:00:30.240]   I'm going all in.
[00:00:30.240 --> 00:00:34.720]   So--
[00:00:34.720 --> 00:00:35.720]   Look at the phone.
[00:00:35.720 --> 00:00:36.800]   Wow.
[00:00:36.800 --> 00:00:37.720]   Wow.
[00:00:37.720 --> 00:00:38.840]   Guys, no selfies.
[00:00:38.840 --> 00:00:39.440]   No selfies.
[00:00:39.440 --> 00:00:42.520]   I mean, everybody's sending it to their kids as we speak.
[00:00:42.520 --> 00:00:43.600]   Yeah.
[00:00:43.600 --> 00:00:47.160]   Do your fans have like a name, like Beasties or something?
[00:00:47.160 --> 00:00:48.160]   No.
[00:00:48.160 --> 00:00:48.660]   Beasties?
[00:00:48.660 --> 00:00:49.160]   Besties?
[00:00:49.160 --> 00:00:49.660]   Besties?
[00:00:49.660 --> 00:00:50.400]   Besties?
[00:00:50.400 --> 00:00:51.760]   That's Taylor Swift.
[00:00:51.760 --> 00:00:53.200]   Beasties is pretty good.
[00:00:53.200 --> 00:00:55.480]   So I think everybody, all of you guys know Jimmy.
[00:00:55.480 --> 00:00:58.080]   But let me just tell you the quick story.
[00:00:58.080 --> 00:01:00.640]   I hate when people describe me in front of me, but go for it.
[00:01:00.640 --> 00:01:06.720]   Jimmy started YouTubing when he was 13 years old.
[00:01:06.720 --> 00:01:08.840]   And this is an incredible example.
[00:01:08.840 --> 00:01:10.400]   I mean, Jimmy's basically an athlete.
[00:01:10.400 --> 00:01:12.480]   So if you take a guy who basically spends
[00:01:12.480 --> 00:01:16.440]   10,000 hours at something, and there's a Steph Curry outcome,
[00:01:16.440 --> 00:01:18.960]   there's a LeBron James outcome, and there's a Jimmy Donaldson
[00:01:18.960 --> 00:01:19.460]   outcome.
[00:01:19.460 --> 00:01:21.120]   So what does this one look like?
[00:01:21.120 --> 00:01:23.240]   He starts posting videos online.
[00:01:23.240 --> 00:01:25.680]   He starts iterating, iterating, iterating at 16.
[00:01:25.680 --> 00:01:26.680]   I think he had like--
[00:01:26.680 --> 00:01:29.320]   I don't know, 2016 or so, he had like 30,000 followers,
[00:01:29.320 --> 00:01:31.600]   some nominal number.
[00:01:31.600 --> 00:01:34.280]   Kept tweaking, putting in the thousands and thousands
[00:01:34.280 --> 00:01:39.880]   of hours, stumbled into college for two weeks, stumbled out.
[00:01:39.880 --> 00:01:44.000]   And then fast forward now a decade since he started this,
[00:01:44.000 --> 00:01:46.600]   he's basically the most followed human on Earth
[00:01:46.600 --> 00:01:49.600]   after Messi and Cristiano Ronaldo.
[00:01:49.600 --> 00:01:53.280]   Although in terms of content creation,
[00:01:53.280 --> 00:01:56.360]   he's basically the top two or three most followed people
[00:01:56.360 --> 00:01:59.200]   on YouTube, Twitter, TikTok--
[00:01:59.200 --> 00:02:00.840]   sorry, not Twitter.
[00:02:00.840 --> 00:02:01.340]   X.
[00:02:01.340 --> 00:02:06.320]   X. Billions of views, event-based viewing.
[00:02:06.320 --> 00:02:11.320]   So when he launches videos noon Eastern time on Saturdays
[00:02:11.320 --> 00:02:14.520]   every two weeks, if you're not watching them,
[00:02:14.520 --> 00:02:18.120]   probably people you know, definitely your kids,
[00:02:18.120 --> 00:02:21.920]   their friends, it's just a spectacle.
[00:02:21.920 --> 00:02:24.200]   And so that's how you've become you.
[00:02:24.200 --> 00:02:27.600]   So let's start at the beginning.
[00:02:27.600 --> 00:02:29.440]   How did your mom react?
[00:02:29.440 --> 00:02:31.360]   [LAUGHTER]
[00:02:31.360 --> 00:02:33.720]   Because Sue seems like--
[00:02:33.720 --> 00:02:35.040]   and she works for Jimmy.
[00:02:35.040 --> 00:02:36.920]   She's like a head of compliance, OK?
[00:02:36.920 --> 00:02:37.760]   [LAUGHTER]
[00:02:37.760 --> 00:02:39.400]   She just makes sure no one steals money.
[00:02:39.400 --> 00:02:40.640]   It's a nice fun role.
[00:02:40.640 --> 00:02:43.960]   So what happened when you showed up and you're like, hey, mom,
[00:02:43.960 --> 00:02:46.840]   I've been streaming secretly and I have these followers?
[00:02:46.840 --> 00:02:47.640]   Yeah.
[00:02:47.640 --> 00:02:49.480]   Well, you know what's interesting, actually,
[00:02:49.480 --> 00:02:52.640]   is you should encourage your kids to have hobbies
[00:02:52.640 --> 00:02:54.680]   and want to do these things.
[00:02:54.680 --> 00:02:56.600]   My mom thought it was crazy that I was talking
[00:02:56.600 --> 00:02:57.680]   to people on the internet.
[00:02:57.680 --> 00:03:00.200]   So I ended up just lying, like, oh, it was a joke.
[00:03:00.200 --> 00:03:02.480]   I just have a friend I'm talking to every night online
[00:03:02.480 --> 00:03:04.560]   or on Skype or whatever.
[00:03:04.560 --> 00:03:08.120]   And then once I hit 10,000 subscribers, I told her,
[00:03:08.120 --> 00:03:09.040]   yeah, I was a lie.
[00:03:09.040 --> 00:03:10.080]   I don't have any friends.
[00:03:10.080 --> 00:03:12.200]   I'm just making videos.
[00:03:12.200 --> 00:03:13.640]   And she just didn't understand it.
[00:03:13.640 --> 00:03:16.040]   She was just like, what does this mean?
[00:03:16.040 --> 00:03:16.760]   Yeah.
[00:03:16.760 --> 00:03:21.320]   Where did the idea for all these spectacles originate from?
[00:03:21.320 --> 00:03:23.080]   The first few that really broke through,
[00:03:23.080 --> 00:03:24.000]   how did you guys come up with them
[00:03:24.000 --> 00:03:25.320]   or how did you come up with them?
[00:03:25.320 --> 00:03:26.080]   Yeah.
[00:03:26.080 --> 00:03:28.600]   Well, the thing is, for people, if you
[00:03:28.600 --> 00:03:31.120]   want to get hypothetically 100 million views on a video,
[00:03:31.120 --> 00:03:33.040]   the easiest way is to do something cool no one's
[00:03:33.040 --> 00:03:33.920]   done before.
[00:03:33.920 --> 00:03:36.360]   And one of the first ones was I saw
[00:03:36.360 --> 00:03:39.000]   no one had ever counted 100,000 in a row.
[00:03:39.000 --> 00:03:40.920]   So I was like, I'll just count 100,000.
[00:03:40.920 --> 00:03:42.800]   I watched that video for about five minutes.
[00:03:42.800 --> 00:03:43.320]   Yeah.
[00:03:43.320 --> 00:03:43.480]   It's pretty great.
[00:03:43.480 --> 00:03:44.400]   It's more than normal.
[00:03:44.400 --> 00:03:46.640]   It's 40 hours long, but the retention's two minutes.
[00:03:46.640 --> 00:03:47.720]   Yeah.
[00:03:47.720 --> 00:03:50.240]   And you look like-- how old were you in that 15 years old?
[00:03:50.240 --> 00:03:51.000]   I was like 18.
[00:03:51.000 --> 00:03:51.500]   Yeah.
[00:03:51.500 --> 00:03:52.360]   It's hilarious.
[00:03:52.360 --> 00:03:52.840]   Yeah.
[00:03:52.840 --> 00:03:54.760]   So I just started because I didn't have money.
[00:03:54.760 --> 00:03:55.240]   So I just started with--
[00:03:55.240 --> 00:03:56.560]   How many views does that have?
[00:03:56.560 --> 00:03:58.200]   I think that one's like 30 million.
[00:03:58.200 --> 00:03:58.700]   Yeah.
[00:03:58.700 --> 00:04:00.040]   Just me counting.
[00:04:00.040 --> 00:04:02.000]   But it's funny because it's like, look at this idiot.
[00:04:02.000 --> 00:04:03.120]   He counted to 100,000.
[00:04:03.120 --> 00:04:05.000]   How much money has it made?
[00:04:05.000 --> 00:04:05.520]   That one?
[00:04:05.520 --> 00:04:06.640]   I don't know.
[00:04:06.640 --> 00:04:07.200]   Ballpark.
[00:04:07.200 --> 00:04:07.560]   What do you think?
[00:04:07.560 --> 00:04:11.400]   I mean, most videos probably have like $5 RPM, so 150 grand.
[00:04:11.400 --> 00:04:12.040]   OK.
[00:04:12.040 --> 00:04:12.520]   Yeah.
[00:04:12.520 --> 00:04:13.200]   Great.
[00:04:13.200 --> 00:04:15.560]   OK, so you launched this thing and then it starts to go.
[00:04:15.560 --> 00:04:17.120]   And then how do you scale the ideas?
