
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:20.360]   ♪ I will trust my Savior Jesus ♪
[00:00:20.360 --> 00:00:25.200]   ♪ When my darkest hours befall ♪
[00:00:25.200 --> 00:00:30.200]   ♪ Trust Him when to simply trust Him ♪
[00:00:30.200 --> 00:00:34.440]   ♪ Seems the hardest thing of all ♪
[00:00:34.440 --> 00:00:47.420]   ♪ I will trust my Savior Jesus ♪
[00:00:47.420 --> 00:00:52.300]   ♪ Trust Him when my strength is small ♪
[00:00:52.300 --> 00:00:57.300]   ♪ For I know the shield of Jesus ♪
[00:00:57.300 --> 00:01:02.300]   ♪ Is the safest place of all ♪
[00:01:02.300 --> 00:01:09.620]   ♪ Jesus, only Jesus ♪
[00:01:09.620 --> 00:01:14.620]   ♪ Help me trust You more and more ♪
[00:01:14.620 --> 00:01:19.460]   ♪ Jesus, only Jesus ♪
[00:01:19.460 --> 00:01:24.460]   ♪ Make my heart the ever-lord ♪
[00:01:24.460 --> 00:01:31.740]   ♪ I will trust my Savior Jesus ♪
[00:01:31.740 --> 00:01:36.680]   ♪ He has set His way His best ♪
[00:01:36.680 --> 00:01:41.680]   ♪ And I know the path He's chosen ♪
[00:01:41.680 --> 00:01:46.680]   ♪ Leads to everlasting rest ♪
[00:01:47.420 --> 00:01:51.460]   ♪ Jesus, only Jesus ♪
[00:01:51.460 --> 00:01:56.460]   ♪ Help me trust You more and more ♪
[00:01:56.460 --> 00:02:01.340]   ♪ Jesus, only Jesus ♪
[00:02:01.340 --> 00:02:06.340]   ♪ Make my heart the ever-lord ♪
[00:02:06.340 --> 00:02:11.180]   ♪ Jesus, only Jesus ♪
[00:02:11.180 --> 00:02:16.180]   ♪ Help me trust You more and more ♪
[00:02:16.960 --> 00:02:21.020]   ♪ Jesus, only Jesus ♪
[00:02:21.020 --> 00:02:24.940]   ♪ Make my heart the ever-lord ♪
[00:02:24.940 --> 00:02:27.940]   ♪ Jesus, only Jesus ♪
[00:02:27.940 --> 00:02:54.060]   ♪ Who on that cross ♪
[00:02:54.060 --> 00:02:58.200]   ♪ How it was seen ♪
[00:02:58.200 --> 00:03:03.200]   ♪ I can go now ever trusting ♪
[00:03:03.200 --> 00:03:08.200]   ♪ In the One who died for me ♪
[00:03:08.200 --> 00:03:12.980]   ♪ What could I bring ♪
[00:03:12.980 --> 00:03:17.780]   ♪ For Your gift is complete ♪
[00:03:17.780 --> 00:03:22.780]   ♪ So I trust You, simply trust You ♪
[00:03:22.860 --> 00:03:27.860]   ♪ With every heart of me ♪
[00:03:27.860 --> 00:03:33.340]   ♪ Who on that cross ♪
[00:03:33.340 --> 00:03:37.540]   ♪ How it was seen ♪
[00:03:37.540 --> 00:03:42.540]   ♪ I can go now ever trusting ♪
[00:03:42.540 --> 00:03:47.540]   ♪ In the One who died for me ♪
