
[00:00:00.000 --> 00:00:03.300]   ♪ Rejoice ♪
[00:00:03.300 --> 00:00:08.300]   ♪ Behold a God ♪
[00:00:08.300 --> 00:00:11.940]   ♪ Seated on His throne ♪
[00:00:11.940 --> 00:00:16.480]   ♪ Come let us adore Him ♪
[00:00:16.480 --> 00:00:21.480]   ♪ Behold a King ♪
[00:00:21.480 --> 00:00:25.060]   ♪ Nothing can compare ♪
[00:00:25.060 --> 00:00:30.060]   ♪ Come let us adore Him ♪
[00:00:30.060 --> 00:00:48.200]   ♪ Who has given counsel to the Lord ♪
[00:00:48.200 --> 00:00:54.760]   ♪ Who can question any of His words ♪
[00:00:55.760 --> 00:01:00.760]   ♪ Who can teach the one who knows all things ♪
[00:01:00.760 --> 00:01:07.660]   ♪ Who can fathom all His wondrous deeds ♪
[00:01:07.660 --> 00:01:15.560]   ♪ Behold a God ♪
[00:01:15.560 --> 00:01:19.020]   ♪ Seated on His throne ♪
[00:01:19.020 --> 00:01:23.660]   ♪ Come let us adore Him ♪
[00:01:23.660 --> 00:01:28.660]   ♪ Behold a King ♪
[00:01:28.660 --> 00:01:32.180]   ♪ Nothing can compare ♪
[00:01:32.180 --> 00:01:35.520]   ♪ Come let us adore Him ♪
[00:01:50.560 --> 00:01:55.560]   ♪ Who has felt the nails upon His hands ♪
[00:01:55.560 --> 00:02:02.140]   ♪ Bearing all the guilts of sinful men ♪
[00:02:02.140 --> 00:02:08.720]   ♪ God eternal, humble to the grave ♪
[00:02:08.720 --> 00:02:15.220]   ♪ Jesus, Savior, risen now to reign ♪
[00:02:18.220 --> 00:02:23.220]   ♪ Behold a God ♪
[00:02:23.220 --> 00:02:26.800]   ♪ Seated on His throne ♪
[00:02:26.800 --> 00:02:31.400]   ♪ Come let us adore Him ♪
[00:02:31.400 --> 00:02:36.400]   ♪ Behold a King ♪
[00:02:36.400 --> 00:02:39.940]   ♪ Nothing can compare ♪
[00:02:39.940 --> 00:02:43.280]   ♪ Come let us adore Him ♪
[00:02:43.280 --> 00:02:48.280]   ♪ Adore Him ♪
[00:02:48.280 --> 00:02:53.600]   ♪ You will ♪
[00:02:53.600 --> 00:02:56.680]   (gentle piano music)
[00:02:56.680 --> 00:03:00.600]   (gentle piano music continues)
[00:03:01.420 --> 00:03:05.340]   (gentle piano music continues)
[00:03:06.060 --> 00:03:09.980]   (gentle piano music continues)
[00:03:09.980 --> 00:03:13.900]   (gentle piano music continues)
[00:03:13.900 --> 00:03:17.820]   (gentle piano music continues)
[00:03:17.820 --> 00:03:21.740]   (gentle piano music continues)
[00:03:21.740 --> 00:03:25.660]   (gentle piano music continues)
[00:03:25.660 --> 00:03:45.540]   (gentle piano music continues)
[00:03:46.380 --> 00:03:50.300]   (gentle piano music continues)
[00:03:50.300 --> 00:03:54.220]   (gentle piano music continues)
[00:03:54.220 --> 00:03:58.140]   (gentle piano music continues)
[00:03:58.140 --> 00:04:02.060]   (gentle piano music continues)
[00:04:02.060 --> 00:04:05.980]   (gentle piano music continues)
[00:04:06.980 --> 00:04:10.900]   (gentle piano music continues)
[00:04:10.900 --> 00:04:22.940]   (gentle piano music continues)
[00:04:22.940 --> 00:04:35.740]   (gentle piano music continues)
[00:04:36.740 --> 00:04:40.660]   (gentle piano music continues)
[00:04:40.660 --> 00:04:51.660]   (gentle piano music continues)
[00:04:51.660 --> 00:04:55.580]   (gentle piano music continues)
[00:04:55.580 --> 00:05:10.580]   (gentle piano music continues)
[00:05:10.580 --> 00:05:21.620]   (gentle piano music continues)
[00:05:21.620 --> 00:05:25.540]   (gentle piano music continues)
[00:05:25.540 --> 00:05:44.540]   (gentle piano music continues)
[00:05:45.460 --> 00:05:49.460]   (gentle piano music continues)
[00:05:49.460 --> 00:06:03.380]   (gentle piano music continues)
[00:06:04.300 --> 00:06:08.300]   (gentle piano music continues)
[00:06:08.300 --> 00:06:19.220]   (gentle piano music continues)
[00:06:20.140 --> 00:06:24.060]   (gentle piano music continues)
[00:06:24.060 --> 00:06:43.140]   (gentle piano music continues)
[00:06:44.060 --> 00:06:48.060]   (gentle piano music continues)
[00:06:48.060 --> 00:07:07.060]   (gentle piano music continues)
[00:07:07.980 --> 00:07:11.980]   (gentle piano music continues)
[00:07:11.980 --> 00:07:28.980]   (gentle piano music continues)
[00:07:29.900 --> 00:07:33.900]   (gentle piano music continues)
[00:07:33.900 --> 00:07:48.900]   (gentle piano music continues)
[00:07:49.820 --> 00:07:53.820]   (gentle piano music continues)
[00:07:53.820 --> 00:08:04.820]   (gentle piano music continues)
[00:08:04.820 --> 00:08:13.820]   (gentle piano music continues)
[00:08:14.740 --> 00:08:18.740]   (gentle piano music continues)
[00:08:18.740 --> 00:08:30.740]   (gentle piano music continues)
[00:08:30.740 --> 00:08:37.740]   (gentle piano music continues)
[00:08:37.740 --> 00:08:42.740]   (gentle piano music continues)
[00:08:43.660 --> 00:08:47.660]   (gentle piano music continues)
[00:08:47.660 --> 00:08:56.660]   (gentle piano music continues)
[00:08:56.660 --> 00:09:01.660]   (gentle piano music continues)
[00:09:01.660 --> 00:09:06.660]   (gentle piano music continues)
[00:09:06.660 --> 00:09:11.660]   (gentle piano music continues)
[00:09:12.660 --> 00:09:16.660]   (gentle piano music continues)
[00:09:16.660 --> 00:09:22.660]   (gentle piano music continues)
[00:09:22.660 --> 00:09:27.660]   (gentle piano music continues)
[00:09:27.660 --> 00:09:32.660]   (gentle piano music continues)
[00:09:32.660 --> 00:09:34.660]   - All right, good morning church family
[00:09:34.660 --> 00:09:36.660]   and members of the state.
[00:09:36.660 --> 00:09:39.660]   As always, it is a joy and a privilege for us
[00:09:39.660 --> 00:09:41.660]   to gather together for corporate worship.
[00:09:41.660 --> 00:09:45.660]   There's so many reasons to be thankful this morning,
[00:09:45.660 --> 00:09:47.660]   to praise his name,
[00:09:47.660 --> 00:09:49.660]   as we remember just his great love
[00:09:49.660 --> 00:09:51.660]   and loving kindness towards us,
[00:09:51.660 --> 00:09:55.660]   his sufficient grace, his faithfulness in our lives,
[00:09:55.660 --> 00:09:56.660]   the gospel of Jesus Christ
[00:09:56.660 --> 00:09:59.660]   for undeserving sinners like me and you.
[00:09:59.660 --> 00:10:03.660]   My hope and prayer this morning as we sing
[00:10:03.660 --> 00:10:05.660]   and as we receive his word
[00:10:05.660 --> 00:10:07.660]   is that our hearts would just respond
[00:10:07.660 --> 00:10:09.660]   with much gratitude and with much joy.
[00:10:09.660 --> 00:10:12.660]   So we're gonna sing together "10,000 Reasons."
[00:10:12.660 --> 00:10:15.660]   (gentle piano music)
[00:10:15.660 --> 00:10:23.660]   (gentle piano music continues)
[00:10:23.660 --> 00:10:32.660]   ♪ Bless the Lord, O my soul ♪
[00:10:32.660 --> 00:10:35.660]   ♪ O my soul ♪
[00:10:35.660 --> 00:10:40.660]   ♪ Worship his holy name ♪
[00:10:40.660 --> 00:10:45.660]   ♪ Sing like never before ♪
[00:10:45.660 --> 00:10:48.660]   ♪ O my soul ♪
[00:10:48.660 --> 00:10:52.660]   ♪ I'll worship your holy name ♪
[00:10:52.660 --> 00:11:01.660]   ♪ The sun comes up ♪
[00:11:01.660 --> 00:11:05.660]   ♪ It's a new day dawning ♪
