
[00:00:00.000 --> 00:00:02.500]   (organ music)
[00:00:02.500 --> 00:00:23.520]   - On the sheet is right.
[00:00:23.520 --> 00:00:27.180]   On the May praise and prayer sheet is right.
[00:00:27.180 --> 00:00:30.080]   (audience chatter)
[00:00:55.460 --> 00:00:57.820]   - It's at the very bottom, it says closing song.
[00:00:57.820 --> 00:01:01.580]   So it's four and then one, closing song.
[00:01:01.580 --> 00:01:17.280]   Alex, Alex, Alex, turn that mic off.
[00:01:17.280 --> 00:01:19.340]   Turn that mic off.
[00:01:19.340 --> 00:01:22.260]   (audience chatter)
[00:01:22.260 --> 00:01:25.180]   (audience chatter)
[00:01:25.180 --> 00:01:28.100]   (audience chatter)
[00:01:28.100 --> 00:01:31.020]   (audience chatter)
[00:01:31.020 --> 00:01:33.940]   (audience chatter)
[00:01:33.940 --> 00:01:36.860]   (audience chatter)
[00:01:36.860 --> 00:01:39.780]   (audience chatter)
[00:01:39.780 --> 00:01:42.780]   (audience chatter)
[00:01:42.780 --> 00:01:45.780]   (audience chatter)
[00:01:45.780 --> 00:01:48.780]   (audience chatter)
[00:01:48.780 --> 00:01:51.780]   (audience chatter)
[00:01:51.780 --> 00:01:54.780]   (audience chatter)
[00:01:54.780 --> 00:01:57.780]   (audience chatter)
[00:01:57.780 --> 00:02:01.780]   (audience chatter)
[00:02:01.780 --> 00:02:05.780]   (audience chatter)
[00:02:05.780 --> 00:02:09.780]   (audience chatter)
[00:02:09.780 --> 00:02:13.780]   (audience chatter)
[00:02:13.780 --> 00:02:17.780]   (audience chatter)
[00:02:17.780 --> 00:02:21.780]   (audience chatter)
[00:02:22.780 --> 00:02:25.780]   (audience chatter)
[00:02:25.780 --> 00:02:29.780]   (audience chatter)
[00:02:29.780 --> 00:02:33.780]   (audience chatter)
[00:02:33.780 --> 00:02:37.780]   (audience chatter)
[00:02:37.780 --> 00:02:41.780]   (audience chatter)
[00:02:41.780 --> 00:02:45.780]   (audience chatter)
[00:02:45.780 --> 00:02:49.780]   (audience chatter)
[00:02:50.780 --> 00:02:53.780]   (audience chatter)
[00:02:53.780 --> 00:02:57.780]   (audience chatter)
[00:02:57.780 --> 00:03:01.780]   (audience chatter)
[00:03:01.780 --> 00:03:05.780]   (audience chatter)
[00:03:05.780 --> 00:03:09.780]   (audience chatter)
[00:03:09.780 --> 00:03:13.780]   (audience chatter)
[00:03:13.780 --> 00:03:17.780]   (audience chatter)
[00:03:18.780 --> 00:03:21.780]   (audience chatter)
[00:03:21.780 --> 00:03:25.780]   (audience chatter)
[00:03:25.780 --> 00:03:29.780]   (audience chatter)
[00:03:29.780 --> 00:03:33.780]   (audience chatter)
[00:03:33.780 --> 00:03:37.780]   (audience chatter)
[00:03:37.780 --> 00:03:41.780]   (audience chatter)
[00:03:41.780 --> 00:03:45.780]   (audience chatter)
[00:03:46.780 --> 00:03:49.780]   (audience chatter)
[00:03:49.780 --> 00:03:53.780]   (audience chatter)
[00:03:53.780 --> 00:03:57.780]   (audience chatter)
[00:03:57.780 --> 00:04:01.780]   (audience chatter)
[00:04:01.780 --> 00:04:05.780]   (audience chatter)
[00:04:05.780 --> 00:04:09.780]   (audience chatter)
[00:04:09.780 --> 00:04:13.780]   (audience chatter)
[00:04:14.780 --> 00:04:17.780]   (audience chatter)
[00:04:17.780 --> 00:04:21.780]   (audience chatter)
[00:04:21.780 --> 00:04:25.780]   (audience chatter)
[00:04:25.780 --> 00:04:29.780]   (audience chatter)
[00:04:29.780 --> 00:04:31.780]   - Good evening, good evening.
[00:04:31.780 --> 00:04:33.780]   For those of you coming in,
[00:04:33.780 --> 00:04:36.780]   if you want to kneel while we pray tonight,
[00:04:36.780 --> 00:04:39.780]   please do head towards the front in the white chairs.
[00:04:39.780 --> 00:04:41.780]   That way, when the time comes,
[00:04:41.780 --> 00:04:43.780]   we can quickly stack away the white chairs
[00:04:43.780 --> 00:04:45.780]   and pray together on the floor.
[00:04:45.780 --> 00:04:47.780]   So again, if you want to pray on the floor
[00:04:47.780 --> 00:04:50.780]   by kneeling this evening, please come to the front.
[00:04:50.780 --> 00:04:51.780]   Thank you.
[00:04:51.780 --> 00:04:54.780]   (audience chatter)
[00:04:54.780 --> 00:04:58.780]   (audience chatter)
[00:04:58.780 --> 00:05:02.780]   (audience chatter)
[00:05:02.780 --> 00:05:06.780]   (audience chatter)
[00:05:06.780 --> 00:05:10.780]   (audience chatter)
[00:05:11.780 --> 00:05:14.780]   (audience chatter)
[00:05:14.780 --> 00:05:18.780]   (audience chatter)
[00:05:18.780 --> 00:05:22.780]   (audience chatter)
[00:05:22.780 --> 00:05:26.780]   (audience chatter)
[00:05:26.780 --> 00:05:30.780]   (audience chatter)
[00:05:30.780 --> 00:05:34.780]   (audience chatter)
[00:05:34.780 --> 00:05:38.780]   (audience chatter)
[00:05:39.780 --> 00:05:42.780]   (audience chatter)
[00:05:42.780 --> 00:05:46.780]   (audience chatter)
[00:05:46.780 --> 00:05:50.780]   (audience chatter)
[00:05:50.780 --> 00:05:54.780]   (audience chatter)
[00:05:54.780 --> 00:05:58.780]   (audience chatter)
[00:05:58.780 --> 00:06:02.780]   (audience chatter)
[00:06:02.780 --> 00:06:06.780]   (audience chatter)
[00:06:07.780 --> 00:06:10.780]   (audience chatter)
[00:06:10.780 --> 00:06:14.780]   (audience chatter)
[00:06:14.780 --> 00:06:18.780]   (audience chatter)
[00:06:18.780 --> 00:06:22.780]   (audience chatter)
[00:06:22.780 --> 00:06:26.780]   (audience chatter)
[00:06:26.780 --> 00:06:30.780]   (audience chatter)
[00:06:30.780 --> 00:06:34.780]   (audience chatter)
[00:06:35.780 --> 00:06:38.780]   (audience chatter)
[00:06:38.780 --> 00:06:42.780]   (audience chatter)
[00:06:42.780 --> 00:06:46.780]   (audience chatter)
[00:06:46.780 --> 00:06:50.780]   (audience chatter)
[00:06:50.780 --> 00:06:54.780]   (audience chatter)
[00:06:54.780 --> 00:06:58.780]   (audience chatter)
[00:06:58.780 --> 00:07:02.780]   (audience chatter)
[00:07:03.780 --> 00:07:06.780]   (audience chatter)
[00:07:06.780 --> 00:07:10.780]   (audience chatter)
[00:07:10.780 --> 00:07:14.780]   (audience chatter)
[00:07:14.780 --> 00:07:18.780]   (audience chatter)
[00:07:18.780 --> 00:07:22.780]   (audience chatter)
[00:07:22.780 --> 00:07:26.780]   (audience chatter)
[00:07:26.780 --> 00:07:30.780]   (audience chatter)
[00:07:31.780 --> 00:07:34.780]   (audience chatter)
[00:07:34.780 --> 00:07:38.780]   (audience chatter)
[00:07:38.780 --> 00:07:42.780]   (audience chatter)
[00:07:42.780 --> 00:07:46.780]   (audience chatter)
[00:07:46.780 --> 00:07:50.780]   (audience chatter)
[00:07:50.780 --> 00:07:54.780]   (audience chatter)
[00:07:54.780 --> 00:07:58.780]   (audience chatter)
[00:07:59.780 --> 00:08:02.780]   (audience chatter)
[00:08:02.780 --> 00:08:06.780]   (audience chatter)
[00:08:06.780 --> 00:08:10.780]   (audience chatter)
[00:08:10.780 --> 00:08:14.780]   (audience chatter)
[00:08:14.780 --> 00:08:18.780]   (audience chatter)
[00:08:18.780 --> 00:08:22.780]   (audience chatter)
[00:08:22.780 --> 00:08:26.780]   (audience chatter)
[00:08:27.780 --> 00:08:30.780]   (audience chatter)
[00:08:30.780 --> 00:08:34.780]   (audience chatter)
[00:08:34.780 --> 00:08:38.780]   (audience chatter)
[00:08:38.780 --> 00:08:42.780]   (audience chatter)
[00:08:42.780 --> 00:08:46.780]   (audience chatter)
[00:08:46.780 --> 00:08:50.780]   (audience chatter)
[00:08:50.780 --> 00:08:54.780]   (audience chatter)
[00:08:55.780 --> 00:08:58.780]   (audience chatter)
[00:08:58.780 --> 00:09:02.780]   (audience chatter)
[00:09:02.780 --> 00:09:06.780]   (audience chatter)
[00:09:06.780 --> 00:09:10.780]   (audience chatter)
[00:09:10.780 --> 00:09:14.780]   (audience chatter)
[00:09:14.780 --> 00:09:18.780]   (audience chatter)
[00:09:18.780 --> 00:09:22.780]   (audience chatter)
[00:09:23.780 --> 00:09:26.780]   (audience chatter)
[00:09:26.780 --> 00:09:30.780]   (audience chatter)
[00:09:30.780 --> 00:09:34.780]   (audience chatter)
[00:09:34.780 --> 00:09:38.780]   (audience chatter)
[00:09:38.780 --> 00:09:42.780]   (audience chatter)
[00:09:42.780 --> 00:09:46.780]   (audience chatter)
[00:09:46.780 --> 00:09:50.780]   (audience chatter)
[00:09:51.780 --> 00:09:54.780]   (audience chatter)
[00:09:54.780 --> 00:09:58.780]   (audience chatter)
[00:09:58.780 --> 00:10:02.780]   (audience chatter)
[00:10:02.780 --> 00:10:06.780]   (audience chatter)
[00:10:06.780 --> 00:10:10.780]   (audience chatter)
[00:10:10.780 --> 00:10:14.780]   (audience chatter)
[00:10:14.780 --> 00:10:18.780]   (audience chatter)
[00:10:19.780 --> 00:10:22.780]   (audience chatter)
[00:10:22.780 --> 00:10:26.780]   (audience chatter)
[00:10:26.780 --> 00:10:30.780]   (audience chatter)
[00:10:30.780 --> 00:10:34.780]   (audience chatter)
[00:10:34.780 --> 00:10:38.780]   (audience chatter)
[00:10:38.780 --> 00:10:42.780]   (audience chatter)
[00:10:42.780 --> 00:10:46.780]   (audience chatter)
[00:10:47.780 --> 00:10:50.780]   (audience chatter)
[00:10:50.780 --> 00:10:54.780]   (audience chatter)
[00:10:54.780 --> 00:10:58.780]   (audience chatter)
[00:10:58.780 --> 00:11:02.780]   (audience chatter)
[00:11:02.780 --> 00:11:06.780]   (audience chatter)
[00:11:06.780 --> 00:11:10.780]   (audience chatter)
[00:11:10.780 --> 00:11:14.780]   (audience chatter)
[00:11:15.780 --> 00:11:18.780]   (audience chatter)
[00:11:18.780 --> 00:11:22.780]   (audience chatter)
